Navio: Suezmax T172
Cenário: Extremo
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: SE 25nós 
Onda: 2.25m 12s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -160.03 4.11 -0.26 -0.0 0.0 0 13.26 5243.463
0.1 -160.03 4.11 -0.26 -0.0 0.0 0 13.236 5243.056
0.2 -160.03 4.11 -0.26 -0.0 0.0 0 13.223 5242.641
0.3 -160.03 4.11 -0.26 -0.0 0.0 0 13.198 5242.233
0.4 -160.03 4.11 -0.26 -0.0 0.0 0 13.186 5241.818
0.5 -160.03 4.11 -0.26 -0.0 0.0 0 13.161 5241.411
0.6 -160.03 4.11 -0.26 -0.0 0.0 0 13.138 5240.993
0.7 -160.03 4.11 -0.26 -0.0 0.0 0 13.123 5240.588
0.8 -160.03 4.11 -0.26 -0.0 0.0 0 13.101 5240.171
0.9 -160.03 4.11 -0.26 -0.0 0.0 0 13.086 5239.765
1.0 -160.03 4.11 -0.26 -0.0 0.0 0 13.063 5239.348
1.1 -160.03 4.11 -0.26 -0.0 0.0 0 13.039 5238.94
1.2 -160.03 4.11 -0.26 -0.0 0.0 0 13.026 5238.526
1.3 -160.03 4.11 -0.26 -0.0 0.0 0 13.001 5238.118
1.4 -160.03 4.11 -0.26 -0.0 0.0 0 12.989 5237.703
1.5 -160.03 4.11 -0.26 -0.0 0.0 0 12.964 5237.295
1.6 -160.03 4.11 -0.26 -0.0 0.0 0 12.941 5236.878
1.7 -160.03 4.11 -0.26 -0.0 0.0 0 12.926 5236.473
1.8 -160.03 4.11 -0.26 -0.0 -0.0 0 12.904 5236.055
1.9 -160.03 4.11 -0.26 -0.0 -0.0 0 12.889 5235.65
2.0 -160.04 4.11 -0.26 -0.0 -0.0 0 12.866 5235.233
2.1 -160.04 4.11 -0.26 -0.0 -0.0 0 12.851 5234.828
2.2 -160.04 4.11 -0.26 -0.0 -0.0 0 12.829 5234.41
2.3 -160.04 4.11 -0.26 -0.0 -0.0 0 12.804 5234.003
2.4 -160.04 4.1 -0.26 -0.0 -0.0 0 12.791 5233.588
2.5 -160.04 4.1 -0.26 -0.0 -0.0 0 12.767 5233.18
2.6 -160.04 4.1 -0.26 -0.0 -0.0 0 12.754 5232.765
2.7 -160.04 4.1 -0.26 -0.0 -0.0 0 12.729 5232.358
2.8 -160.04 4.1 -0.26 -0.0 -0.0 0 12.717 5231.943
2.9 -160.04 4.1 -0.26 -0.0 -0.0 0 12.692 5231.535
3.0 -160.04 4.1 -0.26 -0.0 -0.0 1 12.679 5231.12
3.1 -160.04 4.1 -0.26 -0.0 -0.0 1 12.654 5230.713
3.2 -160.04 4.1 -0.26 -0.0 -0.0 1 12.639 5230.307
3.3 -160.04 4.1 -0.26 -0.0 -0.0 1 12.617 5229.89
3.4 -160.04 4.1 -0.27 -0.0 -0.0 2 12.602 5229.485
3.5 -160.04 4.1 -0.27 -0.0 -0.0 2 12.579 5229.068
3.6 -160.04 4.1 -0.27 -0.0 -0.0 2 12.564 5228.662
3.7 -160.04 4.1 -0.27 -0.0 -0.0 2 12.542 5228.245
3.8 -160.04 4.1 -0.27 -0.0 -0.0 3 12.527 5227.84
3.9 -160.04 4.1 -0.27 -0.0 -0.0 3 12.504 5227.423
4.0 -160.04 4.1 -0.27 -0.0 -0.0 3 12.489 5227.017
4.1 -160.04 4.1 -0.27 -0.0 -0.0 3 12.467 5226.6
4.2 -160.04 4.1 -0.27 -0.0 -0.0 3 12.452 5226.195
4.3 -160.04 4.1 -0.27 -0.0 -0.0 3 12.43 5225.777
4.4 -160.04 4.1 -0.27 -0.0 -0.0 3 12.414 5225.372
4.5 -160.04 4.1 -0.27 -0.0 -0.0 3 12.39 5224.965
4.6 -160.04 4.1 -0.27 -0.0 -0.0 4 12.377 5224.55
4.7 -160.04 4.1 -0.27 -0.0 -0.0 4 12.352 5224.142
4.8 -160.04 4.1 -0.27 -0.0 -0.0 4 12.34 5223.727
4.9 -160.04 4.1 -0.27 -0.0 -0.0 4 12.315 5223.32
5.0 -160.04 4.1 -0.27 -0.0 -0.0 4 12.302 5222.905
5.1 -160.04 4.1 -0.27 -0.0 -0.0 4 12.277 5222.497
5.2 -160.04 4.1 -0.27 -0.0 -0.0 4 12.265 5222.082
5.3 -160.04 4.1 -0.27 -0.0 -0.0 4 12.25 5221.677
5.4 -160.05 4.1 -0.27 -0.0 -0.0 4 12.227 5221.26
5.5 -160.05 4.1 -0.27 -0.0 -0.0 4 12.212 5220.855
5.6 -160.05 4.1 -0.27 -0.0 -0.0 4 12.187 5220.447
5.7 -160.05 4.1 -0.27 -0.0 -0.0 4 12.175 5220.032
5.8 -160.05 4.1 -0.27 -0.0 -0.0 4 12.15 5219.624
5.9 -160.05 4.1 -0.27 -0.0 -0.0 4 12.137 5219.21
6.0 -160.05 4.1 -0.27 -0.0 -0.0 4 12.112 5218.802
6.1 -160.05 4.1 -0.27 -0.0 -0.0 4 12.1 5218.387
6.2 -160.05 4.1 -0.27 -0.0 -0.0 4 12.085 5217.982
6.3 -160.05 4.1 -0.27 -0.0 -0.0 4 12.062 5217.564
6.4 -160.05 4.1 -0.27 -0.0 -0.0 4 12.047 5217.159
6.5 -160.05 4.1 -0.27 -0.0 -0.0 4 12.025 5216.742
6.6 -160.05 4.1 -0.27 -0.0 -0.0 4 12.01 5216.337
6.7 -160.05 4.1 -0.27 -0.0 -0.0 4 11.995 5215.932
6.8 -160.05 4.1 -0.27 -0.0 -0.0 4 11.972 5215.514
6.9 -160.05 4.1 -0.27 -0.0 -0.0 4 11.957 5215.109
7.0 -160.05 4.1 -0.27 -0.0 -0.0 4 11.935 5214.692
7.1 -160.05 4.1 -0.28 -0.0 -0.0 4 11.92 5214.287
7.2 -160.05 4.1 -0.28 -0.0 -0.0 4 11.907 5213.872
7.3 -160.05 4.1 -0.28 -0.0 -0.0 4 11.882 5213.464
7.4 -160.05 4.1 -0.28 -0.0 -0.0 4 11.87 5213.049
7.5 -160.05 4.1 -0.28 -0.0 -0.0 4 11.845 5212.642
7.6 -160.05 4.1 -0.28 -0.0 -0.0 4 11.83 5212.236
7.7 -160.05 4.1 -0.28 -0.0 -0.0 4 11.817 5211.822
7.8 -160.05 4.1 -0.28 -0.0 -0.01 4 11.792 5211.414
7.9 -160.06 4.1 -0.28 -0.0 -0.01 4 11.78 5210.999
8.0 -160.06 4.1 -0.28 -0.0 -0.01 4 11.765 5210.594
8.1 -160.06 4.1 -0.28 -0.0 -0.01 4 11.742 5210.177
8.2 -160.06 4.1 -0.28 -0.0 -0.01 4 11.727 5209.771
8.3 -160.06 4.1 -0.28 -0.0 -0.01 4 11.714 5209.357
8.4 -160.06 4.1 -0.28 -0.0 -0.01 4 11.69 5208.949
8.5 -160.06 4.1 -0.28 -0.0 -0.01 4 11.675 5208.544
8.6 -160.06 4.1 -0.28 -0.0 -0.01 4 11.652 5208.126
8.7 -160.06 4.1 -0.28 -0.0 -0.01 4 11.637 5207.721
