Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada completa
Corrente: N 0.4nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
197.4 -165.91 4.03 -0.1 -0.03 0.54 1 -21.555 5983.122
197.5 -165.91 4.03 -0.1 -0.03 0.54 1 -21.55 5982.722
197.6 -165.91 4.03 -0.1 -0.03 0.54 1 -21.544 5982.312
197.7 -165.92 4.03 -0.1 -0.03 0.54 1 -21.539 5981.912
197.8 -165.92 4.03 -0.1 -0.03 0.54 1 -21.535 5981.512
197.9 -165.92 4.03 -0.1 -0.03 0.54 1 -21.518 5981.105
198.0 -165.93 4.03 -0.1 -0.03 0.54 1 -21.514 5980.705
198.1 -165.93 4.02 -0.1 -0.03 0.54 1 -21.51 5980.304
198.2 -165.93 4.02 -0.1 -0.03 0.54 1 -21.503 5979.895
198.3 -165.93 4.02 -0.1 -0.03 0.54 1 -21.498 5979.494
198.4 -165.94 4.02 -0.1 -0.03 0.54 1 -21.484 5979.097
198.5 -165.94 4.02 -0.1 -0.03 0.54 1 -21.48 5978.697
198.6 -165.94 4.02 -0.1 -0.03 0.54 1 -21.473 5978.287
198.7 -165.95 4.02 -0.1 -0.03 0.54 1 -21.469 5977.887
198.8 -165.95 4.02 -0.1 -0.03 0.53 1 -21.455 5977.489
198.9 -165.95 4.02 -0.1 -0.03 0.53 1 -21.45 5977.089
199.0 -165.96 4.02 -0.1 -0.03 0.53 1 -21.444 5976.679
199.1 -165.96 4.02 -0.1 -0.03 0.53 1 -21.439 5976.279
199.2 -165.96 4.02 -0.1 -0.03 0.49 1 -21.435 5975.879
199.3 -165.97 4.02 -0.1 -0.03 0.49 1 -21.421 5975.481
199.4 -165.97 4.02 -0.1 -0.03 0.49 1 -21.414 5975.071
199.5 -165.97 4.02 -0.1 -0.03 0.49 1 -21.41 5974.671
199.6 -165.98 4.01 -0.1 -0.03 0.34 1 -21.405 5974.271
199.7 -165.98 4.01 -0.1 -0.04 0.34 1 -21.391 5973.873
199.8 -165.98 4.01 -0.1 -0.04 0.34 1 -21.387 5973.473
199.9 -165.99 4.01 -0.1 -0.04 0.34 1 -21.38 5973.063
200.0 -165.99 4.01 -0.1 -0.04 0.2 1 -21.366 5972.665
200.1 -165.99 4.01 -0.1 -0.04 0.2 1 -21.361 5972.265
200.2 -166.0 4.01 -0.1 -0.04 0.2 1 -21.357 5971.865
200.3 -166.0 4.01 -0.1 -0.04 0.2 1 -21.353 5971.465
200.4 -166.01 4.01 -0.1 -0.04 0.08 1 -21.339 5971.067
200.5 -166.01 4.01 -0.1 -0.04 0.08 1 -21.332 5970.657
200.6 -166.01 4.01 -0.1 -0.04 0.08 1 -21.327 5970.257
200.7 -166.02 4.01 -0.1 -0.04 0.08 1 -21.313 5969.86
200.8 -166.02 4.01 -0.1 -0.04 0.04 1 -21.309 5969.46
200.9 -166.03 4.01 -0.1 -0.04 0.04 1 -21.305 5969.059
201.0 -166.03 4.01 -0.11 -0.04 0.04 1 -21.29 5968.662
201.1 -166.03 4.01 -0.11 -0.04 0.04 1 -21.286 5968.262
201.2 -166.04 4.01 -0.11 -0.04 0.04 1 -21.282 5967.861
201.3 -166.04 4.01 -0.11 -0.04 0.04 1 -21.265 5967.454
201.4 -166.05 4.0 -0.11 -0.04 0.04 1 -21.261 5967.054
201.5 -166.05 4.0 -0.11 -0.04 0.04 1 -21.256 5966.654
201.6 -166.06 4.0 -0.11 -0.04 0.04 1 -21.242 5966.256
201.7 -166.06 4.0 -0.11 -0.05 0.04 1 -21.238 5965.856
201.8 -166.06 4.0 -0.11 -0.05 0.04 1 -21.224 5965.458
201.9 -166.07 4.0 -0.11 -0.05 0.04 1 -21.219 5965.058
202.0 -166.07 4.0 -0.11 -0.05 0.04 1 -21.215 5964.658
202.1 -166.08 4.0 -0.11 -0.05 0.04 1 -21.199 5964.251
202.2 -166.08 4.0 -0.11 -0.05 0.04 1 -21.194 5963.85
202.3 -166.09 4.0 -0.11 -0.05 0.04 1 -21.18 5963.453
202.4 -166.09 4.0 -0.11 -0.05 0.09 1 -21.176 5963.053
202.5 -166.1 4.0 -0.11 -0.05 0.09 1 -21.162 5962.655
202.6 -166.1 4.0 -0.11 -0.05 0.09 1 -21.157 5962.255
202.7 -166.11 4.0 -0.11 -0.05 0.09 1 -21.153 5961.855
202.8 -166.11 4.0 -0.11 -0.05 0.09 1 -21.139 5961.457
202.9 -166.12 4.0 -0.11 -0.05 0.09 1 -21.134 5961.057
203.0 -166.12 4.0 -0.11 -0.05 0.09 1 -21.118 5960.649
203.1 -166.13 4.0 -0.11 -0.05 0.09 1 -21.113 5960.249
203.2 -166.13 4.0 -0.11 -0.05 0.05 1 -21.099 5959.852
203.3 -166.14 4.0 -0.11 -0.05 0.05 1 -21.095 5959.451
203.4 -166.14 4.0 -0.11 -0.05 0.05 1 -21.081 5959.054
203.5 -166.15 4.0 -0.11 -0.05 0.05 1 -21.077 5958.654
203.6 -166.15 4.0 -0.11 -0.05 -0.02 1 -21.062 5958.256
203.7 -166.16 4.0 -0.11 -0.05 -0.02 1 -21.058 5957.856
203.8 -166.16 4.0 -0.11 -0.05 -0.02 1 -21.042 5957.448
203.9 -166.17 4.0 -0.11 -0.05 -0.02 1 -21.037 5957.048
204.0 -166.17 4.0 -0.11 -0.05 -0.02 1 -21.023 5956.651
204.1 -166.18 4.0 -0.11 -0.05 -0.02 1 -21.019 5956.25
204.2 -166.18 4.0 -0.11 -0.05 -0.02 1 -21.005 5955.853
204.3 -166.19 4.0 -0.11 -0.05 -0.02 1 -21.0 5955.453
204.4 -166.19 4.0 -0.11 -0.05 -0.02 1 -20.986 5955.055
204.5 -166.2 4.0 -0.11 -0.05 -0.02 1 -20.982 5954.655
204.6 -166.2 4.0 -0.11 -0.05 -0.02 1 -20.965 5954.247
204.7 -166.21 4.0 -0.11 -0.05 -0.02 1 -20.961 5953.847
204.8 -166.21 4.0 -0.11 -0.05 -0.02 1 -20.947 5953.45
204.9 -166.22 4.0 -0.11 -0.05 -0.02 1 -20.942 5953.049
205.0 -166.22 4.0 -0.11 -0.05 -0.02 1 -20.928 5952.652
205.1 -166.22 4.0 -0.11 -0.05 -0.02 1 -20.914 5952.254
205.2 -166.23 4.0 -0.11 -0.05 -0.0 1 -20.91 5951.854
205.3 -166.23 4.0 -0.11 -0.05 -0.0 1 -20.896 5951.456
205.4 -166.24 4.0 -0.11 -0.05 -0.0 1 -20.889 5951.046
205.5 -166.24 4.0 -0.11 -0.05 -0.0 1 -20.875 5950.649
205.6 -166.25 4.0 -0.11 -0.05 -0.0 1 -20.87 5950.249
205.7 -166.25 4.0 -0.11 -0.04 -0.0 1 -20.856 5949.851
205.8 -166.26 4.0 -0.11 -0.04 -0.0 1 -20.852 5949.451
205.9 -166.26 4.0 -0.11 -0.04 -0.0 1 -20.838 5949.053
206.0 -166.27 4.0 -0.11 -0.04 -0.0 1 -20.833 5948.653
206.1 -166.27 4.0 -0.11 -0.04 -0.0 1 -20.817 5948.246
206.2 -166.27 4.0 -0.11 -0.04 -0.0 1 -20.813 5947.845
206.3 -166.28 4.0 -0.11 -0.04 -0.0 1 -20.798 5947.448
206.4 -166.28 4.0 -0.11 -0.04 -0.0 1 -20.784 5947.05
206.5 -166.29 4.0 -0.11 -0.04 -0.0 1 -20.78 5946.65
206.6 -166.29 4.0 -0.11 -0.04 -0.0 1 -20.766 5946.252
206.7 -166.3 4.0 -0.11 -0.04 -0.0 1 -20.761 5945.852
206.8 -166.3 4.0 -0.11 -0.04 -0.0 1 -20.745 5945.445
206.9 -166.3 4.0 -0.11 -0.04 -0.0 1 -20.741 5945.045
207.0 -166.31 4.0 -0.11 -0.04 -0.0 1 -20.727 5944.647
207.1 -166.31 4.0 -0.1 -0.04 -0.0 1 -20.722 5944.247
207.2 -166.31 4.0 -0.1 -0.04 -0.0 1 -20.708 5943.849
207.3 -166.32 4.0 -0.1 -0.04 -0.0 1 -20.704 5943.449
207.4 -166.32 4.0 -0.1 -0.04 -0.0 1 -20.69 5943.051
207.5 -166.33 4.0 -0.1 -0.04 -0.0 1 -20.683 5942.641
207.6 -166.33 4.0 -0.1 -0.04 -0.0 1 -20.669 5942.244
207.7 -166.33 4.0 -0.1 -0.04 -0.0 1 -20.655 5941.846
207.8 -166.34 4.0 -0.1 -0.04 -0.0 1 -20.65 5941.446
207.9 -166.34 4.0 -0.1 -0.04 -0.0 1 -20.636 5941.048
208.0 -166.34 4.0 -0.1 -0.04 -0.0 1 -20.632 5940.648
