Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.1 -158.0 3.08 -0.0 -0.0 0.1 0 7.79 4402.844
0.2 -158.0 3.08 -0.0 -0.0 0.1 0 7.749 4402.546
0.3 -158.0 3.08 -0.0 -0.0 0.1 0 7.7 4402.234
0.4 -158.0 3.08 -0.0 -0.0 0.1 0 7.659 4401.936
0.5 -158.0 3.08 -0.0 -0.0 0.1 0 7.611 4401.624
0.6 -158.0 3.08 -0.01 -0.01 0.1 0 7.573 4401.316
0.7 -158.0 3.08 -0.01 -0.01 0.1 0 7.522 4401.015
0.8 -158.0 3.08 -0.01 -0.01 0.1 0 7.483 4400.706
0.9 -158.0 3.08 -0.01 -0.01 0.1 0 7.435 4400.395
1.0 -158.0 3.08 -0.01 -0.01 0.1 0 7.394 4400.096
1.1 -158.01 3.08 -0.01 -0.01 0.1 0 7.346 4399.785
1.2 -158.01 3.08 -0.01 -0.01 0.1 0 7.305 4399.486
1.3 -158.01 3.08 -0.01 -0.01 0.1 0 7.266 4399.178
1.4 -158.01 3.08 -0.01 -0.01 0.1 0 7.218 4398.866
1.5 -158.01 3.08 -0.01 -0.01 0.1 0 7.177 4398.568
1.6 -158.01 3.08 -0.02 -0.01 0.1 0 7.128 4398.256
1.7 -158.01 3.08 -0.02 -0.01 0.1 0 7.09 4397.948
1.8 -158.01 3.08 -0.02 -0.02 0.1 0 7.049 4397.649
1.9 -158.02 3.08 -0.02 -0.02 0.1 0 7.001 4397.338
2.0 -158.02 3.08 -0.02 -0.02 0.1 0 6.962 4397.029
2.1 -158.02 3.08 -0.02 -0.02 0.1 0 6.911 4396.728
2.2 -158.02 3.08 -0.02 -0.02 0.1 0 6.873 4396.419
2.3 -158.02 3.08 -0.02 -0.02 0.1 0 6.834 4396.111
2.4 -158.02 3.08 -0.02 -0.02 0.1 0 6.783 4395.81
2.5 -158.03 3.08 -0.02 -0.02 0.1 0 6.745 4395.501
2.6 -158.03 3.08 -0.02 -0.02 0.1 0 6.706 4395.192
2.7 -158.03 3.08 -0.02 -0.02 0.1 0 6.656 4394.891
2.8 -158.03 3.08 -0.03 -0.02 0.1 0 6.617 4394.583
2.9 -158.04 3.08 -0.03 -0.02 0.1 0 6.578 4394.274
3.0 -158.04 3.08 -0.03 -0.02 0.1 0 6.537 4393.975
3.1 -158.04 3.08 -0.03 -0.03 0.1 0 6.489 4393.664
3.2 -158.04 3.08 -0.03 -0.03 0.1 0 6.45 4393.356
3.3 -158.05 3.08 -0.03 -0.03 0.1 0 6.409 4393.057
3.4 -158.05 3.08 -0.03 -0.03 0.1 0 6.371 4392.748
3.5 -158.05 3.08 -0.03 -0.03 0.1 0 6.323 4392.437
3.6 -158.05 3.08 -0.03 -0.03 0.1 0 6.282 4392.138
3.7 -158.06 3.08 -0.03 -0.03 0.1 0 6.243 4391.83
3.8 -158.06 3.08 -0.03 -0.03 0.1 0 6.204 4391.521
3.9 -158.06 3.08 -0.04 -0.03 0.1 0 6.166 4391.213
4.0 -158.07 3.08 -0.04 -0.03 0.1 0 6.115 4390.911
4.1 -158.07 3.08 -0.04 -0.03 0.06 0 6.077 4390.603
4.2 -158.07 3.08 -0.04 -0.03 0.06 0 6.038 4390.294
4.3 -158.08 3.08 -0.04 -0.03 0.06 0 5.997 4389.995
4.4 -158.08 3.08 -0.04 -0.03 0.06 0 5.958 4389.687
4.5 -158.08 3.08 -0.04 -0.04 0.06 0 5.92 4389.378
4.6 -158.09 3.08 -0.04 -0.04 0.03 0 5.881 4389.07
4.7 -158.09 3.08 -0.04 -0.04 0.03 0 5.833 4388.759
4.8 -158.09 3.08 -0.04 -0.04 0.03 0 5.792 4388.46
4.9 -158.1 3.08 -0.04 -0.04 0.03 0 5.753 4388.151
5.0 -158.1 3.08 -0.05 -0.04 0.03 0 5.715 4387.843
5.1 -158.11 3.08 -0.05 -0.04 0.0 0 5.676 4387.534
5.2 -158.11 3.08 -0.05 -0.04 0.0 0 5.635 4387.235
5.3 -158.11 3.08 -0.05 -0.04 0.0 0 5.596 4386.927
5.4 -158.12 3.08 -0.05 -0.04 0.0 0 5.558 4386.618
5.5 -158.12 3.08 -0.05 -0.04 0.0 0 5.519 4386.31
5.6 -158.13 3.08 -0.05 -0.04 0.0 0 5.481 4386.001
5.7 -158.13 3.08 -0.05 -0.04 0.0 0 5.44 4385.702
5.8 -158.13 3.08 -0.05 -0.04 0.0 0 5.401 4385.394
5.9 -158.14 3.08 -0.05 -0.04 0.0 0 5.363 4385.085
6.0 -158.14 3.08 -0.05 -0.04 0.0 0 5.324 4384.777
6.1 -158.15 3.08 -0.06 -0.05 0.0 0 5.285 4384.468
6.2 -158.15 3.08 -0.06 -0.05 0.0 0 5.244 4384.17
