Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 20 nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.1 -158.0 3.08 -0.0 -0.0 -0.02 0 13.771 3652.513
0.2 -158.0 3.08 -0.0 -0.0 -0.02 0 13.73 3652.214
0.3 -158.0 3.08 -0.0 -0.0 -0.02 0 13.682 3651.903
0.4 -158.0 3.08 -0.0 -0.0 -0.02 0 13.641 3651.604
0.5 -158.0 3.08 -0.0 -0.0 -0.02 0 13.593 3651.293
0.6 -158.0 3.08 -0.01 -0.01 -0.02 0 13.554 3650.984
0.7 -158.0 3.08 -0.01 -0.01 -0.02 0 13.503 3650.682
0.8 -158.0 3.08 -0.01 -0.01 -0.02 0 13.465 3650.373
0.9 -158.0 3.08 -0.01 -0.01 -0.02 0 13.416 3650.062
1.0 -158.0 3.08 -0.01 -0.01 -0.02 0 13.376 3649.763
1.1 -158.01 3.08 -0.01 -0.01 -0.02 0 13.327 3649.452
1.2 -158.01 3.08 -0.01 -0.01 -0.02 0 13.286 3649.153
1.3 -158.01 3.08 -0.01 -0.01 -0.02 0 13.248 3648.844
1.4 -158.01 3.08 -0.01 -0.01 -0.02 0 13.199 3648.533
1.5 -158.01 3.08 -0.01 -0.01 -0.02 0 13.158 3648.233
1.6 -158.01 3.08 -0.01 -0.01 -0.02 0 13.11 3647.922
1.7 -158.01 3.08 -0.02 -0.01 -0.02 0 13.071 3647.613
1.8 -158.01 3.08 -0.02 -0.01 -0.02 0 13.03 3647.314
1.9 -158.02 3.08 -0.02 -0.02 -0.02 0 12.982 3647.003
2.0 -158.02 3.08 -0.02 -0.02 -0.02 0 12.944 3646.694
2.1 -158.02 3.08 -0.02 -0.02 -0.02 0 12.893 3646.393
2.2 -158.02 3.08 -0.02 -0.02 -0.02 0 12.854 3646.084
2.3 -158.02 3.08 -0.02 -0.02 -0.02 0 12.816 3645.775
2.4 -158.02 3.08 -0.02 -0.02 -0.02 0 12.765 3645.473
2.5 -158.03 3.08 -0.02 -0.02 -0.02 0 12.726 3645.165
2.6 -158.03 3.08 -0.02 -0.02 -0.02 0 12.688 3644.856
2.7 -158.03 3.08 -0.02 -0.02 -0.02 0 12.637 3644.554
2.8 -158.03 3.08 -0.03 -0.02 -0.61 0 12.599 3644.246
2.9 -158.03 3.08 -0.03 -0.02 -0.61 0 12.56 3643.937
3.0 -158.04 3.08 -0.03 -0.02 -0.61 0 12.519 3643.638
3.1 -158.04 3.08 -0.03 -0.02 -0.61 0 12.471 3643.326
3.2 -158.04 3.08 -0.03 -0.02 -0.61 0 12.432 3643.018
3.3 -158.04 3.08 -0.03 -0.03 -0.61 0 12.391 3642.719
3.4 -158.05 3.08 -0.03 -0.03 -0.61 0 12.352 3642.41
3.5 -158.05 3.08 -0.03 -0.03 -0.61 0 12.304 3642.099
3.6 -158.05 3.08 -0.03 -0.03 -0.61 0 12.263 3641.8
3.7 -158.05 3.08 -0.03 -0.03 -0.61 0 12.225 3641.491
3.8 -158.06 3.08 -0.04 -0.03 -0.61 0 12.186 3641.182
3.9 -158.06 3.08 -0.04 -0.03 -0.61 0 12.147 3640.873
4.0 -158.06 3.08 -0.04 -0.03 -0.61 0 12.097 3640.572
4.1 -158.07 3.08 -0.04 -0.03 -0.61 0 12.058 3640.263
4.2 -158.07 3.08 -0.04 -0.03 -0.61 0 12.019 3639.954
4.3 -158.07 3.08 -0.04 -0.03 -0.61 1 11.979 3639.655
4.4 -158.08 3.08 -0.04 -0.03 -0.61 1 11.94 3639.346
4.5 -158.08 3.08 -0.04 -0.03 -0.61 1 11.901 3639.038
4.6 -158.08 3.08 -0.04 -0.03 -0.61 1 11.863 3638.729
4.7 -158.09 3.08 -0.04 -0.03 -0.61 1 11.812 3638.427
4.8 -158.09 3.08 -0.04 -0.03 -0.61 2 11.773 3638.119
4.9 -158.09 3.08 -0.05 -0.03 -0.61 2 11.735 3637.81
