Navio: Suezmax L280B50T17
Cenário: NE - pos2035 - 2
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn NE 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
478.0 200.25 3.23 -0.44 0.02 0.1 1 7.665 4878.249
478.5 200.26 3.22 -0.43 0.02 0.1 1 7.688 4876.619
479.0 200.27 3.22 -0.43 0.02 0.1 1 7.721 4874.992
479.5 200.29 3.22 -0.43 0.02 0.1 1 7.742 4873.371
480.0 200.3 3.22 -0.43 0.02 0.1 1 7.775 4871.744
480.5 200.31 3.22 -0.43 0.02 0.11 1 7.795 4870.123
481.0 200.32 3.22 -0.43 0.02 0.11 1 7.816 4868.503
481.5 200.33 3.22 -0.43 0.02 0.1 1 7.849 4866.875
482.0 200.35 3.22 -0.43 0.02 0.1 1 7.87 4865.255
482.5 200.36 3.22 -0.43 0.02 0.1 1 7.893 4863.625
483.0 200.37 3.23 -0.43 0.02 0.1 1 7.914 4862.004
483.5 200.38 3.23 -0.43 0.02 0.09 1 7.937 4860.374
484.0 200.39 3.23 -0.43 0.02 0.09 1 7.96 4858.744
484.5 200.4 3.23 -0.44 0.02 0.09 1 7.983 4857.114
485.0 200.41 3.24 -0.44 0.02 0.08 1 8.006 4855.484
485.5 200.42 3.24 -0.44 0.02 0.08 1 8.032 4853.844
486.0 200.43 3.24 -0.44 0.02 0.08 1 8.055 4852.214
486.5 200.44 3.24 -0.44 0.02 0.08 1 8.078 4850.584
487.0 200.45 3.23 -0.43 0.02 0.08 1 8.101 4848.954
487.5 200.46 3.23 -0.43 0.02 0.08 1 8.124 4847.324
488.0 200.48 3.23 -0.43 0.02 0.09 1 8.147 4845.694
488.5 200.49 3.22 -0.43 0.02 0.09 1 8.168 4844.074
489.0 200.5 3.22 -0.43 0.02 0.09 1 8.182 4842.441
489.5 200.51 3.21 -0.42 0.02 0.1 1 8.202 4840.821
490.0 200.52 3.21 -0.42 0.02 0.1 1 8.213 4839.198
490.5 200.53 3.21 -0.42 0.02 0.11 1 8.232 4837.588
491.0 200.54 3.2 -0.42 0.02 0.11 1 8.241 4835.975
491.5 200.55 3.2 -0.42 0.02 0.11 1 8.261 4834.354
