Navio: Suezmax L280B50T17
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -161.0 3.6 -0.51 0.0 0.0 0 36.873 3230.065
0.1 -161.0 3.6 -0.51 0.0 0.0 0 36.893 3229.699
0.2 -161.0 3.6 -0.51 0.0 0.0 0 36.911 3229.343
0.3 -161.0 3.6 -0.51 0.0 0.0 0 36.931 3228.977
0.4 -161.0 3.6 -0.51 0.0 0.0 0 36.951 3228.611
0.5 -161.0 3.6 -0.51 0.0 0.0 0 36.969 3228.255
0.6 -161.0 3.6 -0.51 0.0 0.0 0 36.989 3227.889
0.7 -161.0 3.6 -0.51 0.0 0.0 0 37.019 3227.526
0.8 -161.0 3.6 -0.51 0.0 0.0 0 37.036 3227.17
0.9 -161.0 3.6 -0.51 0.0 0.0 0 37.057 3226.804
1.0 -161.0 3.6 -0.51 0.0 0.0 0 37.077 3226.438
1.1 -161.0 3.6 -0.51 0.0 0.0 0 37.095 3226.082
1.2 -161.0 3.6 -0.51 0.0 0.0 0 37.115 3225.716
1.3 -161.0 3.59 -0.51 0.0 0.0 0 37.135 3225.35
1.4 -161.0 3.59 -0.51 0.0 0.0 0 37.153 3224.994
1.5 -161.0 3.59 -0.51 0.0 0.0 0 37.173 3224.628
1.6 -161.0 3.59 -0.51 0.01 0.0 0 37.203 3224.264
1.7 -161.0 3.59 -0.51 0.01 0.0 0 37.22 3223.908
1.8 -160.99 3.59 -0.51 0.01 0.0 0 37.24 3223.542
1.9 -160.99 3.59 -0.51 0.01 0.0 0 37.258 3223.186
2.0 -160.99 3.59 -0.51 0.01 0.0 0 37.278 3222.82
2.1 -160.99 3.59 -0.51 0.01 0.0 0 37.299 3222.454
2.2 -160.99 3.59 -0.51 0.01 0.0 0 37.316 3222.098
2.3 -160.99 3.59 -0.51 0.01 0.0 0 37.336 3221.732
2.4 -160.99 3.59 -0.51 0.01 0.0 0 37.357 3221.366
2.5 -160.99 3.59 -0.51 0.01 0.0 0 37.374 3221.01
2.6 -160.99 3.59 -0.51 0.01 0.0 0 37.394 3220.644
2.7 -160.99 3.59 -0.51 0.01 0.0 0 37.422 3220.291
2.8 -160.99 3.59 -0.51 0.01 0.0 0 37.442 3219.925
2.9 -160.99 3.59 -0.51 0.01 0.0 0 37.462 3219.559
3.0 -160.99 3.59 -0.5 0.01 0.0 0 37.48 3219.203
3.1 -160.98 3.59 -0.5 0.01 0.0 0 37.5 3218.837
3.2 -160.98 3.59 -0.5 0.01 0.0 0 37.518 3218.48
3.3 -160.98 3.59 -0.5 0.01 0.0 0 37.538 3218.115
3.4 -160.98 3.59 -0.5 0.01 0.0 0 37.558 3217.749
3.5 -160.98 3.59 -0.5 0.01 0.0 0 37.576 3217.392
3.6 -160.98 3.59 -0.5 0.01 0.0 0 37.596 3217.027
3.7 -160.98 3.59 -0.5 0.01 0.0 0 37.614 3216.67
3.8 -160.98 3.59 -0.5 0.01 0.0 0 37.634 3216.304
3.9 -160.98 3.59 -0.5 0.01 0.0 0 37.652 3215.948
4.0 -160.98 3.59 -0.5 0.01 0.0 0 37.672 3215.582
4.1 -160.97 3.59 -0.5 0.01 0.0 0 37.702 3215.219
4.2 -160.97 3.59 -0.5 0.01 0.0 0 37.719 3214.863
4.3 -160.97 3.59 -0.5 0.01 0.0 0 37.74 3214.497
4.4 -160.97 3.59 -0.5 0.01 0.0 0 37.757 3214.141
4.5 -160.97 3.59 -0.5 0.01 0.0 0 37.777 3213.775
4.6 -160.97 3.59 -0.5 0.01 0.0 0 37.795 3213.419
4.7 -160.97 3.59 -0.5 0.01 0.0 0 37.815 3213.053
4.8 -160.97 3.59 -0.5 0.01 0.0 0 37.833 3212.697
4.9 -160.96 3.59 -0.5 0.01 0.0 0 37.853 3212.331
5.0 -160.96 3.59 -0.5 0.01 0.0 0 37.873 3211.965
5.1 -160.96 3.59 -0.5 0.01 0.0 0 37.891 3211.609
5.2 -160.96 3.59 -0.5 0.02 0.0 0 37.911 3211.243
5.3 -160.96 3.59 -0.5 0.02 0.0 0 37.929 3210.886
5.4 -160.96 3.59 -0.5 0.02 0.0 0 37.949 3210.521
5.5 -160.95 3.59 -0.5 0.02 0.0 0 37.967 3210.164
5.6 -160.95 3.59 -0.5 0.02 0.0 0 37.987 3209.799
5.7 -160.95 3.59 -0.5 0.02 0.0 0 38.005 3209.442
5.8 -160.95 3.59 -0.5 0.02 0.0 0 38.035 3209.079
5.9 -160.95 3.59 -0.5 0.02 0.0 0 38.052 3208.723
6.0 -160.95 3.59 -0.5 0.02 0.0 0 38.073 3208.357
6.1 -160.94 3.59 -0.5 0.02 0.0 0 38.093 3207.991
6.2 -160.94 3.59 -0.5 0.02 0.0 0 38.11 3207.635
6.3 -160.94 3.59 -0.5 0.02 0.0 0 38.131 3207.269
6.4 -160.94 3.58 -0.5 0.02 0.0 0 38.148 3206.913
6.5 -160.94 3.58 -0.5 0.02 0.0 0 38.168 3206.547
6.6 -160.94 3.58 -0.5 0.02 0.0 0 38.186 3206.191
6.7 -160.93 3.58 -0.5 0.02 0.0 0 38.206 3205.825
6.8 -160.93 3.58 -0.5 0.02 0.0 0 38.224 3205.469
6.9 -160.93 3.58 -0.5 0.02 0.0 0 38.244 3205.103
7.0 -160.93 3.58 -0.5 0.02 0.0 0 38.262 3204.746
7.1 -160.93 3.58 -0.5 0.02 0.0 0 38.282 3204.381
7.2 -160.92 3.58 -0.5 0.02 0.0 0 38.3 3204.024
7.3 -160.92 3.58 -0.5 0.02 0.0 0 38.32 3203.658
7.4 -160.92 3.58 -0.5 0.02 0.0 0 38.338 3203.302
7.5 -160.92 3.58 -0.5 0.02 0.0 0 38.358 3202.936
7.6 -160.92 3.58 -0.5 0.02 0.0 0 38.376 3202.58
7.7 -160.91 3.58 -0.5 0.02 0.0 0 38.396 3202.214
7.8 -160.91 3.58 -0.5 0.02 0.0 0 38.414 3201.858
7.9 -160.91 3.58 -0.5 0.02 0.0 0 38.434 3201.492
8.0 -160.91 3.58 -0.5 0.02 0.0 0 38.451 3201.136
8.1 -160.91 3.58 -0.5 0.02 0.0 0 38.472 3200.77
8.2 -160.9 3.58 -0.5 0.02 0.0 1 38.489 3200.414
8.3 -160.9 3.58 -0.5 0.02 0.0 1 38.509 3200.048
8.4 -160.9 3.58 -0.5 0.02 0.0 1 38.527 3199.692
8.5 -160.9 3.58 -0.5 0.02 0.0 1 38.547 3199.326
8.6 -160.89 3.58 -0.5 0.02 0.0 1 38.565 3198.97
8.7 -160.89 3.58 -0.5 0.02 0.0 1 38.585 3198.604
8.8 -160.89 3.58 -0.5 0.02 0.0 1 38.613 3198.25
8.9 -160.89 3.58 -0.5 0.02 0.0 1 38.633 3197.884
9.0 -160.88 3.58 -0.5 0.02 0.0 1 38.651 3197.528
9.1 -160.88 3.58 -0.5 0.02 0.0 1 38.671 3197.162
9.2 -160.88 3.58 -0.5 0.02 0.0 1 38.688 3196.806
9.3 -160.88 3.58 -0.5 0.02 0.0 1 38.709 3196.44
9.4 -160.87 3.58 -0.5 0.02 0.0 1 38.726 3196.084
9.5 -160.87 3.58 -0.5 0.03 0.0 1 38.734 3195.725
9.6 -160.87 3.58 -0.5 0.03 0.0 1 38.755 3195.359
