Navio: Suezmax L280B50T17
Cenário: NE Forte - pos2035 - 2
Manobra: Entrada
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -170.0 3.6 0.51 -0.0 0.0 0 -0.024 3485.745
0.1 -170.0 3.6 0.51 -0.0 0.0 0 -0.046 3485.379
0.2 -170.0 3.6 0.51 -0.0 0.0 0 -0.079 3485.02
0.3 -170.0 3.6 0.51 -0.01 0.0 0 -0.1 3484.654
0.4 -170.0 3.6 0.5 -0.01 0.0 0 -0.123 3484.297
0.5 -170.0 3.6 0.5 -0.01 0.0 0 -0.144 3483.931
0.6 -170.0 3.6 0.5 -0.01 0.0 0 -0.175 3483.562
0.7 -170.0 3.6 0.5 -0.01 0.0 0 -0.199 3483.205
0.8 -170.0 3.6 0.5 -0.01 0.0 0 -0.22 3482.839
0.9 -170.0 3.6 0.5 -0.01 0.0 0 -0.243 3482.482
1.0 -170.01 3.6 0.49 -0.01 0.0 0 -0.264 3482.116
1.1 -170.01 3.6 0.49 -0.02 0.0 0 -0.288 3481.76
1.2 -170.01 3.6 0.49 -0.02 0.0 0 -0.309 3481.393
1.3 -170.01 3.6 0.49 -0.02 0.0 0 -0.33 3481.027
1.4 -170.01 3.6 0.49 -0.02 0.0 0 -0.353 3480.67
1.5 -170.01 3.6 0.48 -0.02 0.0 0 -0.375 3480.304
1.6 -170.02 3.6 0.48 -0.02 0.0 0 -0.398 3479.947
1.7 -170.02 3.6 0.48 -0.02 0.0 0 -0.419 3479.581
1.8 -170.02 3.6 0.48 -0.02 0.0 0 -0.443 3479.224
1.9 -170.02 3.6 0.48 -0.02 0.0 0 -0.464 3478.858
2.0 -170.03 3.59 0.48 -0.03 0.0 0 -0.485 3478.492
2.1 -170.03 3.59 0.48 -0.03 0.0 0 -0.508 3478.135
2.2 -170.03 3.59 0.47 -0.03 0.0 0 -0.529 3477.769
2.3 -170.03 3.59 0.47 -0.03 0.0 0 -0.553 3477.412
2.4 -170.04 3.59 0.47 -0.03 0.0 0 -0.574 3477.046
2.5 -170.04 3.59 0.47 -0.03 0.0 0 -0.597 3476.689
2.6 -170.04 3.59 0.47 -0.03 0.0 0 -0.618 3476.323
2.7 -170.05 3.59 0.47 -0.03 0.0 0 -0.63 3475.959
2.8 -170.05 3.59 0.47 -0.03 0.0 0 -0.653 3475.603
2.9 -170.05 3.59 0.47 -0.04 0.0 0 -0.674 3475.236
3.0 -170.06 3.59 0.47 -0.04 0.0 0 -0.698 3474.88
3.1 -170.06 3.59 0.46 -0.04 0.0 0 -0.719 3474.513
3.2 -170.07 3.59 0.46 -0.04 0.0 0 -0.73 3474.15
3.3 -170.07 3.59 0.46 -0.04 0.0 0 -0.754 3473.793
3.4 -170.07 3.59 0.46 -0.04 0.0 0 -0.775 3473.427
3.5 -170.08 3.59 0.46 -0.04 0.0 0 -0.798 3473.07
3.6 -170.08 3.59 0.46 -0.04 0.0 0 -0.81 3472.706
3.7 -170.09 3.59 0.46 -0.04 0.0 0 -0.831 3472.34
3.8 -170.09 3.59 0.46 -0.05 0.0 0 -0.854 3471.983
3.9 -170.1 3.59 0.46 -0.05 0.0 0 -0.866 3471.619
4.0 -170.1 3.59 0.46 -0.05 0.0 0 -0.889 3471.263
4.1 -170.1 3.59 0.46 -0.05 0.0 0 -0.91 3470.897
4.2 -170.11 3.59 0.45 -0.05 0.0 0 -0.924 3470.542
4.3 -170.11 3.59 0.45 -0.05 0.0 0 -0.945 3470.176
4.4 -170.12 3.59 0.45 -0.05 0.0 0 -0.966 3469.81
4.5 -170.13 3.59 0.45 -0.05 0.0 0 -0.98 3469.456
4.6 -170.13 3.59 0.45 -0.05 0.0 1 -1.001 3469.089
4.7 -170.14 3.59 0.45 -0.05 0.0 1 -1.025 3468.733
4.8 -170.14 3.59 0.45 -0.06 0.0 1 -1.036 3468.369
4.9 -170.15 3.59 0.45 -0.06 0.0 1 -1.057 3468.003
5.0 -170.15 3.59 0.45 -0.06 0.0 1 -1.071 3467.648
5.1 -170.16 3.59 0.45 -0.06 0.0 1 -1.092 3467.282
5.2 -170.16 3.59 0.45 -0.06 0.0 1 -1.106 3466.928
5.3 -170.17 3.59 0.45 -0.06 0.0 1 -1.127 3466.562
5.4 -170.18 3.59 0.45 -0.06 0.0 1 -1.138 3466.198
5.5 -170.18 3.59 0.45 -0.06 0.0 1 -1.162 3465.841
5.6 -170.19 3.59 0.44 -0.06 0.0 1 -1.173 3465.477
5.7 -170.2 3.59 0.44 -0.06 0.0 1 -1.197 3465.121
5.8 -170.2 3.59 0.44 -0.07 0.0 1 -1.208 3464.757
5.9 -170.21 3.59 0.44 -0.07 0.0 1 -1.229 3464.391
6.0 -170.22 3.59 0.44 -0.07 0.0 1 -1.243 3464.036
6.1 -170.22 3.59 0.44 -0.07 0.0 1 -1.264 3463.67
6.2 -170.23 3.59 0.44 -0.07 0.0 1 -1.275 3463.306
6.3 -170.24 3.59 0.44 -0.07 0.0 1 -1.299 3462.95
6.4 -170.24 3.59 0.44 -0.07 0.0 1 -1.31 3462.586
6.5 -170.25 3.59 0.44 -0.07 0.0 1 -1.334 3462.229
6.6 -170.26 3.59 0.44 -0.07 0.0 1 -1.345 3461.865
6.7 -170.27 3.59 0.44 -0.07 0.0 1 -1.356 3461.502
6.8 -170.27 3.59 0.44 -0.07 0.0 1 -1.38 3461.145
6.9 -170.28 3.59 0.44 -0.08 0.0 1 -1.391 3460.781
7.0 -170.29 3.59 0.44 -0.08 0.0 1 -1.405 3460.427
7.1 -170.3 3.59 0.44 -0.08 0.0 1 -1.426 3460.061
7.2 -170.3 3.59 0.43 -0.08 0.0 1 -1.437 3459.697
7.3 -170.31 3.59 0.43 -0.08 0.0 1 -1.451 3459.343
7.4 -170.32 3.59 0.43 -0.08 0.0 1 -1.472 3458.976
7.5 -170.33 3.59 0.43 -0.08 0.0 1 -1.484 3458.613
7.6 -170.34 3.59 0.43 -0.08 0.0 1 -1.498 3458.258
7.7 -170.34 3.59 0.43 -0.08 0.0 1 -1.519 3457.892
7.8 -170.35 3.59 0.43 -0.08 0.0 1 -1.532 3457.538
7.9 -170.36 3.59 0.43 -0.08 0.0 1 -1.544 3457.174
8.0 -170.37 3.59 0.43 -0.09 0.0 1 -1.555 3456.81
8.1 -170.38 3.59 0.43 -0.09 0.0 1 -1.579 3456.454
8.2 -170.39 3.59 0.43 -0.09 0.0 1 -1.59 3456.09
8.3 -170.39 3.59 0.43 -0.09 0.0 1 -1.601 3455.726
8.4 -170.4 3.58 0.43 -0.09 0.0 1 -1.615 3455.372
8.5 -170.41 3.58 0.42 -0.09 0.0 1 -1.627 3455.008
8.6 -170.42 3.58 0.42 -0.09 -0.02 1 -1.638 3454.644
8.7 -170.43 3.58 0.42 -0.09 -0.02 1 -1.661 3454.288
8.8 -170.44 3.58 0.42 -0.09 -0.02 1 -1.673 3453.924
8.9 -170.45 3.58 0.42 -0.09 -0.02 1 -1.687 3453.57
9.0 -170.46 3.58 0.42 -0.09 -0.03 1 -1.698 3453.206
9.1 -170.47 3.58 0.42 -0.09 -0.03 1 -1.709 3452.842
9.2 -170.48 3.58 0.42 -0.1 -0.03 1 -1.723 3452.488
9.3 -170.49 3.58 0.42 -0.1 -0.03 1 -1.735 3452.124
9.4 -170.5 3.58 0.42 -0.1 -0.24 1 -1.746 3451.76
9.5 -170.51 3.58 0.42 -0.1 -0.24 1 -1.76 3451.406
9.6 -170.52 3.58 0.41 -0.1 -0.24 1 -1.771 3451.042
9.7 -170.53 3.58 0.41 -0.1 -0.24 1 -1.782 3450.678
9.8 -170.54 3.58 0.41 -0.1 -0.46 1 -1.796 3450.324
9.9 -170.55 3.58 0.41 -0.1 -0.46 1 -1.808 3449.96
10.0 -170.56 3.58 0.41 -0.1 -0.46 1 -1.819 3449.596
10.1 -170.57 3.58 0.41 -0.1 -0.46 1 -1.833 3449.242
10.2 -170.58 3.58 0.41 -0.1 -0.54 1 -1.844 3448.878
10.3 -170.59 3.58 0.41 -0.1 -0.54 1 -1.856 3448.515
10.4 -170.6 3.58 0.41 -0.1 -0.54 1 -1.869 3448.16
10.5 -170.61 3.58 0.41 -0.1 -0.54 1 -1.881 3447.797
10.6 -170.62 3.58 0.4 -0.11 -0.54 1 -1.882 3447.435
10.7 -170.63 3.58 0.4 -0.11 -0.54 1 -1.896 3447.081
10.8 -170.64 3.58 0.4 -0.11 -0.54 1 -1.908 3446.717
10.9 -170.65 3.58 0.4 -0.11 -0.54 1 -1.919 3446.353
