Navio: Capesize L300B50T19
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada e Atracação Cocaia
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
681.6 -161.09 2.83 -0.21 0.01 -0.09 1 16.453 4554.59
681.7 -161.09 2.83 -0.21 0.01 -0.09 1 16.444 4554.298
681.8 -161.09 2.83 -0.21 0.01 -0.09 1 16.442 4554.019
681.9 -161.09 2.83 -0.21 0.01 -0.09 1 16.441 4553.741
682.0 -161.08 2.83 -0.21 0.01 -0.09 1 16.441 4553.452
682.1 -161.08 2.82 -0.21 0.01 -0.09 1 16.439 4553.173
682.2 -161.08 2.82 -0.21 0.01 -0.09 1 16.44 4552.884
682.3 -161.08 2.82 -0.21 0.01 -0.09 1 16.428 4552.603
682.4 -161.08 2.82 -0.21 0.01 -0.09 1 16.427 4552.324
682.5 -161.08 2.82 -0.21 0.01 -0.09 1 16.427 4552.035
682.6 -161.07 2.82 -0.21 0.01 -0.09 1 16.425 4551.757
682.7 -161.07 2.82 -0.21 0.01 -0.09 1 16.426 4551.468
682.8 -161.07 2.82 -0.21 0.01 -0.09 1 16.424 4551.189
682.9 -161.07 2.82 -0.21 0.01 -0.09 1 16.413 4550.908
683.0 -161.07 2.82 -0.21 0.02 -0.09 1 16.413 4550.619
683.1 -161.07 2.82 -0.21 0.02 -0.09 1 16.411 4550.34
683.2 -161.07 2.82 -0.21 0.02 -0.09 1 16.409 4550.061
683.3 -161.06 2.82 -0.21 0.02 -0.09 1 16.41 4549.772
683.4 -161.06 2.82 -0.21 0.02 -0.09 1 16.408 4549.494
683.5 -161.06 2.82 -0.21 0.02 -0.09 1 16.397 4549.212
683.6 -161.06 2.82 -0.21 0.02 -0.09 1 16.397 4548.924
683.7 -161.06 2.81 -0.21 0.02 -0.09 1 16.395 4548.645
683.8 -161.06 2.81 -0.21 0.02 -0.09 1 16.394 4548.366
683.9 -161.06 2.81 -0.21 0.02 -0.09 1 16.394 4548.077
684.0 -161.05 2.81 -0.21 0.02 -0.09 1 16.392 4547.798
