Navio: Capsan L333B48T14.3
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
165.8 -162.24 4.4 -0.32 0.07 0.15 1 42.145 4544.355
165.9 -162.24 4.4 -0.32 0.07 0.15 1 42.153 4543.914
166.0 -162.23 4.4 -0.32 0.07 0.15 1 42.152 4543.47
166.1 -162.22 4.4 -0.32 0.07 0.15 1 42.16 4543.029
166.2 -162.22 4.4 -0.32 0.07 0.15 1 42.168 4542.587
166.3 -162.21 4.4 -0.32 0.07 0.15 1 42.164 4542.153
166.4 -162.2 4.4 -0.32 0.07 0.15 1 42.173 4541.712
166.5 -162.2 4.4 -0.32 0.07 0.15 1 42.181 4541.271
166.6 -162.19 4.4 -0.32 0.07 0.17 1 42.179 4540.827
166.7 -162.18 4.4 -0.32 0.07 0.17 1 42.187 4540.385
166.8 -162.18 4.4 -0.32 0.06 0.17 1 42.186 4539.942
166.9 -162.17 4.4 -0.32 0.06 0.17 1 42.192 4539.51
167.0 -162.17 4.4 -0.32 0.06 0.17 1 42.2 4539.069
167.1 -162.16 4.4 -0.32 0.06 0.17 1 42.198 4538.625
167.2 -162.15 4.4 -0.32 0.06 0.17 1 42.207 4538.184
167.3 -162.15 4.4 -0.32 0.06 0.17 1 42.215 4537.742
167.4 -162.14 4.4 -0.32 0.06 0.17 1 42.213 4537.299
167.5 -162.13 4.4 -0.32 0.06 0.17 1 42.219 4536.867
167.6 -162.13 4.4 -0.32 0.06 0.17 1 42.218 4536.423
167.7 -162.12 4.4 -0.32 0.06 0.17 1 42.226 4535.982
167.8 -162.11 4.4 -0.32 0.06 0.17 1 42.224 4535.538
167.9 -162.11 4.4 -0.32 0.06 0.17 1 42.232 4535.097
168.0 -162.1 4.4 -0.32 0.06 0.17 1 42.241 4534.655
168.1 -162.09 4.4 -0.32 0.06 0.17 1 42.237 4534.221
168.2 -162.09 4.4 -0.32 0.06 0.17 1 42.245 4533.78
168.3 -162.08 4.4 -0.32 0.06 0.17 1 42.243 4533.336
168.4 -162.08 4.4 -0.32 0.06 0.17 1 42.252 4532.895
168.5 -162.07 4.4 -0.32 0.06 0.17 1 42.25 4532.451
168.6 -162.06 4.4 -0.32 0.06 0.17 1 42.258 4532.01
168.7 -162.06 4.4 -0.32 0.06 0.17 1 42.254 4531.575
168.8 -162.05 4.4 -0.32 0.06 0.17 1 42.263 4531.134
168.9 -162.04 4.4 -0.32 0.06 0.17 1 42.261 4530.69
169.0 -162.04 4.4 -0.32 0.06 0.17 1 42.269 4530.249
169.1 -162.03 4.4 -0.32 0.06 0.17 1 42.268 4529.805
169.2 -162.03 4.4 -0.32 0.06 0.17 1 42.266 4529.361
169.3 -162.02 4.4 -0.32 0.06 0.17 1 42.274 4528.92
169.4 -162.01 4.4 -0.32 0.06 0.17 1 42.27 4528.486
169.5 -162.01 4.4 -0.32 0.06 0.17 1 42.279 4528.045
169.6 -162.0 4.4 -0.32 0.06 0.17 1 42.277 4527.601
169.7 -161.99 4.41 -0.32 0.06 0.17 1 42.285 4527.16
169.8 -161.99 4.41 -0.32 0.06 0.17 1 42.284 4526.716
169.9 -161.98 4.41 -0.32 0.06 0.17 1 42.282 4526.272
170.0 -161.98 4.41 -0.32 0.06 0.17 1 42.291 4525.831
170.1 -161.97 4.41 -0.32 0.06 0.17 1 42.289 4525.387
170.2 -161.96 4.41 -0.32 0.06 0.17 1 42.295 4524.955
170.3 -161.96 4.41 -0.32 0.06 0.17 1 42.293 4524.511
170.4 -161.95 4.41 -0.32 0.06 0.17 1 42.292 4524.067
170.5 -161.94 4.41 -0.32 0.06 0.17 1 42.3 4523.626
170.6 -161.94 4.41 -0.32 0.06 0.17 1 42.298 4523.182
170.7 -161.93 4.41 -0.32 0.06 0.17 1 42.297 4522.739
170.8 -161.93 4.41 -0.32 0.06 0.17 1 42.305 4522.297
170.9 -161.92 4.41 -0.32 0.06 0.17 1 42.304 4521.853
171.0 -161.91 4.41 -0.32 0.06 0.17 1 42.302 4521.41
171.1 -161.91 4.41 -0.32 0.06 0.17 1 42.31 4520.968
171.2 -161.9 4.41 -0.32 0.06 0.17 1 42.309 4520.524
171.3 -161.9 4.41 -0.32 0.06 0.17 1 42.305 4520.09
171.4 -161.89 4.41 -0.32 0.06 0.17 1 42.313 4519.649
171.5 -161.88 4.41 -0.31 0.06 0.17 1 42.312 4519.205
171.6 -161.88 4.41 -0.31 0.06 0.17 1 42.31 4518.761
171.7 -161.87 4.41 -0.31 0.06 0.17 1 42.309 4518.317
171.8 -161.87 4.41 -0.31 0.06 0.17 1 42.317 4517.876
171.9 -161.86 4.41 -0.31 0.06 0.17 1 42.315 4517.432
172.0 -161.85 4.41 -0.31 0.06 0.17 1 42.314 4516.989
172.1 -161.85 4.41 -0.31 0.06 0.17 1 42.312 4516.545
172.2 -161.84 4.41 -0.31 0.06 0.17 1 42.321 4516.103
172.3 -161.84 4.41 -0.31 0.06 0.17 1 42.317 4515.669
172.4 -161.83 4.41 -0.31 0.06 0.17 1 42.315 4515.225
172.5 -161.82 4.41 -0.31 0.06 0.17 1 42.314 4514.782
172.6 -161.82 4.41 -0.31 0.06 0.17 1 42.312 4514.338
172.7 -161.81 4.41 -0.31 0.06 0.17 1 42.32 4513.896
172.8 -161.81 4.41 -0.31 0.06 0.17 1 42.319 4513.453
172.9 -161.8 4.41 -0.31 0.06 0.17 1 42.317 4513.009
173.0 -161.79 4.41 -0.31 0.06 0.17 1 42.316 4512.565
173.1 -161.79 4.41 -0.31 0.06 0.17 1 42.314 4512.121
173.2 -161.78 4.41 -0.31 0.06 0.17 1 42.32 4511.689
173.3 -161.78 4.41 -0.31 0.06 0.17 1 42.319 4511.246
173.4 -161.77 4.41 -0.31 0.06 0.17 1 42.317 4510.802
173.5 -161.77 4.41 -0.31 0.06 0.17 1 42.316 4510.358
173.6 -161.76 4.41 -0.31 0.06 0.17 1 42.314 4509.914
173.7 -161.75 4.41 -0.31 0.06 0.17 1 42.322 4509.473
173.8 -161.75 4.41 -0.31 0.06 0.17 1 42.318 4509.039
173.9 -161.74 4.41 -0.31 0.06 0.17 1 42.317 4508.595
174.0 -161.74 4.41 -0.31 0.06 0.17 1 42.315 4508.151
174.1 -161.73 4.4 -0.31 0.06 0.17 1 42.314 4507.707
174.2 -161.72 4.4 -0.31 0.06 0.17 1 42.312 4507.263
174.3 -161.72 4.4 -0.31 0.06 0.17 1 42.308 4506.829
174.4 -161.71 4.4 -0.31 0.06 0.17 1 42.317 4506.388
174.5 -161.71 4.4 -0.31 0.06 0.17 1 42.315 4505.944
174.6 -161.7 4.4 -0.31 0.06 0.17 1 42.314 4505.5
174.7 -161.7 4.4 -0.31 0.06 0.17 1 42.31 4505.066
174.8 -161.69 4.4 -0.31 0.06 0.17 1 42.308 4504.622
174.9 -161.68 4.4 -0.31 0.06 0.17 1 42.307 4504.178
175.0 -161.68 4.4 -0.31 0.06 0.17 1 42.305 4503.735
175.1 -161.67 4.4 -0.31 0.06 0.17 1 42.301 4503.3
175.2 -161.67 4.4 -0.31 0.06 0.17 1 42.3 4502.857
175.3 -161.66 4.4 -0.31 0.06 0.17 1 42.308 4502.415
175.4 -161.66 4.4 -0.31 0.06 0.17 1 42.306 4501.971
175.5 -161.65 4.4 -0.31 0.06 0.17 1 42.302 4501.537
175.6 -161.64 4.4 -0.31 0.06 0.17 1 42.301 4501.093
175.7 -161.64 4.39 -0.31 0.06 0.17 1 42.299 4500.65
175.8 -161.63 4.39 -0.31 0.06 0.17 1 42.295 4500.215
175.9 -161.63 4.39 -0.31 0.06 0.17 1 42.294 4499.772
176.0 -161.62 4.39 -0.31 0.06 0.17 1 42.292 4499.328
176.1 -161.62 4.39 -0.31 0.06 0.17 1 42.289 4498.894
176.2 -161.61 4.39 -0.31 0.06 0.16 1 42.287 4498.45
176.3 -161.61 4.39 -0.31 0.06 0.16 1 42.286 4498.006
176.4 -161.6 4.39 -0.31 0.06 0.16 1 42.282 4497.572
176.5 -161.59 4.39 -0.31 0.06 0.16 1 42.28 4497.128
176.6 -161.59 4.39 -0.31 0.06 0.12 1 42.288 4496.687
176.7 -161.58 4.39 -0.31 0.06 0.12 1 42.284 4496.253
176.8 -161.58 4.39 -0.31 0.06 0.12 1 42.283 4495.809
176.9 -161.57 4.39 -0.31 0.06 0.12 1 42.279 4495.375
177.0 -161.57 4.39 -0.31 0.06 0.11 1 42.277 4494.931
177.1 -161.56 4.39 -0.31 0.06 0.11 1 42.276 4494.487
177.2 -161.55 4.39 -0.31 0.06 0.11 1 42.272 4494.053
177.3 -161.55 4.39 -0.31 0.06 0.11 1 42.27 4493.609
177.4 -161.54 4.39 -0.31 0.06 0.11 1 42.266 4493.175
177.5 -161.54 4.39 -0.31 0.06 0.11 1 42.265 4492.731
177.6 -161.53 4.39 -0.31 0.06 0.11 1 42.263 4492.287
177.7 -161.53 4.39 -0.31 0.06 0.11 1 42.26 4491.853
177.8 -161.52 4.39 -0.31 0.06 0.09 1 42.258 4491.409
177.9 -161.52 4.39 -0.31 0.06 0.09 1 42.254 4490.975
178.0 -161.51 4.39 -0.31 0.06 0.09 1 42.253 4490.531
178.1 -161.5 4.39 -0.31 0.06 0.09 1 42.251 4490.087
178.2 -161.5 4.39 -0.31 0.06 0.09 1 42.247 4489.653
178.3 -161.49 4.39 -0.31 0.06 0.09 1 42.246 4489.209
178.4 -161.49 4.39 -0.31 0.06 0.09 1 42.242 4488.775
178.5 -161.48 4.39 -0.3 0.06 0.09 1 42.24 4488.331
178.6 -161.48 4.39 -0.3 0.06 0.09 1 42.239 4487.887
178.7 -161.47 4.39 -0.3 0.06 0.09 1 42.225 4487.451
178.8 -161.47 4.39 -0.3 0.06 0.09 1 42.224 4487.007
178.9 -161.46 4.39 -0.3 0.06 0.09 1 42.22 4486.573
179.0 -161.46 4.39 -0.3 0.06 0.09 1 42.218 4486.129
179.1 -161.45 4.39 -0.3 0.06 0.09 1 42.217 4485.685
179.2 -161.44 4.39 -0.3 0.06 0.09 1 42.213 4485.251
179.3 -161.44 4.39 -0.3 0.05 0.09 1 42.211 4484.807
179.4 -161.43 4.39 -0.3 0.05 0.09 1 42.207 4484.373
179.5 -161.43 4.39 -0.3 0.05 0.09 1 42.206 4483.929
179.6 -161.42 4.39 -0.3 0.05 0.09 1 42.204 4483.485
179.7 -161.42 4.39 -0.3 0.05 0.09 1 42.2 4483.051
179.8 -161.41 4.39 -0.3 0.05 0.09 1 42.189 4482.605
179.9 -161.41 4.39 -0.3 0.05 0.09 1 42.188 4482.161
180.0 -161.4 4.4 -0.3 0.05 0.09 1 42.184 4481.727
180.1 -161.39 4.4 -0.3 0.05 0.09 1 42.182 4481.283
180.2 -161.39 4.4 -0.3 0.05 0.09 1 42.178 4480.849
180.3 -161.38 4.4 -0.3 0.05 0.09 1 42.177 4480.405
180.4 -161.38 4.4 -0.3 0.05 0.09 1 42.175 4479.961
180.5 -161.37 4.4 -0.3 0.05 0.09 1 42.162 4479.524
180.6 -161.37 4.4 -0.3 0.05 0.09 1 42.16 4479.08
180.7 -161.36 4.4 -0.3 0.05 0.09 1 42.159 4478.637
180.8 -161.36 4.4 -0.3 0.05 0.09 1 42.155 4478.202
180.9 -161.35 4.4 -0.3 0.05 0.09 1 42.153 4477.759
181.0 -161.35 4.4 -0.3 0.05 0.09 1 42.152 4477.315
181.1 -161.34 4.4 -0.3 0.05 0.09 1 42.138 4476.878
181.2 -161.33 4.4 -0.3 0.05 0.09 1 42.136 4476.434
181.3 -161.33 4.4 -0.3 0.05 0.09 1 42.133 4476.0
181.4 -161.32 4.4 -0.3 0.05 0.09 1 42.131 4475.556
181.5 -161.32 4.4 -0.3 0.05 0.09 1 42.12 4475.11
181.6 -161.31 4.4 -0.3 0.05 0.09 1 42.116 4474.676
181.7 -161.31 4.4 -0.3 0.05 0.09 1 42.114 4474.232
181.8 -161.3 4.4 -0.3 0.05 0.09 1 42.113 4473.788
181.9 -161.3 4.4 -0.3 0.05 0.09 1 42.099 4473.351
182.0 -161.29 4.4 -0.3 0.05 0.09 1 42.098 4472.907
182.1 -161.29 4.4 -0.3 0.05 0.09 1 42.096 4472.464
182.2 -161.28 4.4 -0.3 0.05 0.09 1 42.092 4472.029
182.3 -161.27 4.4 -0.3 0.05 0.09 1 42.081 4471.583
182.4 -161.27 4.4 -0.3 0.05 0.09 1 42.08 4471.139
182.5 -161.26 4.4 -0.3 0.05 0.09 1 42.076 4470.705
182.6 -161.26 4.4 -0.3 0.05 0.09 1 42.074 4470.261
182.7 -161.25 4.4 -0.3 0.05 0.09 1 42.063 4469.815
182.8 -161.25 4.4 -0.3 0.05 0.09 1 42.059 4469.381
182.9 -161.24 4.4 -0.3 0.05 0.09 1 42.058 4468.937
183.0 -161.24 4.4 -0.3 0.05 0.09 1 42.046 4468.49
183.1 -161.23 4.4 -0.3 0.05 0.09 1 42.042 4468.056
183.2 -161.23 4.4 -0.3 0.05 0.09 1 42.041 4467.612
183.3 -161.22 4.4 -0.3 0.05 0.09 1 42.03 4467.166
183.4 -161.21 4.4 -0.3 0.05 0.09 1 42.026 4466.732
183.5 -161.21 4.4 -0.3 0.05 0.09 1 42.024 4466.288
183.6 -161.2 4.4 -0.3 0.05 0.09 1 42.013 4465.842
183.7 -161.2 4.4 -0.3 0.05 0.09 1 42.009 4465.407
183.8 -161.19 4.4 -0.3 0.05 0.09 1 42.008 4464.964
183.9 -161.19 4.4 -0.3 0.05 0.09 1 41.994 4464.527
184.0 -161.18 4.4 -0.3 0.05 0.09 1 41.992 4464.083
184.1 -161.18 4.4 -0.3 0.05 0.09 1 41.991 4463.639
184.2 -161.17 4.4 -0.3 0.05 0.09 1 41.977 4463.202
184.3 -161.17 4.4 -0.3 0.05 0.09 1 41.976 4462.759
184.4 -161.16 4.4 -0.3 0.05 0.09 1 41.972 4462.324
184.5 -161.15 4.4 -0.3 0.05 0.09 1 41.961 4461.878
184.6 -161.15 4.4 -0.3 0.05 0.09 1 41.959 4461.434
184.7 -161.14 4.4 -0.3 0.05 0.09 1 41.955 4461.0
184.8 -161.14 4.39 -0.3 0.05 0.09 1 41.944 4460.554
184.9 -161.13 4.39 -0.3 0.05 0.09 1 41.94 4460.12
185.0 -161.13 4.39 -0.3 0.05 0.09 1 41.929 4459.673
185.1 -161.12 4.39 -0.3 0.05 0.09 1 41.925 4459.239
185.2 -161.12 4.39 -0.3 0.05 0.09 1 41.923 4458.795
185.3 -161.11 4.39 -0.3 0.05 0.09 1 41.91 4458.358
185.4 -161.11 4.39 -0.3 0.05 0.09 1 41.908 4457.915
185.5 -161.1 4.39 -0.3 0.05 0.09 1 41.895 4457.478
185.6 -161.1 4.39 -0.3 0.05 0.09 1 41.893 4457.034
185.7 -161.09 4.39 -0.3 0.05 0.09 1 41.889 4456.6
185.8 -161.08 4.39 -0.3 0.05 0.09 1 41.878 4456.154
185.9 -161.08 4.39 -0.3 0.05 0.09 1 41.874 4455.719
186.0 -161.07 4.39 -0.3 0.05 0.09 1 41.863 4455.273
186.1 -161.07 4.39 -0.3 0.05 0.09 1 41.859 4454.839
186.2 -161.06 4.39 -0.3 0.05 0.09 1 41.857 4454.395
186.3 -161.06 4.38 -0.3 0.05 0.09 1 41.844 4453.958
