Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa para calibracao
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-160.81 4.19 -0.18 -0.05 0.0 2 -32.879 6024.934
-160.82 4.19 -0.18 -0.05 0.0 2 -32.911 6024.514
-160.82 4.19 -0.18 -0.05 0.0 2 -32.934 6024.097
-160.83 4.19 -0.18 -0.05 0.0 2 -32.954 6023.67
-160.83 4.19 -0.18 -0.05 0.0 2 -32.976 6023.253
-160.84 4.19 -0.18 -0.05 0.0 2 -32.999 6022.836
-160.84 4.19 -0.18 -0.05 0.0 2 -33.021 6022.418
-160.85 4.19 -0.18 -0.05 0.0 2 -33.044 6022.001
-160.85 4.19 -0.18 -0.05 0.0 2 -33.064 6021.574
-160.86 4.19 -0.18 -0.05 0.0 2 -33.086 6021.157
-160.86 4.19 -0.18 -0.05 0.0 2 -33.109 6020.74
-160.87 4.19 -0.18 -0.05 0.0 2 -33.141 6020.32
-160.87 4.19 -0.18 -0.05 0.0 2 -33.163 6019.903
-160.88 4.19 -0.18 -0.05 0.0 2 -33.185 6019.486
-160.88 4.19 -0.18 -0.05 0.0 2 -33.206 6019.059
-160.89 4.19 -0.18 -0.05 0.0 2 -33.228 6018.642
-160.89 4.19 -0.18 -0.05 0.0 2 -33.25 6018.224
-160.89 4.19 -0.18 -0.05 0.0 2 -33.273 6017.807
-160.9 4.19 -0.18 -0.05 0.0 2 -33.295 6017.39
-160.9 4.19 -0.18 -0.05 0.0 2 -33.315 6016.963
-160.91 4.19 -0.18 -0.05 0.0 2 -33.338 6016.546
-160.91 4.19 -0.18 -0.05 0.0 2 -33.36 6016.129
-160.92 4.19 -0.18 -0.05 0.0 2 -33.382 6015.712
-160.92 4.19 -0.18 -0.05 0.0 2 -33.405 6015.294
-160.93 4.19 -0.18 -0.05 0.0 2 -33.425 6014.867
-160.93 4.19 -0.18 -0.05 0.0 2 -33.447 6014.45
-160.94 4.19 -0.18 -0.05 0.0 2 -33.47 6014.033
-160.94 4.19 -0.18 -0.05 0.0 2 -33.492 6013.616
-160.95 4.19 -0.18 -0.05 0.0 2 -33.515 6013.199
-160.95 4.19 -0.18 -0.05 0.0 2 -33.535 6012.772
-160.96 4.19 -0.18 -0.05 0.0 2 -33.557 6012.355
-160.96 4.19 -0.18 -0.05 0.0 2 -33.579 6011.937
-160.96 4.19 -0.18 -0.05 0.0 2 -33.602 6011.52
-160.97 4.19 -0.18 -0.05 0.0 2 -33.624 6011.103
-160.97 4.19 -0.18 -0.05 0.0 2 -33.644 6010.676
-160.98 4.19 -0.18 -0.05 0.0 2 -33.667 6010.259
-160.98 4.19 -0.18 -0.05 0.0 2 -33.689 6009.842
-160.99 4.19 -0.18 -0.05 0.0 2 -33.712 6009.424
-160.99 4.19 -0.18 -0.05 0.0 2 -33.732 6008.998
-161.0 4.19 -0.18 -0.05 0.0 2 -33.754 6008.58
-161.0 4.19 -0.18 -0.05 0.0 2 -33.777 6008.163
-161.01 4.19 -0.18 -0.05 0.0 2 -33.799 6007.746
-161.01 4.19 -0.18 -0.05 0.0 2 -33.821 6007.329
-161.02 4.19 -0.18 -0.05 0.0 2 -33.841 6006.902
-161.02 4.19 -0.18 -0.05 0.0 2 -33.864 6006.485
-161.02 4.19 -0.18 -0.05 0.0 2 -33.886 6006.067
-161.03 4.19 -0.18 -0.05 0.0 2 -33.909 6005.65
-161.03 4.19 -0.18 -0.05 0.0 2 -33.931 6005.233
-161.04 4.19 -0.18 -0.05 0.0 2 -33.951 6004.806
-161.04 4.19 -0.18 -0.05 0.0 2 -33.964 6004.391
-161.05 4.19 -0.18 -0.05 0.0 2 -33.986 6003.974
-161.05 4.19 -0.18 -0.04 0.0 2 -34.009 6003.557
-161.06 4.19 -0.18 -0.04 0.0 2 -34.031 6003.14
-161.06 4.19 -0.18 -0.04 0.0 2 -34.053 6002.723
-161.06 4.19 -0.18 -0.04 0.0 2 -34.074 6002.296
-161.07 4.19 -0.18 -0.04 0.0 2 -34.096 6001.878
-161.07 4.18 -0.18 -0.04 0.0 2 -34.118 6001.461
-161.08 4.18 -0.18 -0.04 0.0 2 -34.141 6001.044
-161.08 4.18 -0.18 -0.04 0.0 2 -34.163 6000.627
-161.09 4.18 -0.18 -0.04 0.0 2 -34.176 6000.212
-161.09 4.18 -0.18 -0.04 0.0 2 -34.196 5999.785
-161.1 4.18 -0.18 -0.04 0.0 2 -34.218 5999.368
-161.1 4.18 -0.18 -0.04 0.0 2 -34.241 5998.951
-161.1 4.18 -0.18 -0.04 0.0 2 -34.263 5998.534
-161.11 4.18 -0.18 -0.04 0.0 2 -34.286 5998.116
-161.11 4.18 -0.18 -0.04 0.0 2 -34.308 5997.699
-161.12 4.18 -0.18 -0.04 0.0 2 -34.321 5997.284
-161.12 4.18 -0.18 -0.04 0.0 2 -34.343 5996.867
-161.13 4.18 -0.18 -0.04 0.0 2 -34.363 5996.44
-161.13 4.18 -0.18 -0.04 0.0 2 -34.386 5996.023
-161.14 4.18 -0.18 -0.04 0.0 2 -34.408 5995.606
-161.14 4.17 -0.18 -0.04 0.0 2 -34.43 5995.189
-161.14 4.17 -0.18 -0.04 0.0 2 -34.443 5994.774
-161.15 4.17 -0.18 -0.04 0.0 2 -34.466 5994.357
-161.15 4.17 -0.18 -0.04 0.0 2 -34.488 5993.94
-161.16 4.17 -0.18 -0.04 0.0 2 -34.51 5993.522
-161.16 4.17 -0.18 -0.04 0.0 2 -34.533 5993.105
-161.17 4.17 -0.18 -0.04 0.0 2 -34.555 5992.688
-161.17 4.17 -0.18 -0.04 0.0 2 -34.568 5992.273
-161.18 4.17 -0.18 -0.04 0.0 2 -34.59 5991.856
-161.18 4.17 -0.18 -0.04 0.0 2 -34.613 5991.439
-161.18 4.17 -0.17 -0.04 0.0 2 -34.635 5991.022
-161.19 4.17 -0.17 -0.04 0.0 2 -34.648 5990.607
-161.19 4.17 -0.17 -0.04 0.0 2 -34.67 5990.19
-161.2 4.17 -0.17 -0.04 0.0 2 -34.693 5989.772
-161.2 4.16 -0.17 -0.04 0.0 2 -34.715 5989.355
-161.21 4.16 -0.17 -0.04 0.05 2 -34.737 5988.938
-161.21 4.16 -0.17 -0.04 0.05 2 -34.75 5988.523
-161.21 4.16 -0.17 -0.04 0.05 2 -34.773 5988.106
-161.22 4.16 -0.17 -0.04 0.05 2 -34.795 5987.689
-161.22 4.16 -0.17 -0.04 0.12 2 -34.817 5987.272
-161.23 4.16 -0.17 -0.04 0.12 2 -34.83 5986.857
-161.23 4.16 -0.17 -0.04 0.12 2 -34.853 5986.44
-161.24 4.16 -0.17 -0.04 0.12 2 -34.875 5986.023
-161.24 4.16 -0.17 -0.04 0.12 2 -34.897 5985.605
-161.24 4.16 -0.17 -0.04 0.12 2 -34.91 5985.191
-161.25 4.16 -0.17 -0.04 0.12 2 -34.932 5984.773
-161.25 4.16 -0.17 -0.04 0.12 2 -34.955 5984.356
-161.26 4.16 -0.17 -0.04 0.14 2 -34.968 5983.941
-161.26 4.16 -0.17 -0.04 0.14 2 -34.99 5983.524
-161.27 4.16 -0.17 -0.04 0.14 2 -35.012 5983.107
-161.27 4.16 -0.17 -0.04 0.14 2 -35.035 5982.69
-161.27 4.16 -0.17 -0.04 0.17 2 -35.05 5982.285
-161.28 4.16 -0.17 -0.04 0.17 2 -35.072 5981.868
-161.28 4.16 -0.17 -0.04 0.17 2 -35.095 5981.45
-161.29 4.16 -0.17 -0.04 0.17 2 -35.107 5981.036
-161.29 4.16 -0.17 -0.04 0.17 2 -35.13 5980.618
-161.3 4.16 -0.17 -0.04 0.17 2 -35.152 5980.201
-161.3 4.16 -0.17 -0.04 0.17 2 -35.175 5979.784
-161.3 4.16 -0.17 -0.04 0.17 2 -35.187 5979.369
-161.31 4.16 -0.17 -0.04 0.17 2 -35.21 5978.952
-161.31 4.16 -0.17 -0.04 0.17 2 -35.232 5978.535
-161.32 4.16 -0.17 -0.04 0.17 2 -35.245 5978.12
-161.32 4.16 -0.17 -0.04 0.17 2 -35.267 5977.703
-161.33 4.16 -0.17 -0.04 0.17 2 -35.29 5977.286
-161.33 4.16 -0.17 -0.04 0.17 2 -35.302 5976.871
-161.34 4.16 -0.17 -0.04 0.17 2 -35.325 5976.454
-161.34 4.16 -0.17 -0.04 0.17 2 -35.35 5976.046
-161.34 4.16 -0.17 -0.04 0.18 2 -35.362 5975.632
-161.35 4.16 -0.17 -0.04 0.18 2 -35.385 5975.214
-161.35 4.16 -0.17 -0.04 0.18 2 -35.407 5974.797
-161.36 4.16 -0.17 -0.05 0.18 2 -35.42 5974.382
-161.36 4.16 -0.17 -0.05 0.18 2 -35.442 5973.965
-161.37 4.16 -0.17 -0.05 0.18 2 -35.455 5973.55
-161.37 4.16 -0.17 -0.05 0.18 2 -35.477 5973.133
-161.38 4.16 -0.17 -0.05 0.18 2 -35.5 5972.716
-161.38 4.16 -0.17 -0.05 0.18 2 -35.512 5972.301
-161.39 4.16 -0.17 -0.05 0.18 2 -35.535 5971.884
-161.39 4.16 -0.17 -0.05 0.18 2 -35.557 5971.467
-161.39 4.16 -0.17 -0.05 0.18 2 -35.57 5971.052
-161.4 4.16 -0.17 -0.05 0.18 2 -35.592 5970.635
-161.4 4.16 -0.17 -0.05 0.18 2 -35.615 5970.218
-161.41 4.16 -0.17 -0.05 0.18 2 -35.627 5969.803
-161.41 4.16 -0.17 -0.05 0.18 2 -35.65 5969.386
-161.42 4.17 -0.17 -0.05 0.18 2 -35.663 5968.971
-161.42 4.17 -0.17 -0.05 0.18 2 -35.685 5968.554
-161.43 4.17 -0.17 -0.05 0.18 2 -35.707 5968.137
-161.43 4.17 -0.17 -0.05 0.18 2 -35.718 5967.712
-161.44 4.17 -0.17 -0.05 0.18 2 -35.74 5967.295
-161.44 4.17 -0.17 -0.05 0.18 2 -35.753 5966.88
-161.45 4.17 -0.17 -0.05 0.18 2 -35.775 5966.463
-161.45 4.17 -0.17 -0.05 0.18 2 -35.798 5966.046
-161.46 4.17 -0.17 -0.05 0.18 2 -35.81 5965.631
-161.46 4.17 -0.17 -0.05 0.18 2 -35.833 5965.214
-161.47 4.17 -0.17 -0.05 0.18 2 -35.855 5964.797
-161.47 4.17 -0.17 -0.05 0.18 2 -35.868 5964.382
-161.48 4.17 -0.17 -0.05 0.18 2 -35.89 5963.965
-161.48 4.17 -0.17 -0.05 0.18 2 -35.903 5963.55
-161.49 4.17 -0.17 -0.05 0.18 2 -35.925 5963.133
-161.49 4.17 -0.17 -0.05 0.18 2 -35.948 5962.716
-161.5 4.17 -0.17 -0.05 0.18 2 -35.958 5962.291
-161.5 4.17 -0.17 -0.05 0.18 2 -35.981 5961.874
-161.51 4.17 -0.17 -0.05 0.18 2 -35.993 5961.459
-161.51 4.17 -0.17 -0.05 0.18 2 -36.016 5961.042
-161.52 4.17 -0.17 -0.05 0.18 2 -36.028 5960.627
-161.52 4.17 -0.17 -0.05 0.18 2 -36.051 5960.21
-161.53 4.17 -0.17 -0.05 0.18 2 -36.073 5959.793
-161.53 4.17 -0.17 -0.05 0.18 2 -36.086 5959.378
-161.54 4.17 -0.17 -0.05 0.18 2 -36.108 5958.961
-161.54 4.17 -0.17 -0.05 0.18 2 -36.121 5958.546
-161.55 4.17 -0.17 -0.05 0.18 2 -36.141 5958.119
-161.55 4.17 -0.17 -0.05 0.18 2 -36.164 5957.702
-161.56 4.17 -0.17 -0.05 0.18 2 -36.176 5957.287
-161.56 4.17 -0.17 -0.05 0.18 2 -36.199 5956.87
-161.57 4.17 -0.17 -0.05 0.18 2 -36.211 5956.455
-161.57 4.17 -0.17 -0.05 0.18 2 -36.234 5956.038
-161.58 4.17 -0.17 -0.05 0.18 2 -36.246 5955.623
-161.59 4.17 -0.17 -0.05 0.18 2 -36.269 5955.206
-161.59 4.17 -0.17 -0.05 0.18 2 -36.291 5954.789
-161.6 4.17 -0.17 -0.05 0.18 2 -36.304 5954.374
-161.6 4.16 -0.17 -0.05 0.18 2 -36.326 5953.957
-161.61 4.16 -0.17 -0.06 0.18 2 -36.339 5953.542
-161.61 4.16 -0.17 -0.06 0.18 2 -36.361 5953.125
-161.62 4.16 -0.16 -0.06 0.18 2 -36.374 5952.71
-161.62 4.16 -0.16 -0.06 0.18 2 -36.397 5952.293
-161.63 4.16 -0.16 -0.06 0.18 2 -36.419 5951.876
-161.64 4.16 -0.16 -0.06 0.18 2 -36.432 5951.461
-161.64 4.16 -0.16 -0.06 0.18 2 -36.454 5951.044
-161.65 4.16 -0.16 -0.06 0.18 2 -36.467 5950.629
-161.65 4.16 -0.16 -0.06 0.18 2 -36.489 5950.212
-161.66 4.16 -0.16 -0.06 0.18 2 -36.502 5949.797
-161.66 4.16 -0.16 -0.06 0.18 2 -36.524 5949.38
-161.67 4.15 -0.16 -0.06 0.18 2 -36.537 5948.965
-161.67 4.15 -0.16 -0.06 0.18 2 -36.559 5948.548
-161.68 4.15 -0.16 -0.06 0.18 2 -36.582 5948.131
-161.69 4.15 -0.16 -0.06 0.18 2 -36.595 5947.716
-161.69 4.15 -0.16 -0.06 0.18 2 -36.617 5947.299
-161.7 4.15 -0.16 -0.06 0.18 2 -36.63 5946.884
-161.7 4.15 -0.16 -0.06 0.18 2 -36.652 5946.467
-161.71 4.15 -0.16 -0.06 0.18 2 -36.665 5946.052
-161.72 4.15 -0.16 -0.06 0.18 2 -36.69 5945.645
-161.72 4.15 -0.16 -0.06 0.18 2 -36.702 5945.23
-161.73 4.14 -0.16 -0.06 0.18 2 -36.725 5944.813
-161.73 4.14 -0.16 -0.06 0.18 2 -36.737 5944.398
-161.74 4.14 -0.16 -0.06 0.18 2 -36.76 5943.981
-161.75 4.14 -0.15 -0.06 0.18 2 -36.772 5943.566
