Navio: Suezmax T172
Cenário: Forte  S
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: S 20nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
316.6 -162.63 3.5 -0.53 0.03 0.0 1 48.609 6046.27 -171.241 3.54
316.7 -162.63 3.5 -0.53 0.03 0.0 1 48.643 6045.918 -171.241 3.54
316.8 -162.62 3.5 -0.53 0.03 0.0 1 48.677 6045.567 -171.231 3.54
316.9 -162.62 3.5 -0.53 0.03 0.0 1 48.701 6045.214 -171.231 3.54
317.0 -162.62 3.51 -0.53 0.03 0.0 1 48.735 6044.863 -171.207 3.55
317.1 -162.62 3.51 -0.53 0.03 0.0 1 48.768 6044.512 -171.207 3.55
317.2 -162.61 3.51 -0.53 0.03 0.0 1 48.792 6044.158 -171.197 3.55
317.3 -162.61 3.51 -0.53 0.03 0.0 1 48.826 6043.807 -171.197 3.55
317.4 -162.61 3.51 -0.54 0.03 0.0 1 48.853 6043.444 -171.356 3.551
317.5 -162.6 3.52 -0.54 0.03 0.0 1 48.887 6043.093 -171.322 3.561
317.6 -162.6 3.52 -0.54 0.03 0.0 1 48.92 6042.742 -171.322 3.561
317.7 -162.6 3.52 -0.54 0.03 0.0 1 48.945 6042.388 -171.322 3.561
317.8 -162.59 3.52 -0.54 0.03 0.0 1 48.978 6042.037 -171.312 3.561
317.9 -162.59 3.53 -0.54 0.03 0.0 1 49.005 6041.674 -171.287 3.571
318.0 -162.59 3.53 -0.54 0.03 0.0 1 49.039 6041.322 -171.287 3.571
318.1 -162.58 3.53 -0.53 0.03 0.0 1 49.063 6040.969 -171.119 3.57
318.2 -162.58 3.53 -0.53 0.03 0.0 1 49.097 6040.618 -171.119 3.57
318.3 -162.58 3.53 -0.53 0.03 0.0 1 49.123 6040.254 -171.119 3.57
318.4 -162.57 3.54 -0.53 0.03 0.0 1 49.157 6039.903 -171.085 3.579
318.5 -162.57 3.54 -0.53 0.03 0.0 1 49.181 6039.55 -171.085 3.579
318.6 -162.57 3.54 -0.53 0.03 0.0 1 49.217 6039.189 -171.085 3.579
318.7 -162.57 3.54 -0.53 0.03 0.0 1 49.241 6038.835 -171.085 3.579
318.8 -162.56 3.54 -0.53 0.03 0.0 1 49.278 6038.475 -171.075 3.579
318.9 -162.56 3.55 -0.53 0.03 0.0 1 49.302 6038.121 -171.051 3.589
319.0 -162.56 3.55 -0.53 0.03 0.0 1 49.336 6037.77 -171.051 3.589
319.1 -162.55 3.55 -0.53 0.03 0.0 1 49.362 6037.407 -171.041 3.589
319.2 -162.55 3.55 -0.52 0.03 0.0 1 49.386 6037.053 -170.883 3.588
319.3 -162.55 3.55 -0.52 0.03 0.0 1 49.422 6036.692 -170.883 3.588
319.4 -162.54 3.56 -0.52 0.03 0.0 1 49.447 6036.339 -170.85 3.598
319.5 -162.54 3.56 -0.52 0.03 0.0 1 49.473 6035.975 -170.85 3.598
319.6 -162.54 3.56 -0.52 0.03 0.0 1 49.507 6035.624 -170.85 3.598
319.7 -162.53 3.56 -0.52 0.03 0.0 1 49.533 6035.261 -170.84 3.598
319.8 -162.53 3.56 -0.51 0.03 0.0 1 49.557 6034.907 -170.683 3.596
319.9 -162.53 3.56 -0.51 0.03 0.0 1 49.584 6034.544 -170.683 3.596
320.0 -162.52 3.56 -0.51 0.03 0.0 1 49.618 6034.193 -170.673 3.596
320.1 -162.52 3.56 -0.51 0.03 0.0 1 49.644 6033.83 -170.673 3.596
320.2 -162.52 3.56 -0.51 0.03 0.0 1 49.668 6033.476 -170.673 3.596
320.3 -162.51 3.57 -0.5 0.03 0.08 1 49.695 6033.113 -170.483 3.605
320.4 -162.51 3.57 -0.5 0.03 0.08 1 49.719 6032.759 -170.483 3.605
320.5 -162.51 3.57 -0.5 0.03 0.08 1 49.745 6032.396 -170.483 3.605
320.6 -162.5 3.57 -0.5 0.03 0.08 1 49.77 6032.042 -170.473 3.605
320.7 -162.5 3.57 -0.5 0.03 0.14 1 49.796 6031.679 -170.473 3.605
320.8 -162.5 3.57 -0.49 0.03 0.14 1 49.82 6031.325 -170.315 3.603
320.9 -162.49 3.57 -0.49 0.03 0.14 1 49.847 6030.962 -170.305 3.603
321.0 -162.49 3.57 -0.49 0.03 0.14 1 49.871 6030.609 -170.305 3.603
321.1 -162.49 3.57 -0.49 0.03 0.18 1 49.897 6030.245 -170.305 3.603
321.2 -162.48 3.57 -0.49 0.03 0.18 1 49.921 6029.892 -170.295 3.603
321.3 -162.48 3.56 -0.48 0.03 0.18 1 49.948 6029.528 -170.159 3.592
321.4 -162.48 3.56 -0.48 0.03 0.18 1 49.972 6029.175 -170.159 3.592
321.5 -162.47 3.56 -0.48 0.03 0.18 1 49.998 6028.811 -170.149 3.592
321.6 -162.47 3.56 -0.48 0.03 0.18 1 50.013 6028.455 -170.149 3.592
321.7 -162.47 3.56 -0.47 0.03 0.18 1 50.037 6028.102 -169.991 3.591
321.8 -162.46 3.56 -0.47 0.03 0.18 1 50.063 6027.738 -169.981 3.591
321.9 -162.46 3.56 -0.47 0.03 0.18 1 50.088 6027.385 -169.981 3.591
322.0 -162.46 3.56 -0.47 0.03 0.18 1 50.102 6027.028 -169.981 3.591
322.1 -162.45 3.56 -0.47 0.03 0.18 1 50.128 6026.665 -169.971 3.591
322.2 -162.45 3.55 -0.46 0.03 0.18 1 50.153 6026.312 -169.833 3.58
322.3 -162.45 3.55 -0.46 0.03 0.17 1 50.177 6025.958 -169.833 3.58
322.4 -162.44 3.55 -0.46 0.03 0.17 1 50.193 6025.592 -169.823 3.58
322.5 -162.44 3.55 -0.46 0.03 0.17 1 50.218 6025.238 -169.823 3.58
322.6 -162.44 3.55 -0.46 0.03 0.17 1 50.242 6024.885 -169.823 3.58
322.7 -162.43 3.55 -0.46 0.03 0.17 1 50.256 6024.529 -169.813 3.58
322.8 -162.43 3.54 -0.45 0.03 0.17 1 50.28 6024.175 -169.675 3.568
322.9 -162.43 3.54 -0.45 0.03 0.17 1 50.307 6023.812 -169.675 3.568
323.0 -162.42 3.54 -0.45 0.03 0.17 1 50.321 6023.455 -169.665 3.568
323.1 -162.42 3.54 -0.45 0.03 0.17 1 50.345 6023.102 -169.665 3.568
323.2 -162.42 3.53 -0.45 0.03 0.17 1 50.36 6022.746 -169.685 3.559
323.3 -162.41 3.53 -0.45 0.03 0.17 1 50.384 6022.392 -169.675 3.559
323.4 -162.41 3.53 -0.45 0.03 0.17 1 50.408 6022.038 -169.675 3.559
323.5 -162.41 3.53 -0.45 0.03 0.17 1 50.422 6021.682 -169.675 3.559
323.6 -162.4 3.52 -0.45 0.03 0.17 1 50.446 6021.329 -169.685 3.549
