Navio: Suezmax T080
Cenário: Vento NE
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
215.4 -165.64 5.06 -0.35 -0.03 -0.17 3 46.196 6045.64 -169.597 5.072
215.5 -165.64 5.06 -0.35 -0.03 -0.17 3 46.227 6045.134 -169.597 5.072
215.6 -165.65 5.06 -0.35 -0.03 -0.17 3 46.257 6044.628 -169.607 5.072
215.7 -165.65 5.06 -0.35 -0.03 -0.17 3 46.287 6044.121 -169.607 5.072
215.8 -165.65 5.06 -0.35 -0.02 -0.17 3 46.305 6043.622 -169.607 5.072
215.9 -165.65 5.06 -0.35 -0.02 -0.17 3 46.336 6043.116 -169.607 5.072
216.0 -165.66 5.06 -0.35 -0.02 -0.17 3 46.366 6042.61 -169.617 5.072
216.1 -165.66 5.06 -0.35 -0.02 -0.17 3 46.396 6042.103 -169.617 5.072
216.2 -165.66 5.06 -0.35 -0.02 -0.17 3 46.427 6041.597 -169.617 5.072
216.3 -165.66 5.06 -0.35 -0.02 -0.17 3 46.457 6041.091 -169.617 5.072
216.4 -165.66 5.06 -0.35 -0.02 -0.17 3 46.487 6040.584 -169.617 5.072
216.5 -165.67 5.06 -0.35 -0.02 -0.17 3 46.508 6040.075 -169.627 5.072
216.6 -165.67 5.06 -0.35 -0.02 -0.17 3 46.538 6039.569 -169.627 5.072
216.7 -165.67 5.06 -0.35 -0.01 -0.17 3 46.568 6039.063 -169.627 5.072
216.8 -165.67 5.06 -0.36 -0.01 -0.17 3 46.599 6038.556 -169.74 5.073
216.9 -165.67 5.06 -0.36 -0.01 -0.17 3 46.629 6038.05 -169.74 5.073
217.0 -165.67 5.06 -0.36 -0.01 -0.17 3 46.659 6037.544 -169.74 5.073
217.1 -165.67 5.06 -0.36 -0.01 -0.17 3 46.69 6037.038 -169.74 5.073
217.2 -165.67 5.06 -0.36 -0.01 -0.17 3 46.72 6036.531 -169.74 5.073
217.3 -165.68 5.06 -0.36 -0.01 -0.17 3 46.75 6036.025 -169.75 5.073
217.4 -165.68 5.06 -0.36 -0.01 -0.17 3 46.78 6035.519 -169.75 5.073
217.5 -165.68 5.06 -0.36 -0.0 -0.17 3 46.811 6035.012 -169.75 5.073
217.6 -165.68 5.06 -0.36 -0.0 -0.17 3 46.839 6034.516 -169.75 5.073
217.7 -165.68 5.06 -0.36 -0.0 -0.17 3 46.869 6034.009 -169.75 5.073
217.8 -165.68 5.06 -0.36 0.0 -0.17 3 46.899 6033.503 -169.75 5.073
217.9 -165.68 5.06 -0.36 0.0 -0.17 3 46.93 6032.997 -169.75 5.073
218.0 -165.68 5.06 -0.36 0.0 -0.17 3 46.96 6032.49 -169.75 5.073
218.1 -165.68 5.06 -0.37 0.0 -0.17 3 46.99 6031.984 -169.862 5.074
218.2 -165.68 5.06 -0.37 0.01 -0.17 3 47.02 6031.478 -169.862 5.074
218.3 -165.67 5.06 -0.37 0.01 -0.17 3 47.051 6030.971 -169.852 5.074
218.4 -165.67 5.06 -0.37 0.01 -0.17 3 47.081 6030.465 -169.852 5.074
218.5 -165.67 5.06 -0.37 0.01 -0.17 3 47.111 6029.959 -169.852 5.074
218.6 -165.67 5.06 -0.37 0.01 -0.17 3 47.142 6029.453 -169.852 5.074
218.7 -165.67 5.06 -0.37 0.01 -0.17 3 47.172 6028.946 -169.852 5.074
218.8 -165.67 5.06 -0.37 0.01 -0.17 3 47.202 6028.44 -169.852 5.074
218.9 -165.67 5.06 -0.37 0.02 -0.17 3 47.232 6027.934 -169.852 5.074
219.0 -165.67 5.06 -0.37 0.02 -0.17 3 47.263 6027.427 -169.852 5.074
219.1 -165.66 5.06 -0.37 0.02 -0.17 3 47.293 6026.921 -169.842 5.074
219.2 -165.66 5.06 -0.37 0.02 -0.17 3 47.323 6026.415 -169.842 5.074
219.3 -165.66 5.06 -0.38 0.02 -0.17 3 47.354 6025.908 -169.955 5.074
219.4 -165.66 5.06 -0.38 0.02 -0.17 3 47.384 6025.402 -169.955 5.074
219.5 -165.66 5.06 -0.38 0.02 -0.17 3 47.424 6024.898 -169.955 5.074
219.6 -165.65 5.06 -0.38 0.02 -0.17 3 47.454 6024.392 -169.945 5.074
219.7 -165.65 5.06 -0.38 0.03 -0.17 3 47.485 6023.886 -169.945 5.074
219.8 -165.65 5.06 -0.38 0.03 -0.17 3 47.515 6023.379 -169.945 5.074
219.9 -165.65 5.06 -0.38 0.03 -0.17 3 47.545 6022.873 -169.945 5.074
220.0 -165.64 5.07 -0.38 0.03 -0.17 3 47.575 6022.367 -169.926 5.084
220.1 -165.64 5.07 -0.38 0.03 -0.17 3 47.606 6021.86 -169.926 5.084
220.2 -165.64 5.07 -0.38 0.03 -0.17 3 47.636 6021.354 -169.926 5.084
220.3 -165.63 5.07 -0.38 0.03 -0.17 3 47.676 6020.85 -169.916 5.084
220.4 -165.63 5.07 -0.38 0.03 -0.17 3 47.706 6020.344 -169.916 5.084
220.5 -165.63 5.07 -0.38 0.04 -0.17 3 47.737 6019.838 -169.916 5.084
220.6 -165.62 5.07 -0.38 0.04 -0.17 3 47.767 6019.332 -169.906 5.084
220.7 -165.62 5.07 -0.39 0.04 -0.17 3 47.797 6018.825 -170.019 5.085
220.8 -165.62 5.07 -0.39 0.04 -0.17 3 47.827 6018.319 -170.019 5.085
220.9 -165.61 5.07 -0.39 0.04 -0.17 3 47.858 6017.813 -170.009 5.085
221.0 -165.61 5.07 -0.39 0.04 -0.17 3 47.898 6017.309 -170.009 5.085
221.1 -165.6 5.07 -0.39 0.04 -0.17 3 47.928 6016.803 -169.999 5.085
221.2 -165.6 5.07 -0.39 0.04 -0.17 3 47.958 6016.296 -169.999 5.085
221.3 -165.59 5.07 -0.39 0.05 -0.17 3 47.989 6015.79 -169.989 5.085
221.4 -165.59 5.07 -0.39 0.05 -0.17 3 48.021 6015.274 -169.989 5.085
221.5 -165.58 5.07 -0.39 0.05 -0.17 3 48.052 6014.768 -169.979 5.085
221.6 -165.58 5.07 -0.39 0.05 -0.17 3 48.092 6014.264 -169.979 5.085
221.7 -165.58 5.07 -0.39 0.05 -0.17 3 48.122 6013.758 -169.979 5.085
221.8 -165.57 5.07 -0.39 0.05 -0.17 3 48.152 6013.251 -169.969 5.085
221.9 -165.57 5.07 -0.39 0.05 -0.17 3 48.183 6012.745 -169.969 5.085
222.0 -165.56 5.07 -0.4 0.05 -0.17 3 48.213 6012.239 -170.071 5.086
222.1 -165.55 5.07 -0.4 0.05 -0.17 3 48.243 6011.732 -170.061 5.086
222.2 -165.55 5.07 -0.4 0.06 -0.17 3 48.283 6011.229 -170.061 5.086
222.3 -165.54 5.07 -0.4 0.06 -0.17 3 48.316 6010.713 -170.051 5.086
222.4 -165.54 5.08 -0.4 0.06 -0.17 3 48.346 6010.206 -170.042 5.096
222.5 -165.53 5.08 -0.4 0.06 -0.17 3 48.376 6009.7 -170.032 5.096
222.6 -165.53 5.08 -0.4 0.06 -0.17 3 48.407 6009.194 -170.032 5.096
222.7 -165.52 5.08 -0.4 0.06 -0.17 3 48.447 6008.69 -170.022 5.096
222.8 -165.51 5.08 -0.4 0.06 -0.17 3 48.477 6008.184 -170.012 5.096
222.9 -165.51 5.08 -0.4 0.06 -0.17 3 48.507 6007.678 -170.012 5.096
223.0 -165.5 5.08 -0.4 0.06 -0.17 3 48.54 6007.162 -170.002 5.096
223.1 -165.49 5.08 -0.4 0.07 -0.17 3 48.57 6006.655 -169.992 5.096
223.2 -165.49 5.08 -0.41 0.07 -0.17 3 48.61 6006.152 -170.104 5.097
223.3 -165.48 5.08 -0.41 0.07 -0.17 3 48.64 6005.645 -170.094 5.097
223.4 -165.47 5.08 -0.41 0.07 -0.17 3 48.671 6005.139 -170.084 5.097
223.5 -165.47 5.08 -0.41 0.07 -0.17 3 48.703 6004.623 -170.084 5.097
223.6 -165.46 5.08 -0.41 0.07 -0.17 3 48.734 6004.117 -170.074 5.097
223.7 -165.45 5.08 -0.41 0.07 -0.17 3 48.774 6003.613 -170.064 5.097
223.8 -165.45 5.08 -0.41 0.07 -0.17 3 48.804 6003.107 -170.064 5.097
223.9 -165.44 5.08 -0.41 0.07 -0.17 3 48.834 6002.6 -170.054 5.097
224.0 -165.43 5.08 -0.41 0.08 -0.17 3 48.867 6002.085 -170.044 5.097
224.1 -165.42 5.08 -0.41 0.08 -0.17 3 48.897 6001.578 -170.034 5.097
224.2 -165.42 5.09 -0.41 0.08 -0.17 3 48.937 6001.075 -170.025 5.106
224.3 -165.41 5.09 -0.42 0.08 -0.17 3 48.968 6000.568 -170.127 5.107
224.4 -165.4 5.09 -0.42 0.08 -0.17 3 49.0 6000.052 -170.117 5.107
224.5 -165.39 5.09 -0.42 0.08 -0.17 3 49.031 5999.546 -170.107 5.107
224.6 -165.38 5.09 -0.42 0.08 -0.17 3 49.061 5999.04 -170.097 5.107
224.7 -165.38 5.09 -0.42 0.08 -0.17 3 49.103 5998.526 -170.097 5.107
224.8 -165.37 5.09 -0.42 0.08 -0.17 3 49.133 5998.02 -170.087 5.107
224.9 -165.36 5.09 -0.42 0.08 -0.06 3 49.164 5997.514 -170.077 5.107
225.0 -165.35 5.09 -0.42 0.09 -0.06 3 49.194 5997.007 -170.067 5.107
225.1 -165.34 5.09 -0.42 0.09 -0.06 3 49.236 5996.494 -170.057 5.107
225.2 -165.33 5.09 -0.42 0.09 -0.06 3 49.267 5995.988 -170.047 5.107
225.3 -165.33 5.09 -0.43 0.09 0.03 3 49.297 5995.481 -170.159 5.108
225.4 -165.32 5.09 -0.43 0.09 0.03 3 49.33 5994.966 -170.149 5.108
225.5 -165.31 5.09 -0.43 0.09 0.03 3 49.36 5994.459 -170.139 5.108
225.6 -165.3 5.09 -0.43 0.09 0.03 3 49.4 5993.956 -170.129 5.108
225.7 -165.29 5.09 -0.43 0.09 0.03 3 49.433 5993.44 -170.119 5.108
225.8 -165.28 5.09 -0.43 0.09 0.03 3 49.463 5992.933 -170.109 5.108
225.9 -165.27 5.09 -0.43 0.09 0.03 3 49.493 5992.427 -170.099 5.108
226.0 -165.26 5.09 -0.43 0.09 0.03 3 49.536 5991.914 -170.089 5.108
226.1 -165.25 5.09 -0.43 0.09 0.03 3 49.566 5991.407 -170.079 5.108
226.2 -165.24 5.09 -0.43 0.09 0.03 3 49.596 5990.901 -170.069 5.108
226.3 -165.23 5.09 -0.43 0.09 0.03 3 49.629 5990.385 -170.059 5.108
226.4 -165.22 5.09 -0.43 0.09 0.03 3 49.659 5989.879 -170.049 5.108
226.5 -165.21 5.09 -0.44 0.1 -0.0 3 49.701 5989.365 -170.151 5.109
226.6 -165.21 5.09 -0.44 0.1 -0.0 3 49.732 5988.859 -170.151 5.109
226.7 -165.2 5.1 -0.44 0.1 -0.0 3 49.762 5988.353 -170.131 5.119
226.8 -165.19 5.1 -0.44 0.1 -0.0 3 49.795 5987.837 -170.121 5.119
226.9 -165.18 5.1 -0.44 0.1 -0.0 3 49.825 5987.331 -170.111 5.119
227.0 -165.17 5.1 -0.44 0.1 -0.0 3 49.865 5986.827 -170.101 5.119
227.1 -165.16 5.1 -0.44 0.1 -0.0 3 49.898 5986.311 -170.091 5.119
227.2 -165.15 5.1 -0.44 0.1 -0.0 3 49.928 5985.805 -170.081 5.119
227.3 -165.14 5.1 -0.44 0.1 -0.0 3 49.961 5985.289 -170.071 5.119
227.4 -165.13 5.1 -0.44 0.1 -0.0 3 49.991 5984.782 -170.061 5.119
227.5 -165.12 5.1 -0.44 0.1 -0.0 3 50.031 5984.279 -170.051 5.119
