Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada STS PGL3B Atrac. BB
Corrente: N 0.4nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.26 4166.884 -172.0 3.85
0.1 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.229 4166.501 -172.0 3.85
0.2 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.188 4166.121 -172.0 3.85
0.3 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.145 4165.731 -172.0 3.85
0.4 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.114 4165.349 -172.0 3.85
0.5 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.073 4164.969 -172.0 3.85
0.6 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.032 4164.589 -172.0 3.85
0.7 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.001 4164.206 -172.0 3.85
0.8 -172.0 3.85 -0.0 -0.0 -0.0 3 0.04 4163.826 -172.0 3.85
0.9 -172.0 3.85 -0.0 -0.0 -0.0 3 0.083 4163.436 -172.0 3.85
1.0 -172.0 3.85 -0.0 -0.0 -0.0 3 0.114 4163.053 -172.0 3.85
1.1 -172.0 3.85 -0.0 -0.0 -0.0 3 0.155 4162.673 -172.0 3.85
1.2 -172.0 3.85 -0.0 -0.0 -0.0 3 0.196 4162.293 -172.0 3.85
1.3 -172.0 3.85 -0.0 -0.0 -0.0 3 0.227 4161.91 -172.0 3.85
1.4 -172.0 3.85 -0.0 -0.0 -0.0 3 0.268 4161.53 -172.0 3.85
1.5 -172.0 3.85 -0.01 -0.01 -0.0 3 0.312 4161.141 -172.149 3.85
1.6 -172.0 3.85 -0.01 -0.01 -0.0 3 0.343 4160.758 -172.149 3.85
1.7 -172.0 3.85 -0.01 -0.01 -0.0 3 0.384 4160.378 -172.149 3.85
1.8 -172.0 3.85 -0.01 -0.01 -0.0 3 0.425 4159.998 -172.149 3.85
1.9 -172.0 3.85 -0.01 -0.01 -0.0 3 0.456 4159.615 -172.149 3.85
2.0 -172.0 3.85 -0.01 -0.01 -0.0 3 0.497 4159.235 -172.149 3.85
2.1 -172.01 3.85 -0.01 -0.01 -0.0 3 0.538 4158.855 -172.159 3.85
2.2 -172.01 3.85 -0.01 -0.01 -0.0 3 0.581 4158.465 -172.159 3.85
2.3 -172.01 3.85 -0.01 -0.01 -0.0 3 0.612 4158.082 -172.159 3.85
2.4 -172.01 3.85 -0.01 -0.01 -0.0 3 0.653 4157.702 -172.159 3.85
2.5 -172.01 3.85 -0.01 -0.01 -0.0 3 0.694 4157.322 -172.159 3.85
2.6 -172.01 3.85 -0.01 -0.01 -0.0 3 0.725 4156.939 -172.159 3.85
2.7 -172.01 3.85 -0.01 -0.01 -0.0 3 0.766 4156.559 -172.159 3.85
2.8 -172.01 3.85 -0.01 -0.01 -0.0 3 0.807 4156.179 -172.159 3.85
2.9 -172.01 3.85 -0.01 -0.01 -0.0 3 0.848 4155.799 -172.159 3.85
3.0 -172.01 3.85 -0.01 -0.01 -0.0 3 0.881 4155.407 -172.159 3.85
3.1 -172.01 3.85 -0.01 -0.01 -0.0 3 0.922 4155.027 -172.159 3.85
3.2 -172.01 3.85 -0.01 -0.01 -0.0 3 0.963 4154.647 -172.159 3.85
3.3 -172.02 3.85 -0.01 -0.01 -0.0 3 1.004 4154.267 -172.169 3.85
3.4 -172.02 3.85 -0.01 -0.01 -0.0 3 1.035 4153.884 -172.169 3.85
3.5 -172.02 3.85 -0.01 -0.01 -0.0 3 1.076 4153.504 -172.169 3.85
3.6 -172.02 3.85 -0.01 -0.01 -0.0 3 1.117 4153.124 -172.169 3.85
3.7 -172.02 3.85 -0.01 -0.01 -0.0 3 1.158 4152.744 -172.169 3.85
3.8 -172.02 3.85 -0.01 -0.01 -0.0 3 1.189 4152.361 -172.169 3.85
3.9 -172.02 3.85 -0.01 -0.01 -0.0 3 1.232 4151.971 -172.169 3.85
4.0 -172.02 3.85 -0.01 -0.01 -0.0 3 1.273 4151.591 -172.169 3.85
4.1 -172.02 3.85 -0.01 -0.01 -0.0 3 1.314 4151.211 -172.169 3.85
4.2 -172.03 3.85 -0.01 -0.01 -0.0 3 1.345 4150.828 -172.179 3.85
