Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.0 2.57 -0.26 0.0 0.0 0 32.364 98.609 3940.353
-160.0 2.57 -0.26 0.0 0.0 0 32.364 98.609 3940.096
-160.0 2.57 -0.26 0.0 0.0 0 32.365 98.608 3939.839
-160.0 2.57 -0.26 0.0 0.0 0 32.356 98.617 3939.579
-160.0 2.57 -0.26 0.0 0.0 0 32.356 98.617 3939.322
-160.0 2.57 -0.26 0.0 0.0 0 32.347 98.626 3939.063
-160.0 2.57 -0.26 0.0 0.0 0 32.348 98.625 3938.805
-160.0 2.57 -0.26 0.0 0.0 0 32.35 98.622 3938.539
-160.0 2.57 -0.26 0.0 0.0 0 32.341 98.631 3938.279
-160.0 2.57 -0.26 0.0 0.0 0 32.342 98.631 3938.022
-160.0 2.57 -0.26 0.0 0.0 0 32.342 98.63 3937.765
-160.0 2.57 -0.26 0.0 0.0 0 32.333 98.639 3937.505
-160.0 2.57 -0.26 0.0 0.0 0 32.334 98.639 3937.248
-160.0 2.57 -0.26 0.0 0.0 0 32.325 98.648 3936.989
-160.0 2.57 -0.26 0.0 0.0 0 32.325 98.647 3936.732
-160.0 2.57 -0.26 0.0 0.0 0 32.326 98.647 3936.475
-160.0 2.57 -0.26 0.0 0.0 0 32.317 98.656 3936.215
-160.0 2.57 -0.26 0.0 0.0 0 32.317 98.655 3935.958
-160.0 2.57 -0.26 0.0 0.0 0 32.318 98.655 3935.701
-160.0 2.57 -0.26 0.0 0.0 0 32.308 98.664 3935.441
-160.0 2.57 -0.26 0.0 -0.0 0 32.309 98.663 3935.184
-160.0 2.57 -0.26 0.0 -0.0 0 32.3 98.672 3934.925
-160.0 2.57 -0.26 0.0 -0.0 0 32.3 98.672 3934.668
-160.0 2.57 -0.26 0.0 -0.0 0 32.301 98.671 3934.411
-160.0 2.57 -0.26 0.0 -0.0 0 32.292 98.68 3934.151
-160.0 2.57 -0.26 0.0 -0.0 0 32.292 98.68 3933.894
-160.0 2.57 -0.26 0.0 -0.0 0 32.293 98.679 3933.637
-160.0 2.57 -0.26 0.0 -0.0 0 32.284 98.688 3933.377
-160.0 2.57 -0.26 0.0 -0.0 0 32.284 98.688 3933.12
-160.0 2.57 -0.26 0.0 -0.0 0 32.275 98.697 3932.861
-160.0 2.57 -0.26 0.0 -0.0 0 32.276 98.696 3932.604
-160.0 2.57 -0.26 0.0 -0.0 0 32.276 98.696 3932.347
-160.0 2.57 -0.26 0.0 -0.0 0 32.267 98.705 3932.087
-160.0 2.57 -0.26 0.0 -0.0 0 32.265 98.706 3931.84
-160.0 2.57 -0.26 0.0 -0.0 0 32.266 98.706 3931.583
-160.0 2.57 -0.26 0.0 -0.0 0 32.257 98.715 3931.323
-160.0 2.57 -0.26 0.0 -0.0 0 32.257 98.714 3931.066
-160.0 2.57 -0.26 0.0 -0.0 0 32.248 98.724 3930.807
-160.0 2.57 -0.26 0.0 -0.0 0 32.248 98.723 3930.549
-160.0 2.56 -0.26 0.0 -0.0 0 32.249 98.722 3930.292
-159.99 2.56 -0.26 0.0 -0.0 0 32.216 98.708 3930.033
-159.99 2.56 -0.26 0.0 -0.0 0 32.217 98.707 3929.776
-159.99 2.56 -0.26 0.0 -0.0 0 32.217 98.707 3929.519
-159.99 2.56 -0.26 0.0 -0.0 0 32.208 98.716 3929.259
-159.99 2.56 -0.26 0.0 -0.0 0 32.209 98.715 3929.002
-159.99 2.56 -0.26 0.0 -0.0 0 32.199 98.724 3928.743
-159.99 2.56 -0.26 0.0 -0.0 0 32.2 98.724 3928.485
-159.99 2.56 -0.26 0.0 -0.0 0 32.201 98.723 3928.228
-159.99 2.56 -0.26 0.0 -0.0 0 32.191 98.732 3927.969
-159.99 2.56 -0.26 0.0 -0.0 0 32.192 98.732 3927.712
-159.99 2.56 -0.26 0.0 -0.0 0 32.192 98.731 3927.455
-159.99 2.56 -0.26 0.0 -0.0 0 32.183 98.74 3927.195
-159.99 2.56 -0.26 0.0 -0.0 0 32.184 98.74 3926.938
-159.99 2.56 -0.26 0.0 -0.0 0 32.184 98.739 3926.681
-159.99 2.56 -0.26 0.0 -0.0 0 32.175 98.748 3926.421
-159.99 2.56 -0.26 0.0 -0.0 0 32.176 98.748 3926.164
-159.99 2.56 -0.26 0.0 -0.0 0 32.167 98.757 3925.905
-159.99 2.56 -0.26 0.01 -0.0 0 32.167 98.756 3925.648
-159.99 2.56 -0.26 0.01 -0.0 0 32.168 98.756 3925.391
-159.99 2.56 -0.26 0.01 -0.0 0 32.159 98.765 3925.131
-159.99 2.56 -0.26 0.01 -0.0 0 32.159 98.764 3924.874
-159.99 2.56 -0.26 0.01 -0.0 0 32.16 98.763 3924.617
-159.98 2.56 -0.26 0.01 -0.0 0 32.127 98.749 3924.357
-159.98 2.56 -0.26 0.01 -0.0 0 32.127 98.748 3924.1
-159.98 2.56 -0.26 0.01 -0.0 0 32.128 98.748 3923.843
-159.98 2.56 -0.26 0.01 -0.0 0 32.116 98.759 3923.593
-159.98 2.56 -0.26 0.01 -0.0 0 32.117 98.759 3923.336
-159.98 2.56 -0.26 0.01 -0.0 0 32.108 98.768 3923.077
-159.98 2.56 -0.26 0.01 -0.0 0 32.108 98.767 3922.82
-159.98 2.56 -0.26 0.01 -0.0 0 32.109 98.767 3922.563
-159.98 2.56 -0.26 0.01 -0.0 0 32.1 98.776 3922.303
-159.98 2.56 -0.26 0.01 -0.0 0 32.1 98.775 3922.046
-159.98 2.56 -0.26 0.01 -0.0 0 32.101 98.775 3921.789
-159.98 2.56 -0.26 0.01 -0.0 0 32.092 98.784 3921.529
-159.98 2.56 -0.26 0.01 -0.0 0 32.092 98.783 3921.272
-159.98 2.56 -0.26 0.01 -0.0 0 32.093 98.782 3921.015
-159.98 2.56 -0.26 0.01 -0.0 0 32.084 98.792 3920.756
-159.98 2.56 -0.26 0.01 -0.0 0 32.084 98.791 3920.499
-159.98 2.56 -0.26 0.01 -0.0 0 32.085 98.79 3920.242
-159.97 2.56 -0.26 0.01 -0.0 0 32.052 98.776 3919.982
-159.97 2.56 -0.26 0.01 -0.0 0 32.052 98.775 3919.725
-159.97 2.56 -0.26 0.01 -0.0 0 32.043 98.784 3919.466
-159.97 2.56 -0.26 0.01 -0.0 0 32.044 98.784 3919.208
-159.97 2.56 -0.26 0.01 -0.0 0 32.044 98.783 3918.951
-159.97 2.56 -0.26 0.01 -0.0 0 32.035 98.792 3918.692
-159.97 2.56 -0.26 0.01 -0.0 0 32.033 98.794 3918.444
-159.97 2.56 -0.26 0.01 -0.0 0 32.034 98.794 3918.187
-159.97 2.56 -0.26 0.01 -0.0 0 32.025 98.803 3917.928
-159.97 2.56 -0.26 0.01 -0.0 0 32.025 98.802 3917.671
-159.97 2.56 -0.26 0.01 -0.0 0 32.026 98.801 3917.414
-159.97 2.56 -0.26 0.01 -0.0 0 32.017 98.811 3917.154
-159.97 2.56 -0.26 0.01 -0.0 0 32.017 98.81 3916.897
-159.96 2.56 -0.26 0.01 -0.0 0 31.994 98.786 3916.64
-159.96 2.56 -0.26 0.01 -0.0 0 31.985 98.795 3916.38
-159.96 2.56 -0.26 0.01 -0.0 0 31.985 98.794 3916.123
-159.96 2.56 -0.26 0.01 -0.0 0 31.976 98.803 3915.864
-159.96 2.56 -0.26 0.01 -0.0 0 31.977 98.803 3915.607
-159.96 2.56 -0.26 0.01 -0.0 0 31.977 98.802 3915.35
-159.96 2.56 -0.26 0.01 -0.0 0 31.968 98.811 3915.09
-159.96 2.56 -0.26 0.01 -0.0 0 31.966 98.813 3914.843
-159.96 2.56 -0.26 0.01 -0.0 0 31.967 98.813 3914.586
-159.96 2.56 -0.26 0.01 -0.0 0 31.958 98.822 3914.326
-159.96 2.56 -0.26 0.01 -0.0 0 31.958 98.821 3914.069
-159.96 2.56 -0.26 0.01 -0.0 0 31.959 98.82 3913.812
-159.95 2.56 -0.26 0.01 -0.0 0 31.926 98.806 3913.552
-159.95 2.56 -0.26 0.01 -0.0 0 31.926 98.805 3913.295
-159.95 2.56 -0.26 0.01 -0.0 0 31.927 98.805 3913.038
-159.95 2.56 -0.26 0.01 -0.0 0 31.918 98.814 3912.779
-159.95 2.56 -0.26 0.01 -0.0 0 31.918 98.813 3912.522
-159.95 2.56 -0.26 0.01 -0.0 0 31.909 98.822 3912.262
-159.95 2.56 -0.26 0.01 -0.0 0 31.91 98.822 3912.005
-159.95 2.56 -0.26 0.01 -0.0 0 31.908 98.824 3911.758
-159.95 2.56 -0.26 0.01 -0.0 0 31.899 98.833 3911.498
