Navio: Suezmax T172
Cenário: Extremo
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: SE 25nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-160.03 4.11 -0.26 -0.0 0.0 0 13.26 5243.463
-160.03 4.11 -0.26 -0.0 0.0 0 13.236 5243.056
-160.03 4.11 -0.26 -0.0 0.0 0 13.223 5242.641
-160.03 4.11 -0.26 -0.0 0.0 0 13.198 5242.233
-160.03 4.11 -0.26 -0.0 0.0 0 13.186 5241.818
-160.03 4.11 -0.26 -0.0 0.0 0 13.161 5241.411
-160.03 4.11 -0.26 -0.0 0.0 0 13.138 5240.993
-160.03 4.11 -0.26 -0.0 0.0 0 13.123 5240.588
-160.03 4.11 -0.26 -0.0 0.0 0 13.101 5240.171
-160.03 4.11 -0.26 -0.0 0.0 0 13.086 5239.765
-160.03 4.11 -0.26 -0.0 0.0 0 13.063 5239.348
-160.03 4.11 -0.26 -0.0 0.0 0 13.039 5238.94
-160.03 4.11 -0.26 -0.0 0.0 0 13.026 5238.526
-160.03 4.11 -0.26 -0.0 0.0 0 13.001 5238.118
-160.03 4.11 -0.26 -0.0 0.0 0 12.989 5237.703
-160.03 4.11 -0.26 -0.0 0.0 0 12.964 5237.295
-160.03 4.11 -0.26 -0.0 0.0 0 12.941 5236.878
-160.03 4.11 -0.26 -0.0 0.0 0 12.926 5236.473
-160.03 4.11 -0.26 -0.0 -0.0 0 12.904 5236.055
-160.03 4.11 -0.26 -0.0 -0.0 0 12.889 5235.65
-160.04 4.11 -0.26 -0.0 -0.0 0 12.866 5235.233
-160.04 4.11 -0.26 -0.0 -0.0 0 12.851 5234.828
-160.04 4.11 -0.26 -0.0 -0.0 0 12.829 5234.41
-160.04 4.11 -0.26 -0.0 -0.0 0 12.804 5234.003
-160.04 4.1 -0.26 -0.0 -0.0 0 12.791 5233.588
-160.04 4.1 -0.26 -0.0 -0.0 0 12.767 5233.18
-160.04 4.1 -0.26 -0.0 -0.0 0 12.754 5232.765
-160.04 4.1 -0.26 -0.0 -0.0 0 12.729 5232.358
-160.04 4.1 -0.26 -0.0 -0.0 0 12.717 5231.943
-160.04 4.1 -0.26 -0.0 -0.0 0 12.692 5231.535
-160.04 4.1 -0.26 -0.0 -0.0 1 12.679 5231.12
-160.04 4.1 -0.26 -0.0 -0.0 1 12.654 5230.713
-160.04 4.1 -0.26 -0.0 -0.0 1 12.639 5230.307
-160.04 4.1 -0.26 -0.0 -0.0 1 12.617 5229.89
-160.04 4.1 -0.27 -0.0 -0.0 2 12.602 5229.485
-160.04 4.1 -0.27 -0.0 -0.0 2 12.579 5229.068
-160.04 4.1 -0.27 -0.0 -0.0 2 12.564 5228.662
-160.04 4.1 -0.27 -0.0 -0.0 2 12.542 5228.245
-160.04 4.1 -0.27 -0.0 -0.0 3 12.527 5227.84
-160.04 4.1 -0.27 -0.0 -0.0 3 12.504 5227.423
-160.04 4.1 -0.27 -0.0 -0.0 3 12.489 5227.017
-160.04 4.1 -0.27 -0.0 -0.0 3 12.467 5226.6
-160.04 4.1 -0.27 -0.0 -0.0 3 12.452 5226.195
-160.04 4.1 -0.27 -0.0 -0.0 3 12.43 5225.777
-160.04 4.1 -0.27 -0.0 -0.0 3 12.414 5225.372
-160.04 4.1 -0.27 -0.0 -0.0 3 12.39 5224.965
-160.04 4.1 -0.27 -0.0 -0.0 4 12.377 5224.55
-160.04 4.1 -0.27 -0.0 -0.0 4 12.352 5224.142
-160.04 4.1 -0.27 -0.0 -0.0 4 12.34 5223.727
-160.04 4.1 -0.27 -0.0 -0.0 4 12.315 5223.32
-160.04 4.1 -0.27 -0.0 -0.0 4 12.302 5222.905
-160.04 4.1 -0.27 -0.0 -0.0 4 12.277 5222.497
-160.04 4.1 -0.27 -0.0 -0.0 4 12.265 5222.082
-160.04 4.1 -0.27 -0.0 -0.0 4 12.25 5221.677
-160.05 4.1 -0.27 -0.0 -0.0 4 12.227 5221.26
-160.05 4.1 -0.27 -0.0 -0.0 4 12.212 5220.855
-160.05 4.1 -0.27 -0.0 -0.0 4 12.187 5220.447
-160.05 4.1 -0.27 -0.0 -0.0 4 12.175 5220.032
-160.05 4.1 -0.27 -0.0 -0.0 4 12.15 5219.624
-160.05 4.1 -0.27 -0.0 -0.0 4 12.137 5219.21
-160.05 4.1 -0.27 -0.0 -0.0 4 12.112 5218.802
-160.05 4.1 -0.27 -0.0 -0.0 4 12.1 5218.387
-160.05 4.1 -0.27 -0.0 -0.0 4 12.085 5217.982
-160.05 4.1 -0.27 -0.0 -0.0 4 12.062 5217.564
-160.05 4.1 -0.27 -0.0 -0.0 4 12.047 5217.159
-160.05 4.1 -0.27 -0.0 -0.0 4 12.025 5216.742
-160.05 4.1 -0.27 -0.0 -0.0 4 12.01 5216.337
-160.05 4.1 -0.27 -0.0 -0.0 4 11.995 5215.932
-160.05 4.1 -0.27 -0.0 -0.0 4 11.972 5215.514
-160.05 4.1 -0.27 -0.0 -0.0 4 11.957 5215.109
-160.05 4.1 -0.27 -0.0 -0.0 4 11.935 5214.692
-160.05 4.1 -0.28 -0.0 -0.0 4 11.92 5214.287
-160.05 4.1 -0.28 -0.0 -0.0 4 11.907 5213.872
-160.05 4.1 -0.28 -0.0 -0.0 4 11.882 5213.464
-160.05 4.1 -0.28 -0.0 -0.0 4 11.87 5213.049
-160.05 4.1 -0.28 -0.0 -0.0 4 11.845 5212.642
-160.05 4.1 -0.28 -0.0 -0.0 4 11.83 5212.236
-160.05 4.1 -0.28 -0.0 -0.0 4 11.817 5211.822
-160.05 4.1 -0.28 -0.0 -0.01 4 11.792 5211.414
-160.06 4.1 -0.28 -0.0 -0.01 4 11.78 5210.999
-160.06 4.1 -0.28 -0.0 -0.01 4 11.765 5210.594
-160.06 4.1 -0.28 -0.0 -0.01 4 11.742 5210.177
-160.06 4.1 -0.28 -0.0 -0.01 4 11.727 5209.771
-160.06 4.1 -0.28 -0.0 -0.01 4 11.714 5209.357
-160.06 4.1 -0.28 -0.0 -0.01 4 11.69 5208.949
-160.06 4.1 -0.28 -0.0 -0.01 4 11.675 5208.544
-160.06 4.1 -0.28 -0.0 -0.01 4 11.652 5208.126
-160.06 4.1 -0.28 -0.0 -0.01 4 11.637 5207.721
-160.06 4.1 -0.28 -0.0 -0.01 4 11.624 5207.306
-160.06 4.1 -0.28 -0.0 -0.01 4 11.6 5206.899
-160.06 4.1 -0.28 -0.0 -0.01 4 11.587 5206.484
-160.06 4.1 -0.28 -0.0 -0.01 4 11.572 5206.079
-160.06 4.1 -0.28 -0.0 -0.01 4 11.549 5205.661
-160.06 4.1 -0.28 -0.0 -0.01 4 11.534 5205.256
-160.06 4.1 -0.28 -0.0 -0.01 4 11.522 5204.841
-160.06 4.1 -0.28 -0.0 -0.01 4 11.497 5204.434
-160.06 4.1 -0.28 -0.0 -0.01 4 11.484 5204.019
-160.06 4.1 -0.28 -0.0 -0.01 4 11.469 5203.614
-160.06 4.1 -0.28 -0.0 -0.01 4 11.444 5203.206
-160.06 4.1 -0.28 -0.0 -0.01 4 11.432 5202.791
-160.06 4.1 -0.28 -0.0 -0.01 4 11.417 5202.386
-160.06 4.1 -0.28 -0.0 -0.01 4 11.394 5201.969
-160.06 4.1 -0.28 -0.0 -0.01 4 11.379 5201.563
-160.07 4.09 -0.28 -0.0 -0.01 4 11.367 5201.149
-160.07 4.09 -0.28 -0.0 -0.01 4 11.342 5200.741
-160.07 4.09 -0.28 -0.0 -0.01 4 11.329 5200.326
-160.07 4.09 -0.28 -0.0 -0.01 4 11.304 5199.918
-160.07 4.09 -0.28 -0.0 -0.01 4 11.289 5199.513
-160.07 4.09 -0.28 -0.0 -0.01 4 11.277 5199.098
-160.07 4.09 -0.28 -0.0 -0.01 4 11.252 5198.691
-160.07 4.09 -0.28 -0.0 -0.01 4 11.239 5198.276
-160.07 4.09 -0.27 -0.0 -0.01 4 11.224 5197.871
-160.07 4.08 -0.27 -0.0 -0.01 4 11.199 5197.463
-160.07 4.08 -0.27 -0.0 -0.01 4 11.187 5197.048
-160.07 4.08 -0.27 -0.0 -0.01 4 11.172 5196.643
-160.07 4.08 -0.27 -0.0 -0.01 4 11.147 5196.235
-160.07 4.08 -0.27 -0.0 -0.01 4 11.132 5195.83
-160.07 4.08 -0.27 -0.0 -0.01 4 11.119 5195.415
-160.07 4.08 -0.27 -0.0 -0.01 4 11.094 5195.008
-160.07 4.07 -0.27 -0.0 -0.01 4 11.079 5194.603
-160.07 4.07 -0.27 -0.0 -0.01 4 11.064 5194.197
-160.07 4.07 -0.27 -0.0 -0.01 4 11.042 5193.78
-160.07 4.07 -0.27 -0.0 -0.01 4 11.027 5193.375
-160.07 4.07 -0.27 -0.0 -0.01 4 11.012 5192.97
-160.07 4.07 -0.27 -0.0 -0.01 4 10.997 5192.565
-160.07 4.06 -0.27 -0.0 -0.01 4 10.972 5192.157
-160.07 4.06 -0.28 -0.0 -0.03 4 10.959 5191.742
-160.07 4.06 -0.28 -0.0 -0.03 4 10.944 5191.337
-160.07 4.06 -0.28 -0.0 -0.03 4 10.929 5190.932
-160.08 4.06 -0.28 -0.0 -0.03 4 10.904 5190.524
-160.08 4.06 -0.28 -0.0 -0.03 4 10.889 5190.119
-160.08 4.06 -0.28 -0.0 -0.03 4 10.874 5189.714
-160.08 4.05 -0.28 -0.0 -0.03 4 10.859 5189.309
-160.08 4.05 -0.28 -0.0 -0.03 4 10.834 5188.901
-160.08 4.05 -0.28 -0.0 -0.03 4 10.819 5188.496
-160.08 4.05 -0.28 -0.0 -0.03 4 10.804 5188.091
-160.08 4.05 -0.28 -0.0 -0.03 4 10.789 5187.685
-160.08 4.05 -0.28 -0.0 -0.03 4 10.774 5187.28
-160.08 4.05 -0.28 -0.0 -0.03 4 10.759 5186.875
-160.08 4.05 -0.28 -0.0 -0.03 4 10.744 5186.47
-160.08 4.05 -0.28 -0.0 -0.03 4 10.719 5186.062
-160.08 4.05 -0.29 -0.0 -0.03 4 10.704 5185.657
-160.08 4.05 -0.29 -0.0 -0.03 4 10.689 5185.252
-160.08 4.05 -0.29 -0.0 -0.03 4 10.674 5184.847
-160.08 4.04 -0.29 -0.0 -0.03 4 10.659 5184.442
-160.08 4.04 -0.29 -0.0 -0.03 4 10.644 5184.037
-160.08 4.04 -0.29 -0.0 -0.03 4 10.629 5183.631
-160.08 4.05 -0.29 -0.0 -0.03 4 10.614 5183.226
-160.08 4.05 -0.29 -0.0 -0.03 4 10.601 5182.811
-160.08 4.05 -0.29 -0.0 -0.03 4 10.586 5182.406
-160.08 4.05 -0.29 -0.0 -0.03 4 10.571 5182.001
-160.08 4.05 -0.3 -0.0 -0.03 4 10.556 5181.596
-160.08 4.05 -0.3 -0.0 -0.03 4 10.541 5181.191
-160.08 4.05 -0.3 -0.0 -0.03 4 10.526 5180.786
-160.08 4.05 -0.3 -0.0 -0.03 4 10.511 5180.38
-160.08 4.05 -0.3 -0.0 -0.03 4 10.496 5179.975
-160.08 4.05 -0.3 -0.0 -0.03 4 10.481 5179.57
-160.08 4.05 -0.3 -0.0 -0.03 4 10.466 5179.165
-160.08 4.05 -0.3 -0.0 -0.03 4 10.451 5178.76
-160.08 4.06 -0.31 -0.0 -0.03 4 10.438 5178.345
-160.08 4.06 -0.31 -0.0 -0.03 4 10.423 5177.94
-160.08 4.06 -0.31 -0.0 -0.03 4 10.408 5177.535
-160.08 4.06 -0.31 -0.0 -0.03 4 10.393 5177.13
-160.08 4.06 -0.31 -0.0 -0.03 4 10.378 5176.724
-160.08 4.07 -0.31 -0.0 -0.03 4 10.365 5176.31
-160.08 4.07 -0.31 -0.0 -0.03 4 10.35 5175.904
-160.08 4.07 -0.31 -0.0 -0.03 4 10.345 5175.502
-160.08 4.07 -0.31 -0.0 -0.03 4 10.332 5175.087
-160.08 4.08 -0.32 -0.0 -0.03 4 10.317 5174.682
-160.08 4.08 -0.32 -0.0 -0.03 4 10.304 5174.267
-160.08 4.08 -0.32 -0.0 -0.03 4 10.289 5173.862
-160.08 4.08 -0.32 -0.0 -0.03 4 10.274 5173.457
-160.08 4.09 -0.32 -0.0 -0.03 4 10.261 5173.042
