Navio: Suezmax T172
Cenário: Extremo
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.7nó 
Vento: SE 25nós 
Onda: 2.25m 12s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 10860.66 5280.22 -160.03 4.11 -0.26 -0.0 -0.0 0 78.911 52.412 5243.463 1.92 0.0
0.1 10860.27 5280.1 -160.03 4.11 -0.26 -0.0 -0.0 0 78.886 52.437 5243.056 1.6 0.0
0.2 10859.87 5279.99 -160.03 4.11 -0.26 -0.0 -0.0 0 78.874 52.449 5242.641 1.6 0.0
0.3 10859.48 5279.87 -160.03 4.11 -0.26 -0.0 -0.0 0 78.849 52.474 5242.233 1.6 0.0
0.4 10859.08 5279.76 -160.03 4.11 -0.26 -0.0 -0.0 0 78.836 52.487 5241.818 1.6 0.0
0.5 10858.69 5279.64 -160.03 4.11 -0.26 -0.0 -0.0 0 78.811 52.511 5241.411 1.6 0.0
0.6 10858.29 5279.52 -160.03 4.11 -0.26 -0.0 -0.0 0 78.789 52.534 5240.993 1.6 0.0
0.7 10857.9 5279.41 -160.03 4.11 -0.26 -0.0 -0.0 0 78.774 52.549 5240.588 1.6 0.0
0.8 10857.5 5279.29 -160.03 4.11 -0.26 -0.0 -0.0 0 78.751 52.571 5240.171 1.6 0.0
0.9 10857.11 5279.17 -160.03 4.11 -0.26 -0.0 -0.0 0 78.727 52.596 5239.763 1.6 0.0
1.0 10856.71 5279.06 -160.03 4.11 -0.26 -0.0 -0.0 0 78.714 52.609 5239.348 1.6 0.0
1.1 10856.32 5278.94 -160.03 4.11 -0.26 -0.0 -0.0 0 78.689 52.633 5238.94 1.6 0.0
1.2 10855.92 5278.83 -160.03 4.11 -0.26 -0.0 -0.0 0 78.676 52.646 5238.526 1.6 0.0
1.3 10855.53 5278.71 -160.03 4.11 -0.26 -0.0 -0.0 0 78.652 52.671 5238.118 1.6 0.0
1.4 10855.13 5278.59 -160.03 4.11 -0.26 -0.0 -0.0 0 78.629 52.693 5237.701 1.6 0.0
1.5 10854.74 5278.48 -160.03 4.11 -0.26 -0.0 -0.0 0 78.614 52.708 5237.295 1.6 0.0
1.6 10854.34 5278.36 -160.03 4.11 -0.26 -0.0 -0.0 0 78.592 52.731 5236.878 1.6 0.0
1.7 10853.95 5278.25 -160.03 4.11 -0.26 -0.0 -0.0 0 78.577 52.746 5236.473 0.0 0.0
1.8 10853.55 5278.13 -160.03 4.11 -0.26 -0.0 -0.0 0 78.554 52.768 5236.055 0.0 0.0
1.9 10853.16 5278.02 -160.03 4.11 -0.26 -0.0 -0.0 0 78.539 52.783 5235.65 0.0 0.0
2.0 10852.76 5277.9 -160.03 4.11 -0.26 -0.0 -0.0 0 78.517 52.805 5235.233 0.0 0.0
2.1 10852.37 5277.78 -160.03 4.11 -0.26 -0.0 -0.0 0 78.492 52.83 5234.825 0.0 0.0
2.2 10851.97 5277.67 -160.03 4.11 -0.26 -0.0 -0.0 0 78.479 52.843 5234.41 0.0 0.0
2.3 10851.58 5277.55 -160.03 4.11 -0.26 -0.0 -0.0 0 78.454 52.868 5234.003 0.0 0.0
2.4 10851.18 5277.44 -160.03 4.1 -0.26 -0.0 -0.0 0 78.441 52.88 5233.588 0.0 0.0
2.5 10850.79 5277.32 -160.03 4.1 -0.26 -0.0 -0.0 0 78.417 52.905 5233.18 0.0 0.0
2.6 10850.39 5277.21 -160.03 4.1 -0.26 -0.0 -0.0 0 78.404 52.918 5232.765 0.0 0.0
2.7 10850.0 5277.09 -160.03 4.1 -0.26 -0.0 -0.0 0 78.379 52.942 5232.358 0.0 0.0
2.8 10849.61 5276.97 -160.03 4.1 -0.26 -0.0 -0.0 0 78.354 52.967 5231.95 0.0 0.0
2.9 10849.21 5276.86 -160.03 4.1 -0.26 -0.0 -0.0 0 78.342 52.98 5231.535 0.0 0.0
3.0 10848.82 5276.74 -160.03 4.1 -0.26 -0.0 -0.0 0 78.317 53.004 5231.127 0.0 0.0
3.1 10848.42 5276.63 -160.03 4.1 -0.26 -0.0 -0.0 0 78.304 53.017 5230.713 0.0 0.0
3.2 10848.03 5276.51 -160.03 4.1 -0.26 -0.0 -0.0 0 78.279 53.042 5230.305 0.0 0.0
3.3 10847.63 5276.4 -160.03 4.1 -0.26 -0.0 -0.0 0 78.267 53.055 5229.89 0.0 0.0
3.4 10847.24 5276.28 -160.03 4.1 -0.26 -0.0 -0.0 0 78.242 53.079 5229.482 0.0 0.0
3.5 10846.84 5276.17 -160.03 4.1 -0.26 -0.0 -0.0 0 78.229 53.092 5229.068 0.0 0.0
3.6 10846.45 5276.05 -160.03 4.1 -0.26 -0.0 -0.0 0 78.204 53.117 5228.66 0.0 0.0
3.7 10846.05 5275.94 -160.03 4.1 -0.26 -0.0 -0.0 0 78.191 53.129 5228.245 0.0 0.0
3.8 10845.66 5275.82 -160.03 4.1 -0.26 -0.0 -0.0 0 78.167 53.154 5227.837 0.0 0.0
3.9 10845.27 5275.7 -160.03 4.1 -0.26 -0.0 -0.0 0 78.142 53.179 5227.43 0.0 0.0
4.0 10844.87 5275.59 -160.03 4.1 -0.26 -0.0 -0.0 0 78.129 53.191 5227.015 0.0 0.0
4.1 10844.48 5275.47 -160.03 4.1 -0.26 -0.0 -0.0 0 78.104 53.216 5226.607 0.0 0.0
4.2 10844.08 5275.36 -160.03 4.1 -0.26 -0.0 -0.0 0 78.092 53.229 5226.192 0.0 0.0
4.3 10843.69 5275.24 -160.03 4.1 -0.26 -0.0 -0.0 0 78.067 53.254 5225.785 0.0 0.0
4.4 10843.29 5275.13 -160.03 4.1 -0.27 -0.0 -0.0 0 78.054 53.266 5225.37 0.0 0.0
4.5 10842.9 5275.01 -160.03 4.1 -0.27 -0.0 -0.0 1 78.029 53.291 5224.962 28.77 28.77
4.6 10842.5 5274.9 -160.03 4.1 -0.27 -0.0 -0.0 1 78.017 53.304 5224.547 28.77 28.77
4.7 10842.11 5274.78 -160.03 4.1 -0.27 -0.0 -0.0 1 77.992 53.328 5224.14 28.77 28.77
4.8 10841.72 5274.67 -160.03 4.1 -0.27 -0.0 -0.0 1 77.977 53.343 5223.734 28.77 28.77
4.9 10841.32 5274.55 -160.03 4.1 -0.27 -0.0 -0.0 3 77.954 53.366 5223.317 57.54 57.54
5.0 10840.93 5274.44 -160.03 4.1 -0.27 -0.0 -0.0 3 77.939 53.381 5222.912 57.54 57.54
5.1 10840.53 5274.32 -160.03 4.1 -0.27 -0.0 -0.0 3 77.917 53.403 5222.495 57.54 57.54
5.2 10840.14 5274.21 -160.03 4.1 -0.27 -0.0 -0.0 3 77.902 53.418 5222.089 57.54 57.54
5.3 10839.74 5274.09 -160.03 4.1 -0.27 -0.0 -0.0 3 77.879 53.441 5221.672 57.54 57.54
5.4 10839.35 5273.98 -160.03 4.1 -0.27 0.0 -0.0 3 77.864 53.456 5221.267 57.54 57.54
5.5 10838.95 5273.86 -160.03 4.1 -0.27 0.0 -0.0 3 77.842 53.478 5220.849 57.54 57.54
5.6 10838.56 5273.75 -160.03 4.1 -0.27 0.0 -0.0 3 77.827 53.493 5220.444 57.54 57.54
5.7 10838.17 5273.63 -160.03 4.1 -0.27 0.0 -0.0 3 77.802 53.518 5220.037 57.54 57.54
5.8 10837.77 5273.52 -160.03 4.1 -0.27 0.0 -0.0 3 77.789 53.53 5219.622 57.54 57.54
5.9 10837.38 5273.41 -160.03 4.1 -0.27 0.0 -0.0 3 77.774 53.545 5219.217 57.54 57.54
6.0 10836.98 5273.29 -160.03 4.1 -0.27 0.0 -0.0 3 77.751 53.568 5218.799 57.54 57.54
6.1 10836.59 5273.18 -160.03 4.1 -0.27 0.0 -0.0 3 77.736 53.583 5218.394 57.54 57.54
6.2 10836.19 5273.06 -160.03 4.1 -0.27 0.0 -0.0 3 77.714 53.605 5217.977 57.54 57.54
6.3 10835.8 5272.95 -160.03 4.1 -0.27 0.0 -0.0 3 77.699 53.62 5217.572 57.54 57.54
6.4 10835.4 5272.83 -160.03 4.1 -0.27 0.0 -0.0 3 77.676 53.643 5217.154 57.54 57.54
6.5 10835.01 5272.72 -160.03 4.1 -0.27 0.0 -0.0 3 77.661 53.658 5216.749 57.54 57.54
6.6 10834.62 5272.6 -160.03 4.1 -0.27 0.0 -0.0 3 77.637 53.682 5216.341 57.54 57.54
6.7 10834.22 5272.49 -160.03 4.1 -0.27 0.0 -0.0 3 77.624 53.695 5215.927 57.54 57.54
6.8 10833.83 5272.37 -160.03 4.1 -0.27 0.0 -0.0 3 77.599 53.72 5215.519 57.54 57.54
6.9 10833.43 5272.26 -160.03 4.1 -0.27 0.0 -0.0 3 77.586 53.732 5215.104 57.54 57.54
7.0 10833.04 5272.15 -160.03 4.1 -0.27 0.0 -0.0 3 77.571 53.747 5214.699 57.54 57.54
7.1 10832.64 5272.03 -160.03 4.1 -0.27 0.0 -0.0 3 77.549 53.77 5214.281 57.54 57.54
7.2 10832.25 5271.92 -160.03 4.1 -0.27 0.0 -0.0 3 77.534 53.785 5213.876 57.54 57.54
7.3 10831.86 5271.8 -160.03 4.1 -0.27 0.0 -0.0 3 77.509 53.81 5213.469 57.54 57.54
7.4 10831.46 5271.69 -160.03 4.1 -0.27 0.0 -0.0 3 77.496 53.822 5213.054 57.54 57.54
7.5 10831.07 5271.57 -160.03 4.1 -0.27 0.0 -0.0 3 77.471 53.847 5212.646 57.54 57.54
