Navio: Aframax T150
Cenário: Forte
Manobra: Entrada PGL3A Atrac. BB NOTURNA
Corrente: N 0.7nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-160.0 4.11 -0.26 -0.0 0.0 0 5.19 5200.194
-160.0 4.11 -0.26 -0.0 0.0 0 5.178 5199.779
-160.0 4.11 -0.26 -0.0 0.0 0 5.153 5199.371
-160.0 4.11 -0.26 -0.0 0.0 0 5.13 5198.954
-160.0 4.11 -0.26 -0.0 0.0 0 5.115 5198.549
-160.0 4.11 -0.26 -0.0 0.0 0 5.093 5198.131
-160.0 4.11 -0.26 -0.0 0.0 0 5.068 5197.724
-160.0 4.11 -0.26 -0.0 0.0 0 5.055 5197.309
-160.0 4.11 -0.26 -0.0 0.0 0 5.031 5196.901
-160.0 4.11 -0.26 -0.0 0.0 0 5.008 5196.484
-160.0 4.11 -0.26 -0.0 0.0 0 4.993 5196.079
-160.0 4.11 -0.26 -0.0 0.0 0 4.971 5195.661
-160.0 4.11 -0.26 -0.0 0.0 0 4.956 5195.256
-160.0 4.11 -0.26 -0.0 0.0 0 4.933 5194.839
-160.0 4.11 -0.26 -0.0 0.0 0 4.909 5194.431
-160.0 4.11 -0.26 -0.0 0.0 0 4.896 5194.016
-160.0 4.11 -0.26 -0.0 0.0 0 4.871 5193.609
-160.0 4.11 -0.26 -0.0 0.0 0 4.849 5193.191
-160.0 4.11 -0.26 -0.0 0.0 0 4.834 5192.786
-160.0 4.11 -0.26 -0.0 0.0 0 4.811 5192.369
-160.0 4.11 -0.26 -0.0 -0.0 0 4.796 5191.964
-160.0 4.11 -0.26 -0.0 -0.0 0 4.774 5191.546
-160.0 4.11 -0.26 -0.0 -0.0 0 4.749 5191.139
-160.0 4.11 -0.26 -0.0 -0.0 0 4.736 5190.724
-160.0 4.11 -0.26 -0.0 -0.0 0 4.711 5190.316
-160.0 4.11 -0.26 -0.0 -0.0 0 4.699 5189.901
-160.0 4.11 -0.26 -0.0 -0.0 0 4.674 5189.494
-160.0 4.11 -0.26 -0.0 -0.0 0 4.652 5189.076
-160.0 4.11 -0.26 -0.0 -0.0 0 4.637 5188.671
-160.0 4.11 -0.26 -0.0 -0.0 0 4.614 5188.254
-160.0 4.11 -0.26 -0.0 -0.0 0 4.599 5187.849
-160.0 4.11 -0.26 -0.0 -0.0 0 4.577 5187.431
-160.0 4.11 -0.26 -0.0 -0.0 0 4.552 5187.024
-160.0 4.1 -0.26 -0.0 -0.0 0 4.537 5186.618
-160.0 4.1 -0.26 -0.0 -0.0 0 4.514 5186.201
-160.0 4.1 -0.26 -0.0 -0.0 0 4.499 5185.796
-160.0 4.1 -0.26 -0.0 -0.0 0 4.477 5185.379
-160.0 4.1 -0.26 -0.0 -0.0 0 4.462 5184.973
-160.0 4.1 -0.26 -0.0 -0.0 0 4.439 5184.556
-160.0 4.1 -0.26 -0.0 -0.0 0 4.415 5184.148
-160.0 4.1 -0.26 -0.0 -0.0 0 4.402 5183.734
-160.0 4.1 -0.26 -0.0 -0.0 0 4.377 5183.326
-160.0 4.1 -0.26 -0.0 -0.0 0 4.365 5182.911
-160.0 4.1 -0.26 -0.0 -0.0 0 4.34 5182.503
-160.0 4.1 -0.26 -0.0 -0.0 0 4.327 5182.089
-160.0 4.1 -0.26 -0.0 -0.0 0 4.302 5181.681
-160.0 4.1 -0.26 -0.0 -0.0 0 4.278 5181.273
-160.0 4.1 -0.26 -0.0 -0.0 0 4.265 5180.858
-160.0 4.1 -0.26 -0.0 -0.0 0 4.24 5180.451
-160.0 4.1 -0.27 -0.0 -0.0 0 4.227 5180.036
-160.0 4.1 -0.27 -0.0 -0.0 0 4.203 5179.628
-160.0 4.1 -0.27 -0.0 -0.0 0 4.19 5179.213
-160.0 4.1 -0.27 0.0 -0.0 0 4.165 5178.806
-160.0 4.1 -0.27 0.0 -0.0 0 4.152 5178.391
-160.0 4.1 -0.27 0.0 -0.0 0 4.128 5177.983
-160.0 4.1 -0.27 0.0 -0.0 0 4.115 5177.568
-160.0 4.1 -0.27 0.0 -0.0 0 4.09 5177.161
-160.0 4.1 -0.27 0.0 -0.0 0 4.075 5176.756
-160.0 4.1 -0.27 0.0 -0.0 0 4.053 5176.338
-160.0 4.1 -0.27 0.0 -0.0 0 4.038 5175.933
-160.0 4.1 -0.27 0.0 -0.0 0 4.015 5175.516
-160.0 4.1 -0.27 0.0 -0.0 0 4.0 5175.111
-160.0 4.1 -0.27 0.0 -0.0 0 3.978 5174.693
-160.0 4.1 -0.27 0.0 -0.0 0 3.963 5174.288
-160.0 4.1 -0.27 0.0 -0.0 0 3.94 5173.871
-160.0 4.1 -0.27 0.0 -0.0 0 3.925 5173.466
-160.0 4.1 -0.27 0.0 -0.0 0 3.901 5173.058
-160.0 4.1 -0.27 0.0 -0.0 0 3.888 5172.643
-160.0 4.1 -0.27 0.0 -0.0 0 3.863 5172.236
-160.0 4.1 -0.27 0.0 -0.0 0 3.85 5171.821
