Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada completa
Corrente: N 0.4nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-165.91 4.03 -0.1 -0.03 0.54 1 56.407 99.546 5983.122
-165.91 4.03 -0.1 -0.03 0.54 1 56.412 99.541 5982.722
-165.91 4.03 -0.1 -0.03 0.54 1 56.418 99.535 5982.312
-165.92 4.03 -0.1 -0.03 0.54 1 56.455 99.562 5981.912
-165.92 4.03 -0.1 -0.03 0.54 1 56.459 99.558 5981.512
-165.92 4.03 -0.1 -0.03 0.54 1 56.475 99.541 5981.105
-165.93 4.03 -0.1 -0.03 0.54 1 56.512 99.569 5980.705
-165.93 4.02 -0.1 -0.03 0.54 1 56.516 99.564 5980.304
-165.93 4.02 -0.1 -0.03 0.54 1 56.523 99.557 5979.895
-165.93 4.02 -0.1 -0.03 0.54 1 56.527 99.553 5979.494
-165.94 4.02 -0.1 -0.03 0.54 1 56.573 99.571 5979.097
-165.94 4.02 -0.1 -0.03 0.54 1 56.577 99.566 5978.697
-165.94 4.02 -0.1 -0.03 0.54 1 56.584 99.56 5978.287
-165.95 4.02 -0.1 -0.03 0.54 1 56.62 99.587 5977.887
-165.95 4.02 -0.1 -0.03 0.53 1 56.635 99.573 5977.489
-165.95 4.02 -0.1 -0.03 0.53 1 56.639 99.569 5977.089
-165.96 4.02 -0.1 -0.03 0.53 1 56.677 99.594 5976.679
-165.96 4.02 -0.1 -0.03 0.53 1 56.682 99.589 5976.279
-165.96 4.02 -0.1 -0.03 0.49 1 56.686 99.585 5975.879
-165.97 4.02 -0.1 -0.03 0.49 1 56.732 99.603 5975.481
-165.97 4.02 -0.1 -0.03 0.49 1 56.739 99.596 5975.071
-165.97 4.02 -0.1 -0.03 0.49 1 56.743 99.591 5974.671
-165.98 4.01 -0.1 -0.03 0.34 1 56.78 99.619 5974.271
-165.98 4.01 -0.1 -0.04 0.34 1 56.794 99.605 5973.873
-165.98 4.01 -0.1 -0.04 0.34 1 56.798 99.6 5973.473
-165.99 4.01 -0.1 -0.04 0.34 1 56.837 99.626 5973.063
-165.99 4.01 -0.1 -0.04 0.2 1 56.851 99.611 5972.665
-165.99 4.01 -0.1 -0.04 0.2 1 56.855 99.607 5972.265
-166.0 4.01 -0.1 -0.04 0.2 1 56.891 99.634 5971.865
-166.0 4.01 -0.1 -0.04 0.2 1 56.896 99.63 5971.465
-166.01 4.01 -0.1 -0.04 0.08 1 56.942 99.648 5971.067
-166.01 4.01 -0.1 -0.04 0.08 1 56.948 99.641 5970.657
-166.01 4.01 -0.1 -0.04 0.08 1 56.953 99.637 5970.257
-166.02 4.01 -0.1 -0.04 0.08 1 56.999 99.654 5969.86
-166.02 4.01 -0.1 -0.04 0.04 1 57.003 99.65 5969.46
-166.03 4.01 -0.1 -0.04 0.04 1 57.039 99.677 5969.059
-166.03 4.01 -0.11 -0.04 0.04 1 57.053 99.663 5968.662
-166.03 4.01 -0.11 -0.04 0.04 1 57.058 99.659 5968.262
-166.04 4.01 -0.11 -0.04 0.04 1 57.094 99.686 5967.861
-166.04 4.01 -0.11 -0.04 0.04 1 57.11 99.67 5967.454
-166.05 4.0 -0.11 -0.04 0.04 1 57.147 99.697 5967.054
-166.05 4.0 -0.11 -0.04 0.04 1 57.151 99.693 5966.654
-166.06 4.0 -0.11 -0.04 0.04 1 57.197 99.711 5966.256
-166.06 4.0 -0.11 -0.05 0.04 1 57.201 99.706 5965.856
-166.06 4.0 -0.11 -0.05 0.04 1 57.215 99.692 5965.458
-166.07 4.0 -0.11 -0.05 0.04 1 57.252 99.72 5965.058
-166.07 4.0 -0.11 -0.05 0.04 1 57.256 99.715 5964.658
-166.08 4.0 -0.11 -0.05 0.04 1 57.304 99.731 5964.251
-166.08 4.0 -0.11 -0.05 0.04 1 57.309 99.726 5963.85
-166.09 4.0 -0.11 -0.05 0.04 1 57.355 99.744 5963.453
-166.09 4.0 -0.11 -0.05 0.09 1 57.359 99.74 5963.053
-166.1 4.0 -0.11 -0.05 0.09 1 57.405 99.757 5962.655
-166.1 4.0 -0.11 -0.05 0.09 1 57.409 99.753 5962.255
-166.11 4.0 -0.11 -0.05 0.09 1 57.446 99.781 5961.855
-166.11 4.0 -0.11 -0.05 0.09 1 57.46 99.766 5961.457
-166.12 4.0 -0.11 -0.05 0.09 1 57.496 99.794 5961.057
-166.12 4.0 -0.11 -0.05 0.09 1 57.512 99.777 5960.649
-166.13 4.0 -0.11 -0.05 0.09 1 57.549 99.805 5960.249
-166.13 4.0 -0.11 -0.05 0.05 1 57.563 99.791 5959.852
-166.14 4.0 -0.11 -0.05 0.05 1 57.599 99.818 5959.451
