Navio: Suezmax T172
Cenário: Médio
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.489 5303.051 -164.835 3.091
0.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.496 5302.74 -164.835 3.091
0.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.503 5302.43 -164.835 3.091
0.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.51 5302.119 -164.835 3.091
0.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.52 5301.818 -164.835 3.091
0.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.537 5301.505 -164.835 3.091
0.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.544 5301.195 -164.835 3.091
0.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.551 5300.885 -164.835 3.091
0.8 -160.01 3.08 -0.26 0.0 0.0 0 -35.558 5300.574 -164.835 3.091
0.9 -160.01 3.08 -0.26 0.0 0.0 0 -35.565 5300.264 -164.835 3.091
1.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.572 5299.953 -164.835 3.091
1.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.581 5299.652 -164.835 3.091
1.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.589 5299.342 -164.835 3.091
1.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.605 5299.029 -164.835 3.091
1.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.612 5298.719 -164.835 3.091
1.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.62 5298.408 -164.835 3.091
1.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.627 5298.098 -164.835 3.091
1.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.636 5297.797 -164.835 3.091
1.8 -160.01 3.08 -0.26 0.0 0.0 0 -35.643 5297.486 -164.835 3.091
1.9 -160.01 3.08 -0.26 0.0 0.0 0 -35.65 5297.176 -164.835 3.091
2.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.657 5296.866 -164.835 3.091
2.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.674 5296.553 -164.835 3.091
2.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.684 5296.252 -164.835 3.091
2.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.691 5295.941 -164.835 3.091
2.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.698 5295.631 -164.835 3.091
2.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.705 5295.32 -164.835 3.091
2.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.712 5295.01 -164.835 3.091
2.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.719 5294.7 -164.835 3.091
2.8 -160.01 3.08 -0.26 0.0 0.0 0 -35.729 5294.399 -164.835 3.091
2.9 -160.01 3.08 -0.26 0.0 0.0 0 -35.745 5294.086 -164.835 3.091
3.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.752 5293.775 -164.835 3.091
3.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.76 5293.465 -164.835 3.091
3.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.767 5293.154 -164.835 3.091
3.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.776 5292.854 -164.835 3.091
3.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.783 5292.543 -164.835 3.091
3.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.79 5292.233 -164.835 3.091
3.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.797 5291.922 -164.835 3.091
3.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.814 5291.609 -164.835 3.091
