Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target
0.0 10930.76 5247.05 -170.0 3.08 0.26 -0.0 0.0 0 36.68833669233444 107.63969279508332 5303.040841597238
0.1 10930.46 5246.97 -170.0 3.08 0.25 -0.0 0.0 0 36.68121991323085 107.64675998656656 5302.730382501106
0.2 10930.16 5246.89 -170.0 3.08 0.25 -0.0 0.0 0 36.6741031341244 107.65382717804981 5302.419923407833
0.3 10929.86 5246.82 -170.0 3.08 0.25 -0.0 0.0 0 36.67670522618955 107.65117587461727 5302.111919604333
0.4 10929.57 5246.74 -170.01 3.08 0.25 -0.01 0.0 0 36.64324353021426 107.63660956131491 5301.811154403024
0.5 10929.27 5246.66 -170.01 3.08 0.25 -0.01 0.0 0 36.63612675110781 107.64367675279816 5301.500695313011
0.6 10928.97 5246.58 -170.01 3.08 0.25 -0.01 0.0 0 36.62900997200422 107.65074394427855 5301.190236225854
0.7 10928.67 5246.5 -170.01 3.08 0.25 -0.01 0.0 0 36.62189319290063 107.65781113576179 5300.879777141558
0.8 10928.37 5246.43 -170.01 3.08 0.24 -0.01 0.0 0 36.624495284965775 107.6551598323321 5300.57177332468
0.9 10928.07 5246.35 -170.01 3.08 0.24 -0.01 0.0 0 36.617378505862185 107.66222702381249 5300.261314238981
1.0 10927.77 5246.27 -170.01 3.08 0.24 -0.01 0.0 0 36.610261726758594 107.66929421529574 5299.950855156144
1.1 10927.47 5246.19 -170.01 3.08 0.24 -0.01 0.0 0 36.60314494765215 107.67636140677898 5299.6403960761645
1.2 10927.17 5246.12 -170.01 3.08 0.24 -0.01 0.0 0 36.60574703972015 107.67371010334642 5299.3323922528525
1.3 10926.87 5246.04 -170.01 3.08 0.24 -0.01 0.0 0 36.5986302606137 107.68077729482967 5299.021933171474
1.4 10926.57 5245.96 -170.02 3.08 0.24 -0.01 0.0 0 36.567524035677096 107.6638559546313 5298.711474092955
1.5 10926.27 5245.89 -170.02 3.08 0.24 -0.02 0.0 0 36.5701261277451 107.66120465119876 5298.403470267467
1.6 10925.97 5245.81 -170.02 3.08 0.23 -0.02 0.0 0 36.56300934863865 107.668271842682 5298.093011187548
1.7 10925.67 5245.73 -170.02 3.08 0.23 -0.02 0.0 0 36.5558925695322 107.67533903416525 5297.7825521104905
1.8 10925.37 5245.66 -170.02 3.08 0.23 -0.02 0.0 0 36.5584946616002 107.67268773073269 5297.4745482828275
1.9 10925.07 5245.58 -170.02 3.08 0.23 -0.02 0.0 0 36.55137788249661 107.67975492221593 5297.164089204367
2.0 10924.77 5245.5 -170.03 3.08 0.23 -0.02 0.0 0 36.52027265631801 107.66283458144493 5296.853630128771
2.1 10924.47 5245.43 -170.03 3.08 0.23 -0.02 0.0 0 36.52287474838601 107.66018327801237 5296.545626298931
2.2 10924.17 5245.35 -170.03 3.08 0.23 -0.02 0.0 0 36.51575796927956 107.66725046949561 5296.235167221933
2.3 10923.88 5245.28 -170.03 3.08 0.23 -0.02 0.0 0 36.516005588338025 107.66695519166022 5295.936857296009
2.4 10923.58 5245.2 -170.04 3.08 0.23 -0.02 0.0 0 36.48490136164915 107.65003585104849 5295.626398219415
2.5 10923.28 5245.13 -170.04 3.08 0.22 -0.03 0.0 0 36.48750345371715 107.64738454761594 5295.318394391063
2.6 10922.98 5245.05 -170.04 3.08 0.22 -0.03 0.0 0 36.48038667461356 107.65445173909919 5295.007935313065
2.7 10922.68 5244.98 -170.04 3.08 0.22 -0.03 0.0 0 36.48298876667871 107.65180043566663 5294.699931486801
2.8 10922.38 5244.9 -170.05 3.08 0.22 -0.03 0.0 0 36.45188554021414 107.63488209594898 5294.389472407402
2.9 10922.08 5244.83 -170.05 3.08 0.22 -0.03 0.0 0 36.454487632282145 107.63223079251644 5294.0814685832265
3.0 10921.78 5244.75 -170.05 3.08 0.22 -0.03 0.0 0 36.4473708531757 107.63929798399968 5293.771009502427
3.1 10921.48 5244.68 -170.05 3.08 0.22 -0.03 0.0 0 36.4499729452437 107.63664668056714 5293.46300568034
3.2 10921.18 5244.6 -170.06 3.08 0.22 -0.03 0.0 0 36.418870719729455 107.61972934246693 5293.152546598137
