Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-162.75 3.95 -0.51 0.11 0.07 3 66.264 78.157 6031.933
-162.74 3.95 -0.51 0.11 0.12 3 66.264 78.109 6031.538
-162.73 3.95 -0.51 0.11 0.12 3 66.273 78.052 6031.146
-162.71 3.95 -0.51 0.11 0.12 3 66.251 77.978 6030.741
-162.7 3.95 -0.51 0.12 0.12 3 66.251 77.93 6030.346
-162.69 3.95 -0.51 0.12 0.13 3 66.251 77.882 6029.95
-162.68 3.95 -0.51 0.12 0.13 3 66.251 77.834 6029.555
-162.67 3.95 -0.51 0.12 0.13 3 66.253 77.784 6029.15
-162.66 3.95 -0.51 0.12 0.13 3 66.253 77.736 6028.755
-162.64 3.95 -0.51 0.12 0.13 3 66.238 77.654 6028.363
-162.63 3.95 -0.51 0.12 0.13 3 66.238 77.607 6027.968
-162.62 3.95 -0.51 0.12 0.13 3 66.238 77.559 6027.572
-162.61 3.95 -0.51 0.12 0.13 3 66.238 77.511 6027.177
-162.6 3.95 -0.51 0.12 0.13 3 66.24 77.461 6026.772
-162.58 3.95 -0.51 0.12 0.13 3 66.216 77.389 6026.377
-162.57 3.95 -0.51 0.12 0.13 3 66.216 77.341 6025.982
-162.56 3.95 -0.51 0.12 0.13 3 66.216 77.293 6025.587
-162.55 3.95 -0.51 0.12 0.1 3 66.215 77.245 6025.192
-162.53 3.95 -0.51 0.13 0.1 3 66.194 77.171 6024.787
-162.52 3.95 -0.51 0.13 0.1 3 66.193 77.123 6024.392
-162.51 3.95 -0.51 0.13 0.1 3 66.193 77.076 6023.997
-162.5 3.95 -0.51 0.13 0.1 3 66.193 77.028 6023.602
-162.48 3.95 -0.51 0.13 0.1 3 66.169 76.956 6023.206
-162.47 3.95 -0.51 0.13 0.1 3 66.171 76.906 6022.802
-162.46 3.96 -0.51 0.13 0.1 3 66.171 76.858 6022.407
-162.45 3.96 -0.51 0.13 0.23 3 66.171 76.81 6022.011
-162.43 3.96 -0.52 0.13 0.23 3 66.149 76.736 6021.607
-162.42 3.96 -0.52 0.13 0.23 3 66.149 76.688 6021.211
-162.41 3.96 -0.52 0.13 0.23 3 66.149 76.64 6020.816
-162.39 3.96 -0.52 0.13 0.29 3 66.125 76.569 6020.421
-162.38 3.97 -0.52 0.13 0.29 3 66.127 76.519 6020.016
-162.37 3.97 -0.52 0.13 0.29 3 66.127 76.471 6019.621
-162.35 3.97 -0.52 0.13 0.29 3 66.105 76.397 6019.216
-162.34 3.97 -0.52 0.13 0.37 3 66.105 76.349 6018.821
-162.33 3.98 -0.52 0.13 0.37 3 66.105 76.301 6018.426
-162.31 3.98 -0.52 0.13 0.37 3 66.083 76.227 6018.021
-162.3 3.98 -0.52 0.14 0.37 3 66.083 76.179 6017.626
-162.29 3.98 -0.52 0.14 0.43 3 66.075 76.139 6017.219
-162.27 3.99 -0.52 0.14 0.43 3 66.053 76.065 6016.814
-162.26 3.99 -0.53 0.14 0.43 3 66.053 76.017 6016.419
-162.25 3.99 -0.53 0.14 0.43 3 66.055 75.967 6016.014
-162.23 3.99 -0.53 0.14 0.51 3 66.031 75.895 6015.619
-162.22 4.0 -0.53 0.14 0.51 3 66.034 75.845 6015.214
-162.2 4.0 -0.53 0.14 0.51 3 66.002 75.78 6014.807
-162.19 4.0 -0.53 0.14 0.51 3 66.002 75.733 6014.412
-162.18 4.01 -0.53 0.14 0.55 3 66.004 75.682 6014.007
-162.16 4.01 -0.53 0.14 0.55 3 65.982 75.608 6013.602
-162.15 4.01 -0.53 0.14 0.55 3 65.985 75.558 6013.197
-162.13 4.01 -0.54 0.14 0.55 3 65.963 75.484 6012.792
-162.12 4.02 -0.54 0.14 0.55 3 65.953 75.446 6012.395
-162.11 4.02 -0.54 0.14 0.55 3 65.955 75.396 6011.99
-162.09 4.02 -0.54 0.14 0.55 3 65.934 75.322 6011.585
-162.08 4.03 -0.54 0.14 0.55 3 65.936 75.272 6011.18
-162.06 4.03 -0.54 0.14 0.55 3 65.904 75.207 6010.773
-162.05 4.03 -0.54 0.14 0.55 3 65.907 75.157 6010.368
-162.03 4.03 -0.55 0.14 0.55 3 65.885 75.083 6009.963
-162.02 4.04 -0.55 0.14 0.55 3 65.887 75.033 6009.558
-162.01 4.04 -0.55 0.14 0.55 3 65.88 74.993 6009.151
-161.99 4.04 -0.55 0.14 0.55 3 65.86 74.916 6008.737
-161.98 4.04 -0.55 0.14 0.55 3 65.863 74.866 6008.332
-161.96 4.05 -0.55 0.14 0.55 3 65.841 74.792 6007.927
-161.95 4.05 -0.55 0.14 0.59 3 65.834 74.752 6007.52
-161.93 4.05 -0.55 0.14 0.59 3 65.812 74.678 6007.115
-161.92 4.05 -0.56 0.14 0.59 3 65.816 74.625 6006.7
-161.91 4.06 -0.56 0.14 0.59 3 65.809 74.585 6006.293
-161.89 4.06 -0.56 0.15 0.61 3 65.787 74.511 6005.888
-161.88 4.06 -0.56 0.15 0.61 3 65.79 74.461 6005.483
-161.86 4.06 -0.56 0.15 0.61 3 65.77 74.384 6005.069
-161.85 4.06 -0.56 0.15 0.61 3 65.763 74.344 6004.662
-161.83 4.07 -0.56 0.15 0.63 3 65.743 74.268 6004.247
-161.82 4.07 -0.56 0.15 0.63 3 65.746 74.218 6003.842
-161.8 4.07 -0.56 0.15 0.63 3 65.714 74.153 6003.435
-161.79 4.07 -0.57 0.15 0.63 3 65.719 74.101 6003.02
-161.77 4.07 -0.57 0.15 0.63 3 65.697 74.027 6002.616
-161.76 4.07 -0.57 0.15 0.63 3 65.692 73.984 6002.199
-161.75 4.07 -0.57 0.15 0.63 3 65.695 73.934 6001.794
-161.73 4.07 -0.57 0.15 0.63 3 65.675 73.858 6001.379
-161.72 4.07 -0.57 0.15 0.63 3 65.668 73.817 6000.972
-161.7 4.08 -0.57 0.15 0.63 3 65.646 73.743 6000.567
-161.69 4.08 -0.57 0.15 0.63 3 65.641 73.701 6000.15
-161.67 4.08 -0.57 0.15 0.63 3 65.619 73.627 5999.745
-161.66 4.08 -0.57 0.15 0.63 3 65.624 73.574 5999.331
-161.64 4.08 -0.57 0.15 0.63 3 65.593 73.51 5998.924
-161.63 4.08 -0.58 0.15 0.63 3 65.597 73.457 5998.509
-161.61 4.08 -0.58 0.15 0.63 3 65.576 73.383 5998.104
-161.6 4.08 -0.58 0.15 0.63 3 65.571 73.341 5997.687
-161.58 4.08 -0.58 0.15 0.63 3 65.549 73.267 5997.282
-161.57 4.08 -0.58 0.15 0.63 3 65.544 73.224 5996.865
