Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada TECON
Corrente: N 0.5nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
0.0 -160.0 3.6 -0.0 -0.0 0.0 0 8.485 3485.241 -160.0 3.6 -6.586
0.1 -160.0 3.6 -0.0 -0.0 0.0 0 8.447 3484.881 -160.0 3.6 -6.586
0.2 -160.0 3.6 -0.0 -0.0 0.0 0 8.4 3484.519 -160.0 3.6 -6.586
0.3 -160.0 3.6 -0.0 -0.0 0.0 0 8.359 3484.169 -160.0 3.6 -6.586
0.4 -160.0 3.6 -0.0 -0.0 0.0 0 8.321 3483.81 -160.0 3.6 -6.586
0.5 -160.0 3.6 -0.0 -0.0 0.0 0 8.274 3483.447 -160.0 3.6 -6.586
0.6 -160.0 3.6 -0.0 -0.01 0.0 0 8.236 3483.088 -160.0 3.6 -6.586
0.7 -160.0 3.6 -0.0 -0.01 0.0 0 8.198 3482.728 -160.0 3.6 -6.586
0.8 -160.0 3.6 -0.01 -0.01 0.0 0 8.158 3482.378 -160.159 3.6 -6.427
0.9 -160.0 3.6 -0.01 -0.01 0.0 0 8.11 3482.016 -160.159 3.6 -6.427
1.0 -160.0 3.6 -0.01 -0.01 0.0 0 8.073 3481.656 -160.159 3.6 -6.427
1.1 -160.01 3.6 -0.01 -0.01 0.0 0 8.035 3481.297 -160.169 3.6 -6.417
1.2 -160.01 3.6 -0.01 -0.01 0.0 0 7.997 3480.937 -160.169 3.6 -6.417
1.3 -160.01 3.6 -0.01 -0.01 0.0 0 7.949 3480.575 -160.169 3.6 -6.417
1.4 -160.01 3.6 -0.01 -0.01 0.0 0 7.909 3480.225 -160.169 3.6 -6.417
1.5 -160.01 3.6 -0.01 -0.01 0.0 0 7.871 3479.866 -160.169 3.6 -6.417
1.6 -160.01 3.6 -0.01 -0.01 0.0 0 7.833 3479.506 -160.169 3.6 -6.417
1.7 -160.01 3.6 -0.01 -0.01 0.0 0 7.796 3479.146 -160.169 3.6 -6.417
1.8 -160.01 3.6 -0.01 -0.01 0.0 0 7.748 3478.784 -160.169 3.6 -6.417
1.9 -160.01 3.59 -0.01 -0.01 0.0 0 7.71 3478.425 -160.17 3.59 -6.417
2.0 -160.02 3.59 -0.01 -0.01 0.0 0 7.67 3478.075 -160.18 3.59 -6.407
2.1 -160.02 3.59 -0.01 -0.01 0.0 0 7.632 3477.715 -160.18 3.59 -6.407
2.2 -160.02 3.59 -0.01 -0.02 0.0 0 7.594 3477.355 -160.18 3.59 -6.407
2.3 -160.02 3.59 -0.01 -0.02 0.0 0 7.556 3476.996 -160.18 3.59 -6.407
2.4 -160.02 3.59 -0.01 -0.02 0.0 0 7.509 3476.634 -160.18 3.59 -6.407
2.5 -160.02 3.59 -0.01 -0.02 0.0 0 7.469 3476.284 -160.18 3.59 -6.407
2.6 -160.03 3.59 -0.01 -0.02 0.0 0 7.431 3475.924 -160.19 3.59 -6.397
2.7 -160.03 3.59 -0.01 -0.02 0.0 0 7.393 3475.565 -160.19 3.59 -6.397
2.8 -160.03 3.59 -0.02 -0.02 0.0 0 7.355 3475.205 -160.349 3.59 -6.237
2.9 -160.03 3.59 -0.02 -0.02 0.0 0 7.317 3474.845 -160.349 3.59 -6.237
3.0 -160.03 3.59 -0.02 -0.02 0.0 0 7.279 3474.486 -160.349 3.59 -6.237
3.1 -160.03 3.59 -0.02 -0.02 0.0 0 7.229 3474.133 -160.349 3.59 -6.237
3.2 -160.04 3.59 -0.02 -0.02 0.0 0 7.192 3473.774 -160.359 3.59 -6.227
3.3 -160.04 3.59 -0.02 -0.02 0.0 0 7.154 3473.414 -160.359 3.59 -6.227
3.4 -160.04 3.59 -0.02 -0.02 0.0 0 7.116 3473.054 -160.359 3.59 -6.227
3.5 -160.04 3.59 -0.02 -0.02 0.0 0 7.078 3472.695 -160.359 3.59 -6.227
3.6 -160.05 3.59 -0.02 -0.02 0.0 0 7.038 3472.345 -160.369 3.59 -6.217
