Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada TECON
Corrente: N 0.5nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target
0.0 7385.47 4442.92 -160.0 4.11 -0.0 -0.0 0.0 0 68.71782064314239 47.07798763882236 1671.3147475446806
0.1 7385.09 4442.78 -160.0 4.11 -0.0 -0.0 0.0 0 68.66898216177304 47.12521307216815 1670.9102942576958
0.2 7384.7 4442.64 -160.0 4.11 -0.0 -0.0 0.0 0 68.6224438790716 47.17009928653191 1670.4962952554963
0.3 7384.31 4442.5 -160.0 4.11 -0.0 -0.0 0.0 0 68.57590559636698 47.214985500895665 1670.0822964358194
0.4 7383.93 4442.36 -160.0 4.11 -0.0 -0.0 0.0 0 68.5270671150008 47.262210934244614 1669.6778438262693
0.5 7383.54 4442.22 -160.0 4.11 -0.0 -0.01 0.0 0 68.48052883229619 47.30709714860837 1669.263845403218
0.6 7383.15 4442.08 -160.0 4.11 -0.01 -0.01 0.0 0 68.43399054959474 47.35198336297213 1668.8498471631106
0.7 7382.77 4441.94 -160.0 4.11 -0.01 -0.01 0.0 0 68.38515206822538 47.39920879631792 1668.445395232442
0.8 7382.38 4441.8 -160.0 4.11 -0.01 -0.01 0.0 0 68.33861378552395 47.44409501068168 1668.031397389851
0.9 7381.99 4441.66 -160.0 4.11 -0.01 -0.01 0.0 0 68.29207550281932 47.488981225045436 1667.617399730627
1.0 7381.61 4441.52 -160.01 4.11 -0.01 -0.01 0.0 0 68.27187002543496 47.564869836864624 1667.2129484802888
1.1 7381.22 4441.38 -160.01 4.11 -0.01 -0.01 0.0 0 68.22533174273033 47.60975605122838 1666.7989512194742
1.2 7380.83 4441.24 -160.01 4.11 -0.01 -0.01 0.0 0 68.17879346002888 47.65464226559214 1666.384954142451
1.3 7380.45 4441.1 -160.01 4.11 -0.01 -0.01 0.0 0 68.12995497866272 47.70186769894109 1665.980503573898
1.4 7380.06 4440.96 -160.01 4.11 -0.01 -0.01 0.0 0 68.08341669595809 47.74675391330484 1665.5665068961791
1.5 7379.68 4440.82 -160.01 4.11 -0.01 -0.01 0.0 0 68.03457821458875 47.793979346650644 1665.1620567951757
1.6 7379.29 4440.68 -160.01 4.11 -0.01 -0.02 0.0 0 67.9880399318873 47.838865561014394 1664.7480605173682
1.7 7378.9 4440.54 -160.02 4.11 -0.01 -0.02 0.0 0 67.97013597560841 47.91241625623221 1664.334064424068
1.8 7378.52 4440.4 -160.02 4.11 -0.01 -0.02 0.0 0 67.92129749423907 47.95964168958117 1663.9296150072994
1.9 7378.13 4440.26 -160.02 4.11 -0.01 -0.02 0.0 0 67.87475921153762 48.00452790394492 1663.5156193148111
2.0 7377.74 4440.12 -160.02 4.11 -0.01 -0.02 0.0 0 67.82822092883617 48.049414118308675 1663.101623807258
2.1 7377.36 4439.98 -160.02 4.11 -0.01 -0.02 0.0 0 67.77938244746683 48.09663955165763 1662.6971750761884
2.2 7376.97 4439.85 -160.02 4.11 -0.02 -0.02 0.0 0 67.74257602409737 48.1318032121092 1662.2861568990882
2.3 7376.58 4439.71 -160.03 4.11 -0.02 -0.02 0.0 0 67.72467338938904 48.20535520883644 1661.8721618777838
2.4 7376.2 4439.57 -160.03 4.11 -0.02 -0.02 0.0 0 67.6758349080197 48.25258064218223 1661.4677137158994
2.5 7375.81 4439.43 -160.03 4.11 -0.02 -0.02 0.0 0 67.62929662531825 48.29746685654599 1661.05371909711
2.6 7375.42 4439.29 -160.03 4.11 -0.02 -0.02 0.0 0 67.58275834261363 48.342353070909745 1660.6397246640643
2.7 7375.04 4439.15 -160.04 4.11 -0.02 -0.02 0.0 0 67.56255682993456 48.41824558726035 1660.2352771906571
