Navio: Aframax
Cenário: Médio
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.0m 8s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 distance_port distance_starboard distance_target discrete_propeller
267.0 11648.65 5503.41 -164.54 3.62 -0.31 0.04 -0.17 124.633 35.491 6062.33 95
267.1 11648.3 5503.35 -164.54 3.63 -0.31 0.04 -0.17 124.657 35.467 6061.976 95
267.2 11647.94 5503.28 -164.53 3.63 -0.32 0.04 -0.17 124.652 35.429 6061.611 95
267.3 11647.58 5503.22 -164.53 3.63 -0.32 0.04 -0.17 124.679 35.403 6061.247 95
267.4 11647.22 5503.15 -164.53 3.63 -0.32 0.04 -0.17 124.696 35.386 6060.881 95
267.5 11646.86 5503.08 -164.52 3.63 -0.32 0.04 -0.17 124.691 35.348 6060.515 95
267.6 11646.51 5503.02 -164.52 3.63 -0.32 0.04 -0.17 124.715 35.324 6060.162 95
267.7 11646.15 5502.95 -164.51 3.63 -0.32 0.05 -0.17 124.711 35.286 6059.796 95
267.8 11645.79 5502.88 -164.51 3.63 -0.32 0.05 -0.17 124.727 35.269 6059.43 95
267.9 11645.43 5502.82 -164.5 3.63 -0.32 0.05 -0.17 124.733 35.221 6059.067 95
268.0 11645.07 5502.75 -164.5 3.63 -0.32 0.05 -0.17 124.749 35.204 6058.701 95
268.1 11644.71 5502.69 -164.49 3.64 -0.32 0.05 -0.17 124.755 35.157 6058.337 95
268.2 11644.35 5502.62 -164.49 3.64 -0.32 0.05 -0.17 124.771 35.14 6057.972 95
268.3 11643.99 5502.55 -164.48 3.64 -0.32 0.05 -0.17 124.767 35.102 6057.606 95
268.4 11643.64 5502.49 -164.48 3.64 -0.32 0.05 -0.17 124.791 35.078 6057.252 95
268.5 11643.28 5502.42 -164.48 3.64 -0.33 0.05 -0.17 124.808 35.061 6056.886 95
268.6 11642.92 5502.36 -164.47 3.64 -0.33 0.05 -0.17 124.813 35.013 6056.523 95
268.7 11642.56 5502.29 -164.47 3.64 -0.33 0.05 -0.17 124.83 34.996 6056.157 95
268.8 11642.2 5502.22 -164.46 3.64 -0.33 0.05 -0.17 124.825 34.958 6055.791 95
268.9 11641.84 5502.16 -164.46 3.64 -0.33 0.05 -0.17 124.852 34.932 6055.428 95
269.0 11641.48 5502.09 -164.45 3.64 -0.33 0.05 -0.17 124.847 34.894 6055.062 95
269.1 11641.12 5502.03 -164.45 3.64 -0.33 0.05 -0.17 124.873 34.867 6054.698 95
269.2 11640.76 5501.96 -164.44 3.64 -0.33 0.05 -0.17 124.869 34.829 6054.333 95
269.3 11640.4 5501.89 -164.44 3.64 -0.33 0.05 -0.17 124.886 34.812 6053.967 95
269.4 11640.04 5501.83 -164.43 3.64 -0.33 0.05 -0.17 124.891 34.765 6053.603 95
269.5 11639.68 5501.76 -164.43 3.64 -0.33 0.05 -0.17 124.908 34.748 6053.237 95
269.6 11639.32 5501.7 -164.42 3.64 -0.33 0.05 -0.17 124.913 34.7 6052.874 95
269.7 11638.96 5501.63 -164.42 3.64 -0.33 0.05 -0.17 124.93 34.683 6052.508 95
269.8 11638.6 5501.56 -164.41 3.64 -0.33 0.05 -0.17 124.925 34.645 6052.142 95
269.9 11638.24 5501.5 -164.41 3.64 -0.33 0.05 -0.17 124.952 34.619 6051.779 95
270.0 11637.88 5501.43 -164.4 3.64 -0.33 0.05 -0.17 124.947 34.581 6051.413 95
270.1 11637.52 5501.36 -164.4 3.64 -0.33 0.05 -0.12 124.964 34.564 6051.047 95
270.2 11637.16 5501.3 -164.39 3.64 -0.33 0.05 -0.12 124.969 34.516 6050.684 95
270.3 11636.8 5501.23 -164.39 3.64 -0.33 0.05 -0.12 124.986 34.5 6050.318 95
270.4 11636.44 5501.17 -164.39 3.64 -0.33 0.05 -0.12 125.012 34.473 6049.955 95
270.5 11636.09 5501.1 -164.38 3.64 -0.33 0.05 -0.12 125.005 34.437 6049.598 95
270.6 11635.73 5501.03 -164.38 3.64 -0.33 0.04 -0.02 125.022 34.421 6049.233 95
270.7 11635.37 5500.97 -164.37 3.64 -0.33 0.04 -0.02 125.027 34.373 6048.869 95
270.8 11635.01 5500.9 -164.37 3.64 -0.32 0.04 -0.02 125.044 34.356 6048.503 95
270.9 11634.65 5500.83 -164.36 3.63 -0.32 0.04 -0.02 125.04 34.318 6048.137 95
271.0 11634.29 5500.77 -164.36 3.63 -0.32 0.04 -0.02 125.066 34.292 6047.774 95
271.1 11633.93 5500.7 -164.35 3.63 -0.32 0.04 0.01 125.062 34.254 6047.408 95
271.2 11633.57 5500.63 -164.35 3.63 -0.32 0.04 0.01 125.078 34.237 6047.042 95
271.3 11633.22 5500.56 -164.35 3.63 -0.32 0.04 0.01 125.093 34.222 6046.686 95
271.4 11632.86 5500.5 -164.34 3.63 -0.32 0.04 0.01 125.098 34.175 6046.323 95
271.5 11632.5 5500.43 -164.34 3.63 -0.32 0.04 0.01 125.115 34.158 6045.957 95
271.6 11632.14 5500.36 -164.33 3.63 -0.32 0.04 0.01 125.11 34.12 6045.591 95
271.7 11631.78 5500.3 -164.33 3.62 -0.32 0.04 0.01 125.137 34.093 6045.228 95
271.8 11631.43 5500.23 -164.33 3.62 -0.32 0.04 0.01 125.151 34.079 6044.871 95
271.9 11631.07 5500.16 -164.32 3.62 -0.32 0.04 0.01 125.146 34.041 6044.506 95
272.0 11630.71 5500.09 -164.32 3.62 -0.32 0.04 0.01 125.163 34.024 6044.14 95
272.1 11630.36 5500.03 -164.31 3.62 -0.31 0.04 0.0 125.166 33.979 6043.786 95
272.2 11630.0 5499.96 -164.31 3.62 -0.31 0.04 0.0 125.183 33.962 6043.42 95
272.3 11629.64 5499.89 -164.31 3.62 -0.31 0.04 0.0 125.2 33.945 6043.054 95
272.4 11629.28 5499.82 -164.3 3.62 -0.31 0.04 0.0 125.195 33.907 6042.688 95
272.5 11628.93 5499.76 -164.3 3.61 -0.31 0.04 0.0 125.219 33.883 6042.335 95
272.6 11628.57 5499.69 -164.3 3.61 -0.31 0.04 0.0 125.236 33.866 6041.969 95
272.7 11628.22 5499.62 -164.29 3.61 -0.31 0.04 0.0 125.229 33.831 6041.613 95
272.8 11627.86 5499.55 -164.29 3.61 -0.31 0.04 0.0 125.246 33.814 6041.247 95
272.9 11627.5 5499.48 -164.28 3.61 -0.31 0.04 0.0 125.241 33.776 6040.881 95
273.0 11627.15 5499.42 -164.28 3.61 -0.31 0.04 0.0 125.265 33.752 6040.527 95
273.1 11626.79 5499.35 -164.28 3.61 -0.31 0.04 0.0 125.282 33.735 6040.161 95
273.2 11626.44 5499.28 -164.27 3.6 -0.31 0.04 0.0 125.275 33.699 6039.805 95
273.3 11626.08 5499.21 -164.27 3.6 -0.31 0.04 0.0 125.292 33.683 6039.439 95
273.4 11625.73 5499.14 -164.27 3.6 -0.31 0.04 0.0 125.306 33.668 6039.083 95
273.5 11625.37 5499.08 -164.26 3.6 -0.31 0.04 0.0 125.312 33.62 6038.72 95
273.6 11625.02 5499.01 -164.26 3.6 -0.31 0.04 0.0 125.326 33.606 6038.363 95
273.7 11624.66 5498.94 -164.25 3.6 -0.3 0.04 0.0 125.322 33.568 6037.998 95
