Navio: Suezmax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-160.0 3.08 -0.0 -0.0 -0.26 0 7.799 4402.847
-160.0 3.08 -0.0 -0.0 -0.26 0 7.771 4402.541
-160.0 3.08 -0.0 -0.0 -0.26 0 7.732 4402.232
-160.0 3.08 -0.0 -0.0 -0.26 0 7.703 4401.927
-160.0 3.08 -0.0 -0.0 -0.26 0 7.664 4401.618
-160.0 3.08 -0.01 -0.0 -0.26 0 7.636 4401.312
-160.0 3.08 -0.01 -0.0 -0.26 0 7.597 4401.004
-160.0 3.08 -0.01 -0.0 -0.26 0 7.568 4400.698
-160.0 3.08 -0.01 -0.01 -0.26 0 7.529 4400.389
-160.0 3.08 -0.01 -0.01 -0.26 0 7.501 4400.083
-160.0 3.08 -0.01 -0.01 -0.26 0 7.462 4399.775
-160.0 3.08 -0.01 -0.01 -0.26 0 7.433 4399.469
-160.01 3.08 -0.01 -0.01 -0.26 0 7.404 4399.163
-160.01 3.08 -0.01 -0.01 -0.26 0 7.366 4398.854
-160.01 3.08 -0.01 -0.01 -0.26 0 7.337 4398.548
-160.01 3.08 -0.01 -0.01 -0.26 0 7.298 4398.24
-160.01 3.08 -0.02 -0.01 -0.26 0 7.269 4397.934
-160.01 3.08 -0.02 -0.01 -0.26 0 7.231 4397.625
-160.01 3.08 -0.02 -0.01 -0.26 0 7.202 4397.319
-160.01 3.08 -0.02 -0.01 -0.26 0 7.173 4397.013
-160.01 3.08 -0.02 -0.01 -0.26 0 7.134 4396.705
-160.01 3.08 -0.02 -0.01 -0.26 0 7.105 4396.399
-160.02 3.08 -0.02 -0.01 -0.26 0 7.076 4396.093
-160.02 3.08 -0.02 -0.01 -0.26 0 7.04 4395.775
-160.02 3.08 -0.02 -0.01 -0.26 0 7.011 4395.469
-160.02 3.08 -0.02 -0.01 -0.26 0 6.982 4395.163
-160.02 3.08 -0.02 -0.02 -0.26 0 6.944 4394.854
-160.02 3.08 -0.02 -0.02 -0.26 0 6.915 4394.548
-160.02 3.08 -0.03 -0.02 -0.26 0 6.886 4394.242
-160.03 3.08 -0.03 -0.02 -0.26 0 6.847 4393.934
-160.03 3.08 -0.03 -0.02 -0.26 0 6.819 4393.628
-160.03 3.08 -0.03 -0.02 -0.26 0 6.79 4393.322
-160.03 3.08 -0.03 -0.02 -0.26 0 6.761 4393.016
-160.03 3.08 -0.03 -0.02 -0.26 0 6.722 4392.707
-160.03 3.08 -0.03 -0.02 -0.26 0 6.693 4392.401
-160.04 3.08 -0.03 -0.02 -0.26 0 6.664 4392.095
-160.04 3.08 -0.03 -0.02 -0.26 0 6.638 4391.78
-160.04 3.08 -0.03 -0.02 -0.26 0 6.599 4391.471
-160.04 3.08 -0.04 -0.02 -0.26 0 6.57 4391.165
-160.04 3.08 -0.04 -0.02 -0.26 0 6.542 4390.859
-160.05 3.08 -0.04 -0.02 -0.26 0 6.513 4390.553
-160.05 3.08 -0.04 -0.02 -0.26 0 6.484 4390.247
-160.05 3.08 -0.04 -0.02 -0.26 0 6.455 4389.941
-160.05 3.08 -0.04 -0.02 -0.26 0 6.416 4389.633
-160.06 3.08 -0.04 -0.02 -0.26 0 6.387 4389.327
-160.06 3.08 -0.04 -0.02 -0.26 0 6.361 4389.011
-160.06 3.08 -0.04 -0.02 -0.26 0 6.332 4388.705
-160.06 3.08 -0.04 -0.02 -0.26 0 6.303 4388.399
-160.07 3.08 -0.04 -0.02 -0.26 0 6.274 4388.093
-160.07 3.08 -0.05 -0.02 -0.26 0 6.245 4387.788
-160.07 3.08 -0.05 -0.03 -0.26 0 6.216 4387.482
-160.07 3.08 -0.05 -0.03 -0.26 0 6.188 4387.176
-160.08 3.08 -0.05 -0.03 -0.26 0 6.159 4386.87
-160.08 3.08 -0.05 -0.03 -0.26 0 6.122 4386.551
-160.08 3.08 -0.05 -0.03 -0.26 0 6.094 4386.245
-160.08 3.08 -0.05 -0.03 -0.26 0 6.065 4385.94
-160.09 3.08 -0.05 -0.03 -0.26 0 6.036 4385.634
-160.09 3.08 -0.05 -0.03 -0.26 0 6.007 4385.328
-160.09 3.08 -0.05 -0.03 -0.26 0 5.978 4385.022
-160.09 3.08 -0.05 -0.03 -0.26 0 5.951 4384.706
-160.1 3.08 -0.06 -0.03 -0.26 0 5.923 4384.4
-160.1 3.08 -0.06 -0.03 -0.26 0 5.894 4384.094
-160.1 3.08 -0.06 -0.03 -0.26 0 5.875 4383.791
-160.11 3.08 -0.06 -0.03 -0.26 0 5.846 4383.485
-160.11 3.08 -0.06 -0.03 -0.25 0 5.817 4383.179
-160.11 3.08 -0.06 -0.03 -0.25 0 5.79 4382.863
-160.11 3.08 -0.06 -0.03 -0.25 0 5.761 4382.557
-160.12 3.08 -0.06 -0.03 -0.25 0 5.732 4382.251
-160.12 3.08 -0.06 -0.03 -0.25 0 5.704 4381.945
-160.12 3.08 -0.06 -0.03 -0.01 0 5.675 4381.639
-160.13 3.08 -0.06 -0.03 -0.01 0 5.648 4381.324
-160.13 3.08 -0.07 -0.03 -0.01 0 5.619 4381.018
-160.13 3.08 -0.07 -0.03 -0.01 0 5.6 4380.714
-160.14 3.08 -0.07 -0.03 -0.01 0 5.571 4380.409
-160.14 3.08 -0.07 -0.03 0.14 0 5.542 4380.103
-160.14 3.08 -0.07 -0.03 0.14 0 5.516 4379.787
-160.15 3.08 -0.07 -0.03 0.14 0 5.487 4379.481
-160.15 3.08 -0.07 -0.03 0.14 0 5.458 4379.175
-160.15 3.08 -0.07 -0.03 0.14 0 5.439 4378.872
-160.16 3.08 -0.07 -0.03 0.14 0 5.412 4378.556
-160.16 3.08 -0.07 -0.04 0.14 0 5.383 4378.25
-160.16 3.08 -0.07 -0.04 0.14 0 5.355 4377.944
-160.17 3.08 -0.08 -0.04 0.14 0 5.335 4377.641
-160.17 3.08 -0.08 -0.04 0.14 0 5.307 4377.335
-160.18 3.08 -0.08 -0.03 0.11 0 5.28 4377.019
-160.18 3.08 -0.08 -0.03 0.11 0 5.251 4376.713
-160.18 3.08 -0.08 -0.03 0.11 0 5.232 4376.41
-160.19 3.08 -0.08 -0.03 0.11 0 5.205 4376.094
-160.19 3.08 -0.08 -0.03 0.11 0 5.177 4375.788
-160.19 3.08 -0.08 -0.03 0.01 0 5.157 4375.485
-160.19 3.08 -0.08 -0.02 0.01 0 5.128 4375.179
-160.2 3.08 -0.08 -0.02 0.01 0 5.102 4374.863
-160.2 3.08 -0.08 -0.02 0.01 0 5.073 4374.557
-160.2 3.08 -0.08 -0.01 0.01 0 5.054 4374.254
-160.2 3.09 -0.08 -0.01 -0.11 0 5.027 4373.938
-160.2 3.09 -0.09 -0.01 -0.11 0 5.008 4373.635
-160.2 3.09 -0.09 -0.0 -0.11 0 4.979 4373.329
-160.2 3.09 -0.09 0.0 -0.11 0 4.953 4373.013
-160.2 3.09 -0.09 0.01 -0.11 0 4.934 4372.71
-160.2 3.09 -0.09 0.01 -0.26 0 4.905 4372.404
-160.2 3.09 -0.09 0.02 -0.26 0 4.878 4372.088
-160.2 3.09 -0.09 0.02 -0.26 0 4.859 4371.785
-160.19 3.09 -0.1 0.02 -0.26 0 4.83 4371.479
-160.19 3.09 -0.1 0.03 -0.26 0 4.813 4371.166
-160.19 3.09 -0.1 0.03 -0.27 0 4.784 4370.86
-160.19 3.09 -0.1 0.03 -0.27 0 4.768 4370.547
-160.18 3.09 -0.1 0.04 -0.27 0 4.739 4370.241
-160.18 3.09 -0.1 0.04 -0.27 0 4.72 4369.938
-160.17 3.09 -0.11 0.04 -0.27 0 4.693 4369.622
-160.17 3.09 -0.11 0.04 -0.31 0 4.674 4369.319
-160.17 3.09 -0.11 0.05 -0.31 0 4.647 4369.003
-160.16 3.09 -0.11 0.05 -0.31 0 4.628 4368.7
-160.16 3.09 -0.11 0.05 -0.31 0 4.602 4368.384
-160.15 3.09 -0.12 0.05 -0.31 0 4.583 4368.081
-160.15 3.1 -0.12 0.05 -0.32 0 4.556 4367.765
-160.14 3.1 -0.12 0.05 -0.32 0 4.537 4367.462
-160.14 3.1 -0.12 0.05 -0.32 0 4.52 4367.149
-160.13 3.1 -0.13 0.05 -0.32 0 4.491 4366.843
-160.13 3.1 -0.13 0.05 -0.32 0 4.474 4366.53
-160.12 3.1 -0.13 0.05 -0.34 0 4.458 4366.217
-160.12 3.1 -0.13 0.05 -0.34 0 4.429 4365.911
-160.11 3.1 -0.14 0.05 -0.34 0 4.412 4365.598
-160.11 3.1 -0.14 0.05 -0.34 0 4.393 4365.294
-160.1 3.1 -0.14 0.05 -0.34 0 4.376 4364.981
-160.1 3.1 -0.15 0.04 -0.34 0 4.359 4364.668
-160.09 3.1 -0.15 0.04 -0.34 0 4.33 4364.362
-160.09 3.1 -0.15 0.04 -0.34 0 4.313 4364.049
-160.08 3.1 -0.16 0.04 -0.34 0 4.297 4363.736
-160.08 3.11 -0.16 0.03 -0.34 0 4.277 4363.433
-160.08 3.11 -0.16 0.03 -0.34 0 4.261 4363.12
-160.08 3.11 -0.16 0.03 -0.34 0 4.244 4362.807
-160.07 3.11 -0.17 0.02 -0.34 0 4.227 4362.494
-160.07 3.11 -0.17 0.02 -0.34 0 4.21 4362.181
-160.07 3.11 -0.17 0.01 -0.34 0 4.191 4361.877
-160.07 3.11 -0.18 0.01 -0.34 0 4.174 4361.564
-160.07 3.11 -0.18 0.01 -0.34 0 4.157 4361.251
-160.07 3.11 -0.18 0.0 -0.34 0 4.141 4360.938
-160.07 3.11 -0.19 -0.0 -0.34 0 4.124 4360.625
-160.07 3.11 -0.19 -0.01 -0.34 0 4.107 4360.312
-160.07 3.11 -0.19 -0.01 -0.34 0 4.1 4360.001
-160.07 3.12 -0.2 -0.02 -0.34 0 4.083 4359.688
-160.07 3.12 -0.2 -0.02 -0.34 0 4.066 4359.375
-160.07 3.12 -0.2 -0.03 -0.34 0 4.049 4359.062
-160.08 3.12 -0.21 -0.04 -0.34 0 4.042 4358.752
-160.08 3.12 -0.21 -0.04 -0.34 0 4.025 4358.439
-160.09 3.12 -0.21 -0.05 -0.34 0 4.009 4358.126
-160.09 3.12 -0.22 -0.05 -0.34 0 4.002 4357.815
-160.1 3.12 -0.22 -0.06 -0.34 0 3.985 4357.502
-160.1 3.12 -0.22 -0.06 -0.34 0 3.978 4357.192
-160.11 3.12 -0.23 -0.07 -0.34 0 3.961 4356.879
-160.12 3.12 -0.23 -0.08 -0.34 0 3.954 4356.568
-160.13 3.12 -0.23 -0.08 -0.34 0 3.937 4356.255
-160.13 3.12 -0.23 -0.09 -0.34 0 3.93 4355.945
-160.14 3.12 -0.24 -0.09 -0.34 0 3.915 4355.622
-160.15 3.13 -0.24 -0.1 -0.34 0 3.908 4355.311
-160.16 3.13 -0.24 -0.11 -0.34 0 3.901 4355.001
-160.17 3.13 -0.25 -0.11 -0.34 0 3.884 4354.688
-160.19 3.13 -0.25 -0.12 -0.34 0 3.88 4354.368
-160.2 3.13 -0.25 -0.12 -0.34 0 3.873 4354.057
-160.21 3.13 -0.26 -0.13 -0.34 0 3.865 4353.747
-160.22 3.13 -0.26 -0.13 -0.34 0 3.849 4353.434
-160.24 3.13 -0.26 -0.14 -0.34 0 3.844 4353.114
-160.25 3.13 -0.26 -0.14 -0.34 0 3.837 4352.803
-160.27 3.13 -0.27 -0.15 -0.34 0 3.83 4352.493
-160.28 3.13 -0.27 -0.15 -0.34 0 3.825 4352.173
-160.3 3.13 -0.27 -0.16 -0.34 0 3.818 4351.862
-160.31 3.13 -0.27 -0.16 -0.34 0 3.811 4351.552
-160.33 3.13 -0.27 -0.17 -0.34 0 3.806 4351.231
-160.35 3.13 -0.28 -0.17 -0.34 0 3.799 4350.921
-160.36 3.13 -0.28 -0.18 -0.34 0 3.794 4350.601
-160.38 3.13 -0.28 -0.18 -0.34 0 3.787 4350.29
-160.4 3.13 -0.28 -0.18 -0.34 0 3.78 4349.98
-160.42 3.13 -0.28 -0.19 -0.34 0 3.785 4349.662
-160.44 3.13 -0.29 -0.19 -0.34 0 3.778 4349.352
-160.46 3.13 -0.29 -0.19 -0.34 0 3.773 4349.032
-160.48 3.13 -0.29 -0.2 -0.34 0 3.766 4348.721
-160.5 3.13 -0.29 -0.2 -0.34 0 3.761 4348.401
-160.52 3.13 -0.29 -0.2 -0.34 0 3.764 4348.093
-160.54 3.12 -0.29 -0.2 -0.34 0 3.757 4347.783
-160.56 3.12 -0.29 -0.21 -0.34 0 3.752 4347.462
-160.58 3.12 -0.29 -0.21 -0.34 0 3.755 4347.154
-160.6 3.12 -0.29 -0.21 -0.34 0 3.75 4346.834
-160.62 3.12 -0.29 -0.21 -0.34 0 3.753 4346.526
-160.64 3.12 -0.29 -0.21 -0.34 0 3.746 4346.216
-160.66 3.12 -0.29 -0.21 -0.34 0 3.741 4345.896
-160.68 3.12 -0.29 -0.21 -0.34 0 3.744 4345.588
-160.7 3.12 -0.29 -0.21 -0.34 0 3.739 4345.268
-160.73 3.12 -0.29 -0.21 -0.34 0 3.741 4344.96
-160.75 3.11 -0.29 -0.21 -0.34 0 3.734 4344.649
-160.77 3.11 -0.29 -0.21 -0.34 0 3.739 4344.332
-160.79 3.11 -0.29 -0.21 -0.34 0 3.732 4344.021
-160.81 3.11 -0.29 -0.21 -0.34 0 3.735 4343.713
-160.83 3.11 -0.29 -0.21 -0.34 0 3.73 4343.393
-160.85 3.11 -0.29 -0.21 -0.34 0 3.733 4343.085
-160.87 3.11 -0.29 -0.21 -0.34 0 3.735 4342.777
-160.89 3.1 -0.29 -0.2 -0.34 0 3.731 4342.457
-160.91 3.1 -0.29 -0.2 -0.34 0 3.733 4342.149
-160.93 3.1 -0.29 -0.2 -0.34 0 3.726 4341.839
-160.95 3.1 -0.28 -0.2 -0.34 0 3.729 4341.531
-160.97 3.1 -0.28 -0.2 -0.34 0 3.724 4341.211
-160.99 3.1 -0.28 -0.19 -0.34 0 3.727 4340.903
-161.01 3.09 -0.28 -0.19 -0.34 0 3.72 4340.592
-161.03 3.09 -0.28 -0.19 -0.34 0 3.722 4340.284
-161.05 3.09 -0.27 -0.18 -0.34 0 3.725 4339.976
-161.07 3.09 -0.27 -0.18 -0.34 0 3.718 4339.666
-161.08 3.09 -0.27 -0.18 -0.34 0 3.723 4339.348
