Navio: Suezmax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.1 8154.9 4610.91 -160.0 3.08 -0.0 -0.0 -0.31 0 58.574 66.976 2456.818 1.17 0.0
0.2 8154.61 4610.81 -160.0 3.08 -0.0 -0.0 -0.31 0 58.544 67.005 2456.512 1.17 0.0
0.3 8154.32 4610.7 -160.0 3.08 -0.0 -0.0 -0.31 0 58.503 67.044 2456.203 1.17 0.0
0.4 8154.03 4610.6 -160.0 3.08 -0.0 -0.0 -0.31 0 58.473 67.074 2455.897 1.17 0.0
0.5 8153.74 4610.49 -160.0 3.08 -0.0 -0.0 -0.1 0 58.432 67.113 2455.588 0.87 0.0
0.6 8153.45 4610.39 -160.0 3.08 -0.01 -0.0 -0.1 0 58.402 67.142 2455.282 0.87 0.0
0.7 8153.16 4610.28 -160.0 3.08 -0.01 -0.0 -0.1 0 58.361 67.181 2454.973 0.87 0.0
0.8 8152.87 4610.18 -160.0 3.08 -0.01 -0.0 -0.1 0 58.331 67.211 2454.666 0.87 0.0
0.9 8152.58 4610.07 -160.0 3.08 -0.01 -0.01 -0.1 0 58.29 67.25 2454.358 0.87 0.0
1.0 8152.29 4609.97 -160.0 3.08 -0.01 -0.01 -0.04 0 58.26 67.279 2454.051 1.17 0.0
1.1 8152.0 4609.86 -160.0 3.08 -0.01 -0.01 -0.04 0 58.22 67.318 2453.742 1.17 0.0
1.2 8151.71 4609.76 -160.0 3.08 -0.01 -0.01 -0.04 0 58.189 67.348 2453.436 1.17 0.0
1.3 8151.42 4609.66 -160.01 3.08 -0.01 -0.01 -0.04 0 58.182 67.401 2453.13 1.17 0.0
1.4 8151.13 4609.55 -160.01 3.08 -0.01 -0.01 -0.04 0 58.142 67.44 2452.821 1.17 0.0
1.5 8150.84 4609.45 -160.01 3.08 -0.01 -0.01 -0.31 0 58.111 67.469 2452.515 0.87 0.0
1.6 8150.55 4609.34 -160.01 3.08 -0.01 -0.01 -0.31 0 58.071 67.508 2452.206 0.87 0.0
1.7 8150.26 4609.24 -160.01 3.08 -0.02 -0.01 -0.31 0 58.04 67.538 2451.899 0.87 0.0
1.8 8149.97 4609.13 -160.01 3.08 -0.02 -0.01 -0.31 0 58.0 67.577 2451.59 0.87 0.0
1.9 8149.68 4609.03 -160.01 3.08 -0.02 -0.01 -0.31 0 57.969 67.606 2451.284 0.87 0.0
2.0 8149.39 4608.93 -160.01 3.08 -0.02 -0.01 -0.53 0 57.938 67.636 2450.978 0.61 0.0
2.1 8149.1 4608.82 -160.01 3.08 -0.02 -0.01 -0.53 0 57.898 67.675 2450.669 0.61 0.0
2.2 8148.81 4608.72 -160.01 3.08 -0.02 -0.01 -0.53 0 57.867 67.704 2450.363 0.61 0.0
2.3 8148.52 4608.62 -160.02 3.08 -0.02 -0.01 -0.53 0 57.861 67.757 2450.057 0.61 0.0
2.4 8148.22 4608.51 -160.02 3.08 -0.02 -0.01 -0.53 0 57.822 67.794 2449.738 0.61 0.0
2.5 8147.93 4608.41 -160.02 3.08 -0.02 -0.01 -0.58 0 57.792 67.823 2449.432 1.17 0.0
2.6 8147.64 4608.31 -160.02 3.08 -0.02 -0.01 -0.58 0 57.761 67.853 2449.125 1.17 0.0
2.7 8147.35 4608.2 -160.02 3.08 -0.02 -0.02 -0.58 0 57.721 67.892 2448.816 1.17 0.0
2.8 8147.06 4608.1 -160.02 3.08 -0.02 -0.02 -0.58 0 57.69 67.921 2448.51 1.17 0.0
2.9 8146.77 4608.0 -160.02 3.08 -0.03 -0.02 -0.58 0 57.66 67.951 2448.204 1.17 0.0
3.0 8146.48 4607.89 -160.03 3.08 -0.03 -0.02 -0.61 0 57.643 68.014 2447.895 1.17 0.0
3.1 8146.19 4607.79 -160.03 3.08 -0.03 -0.02 -0.61 0 57.612 68.043 2447.589 1.17 0.0
3.2 8145.9 4607.69 -160.03 3.08 -0.03 -0.02 -0.61 0 57.582 68.072 2447.283 1.17 0.0
