Navio: Aframax
Cenário: Médio
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-158.0 3.08 -0.0 -0.0 0.0 0 7.79 4402.844
-158.0 3.08 -0.0 -0.0 0.0 0 7.749 4402.546
-158.0 3.08 -0.0 -0.0 0.0 0 7.7 4402.234
-158.0 3.08 -0.0 -0.0 0.0 0 7.659 4401.936
-158.0 3.08 -0.0 -0.0 0.0 0 7.611 4401.624
-158.0 3.08 -0.0 -0.0 0.0 0 7.573 4401.316
-158.0 3.08 -0.0 -0.0 0.0 0 7.522 4401.015
-158.0 3.08 -0.0 -0.0 0.0 0 7.483 4400.706
-158.0 3.08 -0.0 -0.0 0.0 0 7.433 4400.405
-158.0 3.08 -0.0 -0.0 0.0 0 7.394 4400.096
-158.0 3.08 -0.0 -0.0 0.0 0 7.346 4399.785
-158.0 3.08 -0.01 -0.01 0.0 0 7.305 4399.486
-158.0 3.08 -0.01 -0.01 0.0 0 7.256 4399.175
-158.0 3.08 -0.01 -0.01 0.0 0 7.215 4398.876
-158.0 3.08 -0.01 -0.01 0.0 0 7.167 4398.565
-158.01 3.08 -0.01 -0.01 0.0 0 7.128 4398.256
-158.01 3.08 -0.01 -0.01 0.0 0 7.078 4397.955
-158.01 3.08 -0.01 -0.01 0.0 0 7.039 4397.646
-158.01 3.08 -0.01 -0.01 0.0 0 6.988 4397.345
-158.01 3.08 -0.01 -0.01 0.0 0 6.95 4397.037
-158.01 3.08 -0.01 -0.01 0.0 0 6.902 4396.725
-158.01 3.08 -0.01 -0.01 0.0 0 6.861 4396.427
-158.01 3.08 -0.01 -0.01 0.0 0 6.812 4396.115
-158.01 3.08 -0.01 -0.01 0.0 0 6.774 4395.807
-158.01 3.08 -0.01 -0.01 0.0 0 6.733 4395.508
-158.01 3.08 -0.01 -0.01 0.0 0 6.684 4395.197
-158.02 3.08 -0.01 -0.01 0.0 0 6.643 4394.898
-158.02 3.08 -0.01 -0.01 0.0 0 6.595 4394.587
-158.02 3.08 -0.01 -0.01 0.0 0 6.557 4394.279
-158.02 3.08 -0.01 -0.01 0.0 0 6.506 4393.977
-158.02 3.08 -0.01 -0.01 0.0 0 6.467 4393.669
-158.02 3.08 -0.01 -0.01 0.0 0 6.426 4393.37
-158.02 3.08 -0.01 -0.01 0.0 0 6.378 4393.059
-158.02 3.08 -0.01 -0.01 0.0 0 6.339 4392.75
-158.03 3.08 -0.01 -0.01 0.0 0 6.289 4392.449
-158.03 3.08 -0.01 -0.01 0.0 0 6.25 4392.14
-158.03 3.08 -0.01 -0.01 0.0 0 6.209 4391.841
-158.03 3.08 -0.02 -0.02 0.0 0 6.161 4391.53
-158.03 3.08 -0.02 -0.02 0.0 0 6.122 4391.222
-158.03 3.08 -0.02 -0.02 0.0 0 6.072 4390.92
-158.03 3.08 -0.02 -0.02 0.0 0 6.033 4390.612
-158.04 3.08 -0.02 -0.02 0.0 0 5.994 4390.303
-158.04 3.08 -0.02 -0.02 0.0 0 5.944 4390.002
-158.04 3.08 -0.02 -0.02 0.0 0 5.905 4389.693
-158.04 3.08 -0.02 -0.02 0.0 0 5.864 4389.394
-158.04 3.08 -0.02 -0.02 0.0 0 5.816 4389.083
-158.04 3.08 -0.02 -0.02 0.0 0 5.777 4388.775
-158.05 3.08 -0.02 -0.02 0.0 0 5.736 4388.476
-158.05 3.08 -0.02 -0.02 0.0 0 5.688 4388.165
-158.05 3.08 -0.02 -0.02 0.0 0 5.649 4387.856
-158.05 3.08 -0.02 -0.02 0.0 0 5.608 4387.557
-158.05 3.08 -0.02 -0.02 0.0 0 5.56 4387.246
