Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-154.13 3.19 -0.67 0.31 -0.0 2 73.421 43.565 6054.736
-154.1 3.19 -0.67 0.3 -0.0 2 73.358 43.507 6054.406
-154.07 3.19 -0.68 0.29 -0.0 2 73.303 43.442 6054.088
-154.04 3.19 -0.68 0.27 -0.0 2 73.24 43.384 6053.759
-154.01 3.19 -0.68 0.26 -0.0 2 73.178 43.326 6053.429
-153.99 3.19 -0.68 0.25 -0.0 2 73.133 43.29 6053.109
-153.96 3.18 -0.69 0.24 -0.0 2 73.07 43.233 6052.779
-153.94 3.18 -0.69 0.22 -0.0 2 73.025 43.197 6052.459
-153.92 3.18 -0.69 0.21 -0.0 2 72.993 43.15 6052.131
-153.9 3.18 -0.69 0.2 -0.0 2 72.95 43.112 6051.802
-153.88 3.18 -0.69 0.18 -0.0 2 72.905 43.076 6051.481
-153.87 3.18 -0.69 0.17 -0.0 2 72.883 43.059 6051.152
-153.85 3.17 -0.69 0.16 -0.0 2 72.848 43.014 6050.834
-153.84 3.17 -0.69 0.14 -0.0 2 72.825 42.996 6050.504
-153.82 3.17 -0.69 0.13 -0.0 2 72.78 42.96 6050.184
-153.81 3.16 -0.69 0.12 -0.0 2 72.758 42.943 6049.854
-153.8 3.16 -0.69 0.11 -0.0 2 72.743 42.918 6049.536
-153.79 3.16 -0.69 0.09 -0.0 2 72.72 42.9 6049.207
-153.78 3.15 -0.69 0.08 -0.0 2 72.695 42.885 6048.886
-153.78 3.15 -0.69 0.07 -0.0 2 72.7 42.88 6048.569
-153.77 3.14 -0.69 0.06 -0.0 2 72.678 42.862 6048.239
-153.77 3.14 -0.69 0.05 -0.0 2 72.673 42.867 6047.919
-153.76 3.14 -0.69 0.04 -0.0 2 72.648 42.851 6047.599
-153.76 3.13 -0.69 0.03 -0.0 2 72.653 42.846 6047.281
-153.76 3.13 -0.68 0.02 -0.0 2 72.649 42.851 6046.961
-153.76 3.12 -0.68 0.01 -0.0 2 72.644 42.856 6046.641
-153.76 3.12 -0.68 0.0 -0.0 2 72.649 42.851 6046.323
-153.76 3.11 -0.68 -0.01 -0.0 2 72.644 42.856 6046.003
-153.76 3.11 -0.67 -0.01 -0.0 2 72.639 42.86 6045.683
-153.76 3.1 -0.67 -0.02 -0.0 2 72.644 42.855 6045.365
-153.77 3.09 -0.67 -0.03 -0.0 2 72.659 42.88 6045.045
-153.77 3.09 -0.67 -0.03 -0.0 2 72.652 42.887 6044.735
-153.78 3.08 -0.66 -0.04 -0.0 2 72.677 42.902 6044.417
-153.78 3.08 -0.66 -0.04 -0.0 2 72.673 42.907 6044.097
-153.78 3.07 -0.66 -0.05 -0.0 2 72.665 42.914 6043.786
-153.79 3.07 -0.65 -0.05 -0.0 2 72.69 42.929 6043.469
-153.8 3.06 -0.65 -0.05 -0.0 2 72.703 42.956 6043.158
-153.8 3.06 -0.65 -0.05 -0.0 2 72.696 42.963 6042.848
-153.81 3.05 -0.64 -0.05 -0.0 2 72.719 42.98 6042.54
-153.81 3.05 -0.64 -0.06 -0.0 2 72.714 42.985 6042.22
-153.82 3.04 -0.64 -0.05 -0.0 2 72.727 43.012 6041.909
-153.82 3.04 -0.63 -0.05 -0.0 2 72.72 43.019 6041.599
-153.83 3.03 -0.63 -0.05 -0.0 2 72.743 43.037 6041.291
-153.83 3.03 -0.62 -0.05 -0.0 2 72.736 43.044 6040.98
-153.84 3.02 -0.62 -0.05 -0.0 2 72.748 43.071 6040.67
-153.84 3.02 -0.62 -0.04 -0.0 2 72.741 43.078 6040.359
-153.85 3.01 -0.61 -0.04 -0.0 2 72.762 43.098 6040.061
-153.85 3.01 -0.61 -0.04 -0.0 2 72.755 43.105 6039.75
-153.85 3.0 -0.61 -0.03 -0.0 2 72.747 43.112 6039.44
-153.86 3.0 -0.6 -0.03 -0.0 2 72.758 43.141 6039.139
-153.86 2.99 -0.6 -0.02 -0.0 2 72.751 43.148 6038.829
-153.86 2.99 -0.59 -0.01 -0.0 2 72.751 43.148 6038.53
-153.86 2.99 -0.59 -0.01 -0.0 2 72.744 43.155 6038.22
-153.86 2.98 -0.59 0.0 -0.0 2 72.735 43.165 6037.919
-153.86 2.98 -0.58 0.01 -0.0 2 72.725 43.174 6037.618
-153.86 2.98 -0.58 0.02 -0.0 2 72.718 43.181 6037.308
-153.86 2.97 -0.58 0.03 -0.0 2 72.708 43.191 6037.007
-153.85 2.97 -0.57 0.04 -0.0 2 72.679 43.18 6036.706
-153.85 2.97 -0.57 0.05 -0.0 2 72.669 43.189 6036.405
-153.85 2.97 -0.57 0.06 -0.0 2 72.662 43.196 6036.095
-153.84 2.97 -0.56 0.07 -0.0 2 72.633 43.186 6035.794
-153.83 2.96 -0.56 0.08 -0.0 2 72.603 43.175 6035.493
-153.82 2.96 -0.56 0.09 -0.0 2 72.574 43.165 6035.193
-153.81 2.96 -0.55 0.1 -0.0 2 72.544 43.154 6034.892
-153.8 2.96 -0.55 0.11 -0.0 2 72.515 43.143 6034.591
-153.79 2.96 -0.55 0.12 -0.0 2 72.485 43.133 6034.29
-153.78 2.96 -0.55 0.13 -0.0 2 72.456 43.122 6033.989
-153.77 2.96 -0.55 0.14 -0.0 2 72.426 43.111 6033.689
-153.75 2.96 -0.54 0.15 -0.0 2 72.367 43.09 6033.385
-153.74 2.96 -0.54 0.16 -0.0 2 72.337 43.08 6033.084
-153.72 2.96 -0.54 0.18 -0.0 2 72.286 43.052 6032.793
-153.7 2.96 -0.54 0.19 -0.0 2 72.236 43.021 6032.493
-153.68 2.96 -0.54 0.2 -0.0 2 72.177 43.0 6032.189
-153.66 2.96 -0.54 0.21 -0.0 2 72.127 42.969 6031.888
-153.64 2.96 -0.53 0.22 -0.0 2 72.078 42.939 6031.588
-153.62 2.96 -0.53 0.23 -0.0 2 72.018 42.918 6031.284
-153.6 2.97 -0.53 0.24 -0.0 2 71.969 42.887 6030.983
-153.57 2.97 -0.53 0.25 -0.0 2 71.899 42.837 6030.683
-153.55 2.97 -0.53 0.26 -0.0 2 71.84 42.816 6030.379
-153.52 2.97 -0.53 0.27 -0.0 2 71.771 42.765 6030.079
-153.5 2.98 -0.53 0.28 -0.0 2 71.712 42.744 6029.775
-153.47 2.98 -0.53 0.29 -0.0 2 71.642 42.694 6029.474
-153.44 2.98 -0.53 0.3 -0.0 2 71.563 42.653 6029.171
-153.41 2.99 -0.53 0.3 -0.0 2 71.484 42.612 6028.868
-153.38 2.99 -0.53 0.31 -0.0 2 71.414 42.561 6028.567
-153.35 2.99 -0.53 0.32 -0.0 2 71.335 42.521 6028.264
-153.32 3.0 -0.54 0.32 -0.0 2 71.268 42.468 6027.953
-153.29 3.0 -0.54 0.33 -0.0 2 71.189 42.427 6027.65
-153.25 3.01 -0.54 0.34 -0.0 2 71.09 42.366 6027.347
-153.22 3.01 -0.54 0.34 -0.0 2 71.011 42.325 6027.043
-153.19 3.01 -0.54 0.35 -0.0 2 70.944 42.273 6026.733
-153.15 3.02 -0.55 0.35 -0.0 2 70.845 42.212 6026.429
-153.12 3.02 -0.55 0.35 -0.0 2 70.766 42.171 6026.126
-153.08 3.03 -0.55 0.36 -0.0 2 70.669 42.108 6025.813
-153.05 3.03 -0.55 0.36 -0.0 2 70.6 42.058 6025.512
-153.01 3.04 -0.56 0.36 -0.0 2 70.503 41.995 6025.199
-152.98 3.04 -0.56 0.36 -0.0 2 70.427 41.952 6024.886
-152.94 3.05 -0.56 0.36 -0.0 2 70.328 41.891 6024.583
-152.9 3.05 -0.57 0.36 -0.0 2 70.231 41.828 6024.27
-152.87 3.06 -0.57 0.36 -0.0 2 70.155 41.785 6023.957
-152.83 3.06 -0.57 0.36 -0.0 2 70.068 41.713 6023.646
-152.8 3.07 -0.58 0.36 -0.0 2 69.991 41.67 6023.333
-152.76 3.07 -0.58 0.36 -0.0 2 69.895 41.607 6023.02
-152.73 3.08 -0.59 0.35 -0.0 2 69.818 41.564 6022.707
-152.69 3.08 -0.59 0.35 -0.0 2 69.722 41.501 6022.394
-152.66 3.09 -0.59 0.35 -0.0 2 69.646 41.459 6022.081
-152.62 3.09 -0.6 0.34 -0.0 2 69.549 41.396 6021.768
-152.59 3.1 -0.6 0.34 -0.0 2 69.473 41.353 6021.455
-152.55 3.1 -0.61 0.33 -0.0 2 69.379 41.288 6021.133
-152.52 3.11 -0.61 0.33 -0.0 2 69.312 41.236 6020.822
-152.49 3.11 -0.62 0.32 -0.0 2 69.236 41.193 6020.509
-152.46 3.12 -0.62 0.32 -0.0 2 69.162 41.148 6020.187
-152.42 3.12 -0.63 0.31 -0.0 2 69.068 41.083 6019.864
-152.39 3.13 -0.63 0.3 -0.0 2 68.991 41.04 6019.551
-152.36 3.13 -0.64 0.3 -0.0 2 68.918 40.995 6019.228
-152.33 3.13 -0.64 0.29 -0.0 2 68.841 40.952 6018.915
-152.3 3.14 -0.65 0.28 -0.0 2 68.777 40.897 6018.595
-152.28 3.14 -0.66 0.27 -0.0 2 68.723 40.872 6018.272
-152.25 3.14 -0.66 0.27 -0.0 2 68.649 40.827 6017.95
-152.22 3.15 -0.67 0.26 -0.0 2 68.575 40.782 6017.627
-152.2 3.15 -0.67 0.25 -0.0 2 68.521 40.757 6017.304
-152.17 3.15 -0.68 0.24 0.4 2 68.457 40.702 6016.984
-152.15 3.16 -0.68 0.23 0.4 2 68.403 40.677 6016.662
-152.12 3.16 -0.69 0.23 0.4 2 68.329 40.632 6016.339
-152.1 3.16 -0.69 0.22 0.4 2 68.284 40.597 6016.019
-152.08 3.16 -0.7 0.21 0.4 2 68.23 40.572 6015.696
-152.06 3.16 -0.7 0.2 0.61 2 68.179 40.544 6015.364
-152.04 3.17 -0.71 0.19 0.61 2 68.134 40.51 6015.043
-152.02 3.17 -0.71 0.18 0.61 2 68.08 40.484 6014.721
-152.0 3.17 -0.72 0.18 0.61 2 68.026 40.459 6014.398
-151.99 3.17 -0.72 0.17 0.61 2 68.004 40.442 6014.068
-151.97 3.17 -0.72 0.16 0.61 2 67.95 40.417 6013.746
-151.95 3.17 -0.73 0.15 0.61 2 67.908 40.38 6013.416
-151.94 3.17 -0.73 0.14 0.61 2 67.874 40.374 6013.093
-151.93 3.17 -0.74 0.14 0.61 2 67.849 40.359 6012.773
-151.91 3.17 -0.74 0.13 0.61 2 67.807 40.322 6012.443
-151.9 3.17 -0.74 0.12 0.61 2 67.773 40.317 6012.12
-151.89 3.17 -0.75 0.11 0.61 2 67.751 40.299 6011.791
-151.88 3.17 -0.75 0.11 0.61 2 67.726 40.284 6011.47
-151.87 3.17 -0.75 0.1 0.61 2 67.694 40.277 6011.138
-151.86 3.17 -0.75 0.1 0.61 2 67.67 40.261 6010.818
-151.85 3.16 -0.76 0.09 0.61 2 67.648 40.244 6010.488
-151.84 3.16 -0.76 0.08 0.61 2 67.614 40.239 6010.165
-151.83 3.16 -0.76 0.08 0.61 2 67.589 40.224 6009.845
-151.83 3.16 -0.76 0.07 0.61 2 67.587 40.226 6009.515
-151.82 3.16 -0.76 0.07 0.61 2 67.562 40.211 6009.195
-151.81 3.15 -0.76 0.06 0.61 2 67.54 40.194 6008.865
-151.81 3.15 -0.76 0.06 0.61 2 67.525 40.208 6008.543
-151.8 3.15 -0.76 0.05 0.61 2 67.503 40.191 6008.213
-151.8 3.15 -0.76 0.05 0.61 2 67.499 40.195 6007.893
-151.79 3.14 -0.76 0.05 0.61 2 67.474 40.18 6007.573
-151.79 3.14 -0.76 0.04 0.61 2 67.469 40.185 6007.252
-151.78 3.14 -0.76 0.04 0.61 2 67.447 40.168 6006.923
-151.78 3.13 -0.76 0.04 0.61 2 67.442 40.172 6006.603
-151.78 3.13 -0.76 0.04 0.61 2 67.428 40.187 6006.28
-151.77 3.13 -0.76 0.03 0.61 2 67.403 40.172 6005.96
-151.77 3.12 -0.76 0.03 0.61 2 67.399 40.176 6005.64
-151.77 3.12 -0.75 0.03 0.61 2 67.394 40.181 6005.319
-151.77 3.11 -0.75 0.03 0.61 2 67.389 40.186 6004.999
-151.76 3.11 -0.75 0.03 0.61 2 67.365 40.171 6004.679
-151.76 3.11 -0.75 0.03 0.61 2 67.36 40.176 6004.359
-151.76 3.1 -0.74 0.03 0.61 2 67.355 40.18 6004.039
-151.76 3.1 -0.74 0.03 0.61 2 67.341 40.195 6003.716
-151.75 3.09 -0.73 0.03 0.61 2 67.316 40.18 6003.396
-151.75 3.09 -0.73 0.03 0.61 2 67.309 40.187 6003.085
-151.75 3.08 -0.73 0.03 0.61 2 67.304 40.191 6002.765
