Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 20 nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.1 -158.0 3.08 -0.0 -0.0 -0.02 0 13.771 3652.513 -158.0 3.08
0.2 -158.0 3.08 -0.0 -0.0 -0.02 0 13.73 3652.214 -158.0 3.08
0.3 -158.0 3.08 -0.0 -0.0 -0.02 0 13.682 3651.903 -158.0 3.08
0.4 -158.0 3.08 -0.0 -0.0 -0.02 0 13.641 3651.604 -158.0 3.08
0.5 -158.0 3.08 -0.0 -0.0 -0.02 0 13.593 3651.293 -158.0 3.08
0.6 -158.0 3.08 -0.01 -0.01 -0.02 0 13.554 3650.984 -158.186 3.08
0.7 -158.0 3.08 -0.01 -0.01 -0.02 0 13.503 3650.682 -158.186 3.08
0.8 -158.0 3.08 -0.01 -0.01 -0.02 0 13.465 3650.373 -158.186 3.08
0.9 -158.0 3.08 -0.01 -0.01 -0.02 0 13.416 3650.062 -158.186 3.08
1.0 -158.0 3.08 -0.01 -0.01 -0.02 0 13.376 3649.763 -158.186 3.08
1.1 -158.01 3.08 -0.01 -0.01 -0.02 0 13.327 3649.452 -158.196 3.08
1.2 -158.01 3.08 -0.01 -0.01 -0.02 0 13.286 3649.153 -158.196 3.08
1.3 -158.01 3.08 -0.01 -0.01 -0.02 0 13.248 3648.844 -158.196 3.08
1.4 -158.01 3.08 -0.01 -0.01 -0.02 0 13.199 3648.533 -158.196 3.08
1.5 -158.01 3.08 -0.01 -0.01 -0.02 0 13.158 3648.233 -158.196 3.08
1.6 -158.01 3.08 -0.01 -0.01 -0.02 0 13.11 3647.922 -158.196 3.08
1.7 -158.01 3.08 -0.02 -0.01 -0.02 0 13.071 3647.613 -158.382 3.08
1.8 -158.01 3.08 -0.02 -0.01 -0.02 0 13.03 3647.314 -158.382 3.08
1.9 -158.02 3.08 -0.02 -0.02 -0.02 0 12.982 3647.003 -158.392 3.08
2.0 -158.02 3.08 -0.02 -0.02 -0.02 0 12.944 3646.694 -158.392 3.08
2.1 -158.02 3.08 -0.02 -0.02 -0.02 0 12.893 3646.393 -158.392 3.08
2.2 -158.02 3.08 -0.02 -0.02 -0.02 0 12.854 3646.084 -158.392 3.08
2.3 -158.02 3.08 -0.02 -0.02 -0.02 0 12.816 3645.775 -158.392 3.08
2.4 -158.02 3.08 -0.02 -0.02 -0.02 0 12.765 3645.473 -158.392 3.08
2.5 -158.03 3.08 -0.02 -0.02 -0.02 0 12.726 3645.165 -158.402 3.08
2.6 -158.03 3.08 -0.02 -0.02 -0.02 0 12.688 3644.856 -158.402 3.08
2.7 -158.03 3.08 -0.02 -0.02 -0.02 0 12.637 3644.554 -158.402 3.08
2.8 -158.03 3.08 -0.03 -0.02 -0.61 0 12.599 3644.246 -158.588 3.08
2.9 -158.03 3.08 -0.03 -0.02 -0.61 0 12.56 3643.937 -158.588 3.08
3.0 -158.04 3.08 -0.03 -0.02 -0.61 0 12.519 3643.638 -158.598 3.08
3.1 -158.04 3.08 -0.03 -0.02 -0.61 0 12.471 3643.326 -158.598 3.08
3.2 -158.04 3.08 -0.03 -0.02 -0.61 0 12.432 3643.018 -158.598 3.08
3.3 -158.04 3.08 -0.03 -0.03 -0.61 0 12.391 3642.719 -158.598 3.08
3.4 -158.05 3.08 -0.03 -0.03 -0.61 0 12.352 3642.41 -158.608 3.08
3.5 -158.05 3.08 -0.03 -0.03 -0.61 0 12.304 3642.099 -158.608 3.08
3.6 -158.05 3.08 -0.03 -0.03 -0.61 0 12.263 3641.8 -158.608 3.08
3.7 -158.05 3.08 -0.03 -0.03 -0.61 0 12.225 3641.491 -158.608 3.08
3.8 -158.06 3.08 -0.04 -0.03 -0.61 0 12.186 3641.182 -158.804 3.08
3.9 -158.06 3.08 -0.04 -0.03 -0.61 0 12.147 3640.873 -158.804 3.08
4.0 -158.06 3.08 -0.04 -0.03 -0.61 0 12.097 3640.572 -158.804 3.08
4.1 -158.07 3.08 -0.04 -0.03 -0.61 0 12.058 3640.263 -158.814 3.08
4.2 -158.07 3.08 -0.04 -0.03 -0.61 0 12.019 3639.954 -158.814 3.08
4.3 -158.07 3.08 -0.04 -0.03 -0.61 1 11.979 3639.655 -158.814 3.08
4.4 -158.08 3.08 -0.04 -0.03 -0.61 1 11.94 3639.346 -158.824 3.08
4.5 -158.08 3.08 -0.04 -0.03 -0.61 1 11.901 3639.038 -158.824 3.08
4.6 -158.08 3.08 -0.04 -0.03 -0.61 1 11.863 3638.729 -158.824 3.08
4.7 -158.09 3.08 -0.04 -0.03 -0.61 1 11.812 3638.427 -158.834 3.08
4.8 -158.09 3.08 -0.04 -0.03 -0.61 2 11.773 3638.119 -158.834 3.08
4.9 -158.09 3.08 -0.05 -0.03 -0.61 2 11.735 3637.81 -159.02 3.08
5.0 -158.1 3.08 -0.05 -0.03 -0.61 2 11.696 3637.501 -159.03 3.08
5.1 -158.1 3.08 -0.05 -0.04 -0.61 2 11.655 3637.202 -159.03 3.08
5.2 -158.1 3.08 -0.05 -0.04 -0.61 2 11.617 3636.893 -159.03 3.08
5.3 -158.11 3.08 -0.05 -0.04 -0.61 2 11.578 3636.585 -159.04 3.08
5.4 -158.11 3.08 -0.05 -0.04 -0.61 2 11.539 3636.276 -159.04 3.08
5.5 -158.11 3.08 -0.05 -0.04 -0.61 2 11.499 3635.977 -159.04 3.08
5.6 -158.12 3.08 -0.05 -0.04 -0.61 2 11.46 3635.668 -159.05 3.08
5.7 -158.12 3.08 -0.05 -0.04 -0.61 2 11.421 3635.36 -159.05 3.08
5.8 -158.12 3.08 -0.05 -0.04 -0.61 2 11.383 3635.051 -159.05 3.08
5.9 -158.13 3.08 -0.05 -0.04 -0.61 2 11.344 3634.742 -159.06 3.08
6.0 -158.13 3.08 -0.06 -0.04 -0.61 2 11.303 3634.443 -159.246 3.081
6.1 -158.14 3.08 -0.06 -0.04 -0.61 2 11.265 3634.134 -159.256 3.081
6.2 -158.14 3.08 -0.06 -0.04 -0.61 2 11.226 3633.826 -159.256 3.081
6.3 -158.14 3.08 -0.06 -0.04 -0.61 2 11.187 3633.517 -159.256 3.081
6.4 -158.15 3.08 -0.06 -0.04 -0.61 2 11.149 3633.208 -159.266 3.081
6.5 -158.15 3.08 -0.06 -0.04 -0.61 2 11.11 3632.9 -159.266 3.081
6.6 -158.16 3.08 -0.06 -0.04 -0.61 2 11.069 3632.601 -159.276 3.081
6.7 -158.16 3.08 -0.06 -0.04 -0.61 2 11.04 3632.294 -159.276 3.081
6.8 -158.17 3.08 -0.06 -0.04 -0.61 2 11.002 3631.986 -159.286 3.081
6.9 -158.17 3.08 -0.06 -0.04 -0.61 2 10.963 3631.677 -159.286 3.081
7.0 -158.17 3.08 -0.06 -0.04 -0.61 2 10.924 3631.368 -159.286 3.081
7.1 -158.18 3.08 -0.07 -0.04 -0.61 2 10.886 3631.06 -159.482 3.081
7.2 -158.18 3.08 -0.07 -0.04 -0.61 2 10.847 3630.751 -159.482 3.081
7.3 -158.19 3.08 -0.07 -0.04 -0.61 2 10.806 3630.452 -159.492 3.081
7.4 -158.19 3.08 -0.07 -0.04 -0.61 2 10.777 3630.146 -159.492 3.081
7.5 -158.2 3.08 -0.07 -0.05 -0.61 2 10.739 3629.837 -159.502 3.081
7.6 -158.2 3.08 -0.07 -0.05 -0.61 2 10.7 3629.528 -159.502 3.081
7.7 -158.21 3.08 -0.07 -0.05 -0.61 2 10.662 3629.22 -159.512 3.081
7.8 -158.21 3.08 -0.07 -0.05 -0.61 2 10.623 3628.911 -159.512 3.081
7.9 -158.21 3.08 -0.07 -0.05 -0.61 2 10.594 3628.605 -159.512 3.081
8.0 -158.22 3.08 -0.07 -0.05 -0.61 2 10.556 3628.296 -159.522 3.081
8.1 -158.22 3.08 -0.07 -0.05 -0.61 2 10.515 3627.997 -159.522 3.081
8.2 -158.23 3.08 -0.07 -0.05 -0.61 2 10.476 3627.688 -159.532 3.081
8.3 -158.23 3.08 -0.08 -0.05 -0.61 2 10.447 3627.382 -159.718 3.081
8.4 -158.24 3.08 -0.08 -0.05 -0.61 2 10.408 3627.074 -159.728 3.081
8.5 -158.24 3.08 -0.08 -0.05 -0.61 2 10.37 3626.765 -159.728 3.081
8.6 -158.25 3.08 -0.08 -0.05 -0.61 2 10.331 3626.456 -159.738 3.081
8.7 -158.25 3.08 -0.08 -0.05 -0.61 2 10.302 3626.15 -159.738 3.081
8.8 -158.26 3.08 -0.08 -0.05 -0.61 2 10.264 3625.841 -159.748 3.081
8.9 -158.26 3.08 -0.08 -0.05 -0.61 2 10.225 3625.533 -159.748 3.081
9.0 -158.27 3.08 -0.08 -0.05 -0.61 2 10.196 3625.227 -159.758 3.081
9.1 -158.27 3.08 -0.08 -0.05 -0.61 2 10.158 3624.918 -159.758 3.081
9.2 -158.28 3.08 -0.09 -0.05 -0.61 2 10.119 3624.609 -159.954 3.081
9.3 -158.28 3.08 -0.09 -0.06 -0.61 2 10.09 3624.303 -159.954 3.081
9.4 -158.29 3.08 -0.09 -0.06 -0.61 2 10.052 3623.995 -159.964 3.081
