Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
0.1 -166.0 3.08 -0.0 -0.0 -0.04 1 7.841 4402.848 -166.0 3.08 -0.377
0.2 -166.0 3.08 -0.0 -0.0 -0.04 1 7.834 4402.537 -166.0 3.08 -0.377
0.3 -166.0 3.08 -0.0 -0.0 -0.04 1 7.836 4402.229 -166.0 3.08 -0.377
0.4 -166.0 3.08 -0.0 -0.0 -0.04 1 7.829 4401.919 -166.0 3.08 -0.377
0.5 -166.0 3.08 -0.0 -0.0 -0.04 1 7.832 4401.611 -166.0 3.08 -0.377
0.6 -166.0 3.08 -0.0 -0.0 -0.04 1 7.825 4401.3 -166.0 3.08 -0.377
0.7 -166.0 3.08 -0.0 -0.0 -0.04 1 7.825 4401.002 -166.0 3.08 -0.377
0.8 -166.0 3.08 -0.0 -0.0 -0.04 1 7.818 4400.692 -166.0 3.08 -0.377
0.9 -166.0 3.08 -0.0 -0.0 -0.04 1 7.82 4400.384 -166.0 3.08 -0.377
1.0 -166.0 3.08 -0.0 -0.0 -0.04 1 7.823 4400.076 -166.0 3.08 -0.377
1.1 -166.0 3.08 -0.0 -0.0 -0.04 1 7.816 4399.765 -166.0 3.08 -0.377
1.2 -166.0 3.08 -0.01 -0.0 -0.04 1 7.819 4399.457 -166.186 3.08 -0.191
1.3 -166.0 3.08 -0.01 -0.01 -0.04 1 7.811 4399.147 -166.186 3.08 -0.191
1.4 -166.0 3.08 -0.01 -0.01 -0.04 1 7.814 4398.839 -166.186 3.08 -0.191
1.5 -166.0 3.08 -0.01 -0.01 -0.04 1 7.817 4398.531 -166.186 3.08 -0.191
1.6 -166.01 3.08 -0.01 -0.01 -0.04 1 7.81 4398.221 -166.196 3.08 -0.181
1.7 -166.01 3.08 -0.01 -0.01 -0.04 1 7.812 4397.913 -166.196 3.08 -0.181
1.8 -166.01 3.08 -0.01 -0.01 -0.04 1 7.805 4397.602 -166.196 3.08 -0.181
1.9 -166.01 3.08 -0.01 -0.01 -0.04 1 7.808 4397.294 -166.196 3.08 -0.181
2.0 -166.01 3.08 -0.01 -0.01 -0.04 1 7.81 4396.986 -166.196 3.08 -0.181
2.1 -166.01 3.08 -0.01 -0.01 -0.04 1 7.801 4396.686 -166.196 3.08 -0.181
2.2 -166.01 3.08 -0.01 -0.01 -0.04 1 7.804 4396.378 -166.196 3.08 -0.181
2.3 -166.01 3.08 -0.01 -0.01 -0.04 1 7.806 4396.07 -166.196 3.08 -0.181
2.4 -166.01 3.08 -0.01 -0.01 -0.04 1 7.799 4395.759 -166.196 3.08 -0.181
2.5 -166.01 3.08 -0.01 -0.01 -0.04 1 7.802 4395.451 -166.196 3.08 -0.181
2.6 -166.01 3.08 -0.01 -0.01 -0.04 1 7.804 4395.143 -166.196 3.08 -0.181
2.7 -166.01 3.08 -0.01 -0.01 -0.04 1 7.797 4394.833 -166.196 3.08 -0.181
2.8 -166.02 3.08 -0.01 -0.01 -0.04 1 7.8 4394.525 -166.206 3.08 -0.171
2.9 -166.02 3.08 -0.01 -0.01 -0.04 1 7.803 4394.217 -166.206 3.08 -0.171
3.0 -166.02 3.08 -0.01 -0.01 -0.04 1 7.795 4393.907 -166.206 3.08 -0.171
3.1 -166.02 3.08 -0.01 -0.01 -0.04 1 7.798 4393.599 -166.206 3.08 -0.171
3.2 -166.02 3.08 -0.01 -0.01 -0.04 1 7.801 4393.291 -166.206 3.08 -0.171
3.3 -166.02 3.08 -0.01 -0.01 -0.04 1 7.794 4392.98 -166.206 3.08 -0.171
3.4 -166.02 3.08 -0.02 -0.01 -0.04 1 7.796 4392.672 -166.392 3.08 0.015
3.5 -166.02 3.08 -0.02 -0.01 -0.04 1 7.797 4392.374 -166.392 3.08 0.015
3.6 -166.03 3.08 -0.02 -0.01 -0.04 1 7.799 4392.066 -166.402 3.08 0.025
3.7 -166.03 3.08 -0.02 -0.01 -0.04 1 7.792 4391.756 -166.402 3.08 0.025
3.8 -166.03 3.08 -0.02 -0.01 -0.04 1 7.795 4391.448 -166.402 3.08 0.025
3.9 -166.03 3.08 -0.02 -0.01 -0.04 1 7.797 4391.14 -166.402 3.08 0.025
4.0 -166.03 3.08 -0.02 -0.01 -0.04 1 7.79 4390.829 -166.402 3.08 0.025
4.1 -166.03 3.08 -0.02 -0.01 -0.04 1 7.793 4390.522 -166.402 3.08 0.025
4.2 -166.03 3.08 -0.02 -0.01 -0.04 1 7.795 4390.214 -166.402 3.08 0.025
4.3 -166.04 3.08 -0.02 -0.02 -0.04 1 7.798 4389.906 -166.412 3.08 0.035
4.4 -166.04 3.08 -0.02 -0.02 -0.04 1 7.791 4389.595 -166.412 3.08 0.035
4.5 -166.04 3.08 -0.02 -0.02 -0.04 1 7.794 4389.287 -166.412 3.08 0.035
4.6 -166.04 3.08 -0.02 -0.02 -0.04 1 7.796 4388.979 -166.412 3.08 0.035
4.7 -166.04 3.08 -0.02 -0.02 -0.04 1 7.799 4388.671 -166.412 3.08 0.035
4.8 -166.04 3.08 -0.02 -0.02 -0.04 1 7.802 4388.364 -166.412 3.08 0.035
4.9 -166.04 3.08 -0.02 -0.02 -0.04 1 7.794 4388.053 -166.412 3.08 0.035
5.0 -166.05 3.08 -0.02 -0.02 -0.04 1 7.795 4387.755 -166.422 3.08 0.045
5.1 -166.05 3.08 -0.02 -0.02 -0.04 1 7.797 4387.447 -166.422 3.08 0.045
5.2 -166.05 3.08 -0.02 -0.02 -0.04 1 7.8 4387.139 -166.422 3.08 0.045
