Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1 nó 
Vento: SE 20 nós 
Onda: 2m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-158.0 3.08 -0.0 -0.0 0.01 1 7.79 4402.844
-158.0 3.08 -0.0 -0.0 0.01 0 7.749 4402.546
-158.0 3.08 -0.0 -0.0 0.01 0 7.7 4402.234
-158.0 3.08 -0.0 -0.0 0.01 1 7.659 4401.936
-158.0 3.08 -0.0 -0.0 0.01 1 7.611 4401.624
-158.0 3.08 -0.01 -0.01 0.01 1 7.573 4401.316
-158.0 3.08 -0.01 -0.01 0.01 1 7.522 4401.015
-158.0 3.08 -0.01 -0.01 0.01 1 7.483 4400.706
-158.0 3.08 -0.01 -0.01 0.01 1 7.435 4400.395
-158.0 3.08 -0.01 -0.01 0.01 1 7.394 4400.096
-158.01 3.08 -0.01 -0.01 0.01 1 7.346 4399.785
-158.01 3.08 -0.01 -0.01 0.01 1 7.305 4399.486
-158.01 3.08 -0.01 -0.01 0.01 1 7.266 4399.178
-158.01 3.08 -0.01 -0.01 0.01 1 7.218 4398.866
-158.01 3.08 -0.01 -0.01 0.01 1 7.177 4398.568
-158.01 3.08 -0.01 -0.01 0.01 1 7.128 4398.256
-158.01 3.08 -0.02 -0.01 0.01 1 7.09 4397.948
-158.01 3.08 -0.02 -0.02 0.01 1 7.039 4397.646
-158.02 3.08 -0.02 -0.02 0.01 1 7.001 4397.338
-158.02 3.08 -0.02 -0.02 0.01 1 6.962 4397.029
-158.02 3.08 -0.02 -0.02 0.01 1 6.911 4396.728
-158.02 3.08 -0.02 -0.02 0.01 1 6.873 4396.419
-158.02 3.08 -0.02 -0.02 0.01 1 6.834 4396.111
-158.02 3.08 -0.02 -0.02 0.01 1 6.783 4395.81
-158.03 3.08 -0.02 -0.02 0.01 1 6.745 4395.501
-158.03 3.08 -0.02 -0.02 0.01 1 6.706 4395.192
-158.03 3.08 -0.02 -0.02 0.01 1 6.656 4394.891
-158.03 3.08 -0.03 -0.02 0.01 1 6.617 4394.583
-158.04 3.08 -0.03 -0.02 0.01 1 6.578 4394.274
