Navio: Aframax
Cenário: Forte NE
Manobra: Entrada
Corrente: N 0 nó 
Vento: NE 20 nós 
Onda: 1 m 8s NE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 distance_port distance_starboard distance_target discrete_propeller
0.1 10044.91 5076.9 -158.0 3.08 0.0 -0.0 -0.61 74.018 58.457 4402.844 0.0
0.2 10044.63 5076.79 -158.0 3.08 0.0 -0.0 -0.61 73.977 58.498 4402.546 0.0
0.3 10044.34 5076.67 -158.0 3.08 0.0 -0.0 -0.61 73.929 58.547 4402.234 0.0
0.4 10044.06 5076.56 -158.0 3.08 0.0 -0.0 -0.61 73.888 58.588 4401.936 0.0
0.5 10043.77 5076.44 -158.0 3.08 0.0 -0.0 -0.61 73.839 58.636 4401.624 0.0
0.6 10043.48 5076.33 -158.0 3.08 0.0 -0.0 -0.61 73.801 58.674 4401.316 0.0
0.7 10043.2 5076.21 -158.0 3.08 0.0 -0.0 -0.61 73.75 58.725 4401.015 0.0
0.8 10042.91 5076.1 -158.0 3.08 0.0 -0.0 -0.61 73.711 58.764 4400.706 0.0
0.9 10042.63 5075.98 -158.0 3.08 0.0 -0.0 -0.61 73.661 58.814 4400.405 0.0
1.0 10042.34 5075.86 -158.0 3.08 0.0 -0.0 -0.61 73.612 58.863 4400.093 0.0
1.1 10042.05 5075.75 -158.0 3.08 0.0 -0.0 -0.61 73.574 58.901 4399.785 0.0
1.2 10041.77 5075.63 -158.0 3.08 0.0 -0.0 -0.61 73.523 58.952 4399.483 0.0
1.3 10041.48 5075.52 -158.0 3.08 0.0 -0.0 -0.61 73.484 58.99 4399.175 0.0
1.4 10041.2 5075.4 -158.0 3.08 0.0 -0.0 -0.61 73.434 59.041 4398.874 0.0
1.5 10040.91 5075.29 -158.0 3.08 0.0 -0.0 -0.61 73.395 59.08 4398.565 0.0
1.6 10040.63 5075.17 -158.0 3.08 0.0 -0.0 -0.61 73.344 59.13 4398.264 0.0
1.7 10040.34 5075.06 -158.0 3.08 0.0 -0.0 -0.61 73.306 59.169 4397.955 0.0
1.8 10040.05 5074.94 -158.0 3.08 0.0 -0.0 -0.61 73.257 59.217 4397.644 0.0
1.9 10039.77 5074.83 -158.0 3.08 0.0 -0.0 -0.61 73.216 59.258 4397.345 0.0
2.0 10039.48 5074.71 -158.0 3.08 0.0 -0.0 -0.61 73.168 59.306 4397.034 0.0
2.1 10039.2 5074.59 -158.0 3.08 0.0 0.0 -0.61 73.117 59.357 4396.733 0.0
2.2 10038.91 5074.48 -158.0 3.08 0.0 0.0 -0.61 73.079 59.396 4396.424 0.0
2.3 10038.63 5074.36 -158.0 3.08 0.0 0.0 -0.61 73.028 59.446 4396.123 0.0
2.4 10038.34 5074.25 -158.0 3.08 0.0 0.0 -0.61 72.989 59.485 4395.814 0.0
2.5 10038.05 5074.13 -158.0 3.08 0.0 0.0 -0.61 72.941 59.533 4395.503 0.0
2.6 10037.77 5074.02 -158.0 3.08 0.0 0.0 -0.61 72.9 59.574 4395.204 0.0
2.7 10037.48 5073.9 -158.0 3.08 0.0 0.0 -0.61 72.852 59.622 4394.893 0.0
2.8 10037.2 5073.79 -158.0 3.08 0.0 0.0 -0.61 72.811 59.663 4394.594 0.0
2.9 10036.91 5073.67 -158.0 3.08 0.0 0.0 -0.61 72.762 59.712 4394.283 0.0
3.0 10036.63 5073.56 -158.0 3.08 0.0 0.0 -0.61 72.721 59.753 4393.984 0.0
3.1 10036.34 5073.44 -158.0 3.08 0.0 0.0 -0.61 72.673 59.801 4393.673 0.0
3.2 10036.05 5073.32 -158.0 3.08 0.0 0.0 -0.61 72.625 59.849 4393.362 0.0
3.3 10035.77 5073.21 -158.0 3.08 0.0 0.0 -0.61 72.584 59.89 4393.063 0.0
