Navio: Suezmax L280B50T17
Cenário: NE - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn NE 
Onda: 1.0m 8s NE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
479.5 11620.63 5459.55 201.34 3.22 -0.48 0.02 0.1 1 102.177 68.406 4564.532 28.77 28.77
480.0 11619.04 5459.19 201.35 3.22 -0.48 0.02 0.1 1 102.193 68.343 4562.902 28.77 28.77
480.5 11617.46 5458.83 201.36 3.22 -0.48 0.02 0.1 1 102.207 68.282 4561.282 28.77 28.77
481.0 11615.87 5458.47 201.37 3.22 -0.48 0.02 0.1 1 102.223 68.218 4559.653 28.77 28.77
481.5 11614.29 5458.11 201.38 3.22 -0.48 0.02 0.1 1 102.237 68.157 4558.033 28.77 28.77
482.0 11612.7 5457.75 201.39 3.22 -0.48 0.02 0.1 1 102.253 68.094 4556.403 28.77 28.77
482.5 11611.11 5457.38 201.41 3.22 -0.48 0.02 0.1 1 102.236 68.017 4554.771 28.77 28.77
483.0 11609.52 5457.02 201.42 3.22 -0.48 0.02 0.1 1 102.252 67.953 4553.142 28.77 28.77
483.5 11607.93 5456.66 201.43 3.23 -0.48 0.02 0.1 1 102.268 67.89 4551.512 28.77 28.77
484.0 11606.34 5456.29 201.44 3.23 -0.49 0.02 0.09 1 102.274 67.836 4549.88 28.77 28.77
484.5 11604.75 5455.93 201.45 3.23 -0.49 0.02 0.09 1 102.29 67.772 4548.251 28.77 28.77
485.0 11603.16 5455.57 201.46 3.23 -0.49 0.02 0.08 1 102.306 67.709 4546.621 28.77 28.77
485.5 11601.57 5455.2 201.47 3.23 -0.49 0.02 0.08 1 102.313 67.655 4544.989 28.77 28.77
486.0 11599.97 5454.84 201.48 3.23 -0.49 0.02 0.08 1 102.331 67.589 4543.35 28.77 28.77
486.5 11598.38 5454.47 201.49 3.23 -0.49 0.02 0.08 1 102.338 67.535 4541.718 28.77 28.77
487.0 11596.78 5454.11 201.5 3.23 -0.49 0.02 0.08 1 102.356 67.469 4540.079 28.77 28.77
487.5 11595.19 5453.74 201.51 3.23 -0.49 0.02 0.08 1 102.363 67.416 4538.447 28.77 28.77
488.0 11593.6 5453.38 201.52 3.23 -0.49 0.02 0.08 1 102.379 67.352 4536.817 28.77 28.77
488.5 11592.01 5453.01 201.53 3.23 -0.48 0.02 0.08 1 102.385 67.298 4535.185 28.77 28.77
489.0 11590.42 5452.64 201.54 3.22 -0.48 0.02 0.09 1 102.391 67.245 4533.553 28.77 28.77
489.5 11588.83 5452.27 201.55 3.22 -0.48 0.02 0.09 1 102.398 67.191 4531.921 28.77 28.77
490.0 11587.25 5451.91 201.56 3.21 -0.48 0.02 0.1 1 102.412 67.13 4530.301 28.77 28.77
490.5 11585.67 5451.54 201.57 3.21 -0.47 0.02 0.1 1 102.415 67.079 4528.679 28.77 28.77
491.0 11584.09 5451.17 201.58 3.21 -0.47 0.02 0.1 1 102.419 67.027 4527.056 28.77 28.77
491.5 11582.51 5450.8 201.59 3.2 -0.47 0.02 0.11 1 102.423 66.976 4525.434 28.77 28.77
492.0 11580.94 5450.42 201.6 3.2 -0.47 0.02 0.11 1 102.415 66.937 4523.819 28.77 28.77
492.5 11579.36 5450.05 201.61 3.2 -0.47 0.02 0.11 1 102.419 66.885 4522.197 28.77 28.77
493.0 11577.79 5449.68 201.62 3.2 -0.47 0.02 0.11 1 102.421 66.837 4520.584 28.77 28.77
493.5 11576.21 5449.31 201.62 3.2 -0.47 0.02 0.11 1 102.448 66.809 4518.962 28.77 28.77
494.0 11574.63 5448.94 201.63 3.21 -0.47 0.02 0.1 1 102.452 66.757 4517.339 28.77 28.77
494.5 11573.06 5448.56 201.64 3.21 -0.47 0.02 0.1 1 102.444 66.718 4515.724 28.77 28.77
495.0 11571.48 5448.19 201.65 3.21 -0.47 0.02 0.1 1 102.448 66.667 4514.102 28.77 28.77
495.5 11569.9 5447.82 201.66 3.22 -0.48 0.02 0.09 1 102.452 66.616 4512.479 28.77 28.77
496.0 11568.31 5447.45 201.67 3.22 -0.48 0.02 0.08 1 102.458 66.562 4510.847 28.77 28.77
496.5 11566.73 5447.08 201.67 3.22 -0.48 0.02 0.08 1 102.486 66.534 4509.225 28.77 28.77
497.0 11565.14 5446.7 201.68 3.22 -0.48 0.02 0.08 1 102.483 66.49 4507.591 28.77 28.77
497.5 11563.56 5446.33 201.69 3.22 -0.48 0.02 0.07 1 102.487 66.439 4505.968 28.77 28.77
498.0 11561.97 5445.96 201.7 3.22 -0.48 0.02 0.07 1 102.493 66.385 4504.336 28.77 28.77
498.5 11560.39 5445.58 201.71 3.22 -0.48 0.02 0.07 1 102.487 66.343 4502.711 28.77 28.77
499.0 11558.81 5445.21 201.71 3.22 -0.48 0.02 0.07 1 102.515 66.316 4501.089 28.77 28.77
499.5 11557.22 5444.83 201.72 3.21 -0.47 0.02 0.07 1 102.511 66.272 4499.454 28.77 28.77
500.0 11555.64 5444.46 201.73 3.21 -0.47 0.02 0.08 1 102.515 66.22 4497.832 28.77 28.77
500.5 11554.07 5444.08 201.74 3.21 -0.47 0.02 0.08 1 102.507 66.181 4496.217 28.77 28.77
501.0 11552.49 5443.71 201.75 3.2 -0.46 0.01 0.09 1 102.511 66.13 4494.595 28.77 28.77
501.5 11550.92 5443.33 201.75 3.2 -0.46 0.01 0.09 1 102.527 66.114 4492.979 28.77 28.77
502.0 11549.35 5442.95 201.76 3.19 -0.46 0.01 0.09 1 102.518 66.075 4491.364 28.77 28.77
502.5 11547.78 5442.57 201.77 3.19 -0.46 0.01 0.1 1 102.51 66.036 4489.749 28.77 28.77
503.0 11546.22 5442.19 201.77 3.19 -0.46 0.01 0.1 1 102.523 66.023 4488.144 28.77 28.77
503.5 11544.65 5441.81 201.78 3.19 -0.46 0.01 0.1 1 102.515 65.984 4486.529 28.77 28.77
504.0 11543.08 5441.43 201.79 3.19 -0.46 0.01 0.1 1 102.507 65.944 4484.913 28.77 28.77
504.5 11541.52 5441.06 201.79 3.19 -0.46 0.01 0.09 1 102.53 65.922 4483.31 28.77 28.77
505.0 11539.95 5440.68 201.8 3.19 -0.46 0.01 0.09 1 102.521 65.882 4481.695 28.77 28.77
505.5 11538.38 5440.3 201.81 3.2 -0.46 0.01 0.08 1 102.513 65.843 4480.08 28.77 28.77
506.0 11536.81 5439.92 201.81 3.2 -0.46 0.01 0.08 1 102.529 65.828 4478.465 28.77 28.77
506.5 11535.24 5439.54 201.82 3.2 -0.46 0.01 0.07 1 102.52 65.789 4476.85 28.77 28.77
507.0 11533.66 5439.16 201.82 3.21 -0.47 0.01 0.07 1 102.538 65.77 4475.225 28.77 28.77
507.5 11532.09 5438.78 201.83 3.21 -0.47 0.01 0.06 1 102.53 65.731 4473.61 28.77 28.77
508.0 11530.51 5438.4 201.84 3.21 -0.47 0.01 0.06 1 102.524 65.69 4471.985 28.77 28.77
508.5 11528.94 5438.02 201.84 3.21 -0.47 0.01 0.06 1 102.54 65.674 4470.37 28.77 28.77
509.0 11527.36 5437.64 201.85 3.21 -0.46 0.01 0.06 1 102.534 65.633 4468.745 28.77 28.77
509.5 11525.78 5437.25 201.85 3.21 -0.46 0.01 0.06 1 102.542 65.624 4467.118 28.77 28.77
510.0 11524.21 5436.87 201.86 3.2 -0.46 0.01 0.06 1 102.534 65.585 4465.503 28.77 28.77
510.5 11522.64 5436.49 201.86 3.2 -0.46 0.01 0.06 1 102.549 65.569 4463.887 28.77 28.77
511.0 11521.07 5436.11 201.87 3.2 -0.46 0.01 0.07 1 102.541 65.53 4462.272 28.77 28.77
511.5 11519.5 5435.72 201.87 3.19 -0.45 0.01 0.07 1 102.547 65.524 4460.655 28.77 28.77
512.0 11517.93 5435.34 201.88 3.19 -0.45 0.01 0.08 1 102.539 65.485 4459.039 28.77 28.77
512.5 11516.37 5434.95 201.88 3.19 -0.45 0.01 0.08 1 102.542 65.482 4457.431 28.77 28.77
513.0 11514.81 5434.57 201.89 3.19 -0.45 0.01 0.08 1 102.531 65.445 4455.826 28.77 28.77
513.5 11513.25 5434.18 201.89 3.18 -0.45 0.01 0.08 1 102.535 65.442 4454.218 28.77 28.77
514.0 11511.69 5433.8 201.9 3.18 -0.45 0.01 0.08 1 102.524 65.405 4452.613 28.77 28.77
514.5 11510.13 5433.41 201.9 3.18 -0.45 0.01 0.08 1 102.527 65.401 4451.005 28.77 28.77
515.0 11508.57 5433.03 201.91 3.18 -0.45 0.01 0.08 1 102.517 65.365 4449.399 28.77 28.77
515.5 11507.01 5432.64 201.91 3.18 -0.45 0.01 0.07 1 102.52 65.361 4447.791 28.77 28.77
516.0 11505.44 5432.26 201.92 3.18 -0.45 0.01 0.07 1 102.512 65.322 4446.176 28.77 28.77
516.5 11503.88 5431.87 201.92 3.19 -0.45 0.01 0.06 1 102.515 65.319 4444.568 28.77 28.77
517.0 11502.32 5431.49 201.92 3.19 -0.45 0.01 0.06 1 102.528 65.305 4442.963 28.77 28.77
517.5 11500.76 5431.1 201.93 3.19 -0.45 0.01 0.05 1 102.508 65.278 4441.355 28.77 28.77
518.0 11499.19 5430.72 201.93 3.19 -0.46 0.01 0.05 1 102.523 65.263 4439.739 28.77 28.77
518.5 11497.63 5430.33 201.94 3.19 -0.46 0.01 0.05 1 102.503 65.236 4438.132 28.77 28.77
519.0 11496.06 5429.95 201.94 3.19 -0.46 0.01 0.04 1 102.518 65.22 4436.516 28.77 28.77
519.5 11494.5 5429.56 201.94 3.19 -0.45 0.01 0.04 1 102.521 65.217 4434.908 28.77 28.77
520.0 11492.93 5429.18 201.95 3.19 -0.45 0.01 0.05 1 102.513 65.178 4433.293 28.77 28.77
520.5 11491.37 5428.79 201.95 3.19 -0.45 0.01 0.05 1 102.516 65.174 4431.685 28.77 28.77
521.0 11489.8 5428.4 201.95 3.19 -0.45 0.01 0.05 1 102.522 65.168 4430.068 28.77 28.77
521.5 11488.24 5428.02 201.96 3.19 -0.45 0.01 0.05 1 102.512 65.132 4428.462 28.77 28.77
522.0 11486.67 5427.63 201.96 3.19 -0.45 0.01 0.06 1 102.517 65.126 4426.845 28.77 28.77
522.5 11485.11 5427.24 201.96 3.19 -0.44 0.01 0.06 1 102.52 65.122 4425.237 28.77 28.77
523.0 11483.55 5426.85 201.97 3.18 -0.44 0.01 0.07 1 102.5 65.095 4423.629 28.77 28.77
523.5 11482.0 5426.46 201.97 3.18 -0.44 0.01 0.07 1 102.501 65.094 4422.03 28.77 28.77
524.0 11480.44 5426.07 201.97 3.18 -0.44 0.01 0.07 1 102.504 65.091 4420.422 28.77 28.77
