Navio: Suezmax L280B50T17
Cenário: SE - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn S/SE 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
475.5 -157.44 3.16 -0.54 0.03 0.34 1 0.834 4877.566 -167.137 3.206 0.708
476.0 -157.43 3.16 -0.55 0.03 0.31 1 0.853 4875.955 -167.303 3.208 0.874
476.5 -157.41 3.16 -0.55 0.03 0.29 1 0.878 4874.357 -167.283 3.208 0.854
477.0 -157.4 3.17 -0.56 0.03 0.26 1 0.907 4872.749 -167.418 3.219 0.989
477.5 -157.39 3.17 -0.56 0.03 0.25 1 0.935 4871.14 -167.408 3.219 0.979
478.0 -157.37 3.18 -0.55 0.03 0.25 1 0.953 4869.53 -167.183 3.227 0.753
478.5 -157.36 3.19 -0.55 0.03 0.25 1 0.974 4867.909 -167.142 3.237 0.713
479.0 -157.34 3.2 -0.54 0.03 0.26 1 0.995 4866.289 -166.918 3.245 0.489
479.5 -157.33 3.21 -0.54 0.03 0.28 1 1.008 4864.656 -166.879 3.255 0.45
480.0 -157.31 3.22 -0.53 0.03 0.3 1 1.022 4863.024 -166.657 3.263 0.227
480.5 -157.3 3.23 -0.53 0.03 0.33 1 1.025 4861.389 -166.618 3.273 0.189
481.0 -157.29 3.24 -0.53 0.03 0.35 1 1.029 4859.754 -166.58 3.283 0.151
481.5 -157.27 3.24 -0.52 0.03 0.36 1 1.033 4858.12 -166.388 3.281 -0.042
482.0 -157.26 3.24 -0.52 0.03 0.37 1 1.029 4856.473 -166.378 3.281 -0.052
482.5 -157.24 3.24 -0.52 0.03 0.37 1 1.033 4854.838 -166.358 3.281 -0.072
483.0 -157.23 3.23 -0.53 0.03 0.37 1 1.039 4853.194 -166.548 3.273 0.119
483.5 -157.22 3.23 -0.53 0.03 0.36 1 1.033 4851.556 -166.538 3.273 0.109
484.0 -157.2 3.22 -0.53 0.03 0.35 1 1.046 4849.924 -166.547 3.263 0.117
484.5 -157.19 3.22 -0.54 0.03 0.34 1 1.05 4848.289 -166.71 3.265 0.281
485.0 -157.18 3.21 -0.54 0.03 0.32 1 1.061 4846.667 -166.729 3.255 0.3
485.5 -157.17 3.2 -0.55 0.03 0.31 1 1.065 4845.032 -166.922 3.247 0.493
486.0 -157.15 3.2 -0.55 0.03 0.29 1 1.076 4843.409 -166.902 3.247 0.473
