Navio: Suezmax L280B50T17
Cenário: NE - pos2035 - 2
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn NE 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
478.0 200.25 3.23 -0.44 0.02 0.1 1 7.665 4878.249 192.493 3.26
478.5 200.26 3.22 -0.43 0.02 0.1 1 7.688 4876.619 192.654 3.249
479.0 200.27 3.22 -0.43 0.02 0.1 1 7.721 4874.992 192.664 3.249
479.5 200.29 3.22 -0.43 0.02 0.1 1 7.742 4873.371 192.684 3.249
480.0 200.3 3.22 -0.43 0.02 0.1 1 7.775 4871.744 192.694 3.249
480.5 200.31 3.22 -0.43 0.02 0.11 1 7.795 4870.123 192.704 3.249
481.0 200.32 3.22 -0.43 0.02 0.11 1 7.816 4868.503 192.714 3.249
481.5 200.33 3.22 -0.43 0.02 0.1 1 7.849 4866.875 192.724 3.249
482.0 200.35 3.22 -0.43 0.02 0.1 1 7.87 4865.255 192.744 3.249
482.5 200.36 3.22 -0.43 0.02 0.1 1 7.893 4863.625 192.754 3.249
483.0 200.37 3.23 -0.43 0.02 0.1 1 7.914 4862.004 192.787 3.258
483.5 200.38 3.23 -0.43 0.02 0.09 1 7.937 4860.374 192.797 3.258
484.0 200.39 3.23 -0.43 0.02 0.09 1 7.96 4858.744 192.807 3.258
484.5 200.4 3.23 -0.44 0.02 0.09 1 7.983 4857.114 192.643 3.26
485.0 200.41 3.24 -0.44 0.02 0.08 1 8.006 4855.484 192.676 3.27
485.5 200.42 3.24 -0.44 0.02 0.08 1 8.032 4853.844 192.686 3.27
486.0 200.43 3.24 -0.44 0.02 0.08 1 8.055 4852.214 192.696 3.27
486.5 200.44 3.24 -0.44 0.02 0.08 1 8.078 4850.584 192.706 3.27
487.0 200.45 3.23 -0.43 0.02 0.08 1 8.101 4848.954 192.867 3.258
487.5 200.46 3.23 -0.43 0.02 0.08 1 8.124 4847.324 192.877 3.258
488.0 200.48 3.23 -0.43 0.02 0.09 1 8.147 4845.694 192.897 3.258
488.5 200.49 3.22 -0.43 0.02 0.09 1 8.168 4844.074 192.884 3.249
489.0 200.5 3.22 -0.43 0.02 0.09 1 8.182 4842.441 192.894 3.249
489.5 200.51 3.21 -0.42 0.02 0.1 1 8.202 4840.821 193.056 3.237
490.0 200.52 3.21 -0.42 0.02 0.1 1 8.213 4839.198 193.066 3.237
490.5 200.53 3.21 -0.42 0.02 0.11 1 8.232 4837.588 193.076 3.237
491.0 200.54 3.2 -0.42 0.02 0.11 1 8.241 4835.975 193.063 3.227
491.5 200.55 3.2 -0.42 0.02 0.11 1 8.261 4834.354 193.073 3.227
492.0 200.56 3.2 -0.42 0.02 0.11 1 8.27 4832.741 193.083 3.227
492.5 200.57 3.2 -0.42 0.02 0.11 1 8.279 4831.129 193.093 3.227
493.0 200.58 3.2 -0.42 0.02 0.11 1 8.288 4829.516 193.103 3.227
493.5 200.58 3.21 -0.42 0.02 0.11 1 8.308 4827.895 193.126 3.237
494.0 200.59 3.21 -0.42 0.02 0.1 1 8.317 4826.282 193.136 3.237
494.5 200.6 3.21 -0.42 0.02 0.1 1 8.328 4824.66 193.146 3.237
495.0 200.61 3.22 -0.42 0.02 0.09 1 8.339 4823.037 193.179 3.247
495.5 200.62 3.22 -0.42 0.02 0.09 1 8.35 4821.414 193.189 3.247
496.0 200.63 3.22 -0.43 0.02 0.08 1 8.361 4819.791 193.024 3.249
496.5 200.64 3.22 -0.43 0.02 0.08 1 8.384 4818.161 193.034 3.249
497.0 200.65 3.22 -0.43 0.02 0.08 1 8.396 4816.539 193.044 3.249
497.5 200.65 3.22 -0.42 0.02 0.08 1 8.407 4814.916 193.219 3.247
498.0 200.66 3.22 -0.42 0.02 0.08 1 8.418 4813.293 193.229 3.247
498.5 200.67 3.22 -0.42 0.02 0.08 1 8.429 4811.671 193.239 3.247
499.0 200.68 3.21 -0.42 0.02 0.08 1 8.44 4810.048 193.226 3.237
499.5 200.69 3.21 -0.42 0.02 0.08 1 8.441 4808.423 193.236 3.237
500.0 200.7 3.2 -0.41 0.02 0.09 1 8.45 4806.81 193.399 3.226
500.5 200.7 3.2 -0.41 0.02 0.09 1 8.459 4805.197 193.399 3.226
501.0 200.71 3.2 -0.41 0.02 0.1 1 8.467 4803.584 193.409 3.226
501.5 200.72 3.19 -0.41 0.02 0.1 1 8.466 4801.969 193.396 3.216
502.0 200.73 3.19 -0.41 0.02 0.1 1 8.473 4800.365 193.406 3.216
502.5 200.73 3.19 -0.41 0.01 0.1 1 8.472 4798.75 193.406 3.216
503.0 200.74 3.19 -0.41 0.01 0.1 1 8.478 4797.147 193.416 3.216
503.5 200.75 3.19 -0.41 0.01 0.1 1 8.475 4795.541 193.426 3.216
504.0 200.76 3.19 -0.41 0.01 0.1 1 8.483 4793.928 193.436 3.216
504.5 200.76 3.2 -0.41 0.01 0.09 1 8.482 4792.313 193.459 3.226
505.0 200.77 3.2 -0.41 0.01 0.09 1 8.479 4790.707 193.469 3.226
505.5 200.78 3.2 -0.41 0.01 0.08 1 8.488 4789.094 193.479 3.226
506.0 200.78 3.21 -0.41 0.01 0.08 1 8.487 4787.479 193.501 3.236
506.5 200.79 3.21 -0.41 0.01 0.07 1 8.496 4785.866 193.511 3.236
507.0 200.79 3.21 -0.41 0.01 0.07 1 8.497 4784.241 193.511 3.236
507.5 200.8 3.21 -0.41 0.01 0.07 1 8.496 4782.626 193.521 3.236
508.0 200.81 3.21 -0.41 0.01 0.07 1 8.505 4781.013 193.531 3.236
508.5 200.81 3.21 -0.41 0.01 0.07 1 8.506 4779.388 193.531 3.236
509.0 200.82 3.21 -0.41 0.01 0.07 1 8.505 4777.772 193.541 3.236
509.5 200.83 3.2 -0.41 0.01 0.07 1 8.504 4776.157 193.529 3.226
510.0 200.83 3.2 -0.4 0.01 0.07 1 8.503 4774.542 193.705 3.225
510.5 200.84 3.2 -0.4 0.01 0.08 1 8.5 4772.936 193.715 3.225
511.0 200.84 3.19 -0.4 0.01 0.08 1 8.499 4771.321 193.693 3.215
511.5 200.85 3.19 -0.4 0.01 0.08 1 8.495 4769.715 193.703 3.215
512.0 200.85 3.19 -0.4 0.01 0.08 1 8.492 4768.109 193.703 3.215
512.5 200.86 3.19 -0.4 0.01 0.09 1 8.489 4766.504 193.713 3.215
513.0 200.86 3.18 -0.4 0.01 0.09 1 8.476 4764.896 193.691 3.205
513.5 200.87 3.18 -0.4 0.01 0.09 1 8.472 4763.29 193.701 3.205
514.0 200.87 3.18 -0.4 0.01 0.09 1 8.469 4761.685 193.701 3.205
514.5 200.88 3.18 -0.4 0.01 0.08 1 8.463 4760.089 193.711 3.205
515.0 200.88 3.18 -0.4 0.01 0.08 1 8.45 4758.481 193.711 3.205
515.5 200.89 3.18 -0.4 0.01 0.08 1 8.447 4756.875 193.721 3.205
516.0 200.89 3.19 -0.4 0.01 0.07 1 8.443 4755.269 193.743 3.215
516.5 200.9 3.19 -0.4 0.01 0.07 1 8.44 4753.664 193.753 3.215
517.0 200.9 3.19 -0.4 0.01 0.06 1 8.437 4752.058 193.753 3.215
517.5 200.91 3.19 -0.4 0.01 0.06 1 8.433 4750.453 193.763 3.215
518.0 200.91 3.19 -0.4 0.01 0.05 1 8.42 4748.845 193.763 3.215
518.5 200.91 3.19 -0.4 0.01 0.05 1 8.419 4747.229 193.763 3.215
519.0 200.92 3.19 -0.4 0.01 0.05 1 8.416 4745.624 193.773 3.215
519.5 200.92 3.19 -0.4 0.01 0.05 1 8.413 4744.018 193.773 3.215
520.0 200.93 3.19 -0.4 0.01 0.06 1 8.402 4742.4 193.783 3.215
520.5 200.93 3.19 -0.4 0.01 0.06 1 8.398 4740.795 193.783 3.215
521.0 200.93 3.19 -0.39 0.01 0.06 1 8.385 4739.187 193.96 3.214
521.5 200.94 3.19 -0.39 0.01 0.07 1 8.372 4737.579 193.97 3.214
522.0 200.94 3.19 -0.39 0.01 0.07 1 8.369 4735.973 193.97 3.214
522.5 200.95 3.18 -0.39 0.01 0.07 1 8.354 4734.375 193.958 3.204
523.0 200.95 3.18 -0.39 0.01 0.08 1 8.341 4732.767 193.958 3.204
523.5 200.95 3.18 -0.39 0.01 0.08 1 8.325 4731.169 193.958 3.204
524.0 200.96 3.18 -0.39 0.01 0.08 1 8.319 4729.573 193.968 3.204
524.5 200.96 3.17 -0.39 0.01 0.08 1 8.306 4727.965 193.946 3.194
525.0 200.96 3.17 -0.39 0.01 0.08 1 8.291 4726.367 193.946 3.194
525.5 200.97 3.17 -0.39 0.01 0.07 1 8.276 4724.768 193.956 3.194
526.0 200.97 3.17 -0.39 0.01 0.07 1 8.267 4723.182 193.956 3.194
526.5 200.97 3.17 -0.39 0.01 0.07 1 8.252 4721.584 193.956 3.194
527.0 200.97 3.17 -0.39 0.01 0.06 1 8.246 4719.988 193.956 3.194
527.5 200.98 3.17 -0.39 0.01 0.06 1 8.233 4718.38 193.966 3.194
528.0 200.98 3.17 -0.39 0.01 0.05 1 8.228 4716.784 193.966 3.194
528.5 200.98 3.18 -0.39 0.01 0.05 1 8.212 4715.186 193.988 3.204
529.0 200.99 3.18 -0.39 0.01 0.05 1 8.197 4713.588 193.998 3.204
529.5 200.99 3.18 -0.39 0.01 0.05 1 8.193 4711.982 193.998 3.204
530.0 200.99 3.18 -0.39 0.01 0.05 1 8.178 4710.384 193.998 3.204
530.5 200.99 3.18 -0.39 0.01 0.05 1 8.175 4708.778 193.998 3.204
531.0 201.0 3.18 -0.39 0.01 0.05 1 8.159 4707.18 194.008 3.204
531.5 201.0 3.18 -0.39 0.01 0.05 1 8.144 4705.582 194.008 3.204
532.0 201.0 3.18 -0.39 0.01 0.06 1 8.131 4703.974 194.008 3.204
532.5 201.0 3.18 -0.38 0.0 0.06 1 8.115 4702.375 194.186 3.203
533.0 201.01 3.17 -0.38 0.0 0.07 1 8.1 4700.777 194.174 3.193
533.5 201.01 3.17 -0.38 0.0 0.07 1 8.085 4699.179 194.174 3.193
