Navio: Suezmax L280B50T17
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -166.0 3.6 -0.51 0.0 -0.0 0 36.907 3230.095 -174.063 3.636
0.1 -166.0 3.6 -0.51 0.0 0.0 1 36.956 3229.737 -174.063 3.636
0.2 -166.0 3.6 -0.51 0.0 0.0 1 37.015 3229.381 -174.063 3.636
0.3 -166.0 3.6 -0.51 0.0 0.0 1 37.064 3229.023 -174.063 3.636
0.4 -166.0 3.6 -0.51 0.0 0.0 1 37.116 3228.655 -174.063 3.636
0.5 -166.0 3.6 -0.51 0.0 0.0 1 37.165 3228.297 -174.063 3.636
0.6 -166.0 3.6 -0.51 0.0 0.0 1 37.224 3227.941 -174.063 3.636
0.7 -166.0 3.6 -0.51 0.0 0.0 1 37.273 3227.583 -174.063 3.636
0.8 -166.0 3.6 -0.51 0.01 0.0 1 37.323 3227.225 -174.063 3.636
0.9 -166.0 3.6 -0.51 0.01 0.0 1 37.372 3226.867 -174.063 3.636
1.0 -165.99 3.6 -0.51 0.01 0.0 1 37.431 3226.511 -174.053 3.636
1.1 -165.99 3.6 -0.5 0.01 0.0 1 37.48 3226.153 -173.897 3.635
1.2 -165.99 3.6 -0.5 0.01 0.0 1 37.529 3225.795 -173.897 3.635
1.3 -165.99 3.6 -0.5 0.01 0.0 1 37.581 3225.427 -173.897 3.635
1.4 -165.99 3.6 -0.5 0.01 0.0 1 37.63 3225.069 -173.897 3.635
1.5 -165.99 3.59 -0.5 0.01 0.0 1 37.679 3224.711 -173.919 3.625
1.6 -165.99 3.59 -0.5 0.01 0.0 1 37.738 3224.355 -173.919 3.625
1.7 -165.99 3.59 -0.5 0.01 0.0 1 37.788 3223.997 -173.919 3.625
1.8 -165.99 3.59 -0.5 0.01 0.0 1 37.837 3223.639 -173.919 3.625
1.9 -165.99 3.59 -0.5 0.01 0.0 1 37.886 3223.281 -173.919 3.625
2.0 -165.99 3.59 -0.5 0.01 0.0 1 37.935 3222.923 -173.919 3.625
2.1 -165.98 3.59 -0.5 0.01 0.0 1 37.985 3222.564 -173.909 3.625
2.2 -165.98 3.59 -0.5 0.01 0.0 1 38.034 3222.206 -173.909 3.625
2.3 -165.98 3.59 -0.5 0.01 0.0 1 38.093 3221.851 -173.909 3.625
2.4 -165.98 3.59 -0.5 0.01 0.0 1 38.142 3221.493 -173.909 3.625
2.5 -165.98 3.59 -0.5 0.01 0.0 1 38.194 3221.125 -173.909 3.625
2.6 -165.98 3.59 -0.5 0.01 0.0 1 38.243 3220.767 -173.909 3.625
2.7 -165.98 3.59 -0.49 0.02 0.0 1 38.292 3220.408 -173.752 3.623
2.8 -165.97 3.59 -0.49 0.02 0.0 1 38.342 3220.05 -173.742 3.623
2.9 -165.97 3.59 -0.49 0.02 0.0 1 38.391 3219.692 -173.742 3.623
3.0 -165.97 3.59 -0.49 0.02 0.0 1 38.44 3219.334 -173.742 3.623
3.1 -165.97 3.59 -0.49 0.02 0.0 1 38.489 3218.976 -173.742 3.623
3.2 -165.97 3.59 -0.49 0.02 0.0 1 38.539 3218.618 -173.742 3.623
3.3 -165.97 3.59 -0.49 0.02 0.0 1 38.598 3218.262 -173.742 3.623
3.4 -165.96 3.59 -0.49 0.02 0.0 1 38.647 3217.904 -173.732 3.623
3.5 -165.96 3.59 -0.49 0.02 0.0 1 38.696 3217.546 -173.732 3.623
3.6 -165.96 3.59 -0.49 0.02 0.0 1 38.745 3217.188 -173.732 3.623
3.7 -165.96 3.59 -0.49 0.02 0.0 1 38.795 3216.83 -173.732 3.623
3.8 -165.96 3.59 -0.49 0.02 0.0 1 38.844 3216.472 -173.732 3.623
3.9 -165.95 3.59 -0.49 0.02 0.0 1 38.893 3216.113 -173.722 3.623
4.0 -165.95 3.59 -0.49 0.02 0.0 1 38.942 3215.755 -173.722 3.623
4.1 -165.95 3.59 -0.49 0.02 0.0 1 38.992 3215.397 -173.722 3.623
4.2 -165.95 3.59 -0.49 0.02 0.0 1 39.041 3215.039 -173.722 3.623
4.3 -165.95 3.59 -0.49 0.02 0.0 1 39.09 3214.681 -173.722 3.623
4.4 -165.94 3.59 -0.49 0.02 0.0 1 39.139 3214.323 -173.712 3.623
4.5 -165.94 3.59 -0.49 0.02 0.0 1 39.189 3213.965 -173.712 3.623
4.6 -165.94 3.59 -0.49 0.02 0.0 1 39.238 3213.607 -173.712 3.623
4.7 -165.94 3.59 -0.49 0.03 0.0 1 39.287 3213.248 -173.712 3.623
4.8 -165.93 3.59 -0.49 0.03 0.0 1 39.336 3212.89 -173.702 3.623
4.9 -165.93 3.59 -0.49 0.03 0.0 1 39.386 3212.532 -173.702 3.623
5.0 -165.93 3.59 -0.49 0.03 0.0 1 39.435 3212.174 -173.702 3.623
5.1 -165.93 3.59 -0.49 0.03 0.0 1 39.484 3211.816 -173.702 3.623
5.2 -165.92 3.59 -0.49 0.03 0.0 1 39.533 3211.458 -173.692 3.623
5.3 -165.92 3.59 -0.49 0.03 0.0 1 39.583 3211.1 -173.692 3.623
5.4 -165.92 3.59 -0.49 0.03 0.0 1 39.632 3210.742 -173.692 3.623
5.5 -165.91 3.59 -0.48 0.03 0.0 1 39.681 3210.383 -173.526 3.622
5.6 -165.91 3.59 -0.48 0.03 0.0 1 39.73 3210.025 -173.526 3.622
5.7 -165.91 3.59 -0.48 0.03 0.0 1 39.78 3209.667 -173.526 3.622
5.8 -165.91 3.59 -0.48 0.03 0.0 1 39.829 3209.309 -173.526 3.622
5.9 -165.9 3.59 -0.48 0.03 0.0 1 39.878 3208.951 -173.516 3.622
6.0 -165.9 3.59 -0.48 0.03 0.0 1 39.928 3208.593 -173.516 3.622
6.1 -165.9 3.59 -0.48 0.03 0.0 1 39.977 3208.235 -173.516 3.622
6.2 -165.89 3.59 -0.48 0.03 0.0 1 40.026 3207.877 -173.506 3.622
6.3 -165.89 3.59 -0.48 0.03 0.0 1 40.075 3207.519 -173.506 3.622
6.4 -165.89 3.59 -0.48 0.03 0.0 1 40.125 3207.16 -173.506 3.622
6.5 -165.88 3.59 -0.48 0.03 0.0 1 40.174 3206.802 -173.496 3.622
6.6 -165.88 3.59 -0.48 0.03 0.0 1 40.211 3206.451 -173.496 3.622
6.7 -165.88 3.59 -0.48 0.03 0.07 1 40.26 3206.093 -173.496 3.622
6.8 -165.87 3.59 -0.48 0.03 0.07 1 40.309 3205.735 -173.486 3.622
6.9 -165.87 3.58 -0.48 0.04 0.07 1 40.359 3205.377 -173.507 3.612
7.0 -165.87 3.58 -0.48 0.04 0.07 1 40.408 3205.019 -173.507 3.612
7.1 -165.86 3.58 -0.48 0.04 0.11 1 40.457 3204.661 -173.497 3.612
7.2 -165.86 3.58 -0.48 0.04 0.11 1 40.506 3204.303 -173.497 3.612
7.3 -165.85 3.58 -0.48 0.04 0.11 1 40.556 3203.945 -173.487 3.612
7.4 -165.85 3.58 -0.48 0.04 0.11 1 40.605 3203.586 -173.487 3.612
7.5 -165.85 3.58 -0.48 0.04 0.17 1 40.654 3203.228 -173.487 3.612
7.6 -165.84 3.58 -0.48 0.04 0.17 1 40.703 3202.87 -173.477 3.612
7.7 -165.84 3.58 -0.48 0.04 0.17 1 40.743 3202.51 -173.477 3.612
7.8 -165.84 3.58 -0.48 0.04 0.17 1 40.792 3202.152 -173.477 3.612
7.9 -165.83 3.58 -0.48 0.04 0.17 1 40.842 3201.793 -173.467 3.612
8.0 -165.83 3.58 -0.48 0.04 0.17 1 40.888 3201.445 -173.467 3.612
8.1 -165.82 3.58 -0.48 0.04 0.17 1 40.938 3201.087 -173.457 3.612
8.2 -165.82 3.58 -0.48 0.04 0.17 1 40.987 3200.729 -173.457 3.612
8.3 -165.82 3.58 -0.48 0.04 0.17 1 41.036 3200.371 -173.457 3.612
8.4 -165.81 3.58 -0.48 0.04 0.17 1 41.076 3200.01 -173.447 3.612
8.5 -165.81 3.58 -0.48 0.04 0.17 1 41.125 3199.652 -173.447 3.612
8.6 -165.8 3.58 -0.48 0.04 0.17 1 41.174 3199.294 -173.437 3.612
8.7 -165.8 3.58 -0.47 0.04 0.19 1 41.223 3198.936 -173.279 3.611
8.8 -165.8 3.58 -0.47 0.04 0.19 1 41.273 3198.578 -173.279 3.611
8.9 -165.79 3.58 -0.47 0.04 0.19 1 41.312 3198.217 -173.269 3.611
9.0 -165.79 3.58 -0.47 0.04 0.19 1 41.359 3197.869 -173.269 3.611
9.1 -165.78 3.58 -0.47 0.04 0.19 1 41.408 3197.511 -173.259 3.611
9.2 -165.78 3.58 -0.47 0.04 0.19 1 41.458 3197.152 -173.259 3.611
9.3 -165.77 3.58 -0.47 0.04 0.19 1 41.507 3196.794 -173.249 3.611
9.4 -165.77 3.58 -0.47 0.04 0.19 1 41.546 3196.434 -173.249 3.611
9.5 -165.77 3.58 -0.47 0.04 0.18 1 41.596 3196.076 -173.249 3.611
9.6 -165.76 3.58 -0.47 0.04 0.18 1 41.645 3195.718 -173.239 3.611
9.7 -165.76 3.58 -0.47 0.05 0.18 1 41.692 3195.369 -173.239 3.611
9.8 -165.75 3.58 -0.47 0.05 0.18 1 41.731 3195.008 -173.229 3.611
9.9 -165.75 3.58 -0.47 0.05 0.18 1 41.781 3194.65 -173.229 3.611
10.0 -165.74 3.58 -0.47 0.05 0.18 1 41.83 3194.292 -173.219 3.611
10.1 -165.74 3.58 -0.47 0.05 0.18 1 41.879 3193.934 -173.219 3.611
10.2 -165.73 3.58 -0.47 0.05 0.18 1 41.919 3193.574 -173.209 3.611
10.3 -165.73 3.58 -0.47 0.05 0.18 1 41.968 3193.215 -173.209 3.611
10.4 -165.72 3.58 -0.47 0.05 0.18 1 42.015 3192.867 -173.199 3.611
10.5 -165.72 3.58 -0.47 0.05 0.18 1 42.064 3192.509 -173.199 3.611
10.6 -165.71 3.58 -0.47 0.05 0.18 1 42.103 3192.148 -173.189 3.611
10.7 -165.71 3.58 -0.47 0.05 0.17 1 42.153 3191.79 -173.189 3.611
10.8 -165.7 3.58 -0.47 0.05 0.17 1 42.202 3191.432 -173.179 3.611
10.9 -165.7 3.58 -0.46 0.05 0.17 1 42.239 3191.081 -173.022 3.609
11.0 -165.69 3.58 -0.46 0.05 0.17 1 42.288 3190.723 -173.012 3.609
11.1 -165.69 3.58 -0.46 0.05 0.17 1 42.338 3190.365 -173.012 3.609
11.2 -165.68 3.58 -0.46 0.05 0.17 1 42.377 3190.004 -173.002 3.609
11.3 -165.68 3.58 -0.46 0.05 0.17 1 42.426 3189.646 -173.002 3.609
11.4 -165.68 3.58 -0.46 0.05 0.17 1 42.476 3189.288 -173.002 3.609
11.5 -165.67 3.58 -0.46 0.05 0.17 1 42.513 3188.937 -172.992 3.609
11.6 -165.66 3.58 -0.46 0.05 0.17 1 42.562 3188.579 -172.982 3.609
11.7 -165.66 3.58 -0.46 0.05 0.17 1 42.602 3188.219 -172.982 3.609
11.8 -165.65 3.58 -0.46 0.05 0.17 1 42.651 3187.861 -172.972 3.609
11.9 -165.65 3.58 -0.46 0.05 0.17 1 42.7 3187.502 -172.972 3.609
12.0 -165.64 3.58 -0.46 0.05 0.17 1 42.737 3187.151 -172.962 3.609
12.1 -165.64 3.58 -0.46 0.05 0.17 1 42.786 3186.793 -172.962 3.609
12.2 -165.63 3.58 -0.46 0.05 0.17 1 42.826 3186.433 -172.952 3.609
12.3 -165.63 3.58 -0.46 0.05 0.17 1 42.875 3186.075 -172.952 3.609
12.4 -165.62 3.58 -0.46 0.05 0.17 1 42.915 3185.714 -172.942 3.609
12.5 -165.62 3.58 -0.46 0.05 0.17 1 42.962 3185.366 -172.942 3.609
12.6 -165.61 3.58 -0.46 0.05 0.17 1 43.011 3185.008 -172.932 3.609
12.7 -165.61 3.58 -0.46 0.05 0.17 1 43.05 3184.647 -172.932 3.609
12.8 -165.6 3.58 -0.46 0.05 0.17 1 43.1 3184.289 -172.922 3.609
12.9 -165.6 3.58 -0.46 0.05 0.17 1 43.139 3183.928 -172.922 3.609
13.0 -165.59 3.58 -0.46 0.05 0.17 1 43.186 3183.58 -172.912 3.609
13.1 -165.59 3.58 -0.45 0.05 0.22 1 43.226 3183.219 -172.754 3.608
13.2 -165.58 3.58 -0.45 0.05 0.22 1 43.275 3182.861 -172.744 3.608
13.3 -165.58 3.58 -0.45 0.05 0.22 1 43.314 3182.501 -172.744 3.608
13.4 -165.57 3.58 -0.45 0.05 0.22 1 43.364 3182.142 -172.734 3.608
13.5 -165.56 3.58 -0.45 0.05 0.31 1 43.401 3181.792 -172.724 3.608
13.6 -165.56 3.58 -0.45 0.06 0.31 1 43.45 3181.433 -172.724 3.608
13.7 -165.55 3.58 -0.45 0.06 0.31 1 43.49 3181.073 -172.714 3.608
13.8 -165.55 3.58 -0.45 0.06 0.31 1 43.529 3180.712 -172.714 3.608
13.9 -165.54 3.58 -0.45 0.06 0.31 1 43.576 3180.364 -172.704 3.608
14.0 -165.54 3.58 -0.45 0.06 0.31 1 43.616 3180.003 -172.704 3.608
14.1 -165.53 3.58 -0.45 0.06 0.31 1 43.665 3179.645 -172.694 3.608
14.2 -165.53 3.58 -0.45 0.06 0.31 1 43.704 3179.284 -172.694 3.608
14.3 -165.52 3.58 -0.45 0.06 0.32 1 43.751 3178.936 -172.684 3.608
14.4 -165.51 3.58 -0.45 0.06 0.32 1 43.791 3178.575 -172.674 3.608
14.5 -165.51 3.58 -0.45 0.06 0.32 1 43.83 3178.215 -172.674 3.608
14.6 -165.5 3.58 -0.45 0.06 0.32 1 43.88 3177.857 -172.664 3.608
14.7 -165.5 3.58 -0.45 0.06 0.33 1 43.917 3177.506 -172.664 3.608
14.8 -165.49 3.58 -0.45 0.06 0.33 1 43.966 3177.148 -172.654 3.608
14.9 -165.49 3.57 -0.45 0.06 0.33 1 44.006 3176.787 -172.674 3.598
15.0 -165.48 3.57 -0.45 0.06 0.33 1 44.045 3176.427 -172.664 3.598
15.1 -165.47 3.57 -0.45 0.06 0.35 1 44.092 3176.078 -172.654 3.598
15.2 -165.47 3.57 -0.45 0.06 0.35 1 44.131 3175.718 -172.654 3.598
15.3 -165.46 3.57 -0.45 0.06 0.35 1 44.171 3175.357 -172.644 3.598
15.4 -165.46 3.57 -0.45 0.06 0.35 1 44.22 3174.999 -172.644 3.598
15.5 -165.45 3.57 -0.45 0.06 0.35 1 44.257 3174.648 -172.634 3.598
15.6 -165.44 3.57 -0.44 0.06 0.35 1 44.297 3174.287 -172.466 3.597
15.7 -165.44 3.57 -0.44 0.06 0.35 1 44.346 3173.929 -172.466 3.597
15.8 -165.43 3.57 -0.44 0.06 0.35 1 44.383 3173.578 -172.456 3.597
15.9 -165.43 3.57 -0.44 0.06 0.35 1 44.423 3173.218 -172.456 3.597
16.0 -165.42 3.57 -0.44 0.06 0.35 1 44.472 3172.86 -172.446 3.597
16.1 -165.42 3.57 -0.44 0.06 0.35 1 44.509 3172.509 -172.446 3.597
16.2 -165.41 3.57 -0.44 0.06 0.35 1 44.549 3172.148 -172.436 3.597
16.3 -165.4 3.57 -0.44 0.06 0.35 1 44.598 3171.79 -172.426 3.597
16.4 -165.4 3.57 -0.44 0.06 0.35 1 44.635 3171.439 -172.426 3.597
16.5 -165.39 3.57 -0.44 0.06 0.35 1 44.675 3171.078 -172.416 3.597
16.6 -165.39 3.57 -0.44 0.06 0.35 1 44.712 3170.727 -172.416 3.597
16.7 -165.38 3.56 -0.44 0.06 0.35 1 44.761 3170.369 -172.426 3.587
16.8 -165.37 3.56 -0.44 0.06 0.35 1 44.801 3170.009 -172.416 3.587
16.9 -165.37 3.56 -0.44 0.06 0.35 1 44.838 3169.658 -172.416 3.587
17.0 -165.36 3.56 -0.44 0.06 0.35 1 44.887 3169.3 -172.406 3.587
17.1 -165.36 3.56 -0.44 0.06 0.35 1 44.924 3168.949 -172.406 3.587
17.2 -165.35 3.56 -0.44 0.06 0.35 1 44.964 3168.588 -172.396 3.587
17.3 -165.34 3.56 -0.44 0.06 0.35 1 45.003 3168.228 -172.386 3.587
17.4 -165.34 3.56 -0.44 0.06 0.35 1 45.04 3167.877 -172.386 3.587
17.5 -165.33 3.56 -0.44 0.06 0.35 1 45.09 3167.519 -172.376 3.587
17.6 -165.32 3.56 -0.44 0.06 0.35 1 45.127 3167.168 -172.366 3.587
17.7 -165.32 3.56 -0.44 0.06 0.35 1 45.166 3166.807 -172.366 3.587
17.8 -165.31 3.56 -0.44 0.06 0.35 1 45.203 3166.456 -172.356 3.587
17.9 -165.31 3.56 -0.44 0.06 0.35 1 45.253 3166.098 -172.356 3.587
18.0 -165.3 3.56 -0.44 0.06 0.35 1 45.29 3165.747 -172.346 3.587
18.1 -165.29 3.56 -0.44 0.06 0.35 1 45.329 3165.387 -172.336 3.587
18.2 -165.29 3.55 -0.44 0.06 0.35 1 45.366 3165.036 -172.355 3.577
18.3 -165.28 3.55 -0.44 0.06 0.35 1 45.406 3164.675 -172.345 3.577
18.4 -165.28 3.55 -0.44 0.06 0.35 1 45.453 3164.327 -172.345 3.577
18.5 -165.27 3.55 -0.44 0.06 0.35 1 45.492 3163.966 -172.335 3.577
18.6 -165.26 3.55 -0.43 0.06 0.35 1 45.529 3163.615 -172.166 3.576
18.7 -165.26 3.55 -0.43 0.06 0.35 1 45.569 3163.255 -172.166 3.576
18.8 -165.25 3.55 -0.43 0.06 0.35 1 45.606 3162.904 -172.156 3.576
18.9 -165.24 3.55 -0.43 0.06 0.35 1 45.643 3162.553 -172.146 3.576
19.0 -165.24 3.55 -0.43 0.06 0.35 1 45.693 3162.195 -172.146 3.576
19.1 -165.23 3.55 -0.43 0.06 0.35 1 45.73 3161.844 -172.136 3.576
19.2 -165.23 3.55 -0.43 0.06 0.35 1 45.769 3161.483 -172.136 3.576
19.3 -165.22 3.55 -0.43 0.06 0.35 1 45.806 3161.132 -172.126 3.576
19.4 -165.21 3.55 -0.43 0.06 0.35 1 45.846 3160.772 -172.116 3.576
19.5 -165.21 3.55 -0.43 0.06 0.35 1 45.883 3160.421 -172.116 3.576
19.6 -165.2 3.55 -0.43 0.06 0.35 1 45.923 3160.06 -172.106 3.576
19.7 -165.19 3.55 -0.43 0.06 0.35 1 45.96 3159.709 -172.096 3.576
19.8 -165.19 3.55 -0.43 0.06 0.35 1 46.006 3159.361 -172.096 3.576
19.9 -165.18 3.55 -0.43 0.06 0.35 1 46.046 3159.0 -172.086 3.576
20.0 -165.18 3.55 -0.43 0.06 0.35 1 46.083 3158.649 -172.086 3.576
20.1 -165.17 3.55 -0.43 0.06 0.35 1 46.123 3158.289 -172.076 3.576
20.2 -165.16 3.55 -0.43 0.06 0.35 1 46.16 3157.938 -172.066 3.576
20.3 -165.16 3.55 -0.43 0.06 0.35 1 46.197 3157.587 -172.066 3.576
20.4 -165.15 3.55 -0.43 0.06 0.35 1 46.237 3157.226 -172.056 3.576
20.5 -165.14 3.55 -0.43 0.06 0.35 1 46.274 3156.875 -172.046 3.576
20.6 -165.14 3.55 -0.43 0.06 0.35 1 46.313 3156.515 -172.046 3.576
20.7 -165.13 3.55 -0.43 0.06 0.35 1 46.35 3156.164 -172.036 3.576
20.8 -165.12 3.55 -0.43 0.06 0.35 1 46.39 3155.803 -172.026 3.576
20.9 -165.12 3.55 -0.43 0.06 0.35 1 46.427 3155.452 -172.026 3.576
21.0 -165.11 3.55 -0.43 0.06 0.35 1 46.464 3155.101 -172.016 3.576
21.1 -165.11 3.55 -0.43 0.06 0.35 1 46.504 3154.741 -172.016 3.576
21.2 -165.1 3.55 -0.43 0.06 0.35 1 46.541 3154.39 -172.006 3.576
21.3 -165.09 3.55 -0.43 0.06 0.35 1 46.59 3154.032 -171.996 3.576
21.4 -165.09 3.55 -0.43 0.06 0.35 1 46.627 3153.681 -171.996 3.576
21.5 -165.08 3.55 -0.43 0.06 0.35 1 46.664 3153.33 -171.986 3.576
21.6 -165.07 3.55 -0.43 0.06 0.35 1 46.704 3152.969 -171.976 3.576
21.7 -165.07 3.55 -0.43 0.06 0.35 1 46.741 3152.618 -171.976 3.576
21.8 -165.06 3.55 -0.43 0.06 0.35 1 46.771 3152.255 -171.966 3.576
21.9 -165.05 3.55 -0.43 0.06 0.35 1 46.808 3151.904 -171.956 3.576
22.0 -165.05 3.55 -0.43 0.06 0.35 1 46.847 3151.544 -171.956 3.576
22.1 -165.04 3.55 -0.43 0.06 0.35 1 46.885 3151.193 -171.946 3.576
22.2 -165.03 3.55 -0.43 0.06 0.35 1 46.922 3150.842 -171.936 3.576
22.3 -165.03 3.56 -0.43 0.06 0.35 1 46.961 3150.481 -171.917 3.586
22.4 -165.02 3.56 -0.43 0.06 0.35 1 46.998 3150.13 -171.907 3.586
22.5 -165.01 3.56 -0.43 0.06 0.35 1 47.038 3149.77 -171.897 3.586
22.6 -165.01 3.56 -0.43 0.07 0.35 1 47.075 3149.419 -171.897 3.586
