Navio: Capsan L333B48T14.3
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 8219.55 4595.64 -159.96 4.11 -0.26 -0.0 0.02 4 25.45 93.661 2515.116
0.1 8219.16 4595.52 -159.96 4.11 -0.26 -0.0 0.02 4 25.423 93.686 2514.708
0.2 8218.76 4595.4 -159.96 4.11 -0.26 -0.0 0.02 4 25.398 93.709 2514.291
0.3 8218.37 4595.29 -159.96 4.11 -0.26 -0.0 0.02 4 25.381 93.725 2513.885
0.4 8217.97 4595.17 -159.96 4.11 -0.26 -0.0 0.02 4 25.356 93.748 2513.468
0.5 8217.58 4595.05 -159.96 4.11 -0.26 -0.0 0.02 4 25.329 93.774 2513.06
0.6 8217.18 4594.94 -159.96 4.11 -0.26 -0.0 0.02 4 25.314 93.787 2512.645
0.7 8216.79 4594.82 -159.96 4.11 -0.26 -0.0 0.02 4 25.287 93.812 2512.238
0.8 8216.39 4594.7 -159.96 4.11 -0.26 -0.0 0.02 4 25.262 93.836 2511.82
0.9 8216.0 4594.59 -159.96 4.11 -0.26 -0.0 0.02 4 25.245 93.851 2511.415
1.0 8215.6 4594.47 -159.96 4.11 -0.26 -0.0 0.02 4 25.22 93.874 2510.998
1.1 8215.21 4594.36 -159.97 4.11 -0.26 -0.0 0.02 4 25.231 93.919 2510.592
1.2 8214.81 4594.24 -159.97 4.11 -0.26 -0.0 0.02 4 25.206 93.942 2510.175
1.3 8214.42 4594.12 -159.97 4.11 -0.26 -0.0 0.02 4 25.179 93.967 2509.767
1.4 8214.03 4594.01 -159.97 4.1 -0.26 -0.0 0.02 4 25.162 93.983 2509.362
1.5 8213.63 4593.89 -159.97 4.1 -0.26 -0.01 0.02 4 25.137 94.006 2508.945
1.6 8213.24 4593.78 -159.97 4.1 -0.26 -0.01 0.02 4 25.12 94.022 2508.539
1.7 8212.84 4593.66 -159.97 4.1 -0.26 -0.01 0.02 4 25.095 94.045 2508.122
1.8 8212.45 4593.54 -159.97 4.1 -0.26 -0.01 0.02 4 25.068 94.07 2507.714
1.9 8212.05 4593.43 -159.97 4.1 -0.26 -0.01 0.02 4 25.053 94.084 2507.299
