Navio: NewPanamax L366B49T15.2
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 9540.48 4914.97 -165.0 4.11 -0.0 -0.0 -0.0 1 95.717 100.605 2414.31 21.42 20.4
0.1 9540.09 4914.86 -165.0 4.11 -0.0 -0.0 -0.0 1 95.706 100.616 2413.905 20.68 20.4
0.2 9539.69 4914.76 -165.0 4.11 -0.0 -0.0 -0.0 1 95.707 100.615 2413.493 20.68 20.4
0.3 9539.29 4914.65 -165.0 4.11 -0.0 -0.0 -0.0 1 95.698 100.624 2413.078 20.68 20.4
0.4 9538.9 4914.55 -165.0 4.11 -0.0 -0.0 -0.0 1 95.696 100.625 2412.675 20.68 20.4
0.5 9538.5 4914.44 -165.0 4.11 -0.0 -0.0 -0.0 1 95.687 100.634 2412.261 20.68 20.4
0.6 9538.1 4914.33 -165.0 4.11 -0.0 -0.0 -0.0 1 95.678 100.643 2411.846 20.68 20.4
0.7 9537.71 4914.23 -165.0 4.1 -0.0 -0.0 -0.0 1 95.677 100.644 2411.443 20.68 20.4
0.8 9537.31 4914.12 -165.0 4.1 -0.0 -0.0 -0.0 1 95.668 100.653 2411.029 20.68 20.4
0.9 9536.91 4914.02 -165.0 4.1 -0.0 -0.0 -0.0 1 95.669 100.652 2410.616 20.68 20.4
1.0 9536.52 4913.91 -165.01 4.1 -0.0 -0.0 -0.0 1 95.689 100.695 2410.211 20.68 20.4
1.1 9536.12 4913.8 -165.01 4.1 -0.0 -0.0 -0.0 1 95.681 100.704 2409.796 20.68 20.4
1.2 9535.72 4913.7 -165.01 4.1 -0.0 -0.0 -0.0 1 95.681 100.703 2409.384 20.68 20.4
1.3 9535.33 4913.59 -165.01 4.1 -0.0 -0.0 -0.0 1 95.67 100.715 2408.979 20.68 20.4
1.4 9534.93 4913.49 -165.01 4.1 -0.0 -0.01 -0.0 1 95.671 100.714 2408.567 20.68 20.4
1.5 9534.54 4913.38 -165.01 4.1 -0.0 -0.01 -0.0 1 95.66 100.725 2408.162 20.68 20.4
1.6 9534.14 4913.28 -165.01 4.1 -0.01 -0.01 -0.0 1 95.66 100.724 2407.749 20.68 20.4
1.7 9533.74 4913.17 -165.01 4.1 -0.01 -0.01 -0.0 2 95.652 100.733 2407.335 33.66 40.8
1.8 9533.35 4913.07 -165.01 4.1 -0.01 -0.01 -0.0 2 95.65 100.734 2406.932 33.66 40.8
1.9 9532.95 4912.96 -165.01 4.1 -0.01 -0.01 -0.0 2 95.641 100.743 2406.517 33.66 40.8
2.0 9532.56 4912.85 -165.01 4.1 -0.01 -0.01 -0.0 2 95.63 100.754 2406.112 33.66 40.8
2.1 9532.16 4912.75 -165.01 4.1 -0.01 -0.01 -0.0 2 95.631 100.754 2405.7 33.66 40.8
2.2 9531.76 4912.64 -165.01 4.1 -0.01 -0.01 -0.0 2 95.622 100.762 2405.285 33.66 40.8
2.3 9531.37 4912.54 -165.01 4.1 -0.01 -0.01 -0.0 2 95.62 100.764 2404.882 33.66 40.8
2.4 9530.97 4912.43 -165.01 4.1 -0.01 -0.01 -0.0 2 95.611 100.773 2404.468 33.66 40.8
2.5 9530.58 4912.33 -165.01 4.1 -0.01 -0.01 -0.0 2 95.61 100.774 2404.065 33.66 40.8
2.6 9530.18 4912.22 -165.02 4.09 -0.01 -0.01 -0.0 2 95.633 100.815 2403.65 33.66 40.8
2.7 9529.79 4912.12 -165.02 4.09 -0.01 -0.01 -0.0 2 95.631 100.817 2403.248 33.66 40.8
2.8 9529.39 4912.01 -165.02 4.09 -0.01 -0.01 -0.0 2 95.622 100.825 2402.833 33.66 40.8
2.9 9528.99 4911.91 -165.02 4.09 -0.01 -0.01 -0.0 2 95.623 100.824 2402.421 33.66 40.8
3.0 9528.6 4911.8 -165.02 4.09 -0.01 -0.01 -0.0 2 95.612 100.836 2402.015 33.66 40.8
3.1 9528.2 4911.7 -165.02 4.09 -0.01 -0.01 -0.0 2 95.612 100.835 2401.603 33.66 40.8
3.2 9527.81 4911.59 -165.02 4.09 -0.01 -0.01 -0.0 2 95.601 100.846 2401.198 33.66 40.8
3.3 9527.41 4911.49 -165.02 4.09 -0.01 -0.01 -0.0 2 95.602 100.845 2400.786 33.66 40.8
3.4 9527.02 4911.38 -165.02 4.09 -0.01 -0.01 -0.0 2 95.591 100.856 2400.381 33.66 40.8
3.5 9526.62 4911.28 -165.03 4.09 -0.01 -0.01 -0.0 2 95.623 100.887 2399.968 33.66 40.8
3.6 9526.22 4911.17 -165.03 4.09 -0.01 -0.01 -0.0 2 95.614 100.896 2399.554 33.66 40.8
