Navio: NewPanamax L366B49T15.2
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8819.48 4732.26 -162.99 4.11 -0.26 -0.0 0.01 1 88.465 94.675 1670.52 18.42 20.4
0.1 8819.08 4732.17 -162.99 4.11 -0.26 -0.0 0.01 1 88.475 94.664 1670.11 18.42 20.4
0.2 8818.68 4732.07 -162.99 4.11 -0.26 -0.0 0.01 1 88.476 94.662 1669.698 18.42 20.4
0.3 8818.28 4731.98 -162.99 4.11 -0.26 -0.0 0.01 1 88.487 94.651 1669.288 18.42 20.4
0.4 8817.88 4731.88 -162.99 4.11 -0.26 -0.0 0.01 1 88.488 94.649 1668.876 18.42 20.4
0.5 8817.47 4731.79 -162.99 4.11 -0.26 -0.0 0.01 1 88.501 94.635 1668.456 18.42 20.4
0.6 8817.07 4731.69 -162.99 4.11 -0.26 -0.0 0.01 1 88.501 94.634 1668.044 18.42 20.4
0.7 8816.67 4731.6 -162.99 4.1 -0.26 -0.0 0.01 1 88.512 94.622 1667.634 18.42 20.4
0.8 8816.27 4731.5 -162.99 4.1 -0.26 -0.0 0.01 1 88.513 94.621 1667.222 18.42 20.4
0.9 8815.87 4731.41 -162.99 4.1 -0.26 -0.0 0.01 1 88.523 94.609 1666.812 18.42 20.4
1.0 8815.47 4731.31 -162.99 4.1 -0.26 -0.0 0.01 1 88.524 94.608 1666.4 18.42 20.4
1.1 8815.07 4731.22 -162.99 4.1 -0.26 -0.0 0.01 1 88.535 94.596 1665.99 18.42 20.4
1.2 8814.68 4731.12 -162.99 4.1 -0.26 -0.0 0.01 1 88.533 94.597 1665.587 18.42 20.4
1.3 8814.28 4731.03 -162.99 4.1 -0.26 -0.0 0.01 1 88.544 94.586 1665.177 18.42 20.4
1.4 8813.88 4730.93 -162.99 4.1 -0.26 -0.0 0.01 1 88.545 94.584 1664.765 18.42 20.4
1.5 8813.48 4730.84 -162.99 4.1 -0.26 -0.0 0.01 1 88.555 94.573 1664.355 18.42 20.4
1.6 8813.08 4730.74 -162.99 4.1 -0.26 -0.0 0.01 1 88.556 94.571 1663.943 18.42 20.4
1.7 8812.68 4730.65 -162.99 4.1 -0.26 -0.0 0.01 1 88.567 94.56 1663.533 18.42 20.4
1.8 8812.28 4730.55 -162.99 4.1 -0.26 -0.0 0.01 1 88.567 94.558 1663.121 18.42 20.4
1.9 8811.88 4730.46 -162.99 4.1 -0.26 -0.0 0.01 1 88.578 94.547 1662.711 18.42 20.4
2.0 8811.48 4730.36 -162.99 4.1 -0.27 -0.0 0.0 2 88.579 94.545 1662.298 33.66 40.8
2.1 8811.08 4730.27 -162.99 4.09 -0.27 -0.0 0.0 2 88.589 94.534 1661.889 33.66 40.8
2.2 8810.68 4730.18 -162.99 4.09 -0.27 -0.01 0.0 2 88.6 94.522 1661.479 33.66 40.8
2.3 8810.28 4730.08 -162.99 4.09 -0.27 -0.01 0.0 2 88.601 94.521 1661.066 33.66 40.8
2.4 8809.88 4729.99 -162.99 4.09 -0.27 -0.01 0.0 2 88.611 94.509 1660.657 33.66 40.8
2.5 8809.48 4729.89 -162.99 4.09 -0.27 -0.01 0.0 2 88.612 94.507 1660.244 33.66 40.8
2.6 8809.08 4729.8 -162.99 4.09 -0.27 -0.01 0.0 2 88.623 94.496 1659.834 33.66 40.8
2.7 8808.68 4729.7 -163.0 4.09 -0.27 -0.01 0.0 2 88.655 94.526 1659.422 33.66 40.8
2.8 8808.28 4729.61 -163.0 4.09 -0.27 -0.01 0.0 2 88.666 94.515 1659.012 33.66 40.8
2.9 8807.89 4729.52 -163.0 4.09 -0.27 -0.01 0.0 2 88.674 94.506 1658.612 33.66 40.8
3.0 8807.49 4729.42 -163.0 4.09 -0.27 -0.01 0.0 2 88.675 94.504 1658.2 33.66 40.8
3.1 8807.09 4729.33 -163.0 4.09 -0.27 -0.01 0.0 2 88.685 94.493 1657.79 33.66 40.8
3.2 8806.69 4729.23 -163.0 4.09 -0.27 -0.01 0.0 2 88.686 94.491 1657.378 33.66 40.8
3.3 8806.29 4729.14 -163.0 4.09 -0.27 -0.01 0.0 2 88.697 94.48 1656.968 33.66 40.8
3.4 8805.89 4729.05 -163.0 4.09 -0.27 -0.01 0.0 2 88.707 94.468 1656.558 33.66 40.8
3.5 8805.49 4728.95 -163.0 4.09 -0.27 -0.01 0.0 2 88.708 94.467 1656.146 33.66 40.8
3.6 8805.09 4728.86 -163.0 4.09 -0.27 -0.01 0.0 2 88.719 94.455 1655.736 33.66 40.8
3.7 8804.69 4728.77 -163.0 4.09 -0.27 -0.01 0.0 2 88.729 94.444 1655.326 33.66 40.8
3.8 8804.29 4728.67 -163.0 4.09 -0.27 -0.01 0.0 2 88.73 94.442 1654.914 33.66 40.8
3.9 8803.89 4728.58 -163.0 4.09 -0.27 -0.01 0.0 2 88.74 94.431 1654.504 33.66 40.8
4.0 8803.5 4728.49 -163.0 4.09 -0.27 -0.01 0.0 2 88.749 94.422 1654.104 33.66 40.8
4.1 8803.1 4728.39 -163.01 4.09 -0.27 -0.01 0.0 2 88.781 94.452 1653.691 33.66 40.8
4.2 8802.7 4728.3 -163.01 4.09 -0.27 -0.01 0.0 2 88.792 94.441 1653.282 33.66 40.8
4.3 8802.3 4728.21 -163.01 4.09 -0.27 -0.01 0.0 2 88.802 94.429 1652.872 33.66 40.8
4.4 8801.9 4728.11 -163.01 4.09 -0.27 -0.01 0.0 2 88.803 94.428 1652.459 33.66 40.8
4.5 8801.5 4728.02 -163.01 4.09 -0.27 -0.01 0.0 2 88.814 94.416 1652.05 33.66 40.8
4.6 8801.1 4727.93 -163.01 4.09 -0.28 -0.01 0.0 2 88.824 94.405 1651.64 33.66 40.8
4.7 8800.7 4727.83 -163.01 4.09 -0.28 -0.01 0.0 2 88.825 94.403 1651.227 33.66 40.8
4.8 8800.3 4727.74 -163.01 4.09 -0.28 -0.01 0.0 2 88.836 94.392 1650.818 33.66 40.8
4.9 8799.9 4727.65 -163.01 4.09 -0.28 -0.01 0.0 2 88.846 94.381 1650.408 33.66 40.8
5.0 8799.5 4727.55 -163.01 4.09 -0.28 -0.01 0.0 2 88.847 94.379 1649.995 33.66 40.8
5.1 8799.1 4727.46 -163.02 4.09 -0.28 -0.01 0.0 2 88.889 94.399 1649.586 33.66 40.8
