Navio: Conteneiro L400B59T14.5
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Tecon II
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8952.87 4779.47 -165.0 3.34 -0.0 -0.0 0.0 0 103.76 83.971 1811.472 -2.27 0.0
0.1 8952.55 4779.39 -165.0 3.34 -0.0 -0.0 -0.0 0 103.761 83.97 1811.142 -1.93 0.0
0.2 8952.22 4779.3 -165.0 3.34 -0.0 -0.0 -0.0 0 103.754 83.976 1810.8 -1.93 0.0
0.3 8951.9 4779.21 -165.0 3.34 -0.0 -0.0 -0.0 0 103.745 83.984 1810.468 -1.93 0.0
0.4 8951.58 4779.13 -165.0 3.34 -0.0 -0.0 -0.0 0 103.746 83.983 1810.138 -1.93 0.0
0.5 8951.26 4779.04 -165.0 3.34 -0.0 -0.0 -0.0 0 103.737 83.991 1809.806 -1.93 0.0
0.6 8950.93 4778.96 -165.0 3.34 -0.0 -0.0 -0.0 0 103.74 83.987 1809.466 -1.93 0.0
0.7 8950.61 4778.87 -165.0 3.34 -0.0 -0.0 -0.0 0 103.731 83.996 1809.134 -1.93 0.0
0.8 8950.29 4778.78 -165.0 3.34 -0.0 -0.0 -0.0 0 103.722 84.004 1808.801 -1.93 0.0
0.9 8949.97 4778.7 -165.0 3.34 -0.0 -0.0 -0.0 0 103.723 84.003 1808.472 -1.93 0.0
1.0 8949.64 4778.61 -165.0 3.34 -0.0 -0.0 -0.0 0 103.716 84.009 1808.13 -1.93 0.0
1.1 8949.32 4778.52 -165.0 3.34 -0.0 -0.0 -0.0 0 103.707 84.017 1807.797 -1.93 0.0
1.2 8949.0 4778.44 -165.0 3.33 -0.0 -0.0 -0.0 0 103.708 84.016 1807.467 -1.93 0.0
1.3 8948.68 4778.35 -165.0 3.33 -0.0 -0.0 -0.0 0 103.699 84.024 1807.135 -1.93 0.0
1.4 8948.36 4778.27 -165.01 3.33 -0.0 -0.0 -0.0 0 103.734 84.057 1806.805 -1.93 0.0
1.5 8948.03 4778.18 -165.01 3.33 -0.0 -0.0 -0.0 0 103.728 84.063 1806.463 -1.93 0.0
1.6 8947.71 4778.09 -165.01 3.33 -0.0 -0.0 -0.0 0 103.719 84.072 1806.131 -1.93 0.0
1.7 8947.39 4778.01 -165.01 3.33 -0.0 -0.0 0.0 0 103.719 84.07 1805.801 0.0 0.0
1.8 8947.07 4777.92 -165.01 3.33 -0.0 -0.0 0.0 0 103.71 84.079 1805.469 0.0 0.0
1.9 8946.75 4777.84 -165.01 3.33 -0.0 -0.0 0.0 0 103.711 84.077 1805.139 0.0 0.0
2.0 8946.42 4777.75 -165.01 3.33 -0.0 -0.0 0.0 0 103.704 84.083 1804.797 0.0 0.0
2.1 8946.1 4777.66 -165.01 3.33 -0.0 -0.0 0.0 0 103.695 84.092 1804.464 0.0 0.0
2.2 8945.78 4777.58 -165.01 3.33 -0.0 -0.0 0.0 0 103.696 84.09 1804.134 0.0 0.0
2.3 8945.46 4777.49 -165.01 3.33 -0.0 -0.0 0.0 0 103.687 84.099 1803.802 0.0 0.0
2.4 8945.14 4777.41 -165.01 3.33 -0.0 -0.0 0.0 0 103.688 84.097 1803.472 0.0 0.0
2.5 8944.81 4777.32 -165.01 3.33 -0.0 -0.0 0.0 0 103.681 84.103 1803.13 0.0 0.0
2.6 8944.49 4777.23 -165.01 3.33 -0.0 -0.0 0.0 0 103.672 84.111 1802.798 0.0 0.0
2.7 8944.17 4777.15 -165.01 3.33 -0.0 -0.0 0.0 0 103.673 84.11 1802.468 0.0 0.0
2.8 8943.85 4777.06 -165.01 3.33 -0.0 -0.01 0.0 0 103.664 84.119 1802.136 0.0 0.0
2.9 8943.53 4776.98 -165.01 3.33 -0.0 -0.01 0.0 0 103.664 84.117 1801.806 0.0 0.0
3.0 8943.21 4776.89 -165.01 3.33 -0.0 -0.01 0.0 0 103.655 84.126 1801.474 0.0 0.0
3.1 8942.88 4776.8 -165.01 3.33 -0.0 -0.01 0.0 0 103.649 84.131 1801.132 0.0 0.0
3.2 8942.56 4776.72 -165.01 3.33 -0.0 -0.01 0.0 0 103.649 84.13 1800.802 0.0 0.0
3.3 8942.24 4776.63 -165.01 3.33 -0.0 -0.01 0.0 0 103.64 84.138 1800.469 0.0 0.0
3.4 8941.92 4776.55 -165.01 3.33 -0.0 -0.01 0.0 1 103.641 84.137 1800.139 25.5 19.2
3.5 8941.6 4776.46 -165.01 3.33 -0.0 -0.01 0.0 1 103.632 84.145 1799.807 25.5 19.2
3.6 8941.27 4776.38 -165.02 3.33 -0.0 -0.01 0.0 1 103.67 84.176 1799.468 25.5 19.2
3.7 8940.95 4776.29 -165.02 3.33 -0.0 -0.01 0.0 1 103.661 84.185 1799.135 25.5 19.2
3.8 8940.63 4776.2 -165.02 3.33 -0.0 -0.01 0.0 1 103.652 84.193 1798.803 25.5 19.2
3.9 8940.31 4776.12 -165.02 3.33 -0.0 -0.01 0.0 1 103.653 84.192 1798.473 25.5 19.2
4.0 8939.99 4776.03 -165.02 3.33 -0.0 -0.01 0.0 1 103.644 84.2 1798.141 25.5 19.2
4.1 8939.67 4775.95 -165.02 3.33 -0.0 -0.01 0.0 1 103.644 84.199 1797.811 25.5 19.2
4.2 8939.34 4775.86 -165.02 3.33 -0.0 -0.01 0.0 3 103.638 84.205 1797.469 51.0 57.6
4.3 8939.02 4775.78 -165.02 3.33 -0.0 -0.01 0.0 3 103.638 84.203 1797.139 51.0 57.6
4.4 8938.7 4775.69 -165.02 3.33 -0.0 -0.01 0.0 3 103.629 84.212 1796.807 51.0 57.6
4.5 8938.38 4775.61 -165.02 3.33 -0.0 -0.01 0.0 3 103.63 84.21 1796.477 51.0 57.6
4.6 8938.06 4775.52 -165.02 3.33 -0.0 -0.01 0.0 3 103.621 84.219 1796.144 51.0 57.6
4.7 8937.74 4775.43 -165.02 3.33 -0.0 -0.01 0.0 3 103.612 84.227 1795.812 51.0 57.6
4.8 8937.41 4775.35 -165.02 3.33 -0.0 -0.01 0.0 3 103.615 84.223 1795.473 51.0 57.6
4.9 8937.09 4775.26 -165.03 3.33 -0.0 -0.01 0.0 3 103.641 84.267 1795.14 51.0 57.6
5.0 8936.77 4775.18 -165.03 3.33 -0.0 -0.01 0.0 3 103.642 84.265 1794.81 51.0 57.6
5.1 8936.45 4775.09 -165.03 3.33 -0.01 -0.01 0.0 3 103.633 84.274 1794.478 51.0 57.6
5.2 8936.13 4775.01 -165.03 3.33 -0.01 -0.01 0.0 3 103.633 84.272 1794.148 51.0 57.6
5.3 8935.8 4774.92 -165.03 3.33 -0.01 -0.01 0.0 3 103.627 84.278 1793.806 51.0 57.6
5.4 8935.48 4774.83 -165.03 3.33 -0.01 -0.01 0.0 3 103.618 84.286 1793.474 51.0 57.6
5.5 8935.16 4774.75 -165.03 3.33 -0.01 -0.01 0.0 3 103.618 84.285 1793.144 51.0 57.6
5.6 8934.84 4774.66 -165.03 3.33 -0.01 -0.01 0.0 3 103.609 84.293 1792.812 51.0 57.6
5.7 8934.52 4774.58 -165.03 3.33 -0.01 -0.01 0.0 3 103.61 84.292 1792.482 51.0 57.6
5.8 8934.2 4774.49 -165.03 3.33 -0.01 -0.01 0.0 3 103.601 84.3 1792.149 51.0 57.6
5.9 8933.87 4774.41 -165.03 3.33 -0.01 -0.01 0.0 3 103.604 84.297 1791.81 51.0 57.6
6.0 8933.55 4774.32 -165.04 3.33 -0.01 -0.01 0.0 3 103.63 84.34 1791.478 51.0 57.6
6.1 8933.23 4774.24 -165.04 3.33 -0.01 -0.01 0.0 3 103.631 84.339 1791.148 51.0 57.6
6.2 8932.91 4774.15 -165.04 3.33 -0.01 -0.01 0.0 3 103.622 84.347 1790.815 51.0 57.6
6.3 8932.59 4774.07 -165.04 3.33 -0.01 -0.01 0.0 3 103.622 84.346 1790.486 51.0 57.6
6.4 8932.26 4773.98 -165.04 3.33 -0.01 -0.01 0.0 3 103.616 84.351 1790.144 51.0 57.6
6.5 8931.94 4773.89 -165.04 3.33 -0.01 -0.01 0.0 3 103.607 84.36 1789.811 51.0 57.6
6.6 8931.62 4773.81 -165.04 3.33 -0.01 -0.01 0.0 3 103.608 84.358 1789.481 51.0 57.6
