Navio: Conteneiro L400B59T14.5
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Tecon II
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 9972.74 5038.26 -160.01 4.11 -0.0 -0.0 0.02 2 88.1 65.323 2863.646 39.27 38.4
0.1 9972.35 5038.12 -160.01 4.11 -0.0 -0.0 0.02 2 88.06 65.363 2863.233 39.04 38.4
0.2 9971.96 5037.98 -160.02 4.11 -0.0 -0.0 0.02 2 88.053 65.437 2862.821 39.04 38.4
0.3 9971.58 5037.84 -160.02 4.11 -0.0 -0.0 0.02 2 88.011 65.48 2862.418 39.04 38.4
0.4 9971.19 5037.7 -160.02 4.11 -0.0 -0.0 0.02 2 87.97 65.521 2862.005 39.04 38.4
0.5 9970.81 5037.56 -160.02 4.11 -0.0 -0.0 0.02 2 87.927 65.563 2861.602 39.04 38.4
0.6 9970.42 5037.42 -160.02 4.11 -0.0 -0.0 0.02 2 87.887 65.604 2861.189 39.04 38.4
0.7 9970.03 5037.28 -160.02 4.1 -0.0 -0.0 0.02 2 87.847 65.644 2860.777 39.04 38.4
0.8 9969.65 5037.14 -160.02 4.1 -0.01 -0.0 0.02 2 87.804 65.687 2860.374 39.04 38.4
0.9 9969.26 5037.0 -160.02 4.1 -0.01 -0.0 0.02 2 87.763 65.727 2859.961 39.04 38.4
1.0 9968.88 5036.86 -160.02 4.1 -0.01 -0.0 0.02 2 87.72 65.77 2859.558 39.04 38.4
1.1 9968.49 5036.72 -160.02 4.1 -0.01 -0.0 0.02 2 87.68 65.81 2859.146 39.04 38.4
1.2 9968.1 5036.58 -160.02 4.1 -0.01 -0.0 0.02 2 87.64 65.851 2858.733 39.04 38.4
1.3 9967.72 5036.44 -160.02 4.1 -0.01 -0.01 0.02 2 87.597 65.893 2858.33 39.04 38.4
1.4 9967.33 5036.3 -160.02 4.1 -0.01 -0.01 0.02 2 87.556 65.934 2857.917 39.04 38.4
1.5 9966.95 5036.16 -160.02 4.1 -0.01 -0.01 0.02 2 87.514 65.976 2857.515 39.04 38.4
1.6 9966.56 5036.02 -160.02 4.1 -0.01 -0.01 0.02 2 87.473 66.017 2857.102 39.04 38.4
1.7 9966.18 5035.88 -160.02 4.1 -0.01 -0.01 0.02 2 87.43 66.06 2856.699 40.8 38.4
1.8 9965.79 5035.74 -160.02 4.1 -0.01 -0.01 0.02 2 87.39 66.1 2856.286 40.8 38.4
1.9 9965.41 5035.6 -160.02 4.1 -0.01 -0.01 0.02 2 87.347 66.143 2855.883 40.8 38.4
2.0 9965.02 5035.46 -160.02 4.1 -0.01 -0.01 0.02 2 87.307 66.183 2855.471 40.8 38.4
2.1 9964.63 5035.33 -160.02 4.1 -0.01 -0.01 0.02 2 87.276 66.214 2855.061 40.8 38.4
2.2 9964.25 5035.19 -160.02 4.1 -0.01 -0.01 0.02 2 87.233 66.257 2854.658 40.8 38.4
2.3 9963.86 5035.05 -160.03 4.1 -0.01 -0.01 0.02 2 87.227 66.331 2854.245 40.8 38.4
2.4 9963.48 5034.91 -160.03 4.09 -0.01 -0.01 0.02 2 87.184 66.374 2853.842 40.8 38.4
2.5 9963.09 5034.77 -160.03 4.09 -0.01 -0.01 0.02 2 87.144 66.414 2853.43 40.8 38.4
2.6 9962.71 5034.63 -160.03 4.09 -0.02 -0.01 0.02 2 87.101 66.457 2853.027 40.8 38.4
2.7 9962.32 5034.49 -160.03 4.09 -0.02 -0.01 0.02 2 87.06 66.497 2852.614 40.8 38.4
2.8 9961.94 5034.36 -160.03 4.09 -0.02 -0.01 0.02 2 87.027 66.53 2852.214 40.8 38.4
2.9 9961.55 5034.22 -160.03 4.09 -0.02 -0.01 0.02 2 86.987 66.571 2851.801 40.8 38.4
3.0 9961.17 5034.08 -160.03 4.09 -0.02 -0.01 0.02 2 86.944 66.614 2851.398 40.8 38.4
3.1 9960.78 5033.94 -160.03 4.09 -0.02 -0.01 0.02 2 86.904 66.654 2850.985 40.8 38.4
3.2 9960.4 5033.8 -160.03 4.09 -0.02 -0.01 0.02 2 86.861 66.697 2850.582 40.8 38.4
3.3 9960.01 5033.67 -160.04 4.09 -0.02 -0.01 0.02 2 86.864 66.762 2850.172 40.8 38.4
3.4 9959.63 5033.53 -160.04 4.09 -0.02 -0.01 0.02 2 86.821 66.804 2849.769 40.8 38.4
3.5 9959.24 5033.39 -160.04 4.09 -0.02 -0.01 0.02 2 86.781 66.845 2849.357 40.8 38.4
3.6 9958.86 5033.25 -160.04 4.09 -0.02 -0.01 0.02 2 86.738 66.887 2848.954 40.8 38.4
3.7 9958.47 5033.11 -160.04 4.09 -0.02 -0.01 0.02 2 86.698 66.928 2848.541 40.8 38.4
3.8 9958.08 5032.98 -160.04 4.09 -0.02 -0.01 0.02 2 86.667 66.958 2848.131 40.8 38.4
3.9 9957.7 5032.84 -160.04 4.09 -0.02 -0.01 0.02 2 86.624 67.001 2847.728 40.8 38.4
4.0 9957.31 5032.7 -160.05 4.09 -0.02 -0.01 0.02 2 86.618 67.076 2847.316 40.8 38.4
4.1 9956.93 5032.56 -160.05 4.09 -0.02 -0.01 0.02 2 86.575 67.119 2846.913 40.8 38.4
4.2 9956.54 5032.43 -160.05 4.09 -0.02 -0.02 0.02 2 86.544 67.149 2846.503 40.8 38.4
4.3 9956.16 5032.29 -160.05 4.09 -0.02 -0.02 0.02 2 86.502 67.192 2846.1 40.8 38.4
4.4 9955.77 5032.15 -160.05 4.09 -0.03 -0.02 0.02 2 86.461 67.232 2845.687 40.8 38.4
