Navio: SmallCape L270B45T8.6
Cenário: SE Forte - pre2035 - 1
Manobra: Entrada, Giro e Atracação Berço Final
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8948.42 4758.29 -160.94 4.21 -0.26 -0.0 -0.0 0 83.794 102.75 1801.912 -2.55 0.0
0.1 8948.02 4758.18 -160.94 4.21 -0.26 -0.0 -0.0 0 83.785 102.758 1801.497 -2.55 0.0
0.2 8947.61 4758.07 -160.94 4.21 -0.26 -0.0 -0.0 0 83.779 102.764 1801.073 -2.55 0.0
0.3 8947.2 4757.95 -160.94 4.21 -0.26 -0.0 -0.0 0 83.763 102.779 1800.646 -2.55 0.0
0.4 8946.8 4757.84 -160.94 4.21 -0.26 -0.0 -0.0 0 83.754 102.787 1800.231 -2.55 0.0
0.5 8946.39 4757.73 -160.94 4.21 -0.26 -0.0 -0.0 0 83.747 102.793 1799.807 -2.55 0.0
0.6 8945.98 4757.61 -160.94 4.21 -0.26 -0.0 -0.0 0 83.731 102.808 1799.38 -2.55 0.0
0.7 8945.58 4757.5 -160.94 4.21 -0.26 -0.0 -0.0 0 83.723 102.816 1798.965 -2.55 0.0
0.8 8945.17 4757.39 -160.94 4.21 -0.26 -0.0 -0.0 0 83.716 102.821 1798.541 -2.55 0.0
0.9 8944.76 4757.27 -160.94 4.21 -0.26 -0.0 -0.0 0 83.7 102.837 1798.114 -2.55 0.0
1.0 8944.36 4757.16 -160.94 4.21 -0.26 -0.0 -0.0 0 83.691 102.845 1797.699 -2.55 0.0
1.1 8943.95 4757.05 -160.94 4.21 -0.26 -0.0 -0.0 0 83.685 102.85 1797.275 -2.55 0.0
1.2 8943.54 4756.94 -160.94 4.21 -0.26 -0.0 -0.0 0 83.678 102.856 1796.85 -2.55 0.0
1.3 8943.14 4756.82 -160.94 4.21 -0.26 -0.0 -0.0 0 83.66 102.874 1796.433 -2.55 0.0
1.4 8942.73 4756.71 -160.94 4.21 -0.26 -0.0 -0.0 0 83.653 102.879 1796.009 -2.55 0.0
1.5 8942.33 4756.6 -160.94 4.21 -0.26 -0.0 -0.0 0 83.645 102.887 1795.594 -2.55 0.0
1.6 8941.92 4756.49 -160.94 4.21 -0.26 -0.0 -0.0 0 83.638 102.893 1795.17 -2.55 0.0
1.7 8941.51 4756.37 -160.95 4.21 -0.26 -0.0 -0.0 0 83.645 102.931 1794.743 0.0 0.0
1.8 8941.11 4756.26 -160.95 4.21 -0.26 -0.0 -0.0 0 83.636 102.939 1794.328 0.0 0.0
1.9 8940.7 4756.15 -160.95 4.21 -0.26 -0.0 -0.0 0 83.63 102.945 1793.904 0.0 0.0
2.0 8940.29 4756.04 -160.95 4.21 -0.26 -0.0 -0.0 0 83.624 102.95 1793.479 0.0 0.0
