Navio: RoRo
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 7441.68 4400.13 -158.0 2.06 -0.0 -0.0 0.0 4 25.584 113.024 1713.192
0.1 7441.49 4400.05 -158.0 2.06 -0.0 -0.0 0.0 4 25.549 113.057 1712.988
0.2 7441.3 4399.98 -158.0 2.06 -0.0 -0.0 0.0 4 25.525 113.081 1712.786
0.3 7441.11 4399.9 -158.0 2.06 -0.0 -0.0 0.0 4 25.491 113.114 1712.582
0.4 7440.92 4399.82 -158.0 2.06 -0.0 -0.0 0.0 4 25.457 113.147 1712.377
0.5 7440.73 4399.75 -158.0 2.06 -0.0 -0.0 0.0 4 25.432 113.171 1712.176
0.6 7440.54 4399.67 -158.0 2.06 -0.0 -0.01 0.0 4 25.398 113.204 1711.971
0.7 7440.35 4399.59 -158.0 2.06 -0.0 -0.01 0.0 4 25.364 113.238 1711.767
0.8 7440.16 4399.52 -158.0 2.06 -0.0 -0.01 0.0 4 25.34 113.261 1711.565
0.9 7439.97 4399.44 -158.0 2.06 -0.0 -0.01 0.0 4 25.305 113.295 1711.361
1.0 7439.78 4399.36 -158.0 2.06 -0.0 -0.01 0.0 4 25.271 113.328 1711.156
1.1 7439.59 4399.29 -158.01 2.05 -0.0 -0.01 0.0 4 25.265 113.37 1710.954
1.2 7439.4 4399.21 -158.01 2.05 -0.0 -0.01 0.0 4 25.231 113.403 1710.75
1.3 7439.2 4399.13 -158.01 2.05 -0.0 -0.01 0.0 4 25.199 113.434 1710.536
1.4 7439.01 4399.06 -158.01 2.05 -0.0 -0.01 0.0 4 25.174 113.458 1710.334
1.5 7438.82 4398.98 -158.01 2.05 -0.0 -0.01 0.0 4 25.14 113.491 1710.13
1.6 7438.63 4398.9 -158.01 2.05 -0.0 -0.01 0.0 4 25.106 113.524 1709.925
1.7 7438.44 4398.83 -158.01 2.05 -0.01 -0.01 0.0 4 25.082 113.548 1709.723
1.8 7438.25 4398.75 -158.01 2.05 -0.01 -0.01 0.0 4 25.048 113.581 1709.519
1.9 7438.06 4398.67 -158.01 2.05 -0.01 -0.01 0.0 4 25.013 113.615 1709.315
2.0 7437.87 4398.6 -158.02 2.05 -0.01 -0.02 -0.0 4 25.007 113.656 1709.113
2.1 7437.68 4398.52 -158.02 2.05 -0.01 -0.02 -0.0 4 24.973 113.69 1708.908
2.2 7437.49 4398.44 -158.02 2.05 -0.01 -0.02 -0.0 4 24.939 113.723 1708.704
2.3 7437.3 4398.37 -158.02 2.05 -0.01 -0.02 -0.0 4 24.914 113.746 1708.502
2.4 7437.11 4398.29 -158.02 2.05 -0.01 -0.02 -0.0 4 24.88 113.78 1708.298
2.5 7436.92 4398.22 -158.02 2.05 -0.01 -0.02 -0.0 4 24.856 113.803 1708.096
2.6 7436.73 4398.14 -158.03 2.05 -0.01 -0.02 -0.0 4 24.84 113.855 1707.892
2.7 7436.53 4398.06 -158.03 2.05 -0.01 -0.02 -0.0 4 24.808 113.886 1707.678
2.8 7436.34 4397.99 -158.03 2.05 -0.01 -0.02 -0.0 4 24.783 113.909 1707.476
2.9 7436.15 4397.91 -158.03 2.05 -0.01 -0.02 -0.0 4 24.749 113.943 1707.271
3.0 7435.96 4397.83 -158.03 2.05 -0.01 -0.02 -0.0 4 24.715 113.976 1707.067
3.1 7435.77 4397.76 -158.04 2.06 -0.01 -0.02 -0.0 4 24.709 114.018 1706.865
3.2 7435.58 4397.68 -158.04 2.06 -0.01 -0.02 -0.0 4 24.675 114.051 1706.661
3.3 7435.39 4397.61 -158.04 2.06 -0.01 -0.02 -0.0 4 24.65 114.075 1706.459
3.4 7435.2 4397.53 -158.04 2.06 -0.01 -0.02 -0.0 4 24.616 114.108 1706.255
3.5 7435.01 4397.45 -158.05 2.06 -0.01 -0.03 -0.0 4 24.6 114.159 1706.05
3.6 7434.82 4397.38 -158.05 2.06 -0.01 -0.03 -0.0 4 24.575 114.183 1705.849
3.7 7434.62 4397.3 -158.05 2.06 -0.01 -0.03 -0.0 4 24.544 114.214 1705.634
3.8 7434.43 4397.23 -158.05 2.06 -0.01 -0.03 -0.0 4 24.519 114.238 1705.433
3.9 7434.24 4397.15 -158.06 2.06 -0.01 -0.03 -0.0 4 24.503 114.289 1705.228
4.0 7434.05 4397.07 -158.06 2.06 -0.01 -0.03 -0.0 4 24.469 114.322 1705.024
4.1 7433.86 4397.0 -158.06 2.06 -0.01 -0.03 -0.0 4 24.445 114.346 1704.822
4.2 7433.67 4396.92 -158.07 2.06 -0.01 -0.03 -0.0 4 24.428 114.397 1704.618
4.3 7433.48 4396.85 -158.07 2.06 -0.01 -0.03 -0.0 4 24.404 114.421 1704.416
4.4 7433.29 4396.77 -158.07 2.06 -0.01 -0.03 -0.0 4 24.37 114.454 1704.212
4.5 7433.1 4396.7 -158.08 2.06 -0.01 -0.03 -0.0 4 24.363 114.496 1704.01
4.6 7432.9 4396.62 -158.08 2.06 -0.01 -0.03 -0.0 4 24.332 114.527 1703.796
4.7 7432.71 4396.54 -158.08 2.06 -0.01 -0.03 -0.0 4 24.297 114.56 1703.591
4.8 7432.52 4396.47 -158.08 2.06 -0.01 -0.03 -0.0 4 24.273 114.584 1703.39
4.9 7432.33 4396.39 -158.09 2.06 -0.01 -0.03 -0.0 4 24.257 114.635 1703.185
5.0 7432.14 4396.32 -158.09 2.06 -0.01 -0.03 -0.0 4 24.233 114.659 1702.983
5.1 7431.95 4396.24 -158.1 2.06 -0.01 -0.04 -0.0 4 24.216 114.71 1702.779
5.2 7431.76 4396.17 -158.1 2.06 -0.01 -0.04 -0.0 4 24.192 114.734 1702.577
5.3 7431.57 4396.09 -158.1 2.06 -0.01 -0.04 -0.0 4 24.158 114.767 1702.373
5.4 7431.37 4396.02 -158.11 2.06 -0.01 -0.04 -0.0 4 24.154 114.807 1702.161
5.5 7431.18 4395.94 -158.11 2.06 -0.01 -0.04 -0.0 4 24.12 114.84 1701.957
5.6 7430.99 4395.87 -158.11 2.06 -0.01 -0.04 -0.0 4 24.095 114.864 1701.755
5.7 7430.8 4395.79 -158.12 2.06 -0.01 -0.04 -0.0 4 24.079 114.915 1701.551
5.8 7430.61 4395.71 -158.12 2.06 -0.01 -0.04 -0.0 4 24.045 114.948 1701.346
5.9 7430.42 4395.64 -158.13 2.06 -0.01 -0.04 -0.0 4 24.039 114.99 1701.145
6.0 7430.23 4395.56 -158.13 2.06 -0.02 -0.04 -0.0 4 24.004 115.023 1700.94
6.1 7430.03 4395.49 -158.13 2.06 -0.02 -0.04 -0.0 4 23.982 115.045 1700.729
6.2 7429.84 4395.41 -158.14 2.06 -0.02 -0.04 -0.0 4 23.966 115.096 1700.524
6.3 7429.65 4395.34 -158.14 2.06 -0.02 -0.04 -0.0 4 23.942 115.12 1700.323
6.4 7429.46 4395.26 -158.15 2.06 -0.02 -0.04 -0.0 4 23.926 115.171 1700.118
6.5 7429.27 4395.19 -158.15 2.06 -0.02 -0.04 -0.0 4 23.901 115.195 1699.917
6.6 7429.08 4395.11 -158.15 2.06 -0.02 -0.04 -0.0 4 23.867 115.228 1699.712
6.7 7428.88 4395.04 -158.16 2.06 -0.02 -0.04 -0.0 4 23.863 115.267 1699.501
6.8 7428.69 4394.96 -158.16 2.06 -0.02 -0.04 -0.0 4 23.829 115.301 1699.296
6.9 7428.5 4394.89 -158.17 2.06 -0.02 -0.05 -0.0 4 23.823 115.342 1699.095
7.0 7428.31 4394.81 -158.17 2.06 -0.02 -0.05 -0.0 4 23.788 115.376 1698.89
7.1 7428.12 4394.74 -158.18 2.06 -0.02 -0.05 -0.0 4 23.782 115.417 1698.688
7.2 7427.93 4394.66 -158.18 2.06 -0.02 -0.05 -0.0 4 23.748 115.451 1698.484
7.3 7427.74 4394.59 -158.19 2.06 -0.02 -0.05 -0.0 4 23.742 115.493 1698.282
7.4 7427.54 4394.51 -158.19 2.06 -0.02 -0.05 -0.0 4 23.71 115.524 1698.068
7.5 7427.35 4394.44 -158.2 2.06 -0.02 -0.05 -0.0 4 23.703 115.565 1697.867
7.6 7427.16 4394.36 -158.2 2.06 -0.02 -0.05 -0.0 4 23.669 115.599 1697.662
7.7 7426.97 4394.29 -158.21 2.06 -0.02 -0.05 -0.0 4 23.663 115.64 1697.46
7.8 7426.78 4394.21 -158.21 2.06 -0.02 -0.05 -0.0 4 23.629 115.674 1697.256
7.9 7426.58 4394.14 -158.22 2.06 -0.02 -0.05 -0.0 4 23.625 115.713 1697.045
8.0 7426.39 4394.07 -158.22 2.06 -0.02 -0.05 -0.0 4 23.6 115.737 1696.843
8.1 7426.2 4393.99 -158.23 2.06 -0.02 -0.05 -0.0 4 23.584 115.788 1696.638
8.2 7426.01 4393.92 -158.23 2.06 -0.02 -0.05 -0.0 4 23.56 115.812 1696.437
8.3 7425.82 4393.84 -158.24 2.06 -0.02 -0.05 -0.0 4 23.544 115.863 1696.232
8.4 7425.63 4393.77 -158.24 2.06 -0.02 -0.05 -0.0 4 23.519 115.887 1696.031
8.5 7425.43 4393.69 -158.25 2.06 -0.02 -0.05 -0.0 4 23.505 115.936 1695.816
8.6 7425.24 4393.62 -158.25 2.06 -0.02 -0.05 -0.0 4 23.481 115.959 1695.615
8.7 7425.05 4393.54 -158.26 2.06 -0.02 -0.05 -0.0 4 23.465 116.011 1695.41
8.8 7424.86 4393.47 -158.26 2.06 -0.02 -0.05 -0.0 4 23.44 116.034 1695.209
8.9 7424.67 4393.4 -158.27 2.06 -0.02 -0.05 -0.0 4 23.434 116.076 1695.007
9.0 7424.47 4393.32 -158.27 2.06 -0.02 -0.06 -0.0 4 23.402 116.107 1694.793
9.1 7424.28 4393.25 -158.28 2.06 -0.02 -0.06 -0.0 4 23.396 116.149 1694.591
9.2 7424.09 4393.17 -158.28 2.06 -0.02 -0.06 -0.0 4 23.362 116.182 1694.387
9.3 7423.9 4393.1 -158.29 2.06 -0.02 -0.06 -0.0 4 23.355 116.224 1694.185
9.4 7423.71 4393.02 -158.3 2.06 -0.02 -0.06 -0.0 4 23.339 116.275 1693.981
9.5 7423.51 4392.95 -158.3 2.06 -0.02 -0.06 -0.0 4 23.317 116.296 1693.769
