Navio: RoRo
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 7441.67 4400.12 -158.0 2.06 -0.0 -0.0 -0.0 4 25.576 113.031 1713.18
0.1 7441.48 4400.05 -158.0 2.06 -0.0 -0.0 -0.0 4 25.552 113.055 1712.978
0.2 7441.29 4399.97 -158.0 2.06 -0.0 -0.0 -0.0 4 25.518 113.088 1712.774
0.3 7441.1 4399.89 -158.0 2.06 -0.01 -0.01 -0.0 4 25.483 113.121 1712.569
0.4 7440.91 4399.82 -158.0 2.06 -0.01 -0.01 -0.0 4 25.459 113.145 1712.368
0.5 7440.72 4399.74 -158.0 2.05 -0.01 -0.01 -0.0 4 25.425 113.178 1712.163
0.6 7440.52 4399.66 -158.0 2.05 -0.01 -0.01 -0.0 4 25.393 113.209 1711.949
0.7 7440.33 4399.59 -158.0 2.05 -0.01 -0.01 -0.0 4 25.369 113.233 1711.747
0.8 7440.14 4399.51 -158.01 2.05 -0.01 -0.01 -0.0 4 25.353 113.284 1711.543
0.9 7439.95 4399.44 -158.01 2.05 -0.01 -0.01 -0.0 4 25.328 113.308 1711.341
1.0 7439.76 4399.36 -158.01 2.05 -0.02 -0.01 -0.0 4 25.294 113.341 1711.137
1.1 7439.57 4399.29 -158.01 2.05 -0.02 -0.02 -0.0 4 25.27 113.365 1710.935
1.2 7439.38 4399.21 -158.01 2.05 -0.02 -0.02 -0.0 4 25.235 113.398 1710.731
1.3 7439.19 4399.13 -158.01 2.05 -0.02 -0.02 -0.0 4 25.201 113.432 1710.526
1.4 7439.0 4399.06 -158.01 2.05 -0.02 -0.02 -0.0 4 25.177 113.455 1710.324
1.5 7438.81 4398.98 -158.02 2.05 -0.02 -0.02 -0.0 4 25.161 113.507 1710.12
1.6 7438.61 4398.91 -158.02 2.05 -0.02 -0.02 -0.0 4 25.139 113.528 1709.909
1.7 7438.42 4398.84 -158.02 2.05 -0.03 -0.02 -0.0 4 25.114 113.552 1709.707
1.8 7438.23 4398.76 -158.02 2.05 -0.03 -0.02 -0.0 4 25.08 113.585 1709.502
1.9 7438.04 4398.69 -158.03 2.05 -0.03 -0.02 -0.0 4 25.074 113.627 1709.301
2.0 7437.85 4398.61 -158.03 2.05 -0.03 -0.03 -0.0 4 25.039 113.66 1709.096
2.1 7437.66 4398.54 -158.03 2.05 -0.03 -0.03 -0.0 4 25.015 113.683 1708.894
