Navio: Suezmax L280B50T17
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -161.0 3.6 -0.51 0.0 0.0 0 36.873 3230.065 -169.063 3.636
0.1 -161.0 3.6 -0.51 0.0 0.0 0 36.893 3229.699 -169.063 3.636
0.2 -161.0 3.6 -0.51 0.0 0.0 0 36.911 3229.343 -169.063 3.636
0.3 -161.0 3.6 -0.51 0.0 0.0 0 36.931 3228.977 -169.063 3.636
0.4 -161.0 3.6 -0.51 0.0 0.0 0 36.951 3228.611 -169.063 3.636
0.5 -161.0 3.6 -0.51 0.0 0.0 0 36.969 3228.255 -169.063 3.636
0.6 -161.0 3.6 -0.51 0.0 0.0 0 36.989 3227.889 -169.063 3.636
0.7 -161.0 3.6 -0.51 0.0 0.0 0 37.019 3227.526 -169.063 3.636
0.8 -161.0 3.6 -0.51 0.0 0.0 0 37.036 3227.17 -169.063 3.636
0.9 -161.0 3.6 -0.51 0.0 0.0 0 37.057 3226.804 -169.063 3.636
1.0 -161.0 3.6 -0.51 0.0 0.0 0 37.077 3226.438 -169.063 3.636
1.1 -161.0 3.6 -0.51 0.0 0.0 0 37.095 3226.082 -169.063 3.636
1.2 -161.0 3.6 -0.51 0.0 0.0 0 37.115 3225.716 -169.063 3.636
1.3 -161.0 3.59 -0.51 0.0 0.0 0 37.135 3225.35 -169.085 3.626
1.4 -161.0 3.59 -0.51 0.0 0.0 0 37.153 3224.994 -169.085 3.626
1.5 -161.0 3.59 -0.51 0.0 0.0 0 37.173 3224.628 -169.085 3.626
1.6 -161.0 3.59 -0.51 0.01 0.0 0 37.203 3224.264 -169.085 3.626
1.7 -161.0 3.59 -0.51 0.01 0.0 0 37.22 3223.908 -169.085 3.626
1.8 -160.99 3.59 -0.51 0.01 0.0 0 37.24 3223.542 -169.075 3.626
1.9 -160.99 3.59 -0.51 0.01 0.0 0 37.258 3223.186 -169.075 3.626
2.0 -160.99 3.59 -0.51 0.01 0.0 0 37.278 3222.82 -169.075 3.626
2.1 -160.99 3.59 -0.51 0.01 0.0 0 37.299 3222.454 -169.075 3.626
2.2 -160.99 3.59 -0.51 0.01 0.0 0 37.316 3222.098 -169.075 3.626
2.3 -160.99 3.59 -0.51 0.01 0.0 0 37.336 3221.732 -169.075 3.626
2.4 -160.99 3.59 -0.51 0.01 0.0 0 37.357 3221.366 -169.075 3.626
2.5 -160.99 3.59 -0.51 0.01 0.0 0 37.374 3221.01 -169.075 3.626
2.6 -160.99 3.59 -0.51 0.01 0.0 0 37.394 3220.644 -169.075 3.626
2.7 -160.99 3.59 -0.51 0.01 0.0 0 37.422 3220.291 -169.075 3.626
2.8 -160.99 3.59 -0.51 0.01 0.0 0 37.442 3219.925 -169.075 3.626
2.9 -160.99 3.59 -0.51 0.01 0.0 0 37.462 3219.559 -169.075 3.626
3.0 -160.99 3.59 -0.5 0.01 0.0 0 37.48 3219.203 -168.919 3.625
3.1 -160.98 3.59 -0.5 0.01 0.0 0 37.5 3218.837 -168.909 3.625
3.2 -160.98 3.59 -0.5 0.01 0.0 0 37.518 3218.48 -168.909 3.625
3.3 -160.98 3.59 -0.5 0.01 0.0 0 37.538 3218.115 -168.909 3.625
3.4 -160.98 3.59 -0.5 0.01 0.0 0 37.558 3217.749 -168.909 3.625
3.5 -160.98 3.59 -0.5 0.01 0.0 0 37.576 3217.392 -168.909 3.625
3.6 -160.98 3.59 -0.5 0.01 0.0 0 37.596 3217.027 -168.909 3.625
3.7 -160.98 3.59 -0.5 0.01 0.0 0 37.614 3216.67 -168.909 3.625
3.8 -160.98 3.59 -0.5 0.01 0.0 0 37.634 3216.304 -168.909 3.625
3.9 -160.98 3.59 -0.5 0.01 0.0 0 37.652 3215.948 -168.909 3.625
4.0 -160.98 3.59 -0.5 0.01 0.0 0 37.672 3215.582 -168.909 3.625
4.1 -160.97 3.59 -0.5 0.01 0.0 0 37.702 3215.219 -168.899 3.625
4.2 -160.97 3.59 -0.5 0.01 0.0 0 37.719 3214.863 -168.899 3.625
4.3 -160.97 3.59 -0.5 0.01 0.0 0 37.74 3214.497 -168.899 3.625
4.4 -160.97 3.59 -0.5 0.01 0.0 0 37.757 3214.141 -168.899 3.625
4.5 -160.97 3.59 -0.5 0.01 0.0 0 37.777 3213.775 -168.899 3.625
4.6 -160.97 3.59 -0.5 0.01 0.0 0 37.795 3213.419 -168.899 3.625
4.7 -160.97 3.59 -0.5 0.01 0.0 0 37.815 3213.053 -168.899 3.625
4.8 -160.97 3.59 -0.5 0.01 0.0 0 37.833 3212.697 -168.899 3.625
4.9 -160.96 3.59 -0.5 0.01 0.0 0 37.853 3212.331 -168.889 3.625
5.0 -160.96 3.59 -0.5 0.01 0.0 0 37.873 3211.965 -168.889 3.625
5.1 -160.96 3.59 -0.5 0.01 0.0 0 37.891 3211.609 -168.889 3.625
5.2 -160.96 3.59 -0.5 0.02 0.0 0 37.911 3211.243 -168.889 3.625
5.3 -160.96 3.59 -0.5 0.02 0.0 0 37.929 3210.886 -168.889 3.625
5.4 -160.96 3.59 -0.5 0.02 0.0 0 37.949 3210.521 -168.889 3.625
5.5 -160.95 3.59 -0.5 0.02 0.0 0 37.967 3210.164 -168.879 3.625
5.6 -160.95 3.59 -0.5 0.02 0.0 0 37.987 3209.799 -168.879 3.625
5.7 -160.95 3.59 -0.5 0.02 0.0 0 38.005 3209.442 -168.879 3.625
5.8 -160.95 3.59 -0.5 0.02 0.0 0 38.035 3209.079 -168.879 3.625
5.9 -160.95 3.59 -0.5 0.02 0.0 0 38.052 3208.723 -168.879 3.625
6.0 -160.95 3.59 -0.5 0.02 0.0 0 38.073 3208.357 -168.879 3.625
6.1 -160.94 3.59 -0.5 0.02 0.0 0 38.093 3207.991 -168.869 3.625
6.2 -160.94 3.59 -0.5 0.02 0.0 0 38.11 3207.635 -168.869 3.625
6.3 -160.94 3.59 -0.5 0.02 0.0 0 38.131 3207.269 -168.869 3.625
6.4 -160.94 3.58 -0.5 0.02 0.0 0 38.148 3206.913 -168.891 3.615
6.5 -160.94 3.58 -0.5 0.02 0.0 0 38.168 3206.547 -168.891 3.615
6.6 -160.94 3.58 -0.5 0.02 0.0 0 38.186 3206.191 -168.891 3.615
6.7 -160.93 3.58 -0.5 0.02 0.0 0 38.206 3205.825 -168.881 3.615
6.8 -160.93 3.58 -0.5 0.02 0.0 0 38.224 3205.469 -168.881 3.615
6.9 -160.93 3.58 -0.5 0.02 0.0 0 38.244 3205.103 -168.881 3.615
7.0 -160.93 3.58 -0.5 0.02 0.0 0 38.262 3204.746 -168.881 3.615
7.1 -160.93 3.58 -0.5 0.02 0.0 0 38.282 3204.381 -168.881 3.615
7.2 -160.92 3.58 -0.5 0.02 0.0 0 38.3 3204.024 -168.871 3.615
7.3 -160.92 3.58 -0.5 0.02 0.0 0 38.32 3203.658 -168.871 3.615
7.4 -160.92 3.58 -0.5 0.02 0.0 0 38.338 3203.302 -168.871 3.615
7.5 -160.92 3.58 -0.5 0.02 0.0 0 38.358 3202.936 -168.871 3.615
7.6 -160.92 3.58 -0.5 0.02 0.0 0 38.376 3202.58 -168.871 3.615
7.7 -160.91 3.58 -0.5 0.02 0.0 0 38.396 3202.214 -168.861 3.615
7.8 -160.91 3.58 -0.5 0.02 0.0 0 38.414 3201.858 -168.861 3.615
7.9 -160.91 3.58 -0.5 0.02 0.0 0 38.434 3201.492 -168.861 3.615
8.0 -160.91 3.58 -0.5 0.02 0.0 0 38.451 3201.136 -168.861 3.615
8.1 -160.91 3.58 -0.5 0.02 0.0 0 38.472 3200.77 -168.861 3.615
8.2 -160.9 3.58 -0.5 0.02 0.0 1 38.489 3200.414 -168.851 3.615
8.3 -160.9 3.58 -0.5 0.02 0.0 1 38.509 3200.048 -168.851 3.615
8.4 -160.9 3.58 -0.5 0.02 0.0 1 38.527 3199.692 -168.851 3.615
8.5 -160.9 3.58 -0.5 0.02 0.0 1 38.547 3199.326 -168.851 3.615
8.6 -160.89 3.58 -0.5 0.02 0.0 1 38.565 3198.97 -168.841 3.615
8.7 -160.89 3.58 -0.5 0.02 0.0 1 38.585 3198.604 -168.841 3.615
8.8 -160.89 3.58 -0.5 0.02 0.0 1 38.613 3198.25 -168.841 3.615
8.9 -160.89 3.58 -0.5 0.02 0.0 1 38.633 3197.884 -168.841 3.615
9.0 -160.88 3.58 -0.5 0.02 0.0 1 38.651 3197.528 -168.831 3.615
9.1 -160.88 3.58 -0.5 0.02 0.0 1 38.671 3197.162 -168.831 3.615
9.2 -160.88 3.58 -0.5 0.02 0.0 1 38.688 3196.806 -168.831 3.615
