Navio: Suezmax L280B50T17
Cenário: NE Forte - pos2035 - 2
Manobra: Entrada
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 10578.79 5179.33 -170.0 3.6 0.51 -0.0 0.0 0 53.743 90.528 3485.745 -0.09 0
0.1 10578.44 5179.22 -170.0 3.6 0.51 -0.0 0.0 0 53.718 90.553 3485.379 -0.09 0
0.2 10578.1 5179.1 -170.0 3.6 0.51 -0.0 0.0 0 53.681 90.589 3485.02 -0.09 0
0.3 10577.75 5178.99 -170.0 3.6 0.51 -0.01 0.0 0 53.657 90.614 3484.654 -0.09 0
0.4 10577.41 5178.88 -170.0 3.6 0.5 -0.01 0.0 0 53.63 90.641 3484.297 -0.09 0
0.5 10577.06 5178.77 -170.0 3.6 0.5 -0.01 0.0 0 53.606 90.665 3483.931 -0.09 0
0.6 10576.71 5178.65 -170.0 3.6 0.5 -0.01 0.0 0 53.571 90.699 3483.562 -0.09 0
0.7 10576.37 5178.54 -170.0 3.6 0.5 -0.01 0.0 0 53.545 90.726 3483.205 -0.09 0
0.8 10576.02 5178.43 -170.0 3.6 0.5 -0.01 0.0 0 53.52 90.75 3482.839 -0.09 0
0.9 10575.68 5178.32 -170.0 3.6 0.5 -0.01 0.0 0 53.493 90.777 3482.482 -0.09 0
1.0 10575.33 5178.21 -170.01 3.6 0.49 -0.01 0.0 0 53.445 90.778 3482.116 -0.09 0
1.1 10574.99 5178.1 -170.01 3.6 0.49 -0.02 0.0 0 53.418 90.804 3481.76 -0.09 0
1.2 10574.64 5177.99 -170.01 3.6 0.49 -0.02 0.0 0 53.393 90.829 3481.393 -0.09 0
1.3 10574.29 5177.88 -170.01 3.6 0.49 -0.02 0.0 0 53.369 90.853 3481.027 -0.09 0
1.4 10573.95 5177.77 -170.01 3.6 0.49 -0.02 0.0 0 53.342 90.88 3480.67 -0.09 0
1.5 10573.6 5177.66 -170.01 3.6 0.48 -0.02 0.0 0 53.317 90.905 3480.304 -0.09 0
1.6 10573.26 5177.55 -170.02 3.6 0.48 -0.02 0.0 0 53.267 90.907 3479.947 0.0 0
1.7 10572.91 5177.44 -170.02 3.6 0.48 -0.02 0.0 0 53.242 90.932 3479.581 0.0 0
1.8 10572.57 5177.33 -170.02 3.6 0.48 -0.02 0.0 0 53.215 90.959 3479.224 0.0 0
1.9 10572.22 5177.22 -170.02 3.6 0.48 -0.02 0.0 0 53.191 90.983 3478.858 0.0 0
2.0 10571.87 5177.11 -170.03 3.59 0.48 -0.03 0.0 0 53.142 90.983 3478.492 0.0 0
2.1 10571.53 5177.0 -170.03 3.59 0.48 -0.03 0.0 0 53.115 91.01 3478.135 0.0 0
2.2 10571.18 5176.89 -170.03 3.59 0.47 -0.03 0.0 0 53.091 91.035 3477.769 0.0 0
2.3 10570.84 5176.78 -170.03 3.59 0.47 -0.03 0.0 0 53.064 91.062 3477.412 0.0 0
2.4 10570.49 5176.67 -170.04 3.59 0.47 -0.03 0.0 0 53.016 91.062 3477.046 0.0 0
2.5 10570.15 5176.56 -170.04 3.59 0.47 -0.03 0.0 0 52.989 91.089 3476.689 0.0 0
2.6 10569.8 5176.45 -170.04 3.59 0.47 -0.03 0.0 0 52.964 91.113 3476.323 0.0 0
2.7 10569.45 5176.35 -170.05 3.59 0.47 -0.03 0.0 0 52.925 91.104 3475.959 0.0 0
2.8 10569.11 5176.24 -170.05 3.59 0.47 -0.03 0.0 0 52.899 91.131 3475.603 0.0 0
2.9 10568.76 5176.13 -170.05 3.59 0.47 -0.04 0.0 0 52.874 91.155 3475.236 0.0 0
3.0 10568.42 5176.02 -170.06 3.59 0.47 -0.04 0.0 0 52.823 91.158 3474.88 0.0 0
3.1 10568.07 5175.91 -170.06 3.59 0.46 -0.04 0.0 0 52.799 91.182 3474.513 0.0 0
3.2 10567.72 5175.81 -170.07 3.59 0.46 -0.04 0.0 0 52.76 91.173 3474.15 0.0 0
3.3 10567.38 5175.7 -170.07 3.59 0.46 -0.04 0.0 0 52.733 91.2 3473.793 0.0 0
3.4 10567.03 5175.59 -170.07 3.59 0.46 -0.04 0.0 0 52.709 91.224 3473.427 0.0 0
3.5 10566.69 5175.48 -170.08 3.59 0.46 -0.04 0.0 0 52.658 91.227 3473.07 0.0 0
3.6 10566.34 5175.38 -170.08 3.59 0.46 -0.04 0.0 0 52.643 91.242 3472.706 0.0 0
3.7 10565.99 5175.27 -170.09 3.59 0.46 -0.04 0.0 0 52.595 91.242 3472.34 0.0 0
3.8 10565.65 5175.16 -170.09 3.59 0.46 -0.05 0.0 0 52.568 91.269 3471.983 0.0 0
