Navio: Suezmax L280B50T17
Cenário: SE Forte - pos2035 - 2
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 distance_port distance_starboard distance_target discrete_propeller
0.0 10859.42 5253.61 -165.92 3.6 -0.0 -0.0 -0.0 105.654 98.894 3776.026 0
0.1 10859.07 5253.52 -165.92 3.6 -0.0 -0.0 0.0 105.653 98.896 3775.665 0
0.2 10858.72 5253.43 -165.92 3.6 -0.0 -0.0 0.0 105.651 98.897 3775.303 0
0.3 10858.37 5253.35 -165.92 3.6 -0.0 -0.0 0.0 105.659 98.889 3774.944 0
0.4 10858.02 5253.26 -165.92 3.6 -0.0 -0.0 0.0 105.657 98.891 3774.583 0
0.5 10857.67 5253.17 -165.92 3.6 -0.01 -0.0 0.0 105.655 98.893 3774.222 0
0.6 10857.33 5253.08 -165.92 3.6 -0.01 -0.0 0.0 105.651 98.897 3773.87 0
0.7 10856.98 5253.0 -165.92 3.6 -0.01 -0.01 0.0 105.659 98.889 3773.511 0
0.8 10856.63 5252.91 -165.92 3.6 -0.01 -0.01 0.0 105.658 98.89 3773.15 0
0.9 10856.28 5252.82 -165.92 3.6 -0.01 -0.01 0.0 105.656 98.892 3772.788 0
1.0 10855.93 5252.74 -165.92 3.6 -0.01 -0.01 0.0 105.664 98.884 3772.429 0
1.1 10855.58 5252.65 -165.92 3.6 -0.01 -0.01 0.0 105.662 98.886 3772.068 0
1.2 10855.23 5252.57 -165.92 3.6 -0.01 -0.01 0.0 105.67 98.877 3771.709 0
1.3 10854.88 5252.48 -165.92 3.6 -0.01 -0.01 0.0 105.668 98.879 3771.348 0
1.4 10854.53 5252.39 -165.92 3.59 -0.01 -0.01 0.0 105.667 98.881 3770.986 0
1.5 10854.18 5252.31 -165.92 3.59 -0.01 -0.01 0.0 105.675 98.873 3770.627 0
1.6 10853.84 5252.22 -165.93 3.59 -0.02 -0.01 0.0 105.646 98.852 3770.276 0
1.7 10853.49 5252.14 -165.93 3.59 -0.02 -0.01 0.0 105.654 98.844 3769.917 0
1.8 10853.14 5252.05 -165.93 3.59 -0.02 -0.01 0.0 105.653 98.846 3769.555 0
1.9 10852.79 5251.96 -165.93 3.59 -0.02 -0.01 0.0 105.651 98.848 3769.194 0
2.0 10852.44 5251.88 -165.93 3.59 -0.02 -0.01 0.0 105.659 98.84 3768.835 0
2.1 10852.09 5251.79 -165.93 3.59 -0.02 -0.01 0.0 105.657 98.841 3768.474 0
2.2 10851.74 5251.71 -165.93 3.59 -0.02 -0.01 0.0 105.665 98.833 3768.115 0
2.3 10851.39 5251.62 -165.93 3.59 -0.02 -0.02 0.0 105.664 98.835 3767.753 0
2.4 10851.04 5251.54 -165.94 3.59 -0.02 -0.02 0.0 105.647 98.803 3767.395 0
2.5 10850.69 5251.45 -165.94 3.59 -0.02 -0.02 0.0 105.646 98.804 3767.033 0
2.6 10850.35 5251.37 -165.94 3.59 -0.02 -0.02 0.0 105.651 98.799 3766.684 0
2.7 10850.0 5251.28 -165.94 3.59 -0.02 -0.02 0.0 105.649 98.8 3766.323 0
2.8 10849.65 5251.2 -165.94 3.59 -0.02 -0.02 0.0 105.657 98.792 3765.964 0
2.9 10849.3 5251.11 -165.94 3.59 -0.02 -0.02 0.0 105.656 98.794 3765.602 29
3.0 10848.95 5251.03 -165.95 3.59 -0.02 -0.02 0.0 105.639 98.761 3765.243 29
3.1 10848.6 5250.94 -165.95 3.59 -0.03 -0.02 0.0 105.638 98.763 3764.882 29
3.2 10848.25 5250.86 -165.95 3.59 -0.03 -0.02 0.0 105.646 98.755 3764.523 29
3.3 10847.9 5250.77 -165.95 3.59 -0.03 -0.02 0.0 105.644 98.757 3764.162 29
3.4 10847.55 5250.69 -165.95 3.59 -0.03 -0.02 0.0 105.652 98.749 3763.803 29
3.5 10847.2 5250.6 -165.96 3.59 -0.03 -0.02 0.0 105.626 98.726 3763.441 29
3.6 10846.86 5250.52 -165.96 3.59 -0.03 -0.02 0.0 105.632 98.72 3763.092 29
3.7 10846.51 5250.43 -165.96 3.59 -0.03 -0.02 0.0 105.63 98.722 3762.731 29
3.8 10846.16 5250.35 -165.96 3.59 -0.03 -0.02 0.0 105.638 98.714 3762.372 29
3.9 10845.81 5250.26 -165.97 3.59 -0.03 -0.02 0.0 105.612 98.691 3762.01 29
4.0 10845.46 5250.18 -165.97 3.59 -0.03 -0.02 0.0 105.62 98.683 3761.651 29
4.1 10845.11 5250.1 -165.97 3.59 -0.03 -0.03 0.0 105.628 98.675 3761.293 29
4.2 10844.76 5250.01 -165.97 3.59 -0.03 -0.03 0.0 105.626 98.677 3760.931 29
4.3 10844.41 5249.93 -165.98 3.59 -0.03 -0.03 0.0 105.61 98.645 3760.572 29
4.4 10844.06 5249.84 -165.98 3.59 -0.03 -0.03 0.0 105.608 98.646 3760.211 29
4.5 10843.71 5249.76 -165.98 3.59 -0.03 -0.03 0.0 105.616 98.638 3759.852 29
4.6 10843.37 5249.68 -165.98 3.59 -0.03 -0.03 0.0 105.622 98.633 3759.503 29
4.7 10843.02 5249.59 -165.99 3.59 -0.03 -0.03 0.0 105.596 98.61 3759.141 29
4.8 10842.67 5249.51 -165.99 3.59 -0.03 -0.03 0.0 105.604 98.602 3758.782 29
4.9 10842.32 5249.43 -165.99 3.59 -0.03 -0.03 0.0 105.612 98.594 3758.424 29
5.0 10841.97 5249.34 -166.0 3.59 -0.03 -0.03 0.0 105.586 98.571 3758.062 29
5.1 10841.62 5249.26 -166.0 3.59 -0.03 -0.03 0.0 105.594 98.563 3757.703 29
5.2 10841.27 5249.18 -166.0 3.59 -0.04 -0.03 0.0 105.602 98.555 3757.344 29
5.3 10840.92 5249.09 -166.01 3.59 -0.04 -0.03 0.0 105.576 98.532 3756.983 41
5.4 10840.57 5249.01 -166.01 3.59 -0.04 -0.03 0.0 105.584 98.524 3756.624 41
5.5 10840.22 5248.93 -166.01 3.59 -0.04 -0.03 0.0 105.592 98.516 3756.265 41
5.6 10839.88 5248.84 -166.02 3.59 -0.04 -0.03 0.0 105.563 98.496 3755.913 41
5.7 10839.53 5248.76 -166.02 3.59 -0.04 -0.03 0.0 105.571 98.488 3755.554 41
5.8 10839.18 5248.68 -166.02 3.59 -0.04 -0.03 0.0 105.579 98.48 3755.196 41
5.9 10838.83 5248.59 -166.03 3.59 -0.04 -0.03 0.0 105.553 98.457 3754.834 41
6.0 10838.48 5248.51 -166.03 3.59 -0.04 -0.04 0.0 105.561 98.449 3754.475 41
6.1 10838.13 5248.43 -166.03 3.59 -0.04 -0.04 0.0 105.569 98.441 3754.116 41
6.2 10837.78 5248.35 -166.04 3.59 -0.04 -0.04 0.0 105.553 98.409 3753.757 41
6.3 10837.43 5248.26 -166.04 3.59 -0.04 -0.04 0.0 105.551 98.411 3753.396 41
6.4 10837.08 5248.18 -166.04 3.59 -0.04 -0.04 0.0 105.559 98.402 3753.037 41
6.5 10836.73 5248.1 -166.05 3.59 -0.04 -0.04 0.0 105.543 98.37 3752.678 41
6.6 10836.39 5248.01 -166.05 3.59 -0.04 -0.04 0.0 105.539 98.374 3752.327 41
6.7 10836.04 5247.93 -166.05 3.59 -0.04 -0.04 0.0 105.547 98.366 3751.968 41
6.8 10835.69 5247.85 -166.06 3.59 -0.04 -0.04 0.0 105.531 98.334 3751.609 41
6.9 10835.34 5247.77 -166.06 3.59 -0.04 -0.04 0.0 105.539 98.326 3751.25 41
7.0 10834.99 5247.68 -166.07 3.59 -0.04 -0.04 -0.04 105.513 98.303 3750.888 41
7.1 10834.64 5247.6 -166.07 3.59 -0.04 -0.04 -0.04 105.521 98.295 3750.529 41
7.2 10834.29 5247.52 -166.07 3.59 -0.04 -0.04 -0.04 105.529 98.287 3750.171 41
7.3 10833.94 5247.44 -166.08 3.59 -0.04 -0.04 -0.04 105.512 98.255 3749.812 41
7.4 10833.59 5247.36 -166.08 3.59 -0.04 -0.04 -0.11 105.52 98.247 3749.453 41
7.5 10833.24 5247.27 -166.09 3.59 -0.04 -0.04 -0.11 105.494 98.224 3749.091 41
7.6 10832.89 5247.19 -166.09 3.59 -0.04 -0.04 -0.11 105.502 98.216 3748.732 41
7.7 10832.55 5247.11 -166.1 3.58 -0.05 -0.04 -0.11 105.484 98.186 3748.383 41
7.8 10832.2 5247.03 -166.1 3.58 -0.05 -0.04 -0.14 105.492 98.178 3748.024 41
7.9 10831.85 5246.95 -166.1 3.58 -0.05 -0.04 -0.14 105.5 98.17 3747.665 41
8.0 10831.5 5246.87 -166.11 3.58 -0.05 -0.04 -0.14 105.483 98.138 3747.306 41
8.1 10831.15 5246.78 -166.11 3.58 -0.05 -0.04 -0.14 105.482 98.139 3746.945 41
8.2 10830.8 5246.7 -166.12 3.58 -0.05 -0.05 -0.14 105.465 98.107 3746.586 41
8.3 10830.45 5246.62 -166.12 3.58 -0.05 -0.05 -0.14 105.473 98.099 3746.227 41
8.4 10830.1 5246.54 -166.13 3.58 -0.05 -0.05 -0.14 105.457 98.067 3745.868 41
8.5 10829.75 5246.46 -166.13 3.58 -0.05 -0.05 -0.14 105.465 98.058 3745.509 41
8.6 10829.4 5246.38 -166.14 3.58 -0.05 -0.05 -0.14 105.449 98.026 3745.151 41
8.7 10829.05 5246.3 -166.14 3.58 -0.05 -0.05 -0.14 105.457 98.018 3744.792 41
8.8 10828.71 5246.22 -166.15 3.58 -0.05 -0.05 -0.14 105.438 97.988 3744.442 41
8.9 10828.36 5246.14 -166.15 3.58 -0.05 -0.05 -0.14 105.446 97.98 3744.083 41
9.0 10828.01 5246.05 -166.16 3.58 -0.05 -0.05 -0.16 105.42 97.958 3743.722 41
9.1 10827.66 5245.97 -166.16 3.58 -0.05 -0.05 -0.16 105.428 97.949 3743.363 41
9.2 10827.31 5245.89 -166.17 3.58 -0.05 -0.05 -0.16 105.412 97.917 3743.004 41
9.3 10826.96 5245.81 -166.17 3.58 -0.05 -0.05 -0.16 105.42 97.909 3742.645 41
9.4 10826.61 5245.73 -166.18 3.58 -0.05 -0.05 -0.16 105.403 97.877 3742.286 41
9.5 10826.26 5245.65 -166.18 3.58 -0.05 -0.05 -0.16 105.411 97.869 3741.927 41
9.6 10825.91 5245.57 -166.19 3.58 -0.05 -0.05 -0.16 105.395 97.836 3741.569 41
9.7 10825.56 5245.49 -166.19 3.58 -0.05 -0.05 -0.16 105.403 97.828 3741.21 41
9.8 10825.21 5245.41 -166.2 3.58 -0.05 -0.05 -0.16 105.387 97.796 3740.851 41
9.9 10824.87 5245.33 -166.2 3.58 -0.05 -0.05 -0.16 105.392 97.79 3740.502 41
10.0 10824.52 5245.25 -166.21 3.58 -0.05 -0.05 -0.16 105.376 97.758 3740.143 41
10.1 10824.17 5245.17 -166.21 3.58 -0.05 -0.05 -0.16 105.384 97.75 3739.784 41
10.2 10823.82 5245.09 -166.22 3.58 -0.05 -0.05 -0.16 105.368 97.718 3739.425 41
10.3 10823.47 5245.01 -166.22 3.58 -0.05 -0.05 -0.16 105.376 97.71 3739.066 41
10.4 10823.12 5244.93 -166.23 3.57 -0.05 -0.05 -0.16 105.36 97.677 3738.707 41
