Navio: Capesize L300B50T19
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada e Atracação Cocaia
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 9162.24 4824.42 -165.07 2.57 -0.0 -0.0 -0.0 1 101.568 97.04 2025.425 17.31 27.18
0.1 9161.99 4824.36 -165.07 2.57 -0.0 -0.0 -0.0 1 101.571 97.037 2025.168 17.31 27.18
0.2 9161.74 4824.29 -165.07 2.57 -0.0 -0.0 -0.0 1 101.564 97.044 2024.908 17.31 27.18
0.3 9161.49 4824.23 -165.07 2.57 -0.0 -0.0 -0.0 1 101.567 97.041 2024.651 17.31 27.18
0.4 9161.25 4824.16 -165.07 2.57 -0.0 -0.0 -0.0 1 101.558 97.05 2024.401 17.31 27.18
0.5 9161.0 4824.1 -165.07 2.57 -0.01 -0.0 -0.0 1 101.561 97.047 2024.144 17.31 27.18
0.6 9160.75 4824.03 -165.07 2.57 -0.01 -0.0 -0.0 1 101.554 97.054 2023.885 17.31 27.18
0.7 9160.5 4823.96 -165.07 2.57 -0.01 -0.0 -0.0 1 101.547 97.06 2023.625 17.31 27.18
0.8 9160.25 4823.9 -165.07 2.57 -0.01 -0.0 -0.0 1 101.55 97.057 2023.368 17.31 27.18
0.9 9160.0 4823.83 -165.07 2.57 -0.01 -0.0 -0.0 1 101.543 97.064 2023.109 17.31 27.18
1.0 9159.76 4823.77 -165.07 2.57 -0.01 -0.0 -0.0 1 101.544 97.064 2022.861 17.31 27.18
1.1 9159.51 4823.7 -165.07 2.57 -0.01 -0.01 -0.0 1 101.537 97.07 2022.602 17.31 27.18
1.2 9159.26 4823.64 -165.07 2.57 -0.01 -0.01 -0.0 1 101.54 97.067 2022.345 17.31 27.18
1.3 9159.01 4823.57 -165.07 2.57 -0.01 -0.01 -0.0 1 101.533 97.074 2022.085 17.31 27.18
1.4 9158.76 4823.51 -165.07 2.57 -0.01 -0.01 -0.0 1 101.536 97.071 2021.828 17.31 27.18
1.5 9158.51 4823.44 -165.07 2.57 -0.01 -0.01 -0.0 1 101.53 97.078 2021.568 17.31 27.18
1.6 9158.27 4823.38 -165.08 2.57 -0.01 -0.01 -0.0 1 101.556 97.103 2021.321 17.31 27.18
1.7 9158.02 4823.31 -165.08 2.57 -0.02 -0.01 -0.0 1 101.549 97.11 2021.061 27.18 27.18
1.8 9157.77 4823.25 -165.08 2.57 -0.02 -0.01 -0.0 1 101.552 97.107 2020.804 27.18 27.18
