Navio: Capesize L300B50T10.3
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada e Atracação Cocaia
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8705.91 4701.41 -168.0 3.08 -0.0 -0.0 0.0 0 90.288 99.887 1552.852 -0.86 0.0
0.1 8705.61 4701.35 -168.0 3.08 -0.0 -0.0 0.0 0 90.303 99.871 1552.546 -0.86 0.0
0.2 8705.3 4701.28 -168.0 3.08 -0.0 -0.0 0.0 0 90.311 99.862 1552.229 -0.86 0.0
0.3 8705.0 4701.22 -168.0 3.08 -0.0 -0.0 0.0 0 90.326 99.846 1551.923 -0.86 0.0
0.4 8704.7 4701.15 -168.0 3.08 -0.0 -0.0 0.0 0 90.332 99.84 1551.615 -0.86 0.0
0.5 8704.4 4701.09 -168.0 3.08 -0.0 -0.0 0.0 0 90.347 99.825 1551.31 -0.86 0.0
0.6 8704.1 4701.03 -168.0 3.08 -0.0 -0.0 0.0 0 90.362 99.809 1551.004 -0.86 0.0
0.7 8703.8 4700.96 -168.0 3.08 -0.0 -0.0 0.0 0 90.367 99.803 1550.696 -0.86 0.0
0.8 8703.5 4700.9 -168.0 3.08 -0.0 -0.0 0.0 0 90.383 99.787 1550.39 -0.86 0.0
0.9 8703.19 4700.83 -168.01 3.08 -0.0 -0.0 0.0 0 90.365 99.752 1550.073 -0.86 0.0
1.0 8702.89 4700.77 -168.01 3.08 -0.0 -0.0 0.0 0 90.38 99.737 1549.767 -0.86 0.0
1.1 8702.59 4700.71 -168.01 3.08 -0.0 -0.0 0.0 0 90.395 99.721 1549.462 -0.86 0.0
1.2 8702.29 4700.64 -168.01 3.08 -0.0 -0.0 0.0 0 90.4 99.715 1549.154 -0.86 0.0
1.3 8701.99 4700.58 -168.01 3.07 -0.0 -0.0 0.0 0 90.416 99.699 1548.848 -0.86 0.0
1.4 8701.69 4700.52 -168.01 3.07 -0.0 -0.0 0.0 0 90.431 99.683 1548.542 -0.86 0.0
1.5 8701.39 4700.45 -168.01 3.07 -0.0 -0.0 0.0 0 90.436 99.677 1548.234 -0.86 0.0
1.6 8701.09 4700.39 -168.01 3.07 -0.0 -0.0 0.0 0 90.451 99.661 1547.929 -0.86 0.0
1.7 8700.79 4700.33 -168.01 3.07 -0.0 -0.0 0.0 0 90.467 99.645 1547.623 0.0 0.0
1.8 8700.49 4700.26 -168.01 3.07 -0.0 -0.0 0.0 0 90.472 99.639 1547.315 0.0 0.0
1.9 8700.19 4700.2 -168.01 3.07 -0.0 -0.0 0.0 0 90.487 99.623 1547.01 0.0 0.0
2.0 8699.89 4700.13 -168.01 3.07 -0.0 -0.0 0.0 0 90.493 99.617 1546.702 0.0 0.0
2.1 8699.59 4700.07 -168.01 3.06 -0.0 -0.0 0.0 0 90.508 99.602 1546.396 0.0 0.0
2.2 8699.29 4700.01 -168.01 3.06 -0.0 -0.0 0.0 0 90.523 99.586 1546.091 0.0 0.0
2.3 8698.99 4699.94 -168.01 3.06 -0.0 -0.01 0.0 0 90.529 99.58 1545.783 0.0 0.0
2.4 8698.69 4699.88 -168.01 3.06 -0.0 -0.01 0.0 0 90.544 99.564 1545.477 0.0 0.0
2.5 8698.39 4699.82 -168.01 3.06 -0.0 -0.01 0.0 0 90.559 99.548 1545.172 0.0 0.0
2.6 8698.09 4699.75 -168.01 3.06 -0.0 -0.01 0.0 0 90.564 99.542 1544.864 0.0 0.0
2.7 8697.79 4699.69 -168.01 3.06 -0.0 -0.01 0.0 0 90.58 99.526 1544.558 0.0 0.0
2.8 8697.49 4699.63 -168.01 3.06 -0.0 -0.01 0.0 0 90.595 99.51 1544.252 0.0 0.0
2.9 8697.19 4699.57 -168.01 3.06 -0.0 -0.01 0.0 0 90.61 99.495 1543.947 0.0 0.0
3.0 8696.89 4699.5 -168.01 3.06 -0.0 -0.01 0.0 0 90.616 99.489 1543.639 0.0 0.0
3.1 8696.59 4699.44 -168.02 3.06 -0.0 -0.01 0.0 0 90.605 99.447 1543.333 0.0 0.0
3.2 8696.29 4699.38 -168.02 3.06 -0.0 -0.01 0.0 0 90.62 99.431 1543.028 0.0 0.0
3.3 8696.0 4699.31 -168.02 3.06 -0.0 -0.01 0.0 0 90.623 99.427 1542.729 0.0 0.0
3.4 8695.7 4699.25 -168.02 3.06 -0.0 -0.01 0.0 0 90.638 99.412 1542.424 0.0 0.0
3.5 8695.4 4699.19 -168.02 3.06 -0.0 -0.01 0.0 0 90.653 99.396 1542.118 0.0 0.0
3.6 8695.1 4699.12 -168.02 3.05 -0.0 -0.01 0.0 0 90.659 99.39 1541.81 0.0 0.0
3.7 8694.8 4699.06 -168.02 3.05 -0.0 -0.01 0.0 0 90.674 99.374 1541.505 0.0 0.0
3.8 8694.5 4699.0 -168.02 3.05 -0.0 -0.01 0.0 0 90.689 99.358 1541.199 0.0 0.0
3.9 8694.2 4698.93 -168.02 3.05 -0.0 -0.01 0.0 0 90.695 99.352 1540.891 0.0 0.0
4.0 8693.9 4698.87 -168.02 3.05 -0.0 -0.01 0.0 0 90.71 99.336 1540.586 0.0 0.0
4.1 8693.6 4698.81 -168.02 3.05 -0.0 -0.01 0.0 0 90.725 99.32 1540.28 0.0 0.0
4.2 8693.31 4698.75 -168.02 3.05 -0.0 -0.01 0.0 0 90.738 99.307 1539.984 0.0 0.0
4.3 8693.01 4698.68 -168.02 3.05 -0.0 -0.01 0.0 0 90.743 99.301 1539.676 0.0 0.0
4.4 8692.71 4698.62 -168.03 3.05 -0.01 -0.01 0.0 0 90.732 99.259 1539.371 0.0 0.0
4.5 8692.41 4698.56 -168.03 3.05 -0.01 -0.01 0.0 0 90.748 99.243 1539.065 0.0 0.0
4.6 8692.11 4698.49 -168.03 3.05 -0.01 -0.01 0.0 0 90.753 99.237 1538.757 0.0 0.0
4.7 8691.81 4698.43 -168.03 3.06 -0.01 -0.01 0.0 0 90.768 99.221 1538.452 0.0 0.0
4.8 8691.51 4698.37 -168.03 3.06 -0.01 -0.01 0.0 0 90.783 99.206 1538.146 0.0 0.0
4.9 8691.21 4698.31 -168.03 3.06 -0.01 -0.01 0.0 0 90.799 99.19 1537.84 0.0 0.0
5.0 8690.91 4698.24 -168.03 3.06 -0.01 -0.01 0.0 0 90.804 99.184 1537.532 0.0 0.0
5.1 8690.61 4698.18 -168.03 3.06 -0.01 -0.01 0.0 0 90.819 99.168 1537.227 0.0 0.0
5.2 8690.32 4698.12 -168.03 3.06 -0.01 -0.01 0.0 1 90.832 99.155 1536.931 27.18 27.18
5.3 8690.02 4698.05 -168.03 3.06 -0.01 -0.01 0.0 1 90.837 99.149 1536.623 27.18 27.18
5.4 8689.72 4697.99 -168.04 3.06 -0.01 -0.01 0.0 1 90.827 99.107 1536.318 27.18 27.18
5.5 8689.42 4697.93 -168.04 3.06 -0.01 -0.01 0.0 1 90.842 99.091 1536.012 27.18 27.18
5.6 8689.12 4697.87 -168.04 3.06 -0.01 -0.01 0.0 1 90.857 99.075 1535.706 27.18 27.18
5.7 8688.82 4697.8 -168.04 3.06 -0.01 -0.01 0.0 1 90.863 99.069 1535.398 27.18 27.18
5.8 8688.52 4697.74 -168.04 3.06 -0.01 -0.01 0.0 1 90.878 99.053 1535.093 27.18 27.18
5.9 8688.22 4697.68 -168.04 3.06 -0.01 -0.01 0.0 1 90.893 99.038 1534.787 27.18 27.18
6.0 8687.92 4697.62 -168.04 3.06 -0.01 -0.01 0.0 1 90.908 99.022 1534.482 27.18 27.18
6.1 8687.62 4697.55 -168.04 3.06 -0.01 -0.01 0.0 1 90.914 99.016 1534.174 27.18 27.18
6.2 8687.32 4697.49 -168.05 3.06 -0.01 -0.01 0.0 1 90.903 98.974 1533.868 27.18 27.18
