Navio: Capsan L333B48T14.3
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
165.8 -162.24 4.4 -0.32 0.07 0.15 1 42.145 4544.355 -166.4 4.412
165.9 -162.24 4.4 -0.32 0.07 0.15 1 42.153 4543.914 -166.4 4.412
166.0 -162.23 4.4 -0.32 0.07 0.15 1 42.152 4543.47 -166.39 4.412
166.1 -162.22 4.4 -0.32 0.07 0.15 1 42.16 4543.029 -166.38 4.412
166.2 -162.22 4.4 -0.32 0.07 0.15 1 42.168 4542.587 -166.38 4.412
166.3 -162.21 4.4 -0.32 0.07 0.15 1 42.164 4542.153 -166.37 4.412
166.4 -162.2 4.4 -0.32 0.07 0.15 1 42.173 4541.712 -166.36 4.412
166.5 -162.2 4.4 -0.32 0.07 0.15 1 42.181 4541.271 -166.36 4.412
166.6 -162.19 4.4 -0.32 0.07 0.17 1 42.179 4540.827 -166.35 4.412
166.7 -162.18 4.4 -0.32 0.07 0.17 1 42.187 4540.385 -166.34 4.412
166.8 -162.18 4.4 -0.32 0.06 0.17 1 42.186 4539.942 -166.34 4.412
166.9 -162.17 4.4 -0.32 0.06 0.17 1 42.192 4539.51 -166.33 4.412
167.0 -162.17 4.4 -0.32 0.06 0.17 1 42.2 4539.069 -166.33 4.412
167.1 -162.16 4.4 -0.32 0.06 0.17 1 42.198 4538.625 -166.32 4.412
167.2 -162.15 4.4 -0.32 0.06 0.17 1 42.207 4538.184 -166.31 4.412
167.3 -162.15 4.4 -0.32 0.06 0.17 1 42.215 4537.742 -166.31 4.412
167.4 -162.14 4.4 -0.32 0.06 0.17 1 42.213 4537.299 -166.3 4.412
167.5 -162.13 4.4 -0.32 0.06 0.17 1 42.219 4536.867 -166.29 4.412
167.6 -162.13 4.4 -0.32 0.06 0.17 1 42.218 4536.423 -166.29 4.412
167.7 -162.12 4.4 -0.32 0.06 0.17 1 42.226 4535.982 -166.28 4.412
167.8 -162.11 4.4 -0.32 0.06 0.17 1 42.224 4535.538 -166.27 4.412
167.9 -162.11 4.4 -0.32 0.06 0.17 1 42.232 4535.097 -166.27 4.412
168.0 -162.1 4.4 -0.32 0.06 0.17 1 42.241 4534.655 -166.26 4.412
168.1 -162.09 4.4 -0.32 0.06 0.17 1 42.237 4534.221 -166.25 4.412
168.2 -162.09 4.4 -0.32 0.06 0.17 1 42.245 4533.78 -166.25 4.412
168.3 -162.08 4.4 -0.32 0.06 0.17 1 42.243 4533.336 -166.24 4.412
