Navio: Suezmax L280B50T17
Cenário: NE Forte - com molhe
Manobra: Entrada e Giro
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 11349.45 5372.26 -160.0 3.6 -0.0 -0.0 0.0 1 85.15 43.063 4252.993 16.94 29
0.1 11349.11 5372.13 -160.0 3.6 -0.0 -0.0 0.0 1 85.103 43.11 4252.632 16.94 29
0.2 11348.77 5372.01 -160.0 3.6 -0.0 -0.0 0.0 1 85.066 43.148 4252.273 16.94 29
0.3 11348.44 5371.89 -160.0 3.6 -0.0 -0.0 0.0 1 85.027 43.189 4251.924 16.94 29
0.4 11348.1 5371.76 -160.0 3.6 -0.0 -0.0 0.0 1 84.98 43.236 4251.563 16.94 29
0.5 11347.76 5371.64 -160.0 3.6 -0.0 -0.0 0.0 1 84.943 43.274 4251.205 16.94 29
0.6 11347.42 5371.52 -160.0 3.6 -0.0 -0.0 0.0 1 84.907 43.313 4250.846 16.94 29
0.7 11347.08 5371.4 -160.0 3.6 -0.0 -0.0 0.0 1 84.87 43.351 4250.488 16.94 29
0.8 11346.75 5371.27 -160.0 3.6 -0.0 -0.0 0.0 1 84.821 43.401 4250.136 16.94 29
0.9 11346.41 5371.15 -160.0 3.6 -0.0 -0.0 0.0 1 84.784 43.439 4249.778 16.94 29
1.0 11346.07 5371.03 -160.0 3.6 -0.0 -0.0 0.0 1 84.747 43.477 4249.419 16.94 29
1.1 11345.73 5370.9 -160.0 3.6 -0.0 -0.0 0.0 1 84.7 43.524 4249.058 16.94 29
1.2 11345.39 5370.78 -160.0 3.6 -0.01 -0.0 0.0 1 84.663 43.562 4248.7 16.94 29
1.3 11345.06 5370.66 -160.0 3.6 -0.01 -0.0 0.0 1 84.624 43.603 4248.351 16.94 29
1.4 11344.72 5370.54 -160.0 3.59 -0.01 -0.0 0.0 1 84.587 43.641 4247.992 16.94 29
1.5 11344.38 5370.42 -160.0 3.59 -0.01 -0.01 0.0 1 84.55 43.679 4247.633 16.94 29
1.6 11344.04 5370.29 -160.0 3.59 -0.01 -0.01 0.0 1 84.504 43.726 4247.273 16.94 29
1.7 11343.7 5370.17 -160.01 3.59 -0.01 -0.01 0.0 1 84.491 43.788 4246.914 28.77 29
1.8 11343.37 5370.05 -160.01 3.59 -0.01 -0.01 0.0 1 84.451 43.829 4246.565 28.77 29
1.9 11343.03 5369.93 -160.01 3.59 -0.01 -0.01 0.0 1 84.414 43.867 4246.206 28.77 29
2.0 11342.69 5369.8 -160.01 3.59 -0.01 -0.01 0.0 1 84.368 43.914 4245.846 28.77 29
2.1 11342.35 5369.68 -160.01 3.59 -0.01 -0.01 0.0 1 84.331 43.952 4245.487 28.77 29
2.2 11342.01 5369.56 -160.01 3.59 -0.01 -0.01 0.0 1 84.294 43.99 4245.128 28.77 29
2.3 11341.68 5369.44 -160.01 3.59 -0.01 -0.01 0.0 1 84.255 44.031 4244.779 28.77 29
2.4 11341.34 5369.32 -160.01 3.59 -0.01 -0.01 0.0 1 84.218 44.069 4244.421 28.77 29
2.5 11341.0 5369.19 -160.01 3.59 -0.01 -0.01 0.0 1 84.171 44.117 4244.06 28.77 29
2.6 11340.66 5369.07 -160.01 3.59 -0.01 -0.01 0.0 1 84.134 44.155 4243.701 28.77 29
2.7 11340.32 5368.95 -160.01 3.59 -0.01 -0.01 0.0 1 84.097 44.193 4243.343 28.77 29
2.8 11339.99 5368.83 -160.01 3.59 -0.01 -0.01 0.0 1 84.058 44.233 4242.994 28.77 29
2.9 11339.65 5368.71 -160.01 3.59 -0.01 -0.01 0.0 1 84.021 44.271 4242.635 28.77 29
3.0 11339.31 5368.58 -160.02 3.59 -0.01 -0.01 0.0 1 83.998 44.342 4242.274 28.77 29
3.1 11338.97 5368.46 -160.02 3.59 -0.01 -0.01 0.0 1 83.961 44.38 4241.916 28.77 29
3.2 11338.64 5368.34 -160.02 3.59 -0.01 -0.01 0.0 1 83.922 44.421 4241.567 28.77 29
3.3 11338.3 5368.22 -160.02 3.59 -0.01 -0.01 0.0 1 83.885 44.459 4241.208 28.77 29
3.4 11337.96 5368.1 -160.02 3.59 -0.01 -0.01 0.0 1 83.848 44.497 4240.85 28.77 29
3.5 11337.62 5367.98 -160.02 3.59 -0.01 -0.01 0.0 1 83.812 44.535 4240.491 28.77 29
3.6 11337.28 5367.86 -160.02 3.59 -0.01 -0.01 0.0 1 83.775 44.573 4240.132 28.77 29
3.7 11336.95 5367.73 -160.02 3.59 -0.01 -0.01 0.0 1 83.726 44.623 4239.781 28.77 29
3.8 11336.61 5367.61 -160.02 3.59 -0.01 -0.01 0.0 1 83.689 44.661 4239.423 28.77 29
3.9 11336.27 5367.49 -160.03 3.59 -0.01 -0.01 0.0 1 83.676 44.723 4239.064 28.77 29
4.0 11335.93 5367.37 -160.03 3.59 -0.01 -0.01 0.0 1 83.639 44.761 4238.705 28.77 29
4.1 11335.59 5367.25 -160.03 3.59 -0.01 -0.01 0.0 1 83.602 44.799 4238.347 28.77 29
4.2 11335.26 5367.13 -160.03 3.59 -0.01 -0.01 0.0 1 83.563 44.839 4237.998 28.77 29
4.3 11334.92 5367.0 -160.03 3.59 -0.01 -0.01 0.0 1 83.516 44.887 4237.637 28.77 29
4.4 11334.58 5366.88 -160.03 3.59 -0.01 -0.01 0.0 1 83.479 44.925 4237.278 28.77 29
4.5 11334.24 5366.76 -160.03 3.59 -0.01 -0.01 0.0 1 83.442 44.963 4236.92 28.77 29
4.6 11333.91 5366.64 -160.03 3.59 -0.01 -0.01 0.0 1 83.403 45.003 4236.571 28.77 29
4.7 11333.57 5366.52 -160.04 3.59 -0.01 -0.01 0.0 1 83.39 45.065 4236.212 28.77 29
4.8 11333.23 5366.4 -160.04 3.59 -0.01 -0.01 0.0 1 83.353 45.103 4235.854 28.77 29
4.9 11332.89 5366.28 -160.04 3.59 -0.01 -0.02 0.0 1 83.316 45.141 4235.495 28.77 29
5.0 11332.55 5366.16 -160.04 3.59 -0.01 -0.02 0.0 1 83.279 45.179 4235.137 28.77 29
5.1 11332.22 5366.04 -160.04 3.59 -0.01 -0.02 0.0 1 83.24 45.219 4234.788 28.77 29
5.2 11331.88 5365.91 -160.04 3.59 -0.01 -0.02 0.0 1 83.193 45.267 4234.427 28.77 29
5.3 11331.54 5365.79 -160.05 3.59 -0.01 -0.02 0.0 1 83.18 45.329 4234.068 28.77 29
5.4 11331.2 5365.67 -160.05 3.59 -0.01 -0.02 0.0 1 83.143 45.367 4233.71 28.77 29
5.5 11330.87 5365.55 -160.05 3.59 -0.02 -0.02 0.0 1 83.104 45.407 4233.361 28.77 29
5.6 11330.53 5365.43 -160.05 3.59 -0.02 -0.02 0.0 1 83.067 45.445 4233.002 28.77 29
5.7 11330.19 5365.31 -160.05 3.59 -0.02 -0.02 0.0 1 83.03 45.483 4232.644 28.77 29
5.8 11329.85 5365.19 -160.05 3.59 -0.02 -0.02 0.0 1 82.993 45.521 4232.285 28.77 29
5.9 11329.52 5365.07 -160.06 3.59 -0.02 -0.02 0.0 1 82.978 45.585 4231.936 28.77 29
6.0 11329.18 5364.95 -160.06 3.59 -0.02 -0.02 0.0 1 82.941 45.623 4231.578 28.77 29
6.1 11328.84 5364.83 -160.06 3.59 -0.02 -0.02 0.0 1 82.904 45.661 4231.219 28.77 29
6.2 11328.5 5364.7 -160.06 3.59 -0.02 -0.02 0.0 1 82.857 45.709 4230.858 28.77 29
6.3 11328.16 5364.58 -160.06 3.59 -0.02 -0.02 0.0 1 82.82 45.747 4230.5 28.77 29
6.4 11327.83 5364.46 -160.07 3.59 -0.02 -0.02 0.0 1 82.805 45.811 4230.151 28.77 29
6.5 11327.49 5364.34 -160.07 3.59 -0.02 -0.02 0.0 1 82.768 45.849 4229.792 28.77 29
6.6 11327.15 5364.22 -160.07 3.59 -0.02 -0.02 0.0 1 82.731 45.887 4229.433 28.77 29
6.7 11326.81 5364.1 -160.07 3.59 -0.02 -0.02 0.0 1 82.694 45.925 4229.075 28.77 29
6.8 11326.48 5363.98 -160.07 3.59 -0.02 -0.02 0.0 1 82.655 45.966 4228.726 28.77 29
6.9 11326.14 5363.86 -160.07 3.59 -0.02 -0.02 0.0 1 82.618 46.004 4228.367 28.77 29
7.0 11325.8 5363.74 -160.08 3.59 -0.02 -0.02 0.0 1 82.605 46.066 4228.009 28.77 29
7.1 11325.46 5363.62 -160.08 3.59 -0.02 -0.02 0.0 1 82.568 46.104 4227.65 28.77 29
7.2 11325.13 5363.5 -160.08 3.59 -0.02 -0.02 0.0 1 82.529 46.144 4227.301 28.77 29
7.3 11324.79 5363.38 -160.08 3.58 -0.02 -0.02 0.0 1 82.492 46.182 4226.943 28.77 29
7.4 11324.45 5363.26 -160.09 3.58 -0.02 -0.02 0.0 1 82.479 46.244 4226.584 28.77 29
7.5 11324.11 5363.14 -160.09 3.58 -0.02 -0.02 0.0 1 82.442 46.282 4226.226 28.77 29
7.6 11323.78 5363.02 -160.09 3.58 -0.02 -0.02 0.0 1 82.403 46.322 4225.877 28.77 29
7.7 11323.44 5362.9 -160.09 3.58 -0.02 -0.02 0.0 1 82.366 46.36 4225.518 28.77 29
7.8 11323.1 5362.78 -160.09 3.58 -0.02 -0.02 0.0 1 82.329 46.398 4225.16 28.77 29
7.9 11322.76 5362.66 -160.1 3.58 -0.02 -0.02 0.0 1 82.316 46.46 4224.801 28.77 29
8.0 11322.42 5362.53 -160.1 3.58 -0.02 -0.02 0.0 1 82.269 46.508 4224.44 28.77 29
8.1 11322.09 5362.41 -160.1 3.58 -0.02 -0.02 0.0 1 82.23 46.548 4224.091 28.77 29
8.2 11321.75 5362.29 -160.1 3.58 -0.02 -0.02 0.0 1 82.193 46.586 4223.733 28.77 29
8.3 11321.41 5362.17 -160.11 3.58 -0.02 -0.02 0.0 1 82.18 46.648 4223.374 28.77 29
8.4 11321.07 5362.05 -160.11 3.58 -0.02 -0.02 0.0 1 82.143 46.686 4223.016 28.77 29
8.5 11320.74 5361.93 -160.11 3.58 -0.02 -0.02 0.0 1 82.104 46.726 4222.667 28.77 29
8.6 11320.4 5361.81 -160.11 3.58 -0.02 -0.02 0.0 1 82.067 46.764 4222.308 28.77 29
8.7 11320.06 5361.69 -160.12 3.58 -0.02 -0.02 0.0 1 82.054 46.826 4221.95 28.77 29
8.8 11319.72 5361.57 -160.12 3.58 -0.02 -0.03 0.0 1 82.017 46.864 4221.591 28.77 29
8.9 11319.39 5361.45 -160.12 3.58 -0.02 -0.03 0.0 1 81.978 46.904 4221.242 28.77 29
9.0 11319.05 5361.33 -160.12 3.58 -0.02 -0.03 0.0 1 81.941 46.942 4220.884 28.77 29
9.1 11318.71 5361.21 -160.13 3.58 -0.02 -0.03 0.0 1 81.928 47.004 4220.525 28.77 29
9.2 11318.37 5361.09 -160.13 3.58 -0.02 -0.03 0.0 1 81.891 47.042 4220.166 28.77 29
9.3 11318.04 5360.97 -160.13 3.58 -0.02 -0.03 0.0 1 81.851 47.082 4219.818 28.77 29
9.4 11317.7 5360.85 -160.13 3.58 -0.02 -0.03 0.0 1 81.814 47.12 4219.459 28.77 29
9.5 11317.36 5360.73 -160.14 3.58 -0.02 -0.03 0.0 1 81.801 47.182 4219.1 28.77 29
9.6 11317.02 5360.62 -160.14 3.58 -0.02 -0.03 0.0 1 81.774 47.211 4218.744 28.77 29
9.7 11316.69 5360.5 -160.14 3.58 -0.02 -0.03 0.0 1 81.735 47.251 4218.395 28.77 29
9.8 11316.35 5360.38 -160.14 3.58 -0.02 -0.03 0.0 1 81.698 47.289 4218.037 28.77 29
9.9 11316.01 5360.26 -160.15 3.58 -0.02 -0.03 0.0 1 81.685 47.351 4217.678 28.77 29
