Navio: Capsan L333B48T14.3
Cenário: SE Forte - sem molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.8 kn N 
Vento: 20 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 7074.84 4360.09 -153.98 2.57 -0.21 -0.0 -0.63 4 42.925 38.284 1350.181
0.1 7074.6 4359.99 -153.98 2.57 -0.21 -0.0 -0.63 4 43.864 38.325 1349.922
0.2 7074.36 4359.9 -153.98 2.57 -0.21 -0.0 -0.63 4 43.869 38.356 1349.666
0.3 7074.12 4359.81 -153.98 2.57 -0.21 -0.0 -0.63 4 43.875 38.388 1349.41
0.4 7073.88 4359.71 -153.98 2.57 -0.21 -0.0 -0.63 4 43.871 38.429 1349.15
0.5 7073.64 4359.62 -153.98 2.57 -0.21 -0.0 -0.63 4 43.877 38.46 1348.894
0.6 7073.4 4359.52 -153.98 2.57 -0.21 -0.0 -0.63 4 43.873 38.501 1348.635
0.7 7073.16 4359.43 -153.98 2.57 -0.21 -0.0 -0.63 4 43.878 38.533 1348.379
0.8 7072.92 4359.34 -153.98 2.57 -0.21 -0.0 -0.63 4 43.884 38.564 1348.123
0.9 7072.68 4359.24 -153.98 2.57 -0.21 -0.0 -0.63 4 43.88 38.605 1347.864
1.0 7072.44 4359.15 -153.98 2.57 -0.21 -0.0 -0.63 4 43.886 38.637 1347.608
1.1 7072.2 4359.05 -153.98 2.57 -0.21 -0.0 -0.63 4 43.882 38.678 1347.349
1.2 7071.96 4358.96 -153.98 2.57 -0.21 -0.0 -0.63 4 43.888 38.709 1347.093
1.3 7071.72 4358.87 -153.98 2.57 -0.21 -0.0 -0.63 4 43.893 38.74 1346.837
1.4 7071.48 4358.77 -153.98 2.57 -0.21 -0.0 -0.63 4 43.89 38.781 1346.578
1.5 7071.24 4358.68 -153.98 2.57 -0.21 -0.0 -0.63 4 43.895 38.813 1346.322
1.6 7071.0 4358.59 -153.98 2.57 -0.21 -0.0 -0.63 4 43.901 38.844 1346.066
1.7 7070.76 4358.49 -153.98 2.57 -0.21 -0.0 -0.63 4 43.897 38.885 1345.807
1.8 7070.52 4358.4 -153.98 2.57 -0.21 -0.0 -0.63 4 43.902 38.917 1345.55
1.9 7070.28 4358.31 -153.99 2.57 -0.21 -0.0 -0.63 4 43.937 38.975 1345.294
2.0 7070.04 4358.21 -153.99 2.57 -0.21 -0.0 -0.63 4 43.933 39.017 1345.035
2.1 7069.8 4358.12 -153.99 2.57 -0.21 -0.0 -0.63 4 43.939 39.048 1344.779
2.2 7069.56 4358.03 -153.99 2.57 -0.21 -0.0 -0.63 4 43.944 39.079 1344.523
2.3 7069.32 4357.93 -153.99 2.57 -0.21 -0.0 -0.63 4 43.94 39.12 1344.264
2.4 7069.08 4357.84 -153.99 2.57 -0.21 -0.0 -0.63 4 43.946 39.152 1344.008
2.5 7068.84 4357.75 -153.99 2.57 -0.22 -0.0 -0.63 4 43.951 39.183 1343.752
2.6 7068.6 4357.65 -153.99 2.57 -0.22 -0.0 -0.63 4 43.948 39.224 1343.493
2.7 7068.36 4357.56 -153.99 2.57 -0.22 -0.01 -0.63 4 43.953 39.255 1343.237
2.8 7068.12 4357.47 -153.99 2.57 -0.22 -0.01 -0.63 4 43.959 39.287 1342.981
2.9 7067.88 4357.37 -153.99 2.57 -0.22 -0.01 -0.63 4 43.955 39.328 1342.722
3.0 7067.64 4357.28 -153.99 2.57 -0.22 -0.01 -0.63 4 43.961 39.359 1342.466
3.1 7067.4 4357.19 -153.99 2.57 -0.22 -0.01 -0.63 4 43.966 39.391 1342.21
3.2 7067.16 4357.09 -153.99 2.57 -0.22 -0.01 -0.63 4 43.963 39.432 1341.951
3.3 7066.92 4357.0 -153.99 2.56 -0.22 -0.01 -0.63 4 43.968 39.463 1341.694
3.4 7066.68 4356.91 -153.99 2.56 -0.22 -0.01 -0.63 4 43.974 39.494 1341.438
3.5 7066.44 4356.82 -153.99 2.56 -0.22 -0.01 -0.63 4 43.979 39.526 1341.182
3.6 7066.2 4356.72 -153.99 2.56 -0.22 -0.01 -0.63 4 43.975 39.567 1340.923
3.7 7065.96 4356.63 -153.99 2.56 -0.22 -0.01 -0.63 4 43.981 39.598 1340.667
3.8 7065.72 4356.54 -154.0 2.56 -0.22 -0.01 -0.63 4 44.015 39.657 1340.411
3.9 7065.48 4356.45 -154.0 2.56 -0.22 -0.01 -0.63 4 44.021 39.688 1340.155
4.0 7065.24 4356.35 -154.0 2.56 -0.22 -0.01 -0.63 4 44.017 39.73 1339.896
4.1 7065.0 4356.26 -154.0 2.56 -0.22 -0.01 -0.63 4 44.023 39.761 1339.64
4.2 7064.76 4356.17 -154.0 2.56 -0.22 -0.01 -0.63 4 44.028 39.792 1339.384
4.3 7064.52 4356.08 -154.0 2.56 -0.22 -0.01 -0.63 4 44.034 39.824 1339.128
4.4 7064.28 4355.98 -154.0 2.56 -0.22 -0.01 -0.63 4 44.03 39.865 1338.869
4.5 7064.04 4355.89 -154.0 2.56 -0.22 -0.01 -0.63 4 44.036 39.896 1338.613
4.6 7063.8 4355.8 -154.0 2.56 -0.22 -0.01 -0.63 4 44.041 39.927 1338.357
4.7 7063.56 4355.71 -154.0 2.56 -0.22 -0.01 -0.63 4 44.047 39.959 1338.101
4.8 7063.32 4355.61 -154.0 2.56 -0.22 -0.01 -0.63 4 44.043 40.0 1337.842
4.9 7063.08 4355.52 -154.0 2.56 -0.22 -0.01 -0.63 4 44.049 40.031 1337.586
5.0 7062.84 4355.43 -154.0 2.56 -0.23 -0.01 -0.63 4 44.054 40.063 1337.33
5.1 7062.6 4355.34 -154.0 2.56 -0.23 -0.01 -0.57 4 44.06 40.094 1337.073
5.2 7062.36 4355.25 -154.01 2.56 -0.23 -0.01 -0.57 4 44.094 40.153 1336.817
5.3 7062.12 4355.15 -154.01 2.56 -0.23 -0.01 -0.57 4 44.09 40.194 1336.558
5.4 7061.88 4355.06 -154.01 2.56 -0.23 -0.01 -0.57 4 44.096 40.225 1336.302
5.5 7061.64 4354.97 -154.01 2.56 -0.23 -0.01 -0.32 4 44.101 40.257 1336.046
5.6 7061.39 4354.88 -154.01 2.56 -0.23 -0.01 -0.32 4 44.111 40.286 1335.781
5.7 7061.15 4354.79 -154.01 2.56 -0.23 -0.01 -0.32 4 44.116 40.317 1335.525
5.8 7060.91 4354.69 -154.01 2.56 -0.23 -0.01 -0.32 4 44.112 40.358 1335.266
5.9 7060.67 4354.6 -154.01 2.56 -0.23 -0.01 0.19 4 44.118 40.389 1335.01
6.0 7060.43 4354.51 -154.01 2.56 -0.23 -0.01 0.19 4 44.124 40.421 1334.753
6.1 7060.19 4354.42 -154.01 2.56 -0.23 -0.01 0.19 4 44.129 40.452 1334.497
6.2 7059.95 4354.33 -154.01 2.56 -0.23 -0.01 0.19 4 44.135 40.484 1334.241
6.3 7059.71 4354.24 -154.01 2.56 -0.23 -0.01 0.3 4 44.14 40.515 1333.985
6.4 7059.47 4354.14 -154.02 2.56 -0.23 -0.01 0.3 4 44.165 40.583 1333.726
6.5 7059.23 4354.05 -154.02 2.56 -0.23 -0.01 0.3 4 44.171 40.615 1333.47
6.6 7058.99 4353.96 -154.02 2.56 -0.23 -0.01 0.3 4 44.176 40.646 1333.214
6.7 7058.75 4353.87 -154.02 2.56 -0.23 -0.01 0.33 4 44.182 40.678 1332.958
6.8 7058.51 4353.78 -154.02 2.56 -0.23 -0.01 0.33 4 44.187 40.709 1332.702
6.9 7058.27 4353.69 -154.02 2.56 -0.23 -0.01 0.33 4 44.193 40.74 1332.446
7.0 7058.03 4353.6 -154.02 2.56 -0.23 -0.01 0.33 4 44.198 40.772 1332.19
7.1 7057.79 4353.5 -154.02 2.56 -0.23 -0.01 0.37 4 44.195 40.813 1331.931
7.2 7057.55 4353.41 -154.02 2.56 -0.23 -0.01 0.37 4 44.2 40.844 1331.675
7.3 7057.31 4353.32 -154.02 2.56 -0.23 -0.01 0.37 4 44.206 40.875 1331.419
7.4 7057.07 4353.23 -154.03 2.56 -0.23 -0.01 0.37 4 44.24 40.934 1331.163
7.5 7056.83 4353.14 -154.03 2.56 -0.24 -0.01 0.42 4 44.246 40.966 1330.907
7.6 7056.59 4353.05 -154.03 2.56 -0.24 -0.01 0.42 4 44.251 40.997 1330.651
7.7 7056.35 4352.96 -154.03 2.56 -0.24 -0.01 0.42 4 44.257 41.028 1330.395
7.8 7056.1 4352.87 -154.03 2.56 -0.24 -0.01 0.42 4 44.266 41.057 1330.129
7.9 7055.86 4352.78 -154.03 2.56 -0.24 -0.01 0.42 4 44.272 41.089 1329.873
8.0 7055.62 4352.69 -154.03 2.56 -0.24 -0.01 0.42 4 44.277 41.12 1329.617
8.1 7055.38 4352.59 -154.03 2.56 -0.24 -0.01 0.42 4 44.273 41.161 1329.358
8.2 7055.14 4352.5 -154.03 2.56 -0.24 -0.01 0.42 4 44.279 41.193 1329.102
8.3 7054.9 4352.41 -154.04 2.56 -0.24 -0.01 0.3 4 44.313 41.251 1328.846
8.4 7054.66 4352.32 -154.04 2.56 -0.24 -0.01 0.3 4 44.319 41.283 1328.59
8.5 7054.42 4352.23 -154.04 2.56 -0.24 -0.01 0.3 4 44.324 41.314 1328.334
8.6 7054.18 4352.14 -154.04 2.56 -0.24 -0.01 0.3 4 44.33 41.345 1328.078
8.7 7053.94 4352.05 -154.04 2.56 -0.24 -0.01 0.12 4 44.335 41.377 1327.822
8.8 7053.7 4351.96 -154.04 2.56 -0.24 -0.01 0.12 4 44.341 41.408 1327.566
8.9 7053.46 4351.87 -154.04 2.56 -0.24 -0.01 0.12 4 44.347 41.44 1327.31
9.0 7053.22 4351.78 -154.04 2.56 -0.24 -0.01 0.12 4 44.352 41.471 1327.054
9.1 7052.98 4351.69 -154.04 2.56 -0.24 -0.01 -0.14 4 44.358 41.502 1326.798
9.2 7052.74 4351.6 -154.05 2.56 -0.24 -0.01 -0.14 4 44.392 41.561 1326.542
9.3 7052.5 4351.51 -154.05 2.56 -0.24 -0.01 -0.14 4 44.398 41.592 1326.286
9.4 7052.26 4351.42 -154.05 2.56 -0.24 -0.01 -0.14 4 44.403 41.624 1326.03
9.5 7052.02 4351.33 -154.05 2.56 -0.24 -0.01 -0.31 4 44.409 41.655 1325.774
9.6 7051.77 4351.24 -154.05 2.56 -0.24 -0.01 -0.31 4 44.418 41.684 1325.508
9.7 7051.53 4351.15 -154.05 2.56 -0.24 -0.01 -0.31 4 44.423 41.716 1325.252
9.8 7051.29 4351.06 -154.05 2.56 -0.24 -0.01 -0.31 4 44.429 41.747 1324.996
9.9 7051.05 4350.97 -154.05 2.56 -0.24 -0.01 -0.44 4 44.435 41.778 1324.74
10.0 7050.81 4350.88 -154.06 2.55 -0.25 -0.01 -0.44 4 44.469 41.837 1324.484
10.1 7050.57 4350.79 -154.06 2.55 -0.25 -0.01 -0.44 4 44.474 41.868 1324.228
10.2 7050.33 4350.7 -154.06 2.55 -0.25 -0.01 -0.44 4 44.48 41.9 1323.972
10.3 7050.09 4350.61 -154.06 2.55 -0.25 -0.01 -0.53 4 44.486 41.931 1323.716
10.4 7049.85 4350.52 -154.06 2.55 -0.25 -0.01 -0.53 4 44.491 41.963 1323.46
10.5 7049.61 4350.43 -154.06 2.55 -0.25 -0.01 -0.53 4 44.497 41.994 1323.204
10.6 7049.37 4350.34 -154.06 2.55 -0.25 -0.01 -0.53 4 44.502 42.025 1322.948
10.7 7049.13 4350.25 -154.06 2.55 -0.25 -0.01 -0.59 4 44.508 42.057 1322.692
10.8 7048.89 4350.16 -154.07 2.55 -0.25 -0.01 -0.59 4 44.542 42.116 1322.436
10.9 7048.65 4350.07 -154.07 2.55 -0.25 -0.01 -0.59 4 44.548 42.147 1322.18
11.0 7048.41 4349.99 -154.07 2.55 -0.25 -0.01 -0.59 4 44.562 42.169 1321.927
11.1 7048.17 4349.9 -154.07 2.55 -0.25 -0.01 -0.59 4 44.568 42.2 1321.671
11.2 7047.93 4349.81 -154.07 2.55 -0.25 -0.01 -0.59 4 44.573 42.231 1321.414
11.3 7047.69 4349.72 -154.07 2.55 -0.25 -0.01 -0.59 4 44.579 42.263 1321.158
11.4 7047.45 4349.63 -154.07 2.55 -0.25 -0.01 -0.59 4 44.585 42.294 1320.902
11.5 7047.21 4349.54 -154.08 2.55 -0.25 -0.01 -0.59 4 44.619 42.353 1320.646
11.6 7046.97 4349.45 -154.08 2.55 -0.25 -0.01 -0.59 4 44.624 42.384 1320.39
11.7 7046.73 4349.36 -154.08 2.55 -0.25 -0.01 -0.59 4 44.63 42.416 1320.134
11.8 7046.49 4349.27 -154.08 2.55 -0.25 -0.01 -0.59 4 44.636 42.447 1319.878
11.9 7046.25 4349.19 -154.08 2.55 -0.25 -0.01 -0.59 4 44.65 42.469 1319.625
12.0 7046.01 4349.1 -154.08 2.55 -0.25 -0.01 -0.59 4 44.656 42.5 1319.369
12.1 7045.77 4349.01 -154.08 2.55 -0.25 -0.01 -0.59 4 44.661 42.531 1319.113
