Navio: NewPanamax L366B49T15.2
Cenário: SE Forte - sem molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 8040.65 4556.05 -165.1 3.6 -0.21 -0.0 -0.0 0 40.946 103.257 2332.078
0.1 8040.3 4555.97 -165.1 3.6 -0.21 -0.0 -0.0 0 40.949 103.253 2331.719
0.2 8039.95 4555.9 -165.1 3.6 -0.21 -0.0 -0.0 0 40.961 103.239 2331.363
0.3 8039.59 4555.83 -165.1 3.59 -0.21 -0.0 -0.0 0 40.976 103.223 2330.997
0.4 8039.24 4555.76 -165.1 3.59 -0.21 -0.0 -0.0 0 40.989 103.209 2330.641
0.5 8038.89 4555.68 -165.1 3.59 -0.21 -0.0 -0.0 0 40.991 103.205 2330.282
0.6 8038.54 4555.61 -165.1 3.59 -0.21 -0.0 -0.0 0 41.004 103.191 2329.926
0.7 8038.18 4555.54 -165.1 3.59 -0.21 -0.0 -0.0 0 41.018 103.175 2329.56
0.8 8037.83 4555.47 -165.1 3.59 -0.21 -0.0 -0.0 0 41.031 103.161 2329.204
0.9 8037.48 4555.4 -165.1 3.59 -0.21 -0.0 -0.0 0 41.043 103.147 2328.848
1.0 8037.13 4555.32 -165.1 3.59 -0.21 -0.0 -0.0 0 41.046 103.143 2328.489
1.1 8036.77 4555.25 -165.1 3.59 -0.21 -0.0 -0.0 0 41.06 103.127 2328.124
1.2 8036.42 4555.18 -165.1 3.59 -0.21 -0.0 -0.0 0 41.073 103.113 2327.768
1.3 8036.07 4555.11 -165.1 3.59 -0.21 -0.0 -0.0 0 41.085 103.1 2327.411
1.4 8035.72 4555.04 -165.1 3.59 -0.21 -0.0 -0.0 0 41.098 103.086 2327.055
1.5 8035.37 4554.96 -165.1 3.59 -0.21 -0.0 -0.0 0 41.1 103.082 2326.697
1.6 8035.01 4554.89 -165.1 3.59 -0.21 -0.0 -0.0 0 41.115 103.065 2326.331
1.7 8034.66 4554.82 -165.1 3.59 -0.21 -0.0 -0.0 0 41.127 103.052 2325.975
1.8 8034.31 4554.75 -165.1 3.59 -0.21 -0.0 -0.0 0 41.14 103.038 2325.619
1.9 8033.96 4554.68 -165.1 3.59 -0.21 -0.0 -0.0 0 41.152 103.024 2325.263
2.0 8033.61 4554.61 -165.1 3.58 -0.21 -0.0 -0.0 0 41.164 103.01 2324.906
