Navio: NewPanamax L366B49T15.2
Cenário: SE Forte - sem molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.8 kn N 
Vento: 20 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8040.63 4556.05 -165.1 3.6 -0.36 0.0 -0.0 0 75.344 75.84 1141.662 4.02 0.0
0.1 8040.28 4555.99 -165.1 3.6 -0.36 0.0 0.0 0 75.368 75.816 1141.308 3.06 0.0
0.2 8039.92 4555.94 -165.1 3.6 -0.36 0.0 0.0 0 75.405 75.78 1140.946 3.06 0.0
0.3 8039.56 4555.88 -165.1 3.59 -0.36 0.0 0.0 0 75.432 75.754 1140.581 3.06 0.0
0.4 8039.21 4555.82 -165.1 3.59 -0.36 0.0 0.0 0 75.456 75.73 1140.227 3.06 0.0
0.5 8038.85 4555.76 -165.1 3.59 -0.36 0.0 0.0 0 75.483 75.703 1139.862 3.06 0.0
0.6 8038.49 4555.71 -165.1 3.59 -0.36 0.0 0.0 0 75.52 75.667 1139.5 3.06 0.0
0.7 8038.14 4555.65 -165.1 3.59 -0.36 0.0 0.0 0 75.544 75.643 1139.145 3.06 0.0
0.8 8037.78 4555.59 -165.1 3.59 -0.36 0.0 0.0 0 75.571 75.617 1138.781 3.06 0.0
0.9 8037.42 4555.53 -165.1 3.59 -0.36 0.0 0.0 0 75.598 75.591 1138.416 3.06 0.0
1.0 8037.07 4555.48 -165.1 3.59 -0.36 0.0 0.0 0 75.632 75.557 1138.064 3.06 0.0
1.1 8036.71 4555.42 -165.1 3.59 -0.36 0.0 0.0 0 75.659 75.531 1137.7 3.06 0.0
1.2 8036.35 4555.36 -165.1 3.59 -0.36 0.0 0.0 0 75.686 75.504 1137.335 3.06 0.0
1.3 8036.0 4555.3 -165.09 3.59 -0.36 0.0 0.0 0 75.679 75.448 1136.981 3.06 0.0
1.4 8035.64 4555.25 -165.09 3.59 -0.36 0.0 0.0 0 75.716 75.412 1136.618 3.06 0.0
1.5 8035.29 4555.19 -165.09 3.59 -0.36 0.0 0.0 0 75.74 75.388 1136.264 0.0 0.0
1.6 8034.93 4555.13 -165.09 3.59 -0.36 0.0 0.0 0 75.767 75.362 1135.899 0.0 0.0
1.7 8034.57 4555.08 -165.09 3.59 -0.36 0.0 0.0 0 75.804 75.326 1135.537 0.0 0.0
1.8 8034.22 4555.02 -165.09 3.59 -0.36 0.0 0.0 0 75.828 75.302 1135.182 0.0 0.0
1.9 8033.86 4554.96 -165.09 3.58 -0.36 0.0 0.0 0 75.855 75.275 1134.818 0.0 0.0
2.0 8033.51 4554.9 -165.09 3.58 -0.36 0.0 0.0 0 75.88 75.251 1134.463 0.0 0.0
2.1 8033.15 4554.85 -165.09 3.58 -0.36 0.0 0.0 0 75.916 75.215 1134.101 0.0 0.0
2.2 8032.8 4554.79 -165.09 3.58 -0.36 0.0 0.0 0 75.941 75.191 1133.747 0.0 0.0
2.3 8032.44 4554.73 -165.09 3.58 -0.36 0.0 0.0 0 75.968 75.165 1133.382 0.0 0.0
2.4 8032.08 4554.68 -165.09 3.58 -0.36 0.0 0.0 0 76.004 75.129 1133.02 0.0 0.0
2.5 8031.73 4554.62 -165.09 3.58 -0.36 0.0 0.0 0 76.029 75.105 1132.665 0.0 0.0
2.6 8031.37 4554.56 -165.09 3.58 -0.37 0.0 0.0 0 76.056 75.079 1132.301 0.0 0.0
2.7 8031.02 4554.51 -165.09 3.58 -0.37 0.0 0.0 0 76.09 75.045 1131.949 0.0 0.0
2.8 8030.66 4554.45 -165.09 3.58 -0.37 0.0 0.0 0 76.117 75.018 1131.584 0.0 0.0
2.9 8030.31 4554.39 -165.09 3.58 -0.37 0.0 0.0 0 76.141 74.994 1131.229 0.0 0.0
3.0 8029.95 4554.34 -165.09 3.58 -0.37 0.0 0.0 0 76.178 74.958 1130.867 0.0 0.0
3.1 8029.6 4554.28 -165.09 3.58 -0.37 0.0 0.0 0 76.202 74.934 1130.513 0.0 0.0
3.2 8029.24 4554.22 -165.09 3.58 -0.37 0.0 0.0 0 76.229 74.908 1130.148 0.0 0.0
3.3 8028.88 4554.17 -165.09 3.58 -0.37 0.0 0.0 0 76.266 74.872 1129.786 0.0 0.0
3.4 8028.53 4554.11 -165.09 3.58 -0.37 0.0 0.0 0 76.29 74.848 1129.431 0.0 0.0
3.5 8028.17 4554.05 -165.09 3.58 -0.37 0.0 0.0 0 76.317 74.822 1129.067 0.0 0.0
3.6 8027.82 4554.0 -165.09 3.58 -0.37 0.0 0.0 0 76.352 74.788 1128.715 0.0 0.0
3.7 8027.46 4553.94 -165.09 3.58 -0.37 0.0 0.0 0 76.378 74.761 1128.35 0.0 0.0
3.8 8027.11 4553.88 -165.09 3.58 -0.37 0.0 0.0 0 76.403 74.737 1127.996 0.0 0.0
3.9 8026.75 4553.83 -165.09 3.58 -0.37 0.0 0.0 0 76.44 74.701 1127.633 0.0 0.0
4.0 8026.4 4553.77 -165.09 3.58 -0.37 0.0 0.0 0 76.464 74.677 1127.279 0.0 0.0
4.1 8026.04 4553.71 -165.09 3.58 -0.37 0.0 0.0 0 76.491 74.651 1126.914 0.0 0.0
4.2 8025.69 4553.66 -165.09 3.58 -0.37 0.0 0.0 0 76.525 74.617 1126.562 0.0 0.0
4.3 8025.33 4553.6 -165.09 3.58 -0.37 0.0 0.0 0 76.552 74.591 1126.198 0.0 0.0
4.4 8024.97 4553.54 -165.09 3.58 -0.37 0.0 0.0 0 76.579 74.565 1125.833 0.0 0.0
4.5 8024.62 4553.49 -165.09 3.58 -0.37 0.0 0.0 0 76.613 74.531 1125.481 0.0 0.0
4.6 8024.26 4553.43 -165.09 3.58 -0.37 0.0 0.0 0 76.64 74.504 1125.116 0.0 0.0
4.7 8023.91 4553.37 -165.09 3.58 -0.37 0.0 0.0 0 76.665 74.48 1124.762 0.0 0.0
4.8 8023.55 4553.32 -165.09 3.58 -0.37 0.0 0.0 0 76.701 74.444 1124.399 0.0 0.0
4.9 8023.2 4553.26 -165.09 3.58 -0.37 0.0 0.0 0 76.726 74.42 1124.045 0.0 0.0
5.0 8022.84 4553.21 -165.09 3.58 -0.37 0.0 0.0 0 76.763 74.384 1123.683 0.0 0.0
5.1 8022.49 4553.15 -165.09 3.58 -0.37 0.0 0.0 0 76.787 74.36 1123.328 0.0 0.0
5.2 8022.13 4553.09 -165.09 3.58 -0.37 0.0 0.0 0 76.814 74.334 1122.964 0.0 0.0
5.3 8021.78 4553.04 -165.09 3.58 -0.37 0.0 0.0 0 76.848 74.3 1122.611 0.0 0.0
5.4 8021.42 4552.98 -165.08 3.58 -0.37 0.0 0.0 0 76.843 74.242 1122.247 0.0 0.0
5.5 8021.06 4552.92 -165.08 3.58 -0.37 0.0 0.0 0 76.87 74.216 1121.882 0.0 0.0
5.6 8020.71 4552.87 -165.08 3.58 -0.37 0.0 0.0 0 76.904 74.182 1121.53 0.0 0.0
5.7 8020.35 4552.81 -165.08 3.58 -0.37 0.0 0.0 0 76.931 74.156 1121.166 0.0 0.0
5.8 8020.0 4552.76 -165.08 3.58 -0.37 0.0 0.0 0 76.966 74.122 1120.813 0.0 0.0
5.9 8019.64 4552.7 -165.08 3.58 -0.37 0.0 0.0 0 76.992 74.095 1120.449 0.0 0.0
6.0 8019.29 4552.64 -165.08 3.58 -0.37 0.0 0.0 0 77.017 74.071 1120.094 0.0 0.0
6.1 8018.93 4552.59 -165.08 3.58 -0.37 0.0 0.0 0 77.054 74.035 1119.732 0.0 0.0
6.2 8018.57 4552.53 -165.08 3.58 -0.37 0.0 0.0 0 77.08 74.009 1119.368 0.0 0.0
6.3 8018.22 4552.47 -165.08 3.58 -0.37 0.0 0.0 0 77.105 73.985 1119.013 0.0 0.0
6.4 8017.86 4552.42 -165.08 3.58 -0.37 0.0 0.0 0 77.142 73.949 1118.651 0.0 0.0
6.5 8017.51 4552.36 -165.08 3.58 -0.37 0.0 0.0 0 77.166 73.925 1118.296 0.0 0.0
6.6 8017.15 4552.31 -165.08 3.58 -0.37 0.0 0.0 0 77.203 73.889 1117.934 0.0 0.0
6.7 8016.8 4552.25 -165.08 3.58 -0.37 0.01 0.0 0 77.227 73.865 1117.579 0.0 0.0
6.8 8016.44 4552.19 -165.08 3.58 -0.38 0.01 0.0 0 77.254 73.838 1117.215 0.0 0.0
6.9 8016.09 4552.14 -165.08 3.58 -0.38 0.01 0.0 0 77.288 73.805 1116.863 0.0 0.0
7.0 8015.73 4552.08 -165.08 3.58 -0.38 0.01 0.0 0 77.315 73.778 1116.498 0.0 0.0
7.1 8015.37 4552.03 -165.08 3.58 -0.38 0.01 0.0 0 77.352 73.742 1116.136 0.0 0.0
7.2 8015.02 4551.97 -165.08 3.58 -0.38 0.01 0.0 0 77.376 73.718 1115.781 0.0 0.0
7.3 8014.66 4551.92 -165.08 3.58 -0.38 0.01 0.0 0 77.413 73.682 1115.419 0.0 0.0
7.4 8014.31 4551.86 -165.08 3.58 -0.38 0.01 0.0 0 77.438 73.658 1115.065 0.0 0.0
7.5 8013.95 4551.8 -165.07 3.58 -0.38 0.01 0.0 0 77.433 73.6 1114.7 0.0 0.0
7.6 8013.59 4551.75 -165.07 3.58 -0.38 0.01 0.0 0 77.469 73.564 1114.338 0.0 0.0
7.7 8013.24 4551.69 -165.07 3.58 -0.38 0.01 0.0 0 77.494 73.54 1113.984 0.0 0.0
7.8 8012.88 4551.64 -165.07 3.58 -0.38 0.01 0.0 0 77.53 73.504 1113.621 0.0 0.0
7.9 8012.53 4551.58 -165.07 3.58 -0.38 0.01 0.0 0 77.555 73.48 1113.267 0.0 0.0
8.0 8012.17 4551.53 -165.07 3.58 -0.38 0.01 0.0 0 77.592 73.444 1112.905 0.0 0.0
8.1 8011.82 4551.47 -165.07 3.58 -0.38 0.01 0.0 0 77.616 73.42 1112.55 0.0 0.0
8.2 8011.46 4551.41 -165.07 3.58 -0.38 0.01 0.0 0 77.643 73.393 1112.186 0.0 0.0
8.3 8011.1 4551.36 -165.07 3.58 -0.38 0.01 0.0 0 77.68 73.357 1111.823 0.0 0.0
8.4 8010.75 4551.3 -165.07 3.58 -0.38 0.01 0.0 0 77.704 73.333 1111.469 0.0 0.0
8.5 8010.39 4551.25 -165.07 3.58 -0.38 0.01 0.0 0 77.741 73.297 1111.107 0.0 0.0
8.6 8010.04 4551.19 -165.07 3.58 -0.38 0.01 0.0 0 77.765 73.273 1110.752 0.0 0.0
8.7 8009.68 4551.14 -165.07 3.58 -0.38 0.01 0.0 0 77.802 73.237 1110.39 0.0 0.0
8.8 8009.32 4551.08 -165.07 3.58 -0.38 0.01 0.0 0 77.829 73.211 1110.025 0.0 0.0
8.9 8008.97 4551.02 -165.07 3.58 -0.38 0.01 0.0 0 77.853 73.187 1109.671 0.0 0.0
9.0 8008.61 4550.97 -165.06 3.58 -0.38 0.01 0.0 0 77.858 73.119 1109.309 0.0 0.0
9.1 8008.26 4550.91 -165.06 3.58 -0.38 0.01 0.0 0 77.883 73.095 1108.954 0.0 0.0
9.2 8007.9 4550.86 -165.06 3.58 -0.38 0.01 0.0 0 77.919 73.059 1108.592 0.0 0.0
9.3 8007.54 4550.8 -165.06 3.58 -0.38 0.01 0.0 0 77.946 73.032 1108.228 0.0 0.0
9.4 8007.19 4550.75 -165.06 3.58 -0.38 0.01 0.0 0 77.98 72.999 1107.875 0.0 0.0
9.5 8006.83 4550.69 -165.06 3.58 -0.38 0.01 0.0 0 78.007 72.972 1107.511 0.0 0.0
9.6 8006.48 4550.64 -165.06 3.58 -0.38 0.01 0.0 0 78.042 72.939 1107.158 0.0 0.0
9.7 8006.12 4550.58 -165.06 3.58 -0.38 0.01 0.0 0 78.068 72.912 1106.794 0.0 0.0
9.8 8005.76 4550.53 -165.06 3.58 -0.38 0.01 0.0 0 78.105 72.876 1106.432 0.0 0.0
9.9 8005.41 4550.47 -165.06 3.58 -0.38 0.01 0.0 0 78.13 72.852 1106.077 0.0 0.0
10.0 8005.05 4550.42 -165.06 3.58 -0.38 0.01 0.0 0 78.166 72.816 1105.715 0.0 0.0
10.1 8004.7 4550.36 -165.06 3.58 -0.38 0.01 0.0 0 78.191 72.792 1105.36 0.0 0.0
10.2 8004.34 4550.31 -165.06 3.58 -0.39 0.01 0.0 0 78.227 72.756 1104.998 0.0 0.0
10.3 8003.98 4550.25 -165.06 3.58 -0.39 0.01 0.0 0 78.254 72.73 1104.634 0.0 0.0
10.4 8003.63 4550.2 -165.05 3.58 -0.39 0.01 0.0 0 78.257 72.664 1104.282 0.0 0.0
10.5 8003.27 4550.14 -165.05 3.58 -0.39 0.01 0.0 0 78.284 72.638 1103.917 0.0 0.0
10.6 8002.92 4550.09 -165.05 3.58 -0.39 0.01 0.0 0 78.318 72.604 1103.565 0.0 0.0
10.7 8002.56 4550.03 -165.05 3.58 -0.39 0.01 0.0 0 78.345 72.578 1103.2 0.0 0.0
10.8 8002.21 4549.98 -165.05 3.58 -0.39 0.01 0.0 0 78.379 72.544 1102.848 0.0 0.0
10.9 8001.85 4549.92 -165.05 3.58 -0.39 0.01 0.0 0 78.406 72.518 1102.484 0.0 0.0
11.0 8001.49 4549.87 -165.05 3.58 -0.39 0.01 0.0 0 78.442 72.481 1102.122 0.0 0.0
11.1 8001.14 4549.81 -165.05 3.57 -0.39 0.01 0.0 0 78.467 72.457 1101.767 0.0 0.0
11.2 8000.78 4549.76 -165.05 3.57 -0.39 0.01 0.0 0 78.504 72.421 1101.405 0.0 0.0
11.3 8000.43 4549.7 -165.05 3.57 -0.39 0.01 0.0 0 78.528 72.397 1101.05 0.0 0.0
11.4 8000.07 4549.65 -165.05 3.57 -0.39 0.01 0.0 0 78.565 72.361 1100.688 0.0 0.0
11.5 7999.72 4549.59 -165.04 3.57 -0.39 0.01 0.0 0 78.557 72.305 1100.333 0.0 0.0
11.6 7999.36 4549.54 -165.04 3.57 -0.39 0.01 0.0 0 78.594 72.269 1099.971 0.0 0.0
11.7 7999.01 4549.48 -165.04 3.57 -0.39 0.01 0.0 0 78.619 72.245 1099.617 0.0 0.0
11.8 7998.65 4549.43 -165.04 3.57 -0.39 0.01 0.0 0 78.655 72.209 1099.255 0.0 0.0
11.9 7998.3 4549.37 -165.04 3.57 -0.39 0.01 0.0 0 78.68 72.185 1098.9 0.0 0.0
12.0 7997.94 4549.32 -165.04 3.57 -0.39 0.01 0.0 0 78.716 72.149 1098.538 0.0 0.0
12.1 7997.59 4549.26 -165.04 3.57 -0.39 0.01 0.0 0 78.741 72.125 1098.183 0.0 0.0
12.2 7997.24 4549.21 -165.04 3.56 -0.39 0.01 0.0 0 78.775 72.091 1097.831 0.0 0.0
12.3 7996.88 4549.16 -165.04 3.56 -0.39 0.01 0.0 0 78.812 72.055 1097.469 0.0 0.0
12.4 7996.53 4549.1 -165.04 3.56 -0.39 0.01 0.0 0 78.836 72.031 1097.114 0.0 0.0
12.5 7996.17 4549.05 -165.04 3.56 -0.39 0.01 0.0 0 78.873 71.995 1096.752 0.0 0.0
12.6 7995.82 4548.99 -165.03 3.56 -0.39 0.01 0.0 0 78.866 71.939 1096.397 0.0 0.0
12.7 7995.46 4548.94 -165.03 3.56 -0.39 0.01 0.0 0 78.902 71.903 1096.035 0.0 0.0
12.8 7995.11 4548.88 -165.03 3.56 -0.39 0.01 0.0 0 78.927 71.879 1095.681 0.0 0.0
