Navio: Conteneiro L400B59T14.5
Cenário: NE Forte - sem molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 8024.52 4552.66 -163.0 3.6 -0.21 0.0 0.0 4 29.612 91.096 2315.623
0.1 8024.17 4552.58 -163.0 3.6 -0.21 0.0 0.0 4 29.614 91.092 2315.265
0.2 8023.82 4552.49 -163.0 3.6 -0.21 0.0 0.0 4 29.607 91.098 2314.903
0.3 8023.47 4552.41 -163.0 3.6 -0.21 0.0 0.0 4 29.61 91.094 2314.544
0.4 8023.12 4552.32 -163.0 3.59 -0.21 0.0 0.0 4 29.603 91.099 2314.183
0.5 8022.77 4552.24 -163.0 3.59 -0.21 0.0 0.0 4 29.606 91.095 2313.824
0.6 8022.42 4552.15 -163.0 3.59 -0.21 0.0 0.0 4 29.599 91.101 2313.463
0.7 8022.07 4552.07 -163.0 3.59 -0.2 0.0 0.0 4 29.601 91.097 2313.104
0.8 8021.73 4551.98 -163.0 3.59 -0.2 0.0 0.0 4 29.592 91.105 2312.753
0.9 8021.38 4551.89 -163.0 3.59 -0.2 0.0 0.0 4 29.585 91.11 2312.391
1.0 8021.03 4551.81 -163.0 3.59 -0.2 -0.0 0.0 4 29.587 91.106 2312.033
1.1 8020.68 4551.72 -163.0 3.59 -0.2 -0.0 0.01 4 29.58 91.112 2311.671
1.2 8020.33 4551.64 -163.0 3.59 -0.2 -0.0 0.01 4 29.583 91.108 2311.312
1.3 8019.98 4551.55 -163.0 3.59 -0.2 -0.0 0.01 4 29.576 91.113 2310.951
1.4 8019.63 4551.47 -163.0 3.59 -0.2 -0.0 0.01 4 29.579 91.109 2310.592
1.5 8019.28 4551.38 -163.0 3.59 -0.2 -0.0 0.01 4 29.571 91.115 2310.231
1.6 8018.93 4551.3 -163.0 3.59 -0.2 -0.0 0.01 4 29.574 91.111 2309.872
1.7 8018.58 4551.21 -163.0 3.59 -0.2 -0.0 0.01 4 29.567 91.116 2309.511
1.8 8018.23 4551.13 -163.0 3.59 -0.2 -0.0 0.01 4 29.57 91.112 2309.152
1.9 8017.88 4551.04 -163.0 3.59 -0.2 -0.0 0.01 4 29.563 91.118 2308.791
2.0 8017.53 4550.96 -163.0 3.59 -0.2 -0.0 0.01 4 29.565 91.114 2308.432
2.1 8017.19 4550.87 -163.0 3.59 -0.2 -0.0 0.01 4 29.556 91.122 2308.08
2.2 8016.84 4550.78 -163.0 3.59 -0.2 -0.0 0.01 4 29.549 91.127 2307.719
2.3 8016.49 4550.7 -163.0 3.59 -0.2 -0.0 0.01 4 29.551 91.123 2307.36
2.4 8016.14 4550.61 -163.0 3.59 -0.2 -0.0 0.01 4 29.544 91.129 2306.999
2.5 8015.79 4550.53 -163.0 3.59 -0.2 -0.0 0.01 4 29.547 91.125 2306.64
2.6 8015.44 4550.44 -163.0 3.59 -0.2 -0.0 0.01 4 29.54 91.131 2306.279
2.7 8015.09 4550.36 -163.0 3.59 -0.2 -0.0 0.01 4 29.543 91.126 2305.92
2.8 8014.74 4550.27 -163.0 3.58 -0.2 -0.0 0.01 4 29.536 91.132 2305.559
2.9 8014.39 4550.19 -163.0 3.58 -0.2 -0.0 0.01 4 29.538 91.128 2305.2
