Navio: Conteneiro L400B59T14.5
Cenário: SE Forte - sem molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 8024.51 4552.63 -163.07 3.6 -0.21 -0.0 0.0 0 29.826 91.365 2315.606
0.1 8024.16 4552.55 -163.07 3.6 -0.21 -0.0 0.0 0 29.829 91.361 2315.247
0.2 8023.81 4552.46 -163.07 3.6 -0.21 -0.0 0.0 0 29.822 91.366 2314.886
0.3 8023.46 4552.38 -163.07 3.6 -0.21 -0.0 0.0 0 29.825 91.362 2314.527
0.4 8023.11 4552.29 -163.07 3.59 -0.21 -0.0 0.0 0 29.818 91.368 2314.166
0.5 8022.76 4552.21 -163.07 3.59 -0.21 -0.0 0.0 0 29.82 91.364 2313.807
0.6 8022.41 4552.12 -163.07 3.59 -0.21 -0.0 0.0 0 29.813 91.369 2313.445
0.7 8022.06 4552.04 -163.07 3.59 -0.21 -0.0 0.0 0 29.816 91.365 2313.087
0.8 8021.71 4551.96 -163.07 3.59 -0.21 -0.0 0.0 0 29.818 91.361 2312.728
0.9 8021.36 4551.87 -163.07 3.59 -0.21 -0.0 0.0 0 29.811 91.367 2312.367
1.0 8021.01 4551.79 -163.07 3.59 -0.21 -0.0 0.0 0 29.814 91.363 2312.008
1.1 8020.66 4551.7 -163.08 3.59 -0.21 -0.0 0.0 0 29.841 91.403 2311.647
1.2 8020.31 4551.62 -163.08 3.59 -0.21 -0.0 0.0 0 29.844 91.399 2311.288
1.3 8019.96 4551.53 -163.08 3.59 -0.21 -0.0 0.0 0 29.837 91.404 2310.927
1.4 8019.61 4551.45 -163.08 3.59 -0.21 -0.0 0.0 0 29.84 91.4 2310.568
1.5 8019.26 4551.36 -163.08 3.59 -0.21 -0.0 0.01 0 29.833 91.406 2310.206
1.6 8018.91 4551.28 -163.08 3.59 -0.21 -0.0 0.01 0 29.835 91.402 2309.848
1.7 8018.57 4551.2 -163.08 3.59 -0.21 -0.0 0.01 0 29.836 91.4 2309.499
1.8 8018.22 4551.11 -163.08 3.59 -0.21 -0.0 0.01 0 29.829 91.406 2309.137
1.9 8017.87 4551.03 -163.08 3.59 -0.21 -0.0 0.01 0 29.831 91.402 2308.779
2.0 8017.52 4550.94 -163.08 3.59 -0.21 -0.0 0.01 0 29.824 91.407 2308.417
2.1 8017.17 4550.86 -163.08 3.59 -0.21 -0.0 0.01 0 29.827 91.403 2308.058
2.2 8016.82 4550.78 -163.08 3.58 -0.21 -0.0 0.01 0 29.829 91.399 2307.7
2.3 8016.47 4550.69 -163.08 3.58 -0.21 -0.0 0.01 0 29.822 91.405 2307.338
2.4 8016.12 4550.61 -163.08 3.58 -0.21 -0.0 0.01 0 29.825 91.401 2306.98
2.5 8015.77 4550.52 -163.08 3.58 -0.21 -0.0 0.01 0 29.818 91.406 2306.618
2.6 8015.42 4550.44 -163.08 3.58 -0.21 -0.0 0.01 0 29.821 91.402 2306.26
2.7 8015.07 4550.36 -163.08 3.58 -0.21 -0.0 0.01 0 29.823 91.398 2305.901
2.8 8014.72 4550.27 -163.08 3.58 -0.22 -0.0 0.01 0 29.816 91.404 2305.54
2.9 8014.38 4550.19 -163.08 3.58 -0.22 -0.0 0.01 0 29.817 91.402 2305.19
3.0 8014.03 4550.11 -163.08 3.58 -0.22 -0.0 0.01 0 29.819 91.398 2304.832
3.1 8013.68 4550.02 -163.08 3.58 -0.22 -0.0 0.01 0 29.812 91.403 2304.47
3.2 8013.33 4549.94 -163.08 3.58 -0.22 -0.0 0.01 0 29.815 91.399 2304.112
3.3 8012.98 4549.86 -163.08 3.58 -0.22 -0.01 0.01 0 29.817 91.395 2303.753
3.4 8012.63 4549.77 -163.08 3.58 -0.22 -0.01 0.01 0 29.81 91.401 2303.392
3.5 8012.28 4549.69 -163.08 3.58 -0.22 -0.01 0.01 0 29.813 91.397 2303.033
3.6 8011.93 4549.6 -163.08 3.58 -0.22 -0.01 0.01 0 29.806 91.402 2302.672
3.7 8011.58 4549.52 -163.08 3.58 -0.22 -0.01 0.01 0 29.809 91.398 2302.313
3.8 8011.23 4549.44 -163.09 3.58 -0.22 -0.01 0.01 0 29.846 91.429 2301.954
3.9 8010.89 4549.36 -163.09 3.58 -0.22 -0.01 0.01 0 29.846 91.427 2301.605
4.0 8010.54 4549.27 -163.09 3.58 -0.22 -0.01 0.01 0 29.839 91.433 2301.244
4.1 8010.19 4549.19 -163.09 3.58 -0.22 -0.01 0.01 0 29.842 91.429 2300.885
4.2 8009.84 4549.11 -163.09 3.58 -0.22 -0.01 0.01 0 29.844 91.424 2300.526
4.3 8009.49 4549.02 -163.09 3.58 -0.22 -0.01 0.01 0 29.837 91.43 2300.165
4.4 8009.14 4548.94 -163.09 3.58 -0.22 -0.01 0.01 0 29.84 91.426 2299.806
4.5 8008.79 4548.86 -163.09 3.58 -0.22 -0.01 0.01 0 29.842 91.422 2299.447
4.6 8008.44 4548.77 -163.09 3.58 -0.22 -0.01 0.01 0 29.835 91.428 2299.086
4.7 8008.09 4548.69 -163.09 3.58 -0.22 -0.01 0.01 0 29.838 91.423 2298.727
4.8 8007.74 4548.61 -163.09 3.58 -0.22 -0.01 0.01 0 29.841 91.419 2298.369
4.9 8007.39 4548.52 -163.09 3.58 -0.22 -0.01 0.01 0 29.834 91.425 2298.007
5.0 8007.05 4548.44 -163.09 3.58 -0.22 -0.01 0.01 0 29.834 91.423 2297.658
5.1 8006.7 4548.36 -163.09 3.58 -0.22 -0.01 0.01 0 29.837 91.419 2297.299
5.2 8006.35 4548.28 -163.09 3.58 -0.22 -0.01 0.01 0 29.839 91.415 2296.941
5.3 8006.0 4548.19 -163.1 3.58 -0.22 -0.01 0.01 0 29.867 91.455 2296.579
5.4 8005.65 4548.11 -163.1 3.58 -0.22 -0.01 0.01 0 29.869 91.451 2296.221
5.5 8005.3 4548.03 -163.1 3.58 -0.22 -0.01 0.01 0 29.872 91.447 2295.862
5.6 8004.95 4547.95 -163.1 3.58 -0.23 -0.01 0.01 0 29.875 91.443 2295.503
5.7 8004.6 4547.86 -163.1 3.58 -0.23 -0.01 0.01 0 29.868 91.449 2295.142
5.8 8004.25 4547.78 -163.1 3.58 -0.23 -0.01 0.01 0 29.87 91.445 2294.783
5.9 8003.9 4547.7 -163.1 3.58 -0.23 -0.01 0.01 0 29.873 91.44 2294.424
6.0 8003.55 4547.62 -163.1 3.58 -0.23 -0.01 0.01 0 29.876 91.436 2294.066
6.1 8003.2 4547.53 -163.1 3.58 -0.23 -0.01 0.01 0 29.868 91.442 2293.704
6.2 8002.85 4547.45 -163.1 3.58 -0.23 -0.01 0.01 0 29.871 91.438 2293.346
6.3 8002.5 4547.37 -163.1 3.58 -0.23 -0.01 0.01 0 29.874 91.434 2292.987
6.4 8002.15 4547.29 -163.1 3.58 -0.23 -0.01 0.01 0 29.876 91.43 2292.628
6.5 8001.8 4547.2 -163.11 3.58 -0.23 -0.01 0.01 0 29.904 91.47 2292.267
6.6 8001.46 4547.12 -163.11 3.58 -0.23 -0.01 0.01 0 29.904 91.468 2291.918
6.7 8001.11 4547.04 -163.11 3.58 -0.23 -0.01 0.01 0 29.907 91.464 2291.559
6.8 8000.76 4546.96 -163.11 3.58 -0.23 -0.01 0.01 0 29.91 91.46 2291.2
6.9 8000.41 4546.87 -163.11 3.58 -0.23 -0.01 0.01 0 29.902 91.466 2290.839
7.0 8000.06 4546.79 -163.11 3.58 -0.23 -0.01 0.01 0 29.905 91.461 2290.48
7.1 7999.71 4546.71 -163.11 3.58 -0.23 -0.01 0.01 0 29.908 91.457 2290.121
7.2 7999.36 4546.63 -163.11 3.58 -0.23 -0.01 0.01 0 29.91 91.453 2289.763
7.3 7999.01 4546.55 -163.11 3.58 -0.23 -0.01 -0.01 0 29.913 91.449 2289.404
7.4 7998.66 4546.46 -163.11 3.59 -0.23 -0.01 -0.01 0 29.906 91.455 2289.043
7.5 7998.31 4546.38 -163.12 3.59 -0.23 -0.01 -0.01 0 29.943 91.485 2288.684
7.6 7997.96 4546.3 -163.12 3.59 -0.23 -0.01 -0.01 0 29.946 91.481 2288.325
7.7 7997.61 4546.22 -163.12 3.59 -0.23 -0.01 -0.01 0 29.948 91.477 2287.967
7.8 7997.26 4546.14 -163.12 3.59 -0.23 -0.01 -0.01 0 29.951 91.473 2287.608
7.9 7996.91 4546.05 -163.12 3.59 -0.23 -0.01 -0.01 0 29.944 91.479 2287.246
8.0 7996.56 4545.97 -163.12 3.59 -0.23 -0.01 -0.01 0 29.947 91.475 2286.888
8.1 7996.21 4545.89 -163.12 3.59 -0.23 -0.01 -0.01 0 29.949 91.47 2286.529
8.2 7995.86 4545.81 -163.12 3.59 -0.23 -0.01 -0.01 0 29.952 91.466 2286.17
8.3 7995.51 4545.73 -163.12 3.59 -0.23 -0.01 -0.01 0 29.955 91.462 2285.812
8.4 7995.16 4545.64 -163.12 3.59 -0.23 -0.01 -0.01 0 29.948 91.468 2285.45
8.5 7994.81 4545.56 -163.13 3.59 -0.23 -0.01 -0.06 0 29.985 91.498 2285.091
8.6 7994.46 4545.48 -163.13 3.59 -0.24 -0.01 -0.06 0 29.987 91.494 2284.733
8.7 7994.11 4545.4 -163.13 3.59 -0.24 -0.01 -0.06 0 29.99 91.49 2284.374
8.8 7993.76 4545.32 -163.13 3.59 -0.24 -0.01 -0.06 0 29.993 91.486 2284.015
8.9 7993.41 4545.24 -163.13 3.59 -0.24 -0.01 -0.1 0 29.995 91.482 2283.657
9.0 7993.06 4545.16 -163.13 3.59 -0.24 -0.01 -0.1 0 29.998 91.478 2283.298
9.1 7992.71 4545.07 -163.13 3.59 -0.24 -0.01 -0.1 0 29.991 91.483 2282.937
9.2 7992.36 4544.99 -163.13 3.59 -0.24 -0.01 -0.1 0 29.994 91.479 2282.578
9.3 7992.01 4544.91 -163.14 3.59 -0.24 -0.01 -0.1 0 30.031 91.51 2282.219
9.4 7991.66 4544.83 -163.14 3.59 -0.24 -0.01 -0.1 0 30.033 91.506 2281.86
9.5 7991.31 4544.75 -163.14 3.59 -0.24 -0.01 -0.1 0 30.036 91.502 2281.502
9.6 7990.96 4544.67 -163.14 3.59 -0.24 -0.01 -0.1 0 30.039 91.498 2281.143
9.7 7990.61 4544.59 -163.14 3.59 -0.24 -0.01 -0.1 0 30.041 91.493 2280.784
9.8 7990.26 4544.51 -163.14 3.59 -0.24 -0.01 -0.1 0 30.044 91.489 2280.425
9.9 7989.91 4544.42 -163.14 3.59 -0.24 -0.01 -0.1 0 30.037 91.495 2280.064
10.0 7989.56 4544.34 -163.14 3.59 -0.24 -0.01 -0.1 0 30.04 91.491 2279.705
10.1 7989.21 4544.26 -163.15 3.59 -0.24 -0.01 -0.1 0 30.077 91.521 2279.347
10.2 7988.86 4544.18 -163.15 3.59 -0.24 -0.01 -0.1 0 30.079 91.517 2278.988
10.3 7988.51 4544.1 -163.15 3.59 -0.24 -0.01 -0.1 0 30.082 91.513 2278.629
10.4 7988.16 4544.02 -163.15 3.59 -0.24 -0.01 -0.11 0 30.085 91.509 2278.271
10.5 7987.81 4543.94 -163.15 3.58 -0.24 -0.01 -0.11 0 30.087 91.505 2277.912
10.6 7987.46 4543.86 -163.15 3.58 -0.24 -0.01 -0.11 0 30.09 91.501 2277.553
10.7 7987.11 4543.78 -163.15 3.58 -0.24 -0.01 -0.11 0 30.093 91.497 2277.194
10.8 7986.76 4543.7 -163.15 3.58 -0.24 -0.01 -0.11 0 30.095 91.493 2276.836
10.9 7986.41 4543.62 -163.16 3.58 -0.24 -0.01 -0.11 0 30.132 91.523 2276.477
11.0 7986.06 4543.54 -163.16 3.58 -0.24 -0.01 -0.11 0 30.135 91.519 2276.118
11.1 7985.71 4543.46 -163.16 3.58 -0.25 -0.01 -0.11 0 30.138 91.515 2275.76
11.2 7985.36 4543.38 -163.16 3.58 -0.25 -0.01 -0.11 0 30.14 91.511 2275.401
11.3 7985.01 4543.3 -163.16 3.58 -0.25 -0.01 -0.11 0 30.143 91.507 2275.042
11.4 7984.66 4543.22 -163.16 3.58 -0.25 -0.01 -0.11 0 30.146 91.503 2274.683
11.5 7984.31 4543.14 -163.16 3.58 -0.25 -0.01 -0.11 0 30.148 91.499 2274.325
11.6 7983.96 4543.06 -163.16 3.58 -0.25 -0.01 -0.11 0 30.151 91.495 2273.966
11.7 7983.61 4542.98 -163.17 3.58 -0.25 -0.01 -0.11 0 30.188 91.525 2273.607
11.8 7983.26 4542.9 -163.17 3.58 -0.25 -0.01 -0.11 0 30.191 91.521 2273.248
11.9 7982.91 4542.82 -163.17 3.58 -0.25 -0.01 -0.11 0 30.194 91.517 2272.89
12.0 7982.56 4542.74 -163.17 3.57 -0.25 -0.01 -0.11 0 30.196 91.513 2272.531
12.1 7982.21 4542.66 -163.17 3.57 -0.25 -0.01 -0.11 0 30.199 91.509 2272.172
12.2 7981.86 4542.58 -163.17 3.57 -0.25 -0.01 -0.11 0 30.201 91.505 2271.814
12.3 7981.51 4542.5 -163.17 3.57 -0.25 -0.01 -0.11 0 30.204 91.5 2271.455
12.4 7981.16 4542.42 -163.18 3.57 -0.25 -0.01 -0.11 4 30.241 91.531 2271.096
12.5 7980.81 4542.34 -163.18 3.57 -0.25 -0.01 -0.11 4 30.244 91.527 2270.737
