Navio: NewPanamax L366B49T15.2
Cenário: SE Forte - com molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8127.67 4574.4 -165.05 3.6 -0.41 -0.0 -0.03 0 71.93 78.319 934.305 0.45 0.0
0.1 8127.32 4574.35 -165.05 3.6 -0.41 -0.0 -0.03 0 71.963 78.285 933.952 0.45 0.0
0.2 8126.96 4574.3 -165.05 3.6 -0.41 -0.0 -0.03 0 71.998 78.249 933.59 0.45 0.0
0.3 8126.6 4574.24 -165.05 3.59 -0.41 -0.0 -0.03 0 72.024 78.223 933.225 0.45 0.0
0.4 8126.24 4574.19 -165.05 3.59 -0.41 -0.0 -0.03 0 72.059 78.187 932.863 0.45 0.0
0.5 8125.88 4574.14 -165.05 3.59 -0.41 -0.0 -0.03 0 72.094 78.151 932.5 0.45 0.0
0.6 8125.53 4574.09 -165.05 3.59 -0.41 -0.0 -0.03 0 72.126 78.117 932.147 0.45 0.0
0.7 8125.17 4574.03 -165.05 3.59 -0.41 -0.0 -0.03 0 72.152 78.091 931.783 0.45 0.0
0.8 8124.81 4573.98 -165.05 3.59 -0.41 -0.0 -0.03 0 72.187 78.054 931.42 0.45 0.0
0.9 8124.45 4573.93 -165.05 3.59 -0.41 0.0 -0.03 0 72.222 78.018 931.058 0.45 0.0
1.0 8124.1 4573.87 -165.05 3.59 -0.41 0.0 -0.03 0 72.245 77.994 930.703 0.45 0.0
1.1 8123.74 4573.82 -165.05 3.59 -0.41 0.0 -0.03 0 72.28 77.958 930.34 0.45 0.0
1.2 8123.38 4573.77 -165.05 3.59 -0.41 0.0 -0.03 0 72.315 77.922 929.978 0.0 0.0
1.3 8123.02 4573.72 -165.05 3.59 -0.41 0.0 -0.03 0 72.35 77.886 929.615 0.0 0.0
1.4 8122.67 4573.66 -165.05 3.59 -0.41 0.0 -0.03 0 72.373 77.862 929.26 0.0 0.0
1.5 8122.31 4573.61 -165.05 3.59 -0.41 0.0 -0.03 0 72.408 77.826 928.898 0.0 0.0
1.6 8121.95 4573.56 -165.05 3.59 -0.41 0.0 -0.03 0 72.443 77.79 928.535 0.0 0.0
1.7 8121.59 4573.51 -165.05 3.59 -0.41 0.0 -0.03 0 72.479 77.754 928.173 0.0 0.0
1.8 8121.24 4573.45 -165.05 3.59 -0.41 0.0 -0.03 0 72.502 77.73 927.818 0.0 0.0
1.9 8120.88 4573.4 -165.05 3.59 -0.41 0.0 -0.03 0 72.537 77.694 927.455 0.0 0.0
2.0 8120.52 4573.35 -165.05 3.59 -0.41 0.0 -0.03 0 72.572 77.658 927.093 0.0 0.0
2.1 8120.17 4573.3 -165.05 3.58 -0.41 0.0 -0.03 0 72.604 77.624 926.74 0.0 0.0
2.2 8119.81 4573.24 -165.05 3.58 -0.41 0.0 -0.03 0 72.63 77.598 926.376 0.0 0.0
2.3 8119.45 4573.19 -165.05 3.58 -0.41 0.0 -0.03 0 72.665 77.562 926.013 0.0 0.0
2.4 8119.1 4573.14 -165.05 3.58 -0.42 0.0 -0.03 0 72.698 77.528 925.66 0.0 0.0
2.5 8118.74 4573.09 -165.05 3.58 -0.42 0.0 -0.03 0 72.733 77.492 925.298 0.0 0.0
2.6 8118.38 4573.03 -165.05 3.58 -0.42 0.0 -0.03 0 72.758 77.465 924.933 0.0 0.0
2.7 8118.02 4572.98 -165.05 3.58 -0.42 0.0 -0.03 0 72.793 77.429 924.571 0.0 0.0
2.8 8117.67 4572.93 -165.05 3.58 -0.42 0.0 -0.03 0 72.826 77.396 924.218 0.0 0.0
2.9 8117.31 4572.88 -165.05 3.58 -0.42 0.0 -0.03 0 72.861 77.359 923.855 0.0 0.0
3.0 8116.95 4572.83 -165.05 3.58 -0.42 0.0 -0.03 0 72.896 77.323 923.493 0.0 0.0
3.1 8116.6 4572.77 -165.05 3.58 -0.42 0.0 -0.03 0 72.919 77.299 923.138 0.0 0.0
3.2 8116.24 4572.72 -165.05 3.58 -0.42 0.0 -0.03 0 72.954 77.263 922.776 0.0 0.0
3.3 8115.88 4572.67 -165.05 3.58 -0.42 0.0 -0.03 0 72.989 77.227 922.413 0.0 0.0
3.4 8115.53 4572.62 -165.05 3.58 -0.42 0.0 -0.03 0 73.022 77.194 922.06 0.0 0.0
3.5 8115.17 4572.57 -165.05 3.58 -0.42 0.0 -0.03 0 73.057 77.157 921.698 0.0 0.0
3.6 8114.81 4572.51 -165.05 3.58 -0.42 0.0 -0.03 0 73.082 77.131 921.333 0.0 0.0
3.7 8114.46 4572.46 -165.05 3.58 -0.42 0.0 -0.03 0 73.115 77.097 920.98 0.0 0.0
3.8 8114.1 4572.41 -165.05 3.58 -0.42 0.0 -0.03 0 73.15 77.061 920.618 0.0 0.0
3.9 8113.74 4572.36 -165.05 3.58 -0.42 0.0 -0.03 0 73.185 77.025 920.255 0.0 0.0
4.0 8113.39 4572.3 -165.05 3.58 -0.42 0.0 -0.03 0 73.208 77.001 919.901 0.0 0.0
4.1 8113.03 4572.25 -165.05 3.58 -0.42 0.0 -0.03 0 73.244 76.965 919.538 0.0 0.0
4.2 8112.67 4572.2 -165.05 3.58 -0.42 0.0 -0.03 0 73.279 76.929 919.176 0.0 0.0
4.3 8112.32 4572.15 -165.05 3.58 -0.42 0.0 -0.03 0 73.311 76.895 918.823 0.0 0.0
4.4 8111.96 4572.1 -165.05 3.58 -0.42 0.0 -0.03 0 73.346 76.859 918.46 0.0 0.0
4.5 8111.6 4572.05 -165.05 3.58 -0.42 0.0 -0.03 0 73.382 76.823 918.098 0.0 0.0
4.6 8111.24 4571.99 -165.05 3.58 -0.42 0.0 -0.03 0 73.407 76.797 917.733 0.0 0.0
4.7 8110.89 4571.94 -165.05 3.58 -0.42 0.0 -0.03 0 73.44 76.763 917.38 0.0 0.0
4.8 8110.53 4571.89 -165.05 3.58 -0.42 0.0 -0.03 0 73.475 76.727 917.018 0.0 0.0
4.9 8110.17 4571.84 -165.05 3.58 -0.42 0.0 -0.03 0 73.51 76.691 916.655 0.0 0.0
5.0 8109.82 4571.79 -165.05 3.58 -0.42 0.0 -0.03 0 73.543 76.657 916.303 0.0 0.0
5.1 8109.46 4571.73 -165.05 3.58 -0.42 0.0 -0.03 0 73.568 76.631 915.938 0.0 0.0
5.2 8109.1 4571.68 -165.05 3.58 -0.42 0.0 -0.03 0 73.603 76.595 915.576 0.0 0.0
5.3 8108.75 4571.63 -165.05 3.58 -0.42 0.0 -0.03 0 73.636 76.561 915.223 0.0 0.0
5.4 8108.39 4571.58 -165.05 3.58 -0.42 0.0 -0.03 0 73.671 76.525 914.86 0.0 0.0
5.5 8108.03 4571.53 -165.05 3.58 -0.42 0.0 -0.03 0 73.706 76.489 914.498 0.0 0.0
5.6 8107.68 4571.48 -165.05 3.58 -0.42 0.0 -0.03 0 73.739 76.455 914.145 0.0 0.0
5.7 8107.32 4571.42 -165.05 3.58 -0.42 0.0 -0.03 0 73.764 76.429 913.781 0.0 0.0
5.8 8106.96 4571.37 -165.05 3.58 -0.42 0.0 -0.03 0 73.799 76.393 913.418 0.0 0.0
5.9 8106.6 4571.32 -165.05 3.58 -0.42 0.0 -0.03 0 73.834 76.357 913.056 0.0 0.0
6.0 8106.25 4571.27 -165.05 3.58 -0.42 0.0 -0.03 0 73.867 76.323 912.703 0.0 0.0
6.1 8105.89 4571.22 -165.05 3.58 -0.42 0.0 -0.03 0 73.902 76.287 912.34 0.0 0.0
6.2 8105.53 4571.17 -165.05 3.58 -0.42 0.0 -0.03 0 73.937 76.251 911.978 0.0 0.0
6.3 8105.18 4571.12 -165.05 3.58 -0.42 0.0 -0.03 0 73.97 76.217 911.625 0.0 0.0
6.4 8104.82 4571.06 -165.05 3.58 -0.42 0.0 -0.03 0 73.995 76.191 911.261 0.0 0.0
6.5 8104.46 4571.01 -165.05 3.58 -0.42 0.0 -0.03 0 74.03 76.155 910.898 0.0 0.0
6.6 8104.11 4570.96 -165.05 3.58 -0.42 0.0 -0.03 0 74.063 76.121 910.545 0.0 0.0
6.7 8103.75 4570.91 -165.05 3.58 -0.42 0.0 -0.03 0 74.098 76.085 910.183 0.0 0.0
6.8 8103.39 4570.86 -165.05 3.58 -0.42 0.0 -0.03 0 74.133 76.049 909.82 0.0 0.0
6.9 8103.03 4570.81 -165.05 3.58 -0.42 0.0 -0.03 0 74.168 76.013 909.458 0.0 0.0
7.0 8102.68 4570.76 -165.05 3.58 -0.42 0.0 -0.03 0 74.201 75.979 909.105 0.0 0.0
7.1 8102.32 4570.7 -165.05 3.58 -0.43 0.0 -0.03 0 74.226 75.952 908.741 0.0 0.0
7.2 8101.96 4570.65 -165.05 3.58 -0.43 0.0 -0.03 0 74.261 75.916 908.378 0.0 0.0
7.3 8101.61 4570.6 -165.05 3.58 -0.43 0.0 -0.03 0 74.294 75.883 908.025 0.0 0.0
7.4 8101.25 4570.55 -165.05 3.58 -0.43 0.0 -0.03 0 74.329 75.847 907.663 0.0 0.0
7.5 8100.89 4570.5 -165.05 3.58 -0.43 0.0 -0.03 0 74.364 75.811 907.3 0.0 0.0
7.6 8100.53 4570.45 -165.05 3.58 -0.43 0.0 -0.03 0 74.399 75.774 906.938 0.0 0.0
7.7 8100.18 4570.4 -165.05 3.58 -0.43 0.0 -0.03 0 74.432 75.741 906.585 0.0 0.0
7.8 8099.82 4570.34 -165.05 3.58 -0.43 0.0 -0.03 0 74.458 75.714 906.221 0.0 0.0
7.9 8099.46 4570.29 -165.05 3.58 -0.43 0.0 -0.03 0 74.493 75.678 905.858 0.0 0.0
8.0 8099.11 4570.24 -165.05 3.58 -0.43 0.0 -0.03 0 74.525 75.645 905.505 0.0 0.0
8.1 8098.75 4570.19 -165.05 3.58 -0.43 0.0 -0.03 0 74.56 75.608 905.143 0.0 0.0
8.2 8098.39 4570.14 -165.05 3.58 -0.43 0.0 -0.03 0 74.596 75.572 904.78 0.0 0.0
8.3 8098.03 4570.09 -165.05 3.58 -0.43 0.0 -0.03 0 74.631 75.536 904.418 0.0 0.0
8.4 8097.68 4570.04 -165.05 3.58 -0.43 0.0 -0.03 0 74.663 75.503 904.065 0.0 0.0
8.5 8097.32 4569.99 -165.05 3.58 -0.43 0.0 -0.03 0 74.698 75.466 903.703 0.0 0.0
8.6 8096.96 4569.94 -165.05 3.58 -0.43 0.0 -0.03 0 74.734 75.43 903.34 0.0 0.0
8.7 8096.6 4569.88 -165.05 3.58 -0.43 0.0 -0.03 0 74.759 75.404 902.976 0.0 0.0
8.8 8096.25 4569.83 -165.05 3.58 -0.43 0.0 -0.03 0 74.792 75.37 902.623 0.0 0.0
8.9 8095.89 4569.78 -165.05 3.58 -0.43 0.0 -0.03 0 74.827 75.334 902.26 0.0 0.0
9.0 8095.53 4569.73 -165.05 3.58 -0.43 0.0 -0.03 0 74.862 75.298 901.898 0.0 0.0
9.1 8095.18 4569.68 -165.05 3.58 -0.43 0.0 -0.03 0 74.895 75.264 901.545 0.0 0.0
9.2 8094.82 4569.63 -165.05 3.58 -0.43 0.0 -0.03 0 74.93 75.228 901.183 0.0 0.0
9.3 8094.46 4569.58 -165.05 3.58 -0.43 0.0 -0.03 0 74.965 75.192 900.82 0.0 0.0
9.4 8094.1 4569.53 -165.05 3.58 -0.43 0.0 -0.03 0 75.0 75.156 900.458 0.0 0.0
9.5 8093.75 4569.48 -165.05 3.58 -0.43 0.0 -0.03 0 75.033 75.122 900.105 0.0 0.0
9.6 8093.39 4569.43 -165.05 3.58 -0.43 0.0 -0.03 0 75.068 75.086 899.743 0.0 0.0
9.7 8093.03 4569.37 -165.05 3.58 -0.43 0.0 -0.03 0 75.093 75.06 899.378 0.0 0.0
9.8 8092.68 4569.32 -165.05 3.58 -0.43 0.0 -0.03 0 75.126 75.026 899.025 0.0 0.0
9.9 8092.32 4569.27 -165.05 3.58 -0.43 0.0 -0.03 0 75.161 74.99 898.663 0.0 0.0
10.0 8091.96 4569.22 -165.05 3.58 -0.43 0.0 -0.03 0 75.196 74.954 898.3 0.0 0.0
10.1 8091.6 4569.17 -165.05 3.58 -0.43 0.0 -0.03 0 75.231 74.918 897.938 0.0 0.0
10.2 8091.25 4569.12 -165.05 3.58 -0.43 0.0 -0.03 0 75.264 74.884 897.585 0.0 0.0
10.3 8090.89 4569.07 -165.05 3.58 -0.43 0.0 -0.03 0 75.299 74.848 897.223 0.0 0.0
10.4 8090.53 4569.02 -165.05 3.57 -0.43 0.0 -0.03 0 75.334 74.812 896.86 0.0 0.0
10.5 8090.18 4568.97 -165.05 3.57 -0.43 0.0 -0.03 0 75.367 74.778 896.508 0.0 0.0
10.6 8089.82 4568.92 -165.05 3.57 -0.43 0.0 -0.03 0 75.402 74.742 896.145 0.0 0.0
10.7 8089.47 4568.87 -165.05 3.57 -0.43 0.0 -0.03 0 75.435 74.709 895.793 0.0 0.0
10.8 8089.11 4568.82 -165.05 3.57 -0.43 0.0 -0.03 0 75.47 74.673 895.43 0.0 0.0
10.9 8088.75 4568.77 -165.05 3.57 -0.43 0.0 -0.03 0 75.505 74.636 895.068 0.0 0.0
11.0 8088.4 4568.72 -165.05 3.57 -0.43 0.0 -0.03 0 75.537 74.603 894.715 0.0 0.0
11.1 8088.04 4568.67 -165.05 3.57 -0.43 0.0 -0.03 0 75.573 74.567 894.352 0.0 0.0
11.2 8087.69 4568.62 -165.05 3.57 -0.43 0.0 -0.03 0 75.605 74.533 894.0 0.0 0.0
11.3 8087.33 4568.57 -165.05 3.57 -0.43 0.0 -0.03 0 75.64 74.497 893.637 0.0 0.0
11.4 8086.97 4568.52 -165.05 3.57 -0.43 0.0 -0.03 0 75.675 74.461 893.275 0.0 0.0
11.5 8086.62 4568.46 -165.05 3.56 -0.43 0.0 -0.03 0 75.698 74.437 892.92 0.0 0.0
11.6 8086.26 4568.41 -165.05 3.56 -0.43 0.0 -0.03 0 75.734 74.401 892.558 0.0 0.0
11.7 8085.91 4568.36 -165.05 3.56 -0.43 0.0 -0.03 0 75.766 74.367 892.205 0.0 0.0
11.8 8085.55 4568.31 -165.05 3.56 -0.43 0.0 -0.03 0 75.801 74.331 891.842 0.0 0.0
11.9 8085.2 4568.26 -165.05 3.56 -0.43 0.0 -0.03 0 75.834 74.297 891.49 0.0 0.0
12.0 8084.84 4568.21 -165.05 3.56 -0.43 0.0 -0.03 0 75.869 74.261 891.127 0.0 0.0
12.1 8084.49 4568.16 -165.04 3.56 -0.43 0.0 -0.03 0 75.87 74.196 890.775 0.0 0.0
12.2 8084.13 4568.11 -165.04 3.56 -0.43 0.0 -0.03 0 75.905 74.159 890.412 0.0 0.0
12.3 8083.78 4568.06 -165.04 3.56 -0.43 0.0 -0.03 0 75.938 74.126 890.059 0.0 0.0
12.4 8083.42 4568.01 -165.04 3.56 -0.43 0.0 -0.03 0 75.973 74.09 889.697 0.0 0.0
12.5 8083.07 4567.96 -165.04 3.56 -0.43 0.0 -0.03 0 76.006 74.056 889.344 0.0 0.0
12.6 8082.71 4567.91 -165.04 3.56 -0.43 0.0 -0.03 0 76.041 74.02 888.982 0.0 0.0
12.7 8082.36 4567.86 -165.04 3.56 -0.44 0.0 -0.03 0 76.074 73.986 888.629 0.0 0.0
