Navio: Suezmax L280B50T17
Cenário: SE Forte - com molhe
Manobra: Entrada e Giro
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
0.0 -159.95 3.6 -0.0 -0.0 0.0 1 20.65 4252.948 -159.95 3.6 -6.574
0.1 -159.95 3.6 -0.0 -0.0 0.0 1 20.613 4252.59 -159.95 3.6 -6.574
0.2 -159.95 3.6 -0.0 -0.0 0.0 1 20.576 4252.231 -159.95 3.6 -6.574
0.3 -159.95 3.6 -0.0 -0.0 0.0 1 20.528 4251.87 -159.95 3.6 -6.574
0.4 -159.95 3.6 -0.0 -0.0 0.0 1 20.489 4251.521 -159.95 3.6 -6.574
0.5 -159.95 3.6 -0.01 -0.0 0.0 1 20.451 4251.163 -160.109 3.6 -6.415
0.6 -159.95 3.6 -0.01 -0.0 0.0 1 20.404 4250.802 -160.109 3.6 -6.415
0.7 -159.96 3.6 -0.01 -0.01 0.0 1 20.366 4250.443 -160.119 3.6 -6.405
0.8 -159.96 3.6 -0.01 -0.01 0.0 1 20.329 4250.085 -160.119 3.6 -6.405
0.9 -159.96 3.6 -0.01 -0.01 0.0 1 20.289 4249.736 -160.119 3.6 -6.405
1.0 -159.96 3.6 -0.01 -0.01 0.0 1 20.242 4249.375 -160.119 3.6 -6.405
1.1 -159.96 3.6 -0.01 -0.01 0.0 1 20.205 4249.016 -160.119 3.6 -6.405
1.2 -159.96 3.6 -0.01 -0.01 0.0 1 20.167 4248.658 -160.119 3.6 -6.405
1.3 -159.96 3.6 -0.01 -0.01 0.0 1 20.13 4248.299 -160.119 3.6 -6.405
1.4 -159.96 3.59 -0.01 -0.01 0.0 1 20.09 4247.95 -160.12 3.59 -6.404
1.5 -159.96 3.59 -0.01 -0.01 0.0 1 20.043 4247.589 -160.12 3.59 -6.404
1.6 -159.96 3.59 -0.02 -0.01 0.0 1 20.005 4247.231 -160.279 3.59 -6.245
1.7 -159.96 3.59 -0.02 -0.01 0.0 1 19.968 4246.872 -160.279 3.59 -6.245
1.8 -159.96 3.59 -0.02 -0.01 0.0 1 19.93 4246.513 -160.279 3.59 -6.245
1.9 -159.97 3.59 -0.02 -0.01 0.0 1 19.893 4246.155 -160.289 3.59 -6.235
2.0 -159.97 3.59 -0.02 -0.01 0.0 1 19.853 4245.806 -160.289 3.59 -6.235
2.1 -159.97 3.59 -0.02 -0.01 0.0 1 19.806 4245.445 -160.289 3.59 -6.235
2.2 -159.97 3.59 -0.02 -0.01 0.0 1 19.768 4245.086 -160.289 3.59 -6.235
2.3 -159.97 3.59 -0.02 -0.02 0.0 1 19.731 4244.728 -160.289 3.59 -6.235
2.4 -159.97 3.59 -0.02 -0.02 0.0 1 19.693 4244.369 -160.289 3.59 -6.235
2.5 -159.97 3.59 -0.02 -0.02 0.0 1 19.654 4244.02 -160.289 3.59 -6.235
2.6 -159.98 3.59 -0.02 -0.02 0.0 1 19.616 4243.662 -160.299 3.59 -6.225
2.7 -159.98 3.59 -0.02 -0.02 0.0 1 19.579 4243.303 -160.299 3.59 -6.225
2.8 -159.98 3.59 -0.02 -0.02 0.0 1 19.541 4242.945 -160.299 3.59 -6.225
2.9 -159.98 3.59 -0.02 -0.02 0.0 1 19.504 4242.586 -160.299 3.59 -6.225
3.0 -159.98 3.59 -0.02 -0.02 0.0 1 19.466 4242.227 -160.299 3.59 -6.225
3.1 -159.99 3.59 -0.02 -0.02 0.0 1 19.427 4241.878 -160.309 3.59 -6.215
3.2 -159.99 3.59 -0.03 -0.02 0.0 1 19.379 4241.518 -160.469 3.59 -6.055
3.3 -159.99 3.59 -0.03 -0.02 0.0 1 19.342 4241.159 -160.469 3.59 -6.055
3.4 -159.99 3.59 -0.03 -0.02 0.0 1 19.304 4240.8 -160.469 3.59 -6.055
3.5 -159.99 3.59 -0.03 -0.02 0.0 1 19.267 4240.442 -160.469 3.59 -6.055
3.6 -160.0 3.59 -0.03 -0.02 0.0 1 19.23 4240.083 -160.479 3.59 -6.045
3.7 -160.0 3.59 -0.03 -0.02 0.0 1 19.19 4239.734 -160.479 3.59 -6.045
3.8 -160.0 3.59 -0.03 -0.02 0.0 1 19.152 4239.376 -160.479 3.59 -6.045
3.9 -160.0 3.59 -0.03 -0.02 0.0 1 19.115 4239.017 -160.479 3.59 -6.045
4.0 -160.01 3.59 -0.03 -0.02 0.0 1 19.077 4238.658 -160.489 3.59 -6.035
4.1 -160.01 3.59 -0.03 -0.02 0.0 1 19.04 4238.3 -160.489 3.59 -6.035
4.2 -160.01 3.59 -0.03 -0.03 0.0 1 19.002 4237.941 -160.489 3.59 -6.035
4.3 -160.01 3.59 -0.03 -0.03 0.0 1 18.963 4237.592 -160.489 3.59 -6.035
4.4 -160.02 3.59 -0.03 -0.03 0.0 1 18.925 4237.234 -160.499 3.59 -6.025
4.5 -160.02 3.59 -0.03 -0.03 0.0 1 18.888 4236.875 -160.499 3.59 -6.025
