Navio: SmallCape L270B45T14.5
Cenário: SE Forte - sem molhe até 2035
Manobra: Entrada, Giro e Atracação
Corrente: 0.8 kn N 
Vento: 20 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 7490.7 4436.93 -155.01 3.6 -0.41 0.0 0.0 0 32.735 71.423 1770.37
0.1 7490.35 4436.81 -155.01 3.6 -0.41 0.0 0.0 0 32.699 71.458 1770.0
0.2 7490.01 4436.7 -155.01 3.6 -0.41 0.0 0.0 0 32.67 71.485 1769.643
0.3 7489.67 4436.58 -155.01 3.6 -0.41 0.0 0.0 0 32.631 71.522 1769.283
0.4 7489.32 4436.47 -155.01 3.6 -0.41 0.0 0.0 0 32.605 71.547 1768.916
0.5 7488.98 4436.35 -155.01 3.59 -0.41 0.0 0.0 0 32.566 71.584 1768.556
0.6 7488.64 4436.24 -155.01 3.59 -0.41 0.0 0.0 0 32.537 71.612 1768.199
0.7 7488.29 4436.12 -155.01 3.59 -0.41 0.0 0.0 0 32.501 71.647 1767.83
0.8 7487.95 4436.01 -155.01 3.59 -0.41 0.0 0.0 0 32.472 71.674 1767.472
0.9 7487.61 4435.9 -155.01 3.59 -0.41 0.0 0.0 0 32.443 71.701 1767.115
1.0 7487.27 4435.78 -155.01 3.59 -0.41 0.0 0.0 0 32.405 71.739 1766.755
1.1 7486.92 4435.67 -155.01 3.59 -0.41 0.0 0.0 0 32.378 71.764 1766.389
1.2 7486.58 4435.55 -155.01 3.59 -0.41 0.0 0.0 0 32.34 71.801 1766.029
1.3 7486.24 4435.44 -155.01 3.59 -0.41 0.0 0.0 0 32.311 71.828 1765.671
1.4 7485.89 4435.32 -155.01 3.59 -0.41 0.0 0.0 0 32.274 71.863 1765.302
1.5 7485.55 4435.21 -155.01 3.59 -0.41 0.0 0.0 0 32.246 71.89 1764.945
1.6 7485.21 4435.09 -155.01 3.59 -0.41 0.0 0.0 0 32.207 71.927 1764.585
1.7 7484.87 4434.98 -155.01 3.58 -0.41 0.0 0.0 0 32.178 71.955 1764.228
1.8 7484.53 4434.87 -155.01 3.58 -0.41 0.0 0.0 0 32.149 71.982 1763.87
1.9 7484.18 4434.75 -155.01 3.58 -0.41 0.0 0.0 0 32.113 72.017 1763.501
2.0 7483.84 4434.64 -155.01 3.58 -0.41 0.0 0.0 0 32.084 72.045 1763.144
2.1 7483.5 4434.52 -155.0 3.58 -0.41 0.0 0.0 0 32.023 72.059 1762.784
2.2 7483.16 4434.41 -155.0 3.58 -0.41 0.0 0.0 0 31.994 72.087 1762.426
2.3 7482.82 4434.3 -155.0 3.58 -0.41 0.0 0.0 0 31.966 72.114 1762.069
2.4 7482.47 4434.18 -155.0 3.58 -0.41 0.0 0.0 0 31.929 72.149 1761.7
2.5 7482.13 4434.07 -155.0 3.58 -0.41 0.0 0.0 0 31.901 72.176 1761.343
2.6 7481.79 4433.95 -155.0 3.58 -0.41 0.0 0.0 0 31.862 72.214 1760.983
2.7 7481.45 4433.84 -155.0 3.58 -0.41 0.0 0.0 0 31.833 72.241 1760.625
2.8 7481.11 4433.73 -155.0 3.58 -0.41 0.0 0.0 0 31.804 72.268 1760.268
2.9 7480.77 4433.61 -155.0 3.58 -0.41 0.0 0.0 0 31.766 72.305 1759.908
