Navio: Capesize L300B50T10.3
Cenário: NE Forte - sem molhe
Manobra: Entrada, Giro e Atracação Cocaia
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8254.39 4614.56 -160.0 3.6 -0.0 -0.0 0.0 0 71.008 58.443 1066.679 1.26 0.0
0.1 8254.05 4614.43 -160.0 3.6 -0.0 -0.0 0.0 0 70.961 58.489 1066.319 1.26 0.0
0.2 8253.72 4614.31 -160.0 3.6 -0.0 -0.0 0.0 0 70.921 58.528 1065.971 1.26 0.0
0.3 8253.38 4614.19 -160.0 3.6 -0.0 -0.0 0.0 0 70.883 58.565 1065.612 1.26 0.0
0.4 8253.04 4614.07 -160.0 3.6 -0.0 -0.0 0.0 0 70.845 58.602 1065.254 1.26 0.0
0.5 8252.7 4613.94 -160.0 3.59 -0.0 -0.0 0.0 0 70.798 58.648 1064.894 1.26 0.0
0.6 8252.36 4613.82 -160.0 3.59 -0.0 -0.0 0.0 0 70.76 58.685 1064.536 1.26 0.0
0.7 8252.03 4613.7 -160.0 3.59 -0.0 -0.0 0.0 0 70.72 58.724 1064.188 1.26 0.0
0.8 8251.69 4613.57 -160.0 3.59 -0.0 -0.0 0.0 0 70.673 58.77 1063.828 1.26 0.0
0.9 8251.35 4613.45 -160.0 3.59 -0.0 -0.0 0.0 0 70.635 58.807 1063.47 1.26 0.0
1.0 8251.01 4613.33 -160.0 3.59 -0.0 -0.0 0.0 0 70.597 58.844 1063.112 1.26 0.0
1.1 8250.68 4613.21 -160.0 3.59 -0.0 -0.0 0.0 0 70.557 58.883 1062.763 1.26 0.0
1.2 8250.34 4613.08 -160.0 3.59 -0.0 -0.0 0.0 0 70.51 58.929 1062.403 1.26 0.0
1.3 8250.0 4612.96 -160.0 3.59 -0.0 -0.0 0.0 0 70.472 58.966 1062.045 1.26 0.0
1.4 8249.66 4612.84 -160.0 3.59 -0.0 -0.0 0.0 0 70.435 59.002 1061.687 1.26 0.0
1.5 8249.33 4612.72 -160.0 3.58 -0.0 -0.0 0.0 0 70.394 59.041 1061.339 0.0 0.0
1.6 8248.99 4612.59 -160.0 3.58 -0.0 -0.0 0.0 0 70.347 59.088 1060.979 0.0 0.0
1.7 8248.65 4612.47 -160.0 3.58 -0.0 -0.0 0.0 0 70.309 59.124 1060.621 0.0 0.0
1.8 8248.32 4612.35 -160.0 3.58 -0.0 -0.0 0.0 0 70.269 59.163 1060.272 0.0 0.0
