Navio: Capesize L300B50T10.3
Cenário: SE Forte - sem molhe
Manobra: Entrada, Giro e Atracação Cocaia
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8254.42 4614.47 -159.95 3.6 -0.0 -0.0 0.11 1 69.089 56.743 1066.689 17.16 27.18
0.1 8254.08 4614.34 -159.95 3.6 -0.0 -0.0 0.11 1 69.042 56.789 1066.328 17.16 27.18
0.2 8253.75 4614.22 -159.95 3.6 -0.0 -0.0 0.11 1 69.002 56.828 1065.98 17.16 27.18
0.3 8253.41 4614.1 -159.95 3.6 -0.0 -0.0 0.11 1 68.964 56.865 1065.622 17.16 27.18
0.4 8253.07 4613.97 -159.95 3.6 -0.0 -0.0 0.11 1 68.917 56.911 1065.262 17.16 27.18
0.5 8252.73 4613.85 -159.95 3.59 -0.0 -0.0 0.11 1 68.879 56.948 1064.904 17.16 27.18
0.6 8252.39 4613.73 -159.95 3.59 -0.0 -0.0 0.11 1 68.841 56.985 1064.546 17.16 27.18
0.7 8252.06 4613.6 -159.95 3.59 -0.0 -0.0 0.11 1 68.792 57.034 1064.195 17.16 27.18
0.8 8251.72 4613.48 -159.95 3.59 -0.0 -0.0 0.11 1 68.754 57.07 1063.837 17.16 27.18
0.9 8251.38 4613.36 -159.95 3.59 -0.0 -0.0 0.11 1 68.716 57.107 1063.479 17.16 27.18
1.0 8251.04 4613.24 -159.95 3.59 -0.01 -0.01 0.11 1 68.679 57.144 1063.121 17.16 27.18
1.1 8250.71 4613.11 -159.95 3.59 -0.01 -0.01 0.11 1 68.629 57.192 1062.771 17.16 27.18
1.2 8250.37 4612.99 -159.95 3.59 -0.01 -0.01 0.11 1 68.591 57.229 1062.413 17.16 27.18
1.3 8250.03 4612.87 -159.95 3.59 -0.01 -0.01 0.11 1 68.554 57.266 1062.055 17.16 27.18
1.4 8249.7 4612.75 -159.95 3.58 -0.01 -0.01 0.11 1 68.514 57.305 1061.706 27.18 27.18
1.5 8249.36 4612.62 -159.95 3.58 -0.01 -0.01 0.11 1 68.466 57.351 1061.346 27.18 27.18
1.6 8249.02 4612.5 -159.95 3.58 -0.01 -0.01 0.11 1 68.428 57.388 1060.988 27.18 27.18
1.7 8248.69 4612.38 -159.95 3.58 -0.01 -0.01 0.11 1 68.388 57.427 1060.64 27.18 27.18
1.8 8248.35 4612.26 -159.95 3.58 -0.01 -0.01 0.11 1 68.351 57.463 1060.282 27.18 27.18
1.9 8248.01 4612.14 -159.95 3.58 -0.01 -0.01 0.11 2 68.313 57.5 1059.924 45.3 45.3
2.0 8247.68 4612.01 -159.96 3.58 -0.01 -0.01 0.11 2 68.289 57.574 1059.574 45.3 45.3
2.1 8247.34 4611.89 -159.96 3.58 -0.01 -0.01 0.11 2 68.251 57.611 1059.216 45.3 45.3
2.2 8247.0 4611.77 -159.96 3.57 -0.01 -0.01 0.11 2 68.214 57.648 1058.858 45.3 45.3
2.3 8246.67 4611.65 -159.96 3.57 -0.01 -0.01 0.11 2 68.174 57.687 1058.509 45.3 45.3
2.4 8246.33 4611.53 -159.96 3.57 -0.01 -0.01 0.11 2 68.136 57.723 1058.151 45.3 45.3
2.5 8246.0 4611.41 -159.96 3.57 -0.01 -0.01 0.11 2 68.096 57.762 1057.803 45.3 45.3
2.6 8245.66 4611.29 -159.96 3.57 -0.01 -0.01 0.11 2 68.058 57.799 1057.445 45.3 45.3
2.7 8245.32 4611.16 -159.96 3.57 -0.01 -0.01 0.11 2 68.011 57.845 1057.085 45.3 45.3
2.8 8244.99 4611.04 -159.97 3.57 -0.01 -0.01 0.11 2 67.996 57.91 1056.737 45.3 45.3
2.9 8244.65 4610.92 -159.97 3.57 -0.01 -0.01 0.11 2 67.959 57.947 1056.379 45.3 45.3
3.0 8244.32 4610.8 -159.97 3.57 -0.01 -0.02 0.11 2 67.919 57.986 1056.031 45.3 45.3
3.1 8243.98 4610.68 -159.97 3.57 -0.01 -0.02 0.11 2 67.881 58.022 1055.673 45.3 45.3
3.2 8243.65 4610.56 -159.97 3.57 -0.01 -0.02 0.11 2 67.841 58.061 1055.324 45.3 45.3
3.3 8243.31 4610.44 -159.97 3.57 -0.01 -0.02 0.11 2 67.803 58.098 1054.966 45.3 45.3
3.4 8242.97 4610.32 -159.97 3.56 -0.01 -0.02 0.11 2 67.766 58.135 1054.608 45.3 45.3
3.5 8242.64 4610.2 -159.98 3.56 -0.02 -0.02 0.11 2 67.751 58.199 1054.26 45.3 45.3
3.6 8242.3 4610.08 -159.98 3.56 -0.02 -0.02 0.11 2 67.713 58.236 1053.902 45.3 45.3
3.7 8241.97 4609.96 -159.98 3.56 -0.02 -0.02 0.11 2 67.673 58.275 1053.554 45.3 45.3
3.8 8241.63 4609.84 -159.98 3.56 -0.02 -0.02 0.11 2 67.636 58.312 1053.196 45.3 45.3
3.9 8241.3 4609.72 -159.98 3.56 -0.02 -0.02 0.11 2 67.596 58.351 1052.848 45.3 45.3
4.0 8240.96 4609.6 -159.99 3.56 -0.02 -0.02 -0.06 2 67.584 58.413 1052.49 45.3 45.3
4.1 8240.63 4609.47 -159.99 3.56 -0.02 -0.02 -0.06 2 67.534 58.462 1052.139 45.3 45.3
4.2 8240.29 4609.35 -159.99 3.56 -0.02 -0.02 -0.06 2 67.496 58.498 1051.781 45.3 45.3
4.3 8239.96 4609.23 -159.99 3.56 -0.02 -0.02 -0.06 2 67.456 58.537 1051.433 45.3 45.3
