Navio: Capsan L333B48T14.3
Cenário: NE Forte - sem molhe
Manobra: Entrada
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8219.44 4595.67 -165.0 4.11 -0.26 0.0 -0.01 0 72.787 80.619 1028.493 4.65 0.0
0.1 8219.04 4595.59 -165.0 4.11 -0.26 0.0 -0.01 0 72.803 80.603 1028.085 4.57 0.0
0.2 8218.63 4595.51 -165.0 4.11 -0.26 0.0 -0.01 0 72.82 80.584 1027.667 4.57 0.0
0.3 8218.23 4595.43 -165.0 4.11 -0.26 0.0 -0.01 0 72.835 80.568 1027.259 4.57 0.0
0.4 8217.83 4595.35 -165.0 4.11 -0.26 0.0 -0.01 0 72.85 80.552 1026.851 4.57 0.0
0.5 8217.42 4595.26 -165.0 4.11 -0.26 0.0 -0.01 0 72.858 80.543 1026.432 4.57 0.0
0.6 8217.02 4595.18 -165.0 4.11 -0.26 0.0 -0.01 0 72.873 80.526 1026.024 4.57 0.0
0.7 8216.62 4595.1 -165.0 4.11 -0.26 0.0 -0.01 0 72.888 80.51 1025.616 4.57 0.0
0.8 8216.21 4595.02 -165.0 4.11 -0.26 0.0 -0.01 0 72.906 80.491 1025.198 4.57 0.0
0.9 8215.81 4594.94 -165.0 4.11 -0.26 0.0 -0.01 0 72.921 80.475 1024.79 4.57 0.0
1.0 8215.41 4594.86 -165.0 4.11 -0.26 0.0 -0.01 0 72.936 80.459 1024.382 4.57 0.0
1.1 8215.0 4594.77 -165.0 4.11 -0.26 0.0 -0.01 0 72.944 80.45 1023.963 4.57 0.0
1.2 8214.6 4594.69 -165.0 4.11 -0.26 0.0 -0.01 0 72.959 80.433 1023.555 4.57 0.0
1.3 8214.2 4594.61 -165.0 4.11 -0.26 0.0 -0.01 0 72.974 80.417 1023.147 4.57 0.0
1.4 8213.79 4594.53 -165.0 4.11 -0.26 0.0 -0.01 0 72.992 80.398 1022.729 4.57 0.0
1.5 8213.39 4594.45 -165.0 4.11 -0.25 0.0 -0.01 0 73.007 80.382 1022.321 0.0 0.0
1.6 8212.99 4594.37 -165.0 4.11 -0.25 0.0 -0.01 0 73.022 80.366 1021.914 0.0 0.0
1.7 8212.58 4594.28 -165.0 4.1 -0.25 0.0 -0.01 0 73.03 80.357 1021.494 0.0 0.0
1.8 8212.18 4594.2 -165.0 4.1 -0.25 0.0 -0.01 0 73.045 80.341 1021.086 0.0 0.0
1.9 8211.78 4594.12 -165.0 4.1 -0.25 0.0 -0.01 0 73.06 80.324 1020.678 0.0 0.0
2.0 8211.37 4594.04 -164.99 4.1 -0.25 0.0 -0.01 0 73.053 80.281 1020.26 0.0 0.0
2.1 8210.97 4593.96 -164.99 4.1 -0.25 0.0 -0.01 0 73.069 80.265 1019.852 0.0 0.0
2.2 8210.57 4593.88 -164.99 4.1 -0.25 0.0 -0.01 0 73.084 80.249 1019.445 0.0 0.0
2.3 8210.17 4593.79 -164.99 4.1 -0.25 0.0 -0.01 0 73.089 80.242 1019.035 0.0 0.0
2.4 8209.76 4593.71 -164.99 4.1 -0.25 0.0 -0.01 0 73.107 80.223 1018.617 0.0 0.0
2.5 8209.36 4593.63 -164.99 4.1 -0.25 0.0 -0.01 0 73.122 80.207 1018.209 0.0 0.0
2.6 8208.96 4593.55 -164.99 4.1 -0.25 0.0 -0.01 0 73.137 80.191 1017.801 0.0 0.0
2.7 8208.55 4593.47 -164.99 4.1 -0.25 0.0 -0.01 0 73.155 80.172 1017.383 0.0 0.0
2.8 8208.15 4593.38 -164.99 4.1 -0.25 0.0 -0.01 0 73.16 80.165 1016.973 0.0 0.0
2.9 8207.75 4593.3 -164.99 4.1 -0.25 0.0 -0.01 0 73.175 80.149 1016.566 0.0 0.0
3.0 8207.35 4593.22 -164.99 4.1 -0.25 0.0 -0.01 0 73.19 80.133 1016.158 0.0 0.0
3.1 8206.94 4593.14 -164.99 4.1 -0.25 0.0 -0.01 0 73.208 80.114 1015.74 0.0 0.0
3.2 8206.54 4593.06 -164.99 4.1 -0.25 0.0 -0.01 0 73.223 80.098 1015.332 0.0 0.0
3.3 8206.14 4592.98 -164.99 4.1 -0.25 0.0 -0.01 0 73.238 80.081 1014.924 0.0 0.0
3.4 8205.73 4592.89 -164.99 4.1 -0.25 0.0 -0.01 0 73.246 80.072 1014.505 0.0 0.0
3.5 8205.33 4592.81 -164.99 4.1 -0.25 0.0 -0.01 0 73.261 80.056 1014.097 0.0 0.0
3.6 8204.93 4592.73 -164.99 4.1 -0.25 0.0 -0.01 0 73.276 80.04 1013.689 0.0 0.0
3.7 8204.53 4592.65 -164.99 4.1 -0.25 0.01 -0.01 0 73.291 80.023 1013.281 0.0 0.0
3.8 8204.12 4592.57 -164.99 4.1 -0.25 0.01 -0.01 0 73.309 80.005 1012.863 0.0 0.0
3.9 8203.72 4592.48 -164.99 4.1 -0.25 0.01 -0.01 0 73.314 79.998 1012.453 0.0 0.0
4.0 8203.32 4592.4 -164.99 4.1 -0.25 0.01 -0.01 0 73.33 79.982 1012.045 0.0 0.0
4.1 8202.91 4592.32 -164.99 4.1 -0.25 0.01 -0.01 0 73.347 79.963 1011.628 0.0 0.0
