Navio: Capsan L333B48T14.3
Cenário: SE Forte - sem molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8250.31 4613.5 -159.96 3.6 -0.21 -0.0 -0.0 0 68.778 56.442 1062.466 14.45 0.0
0.1 8249.96 4613.4 -159.96 3.6 -0.21 -0.0 -0.0 0 68.762 56.457 1062.102 14.45 0.0
0.2 8249.62 4613.3 -159.96 3.6 -0.21 -0.0 -0.0 0 68.744 56.474 1061.749 14.45 0.0
0.3 8249.27 4613.19 -159.96 3.6 -0.21 -0.0 -0.0 0 68.718 56.499 1061.383 14.45 0.0
0.4 8248.93 4613.09 -159.96 3.6 -0.21 -0.0 -0.0 0 68.7 56.516 1061.03 14.45 0.0
0.5 8248.58 4612.98 -159.96 3.6 -0.21 -0.0 -0.0 0 68.674 56.54 1060.664 14.45 0.0
0.6 8248.24 4612.88 -159.96 3.59 -0.21 -0.0 -0.0 0 68.656 56.558 1060.31 14.45 0.0
0.7 8247.89 4612.78 -159.96 3.59 -0.21 -0.0 -0.0 0 68.64 56.572 1059.947 14.45 0.0
0.8 8247.55 4612.67 -159.96 3.59 -0.21 -0.0 -0.0 0 68.612 56.599 1059.591 14.45 0.0
0.9 8247.2 4612.57 -159.97 3.59 -0.21 -0.0 -0.0 0 68.625 56.643 1059.228 14.45 0.0
1.0 8246.86 4612.47 -159.97 3.59 -0.21 -0.0 -0.0 0 68.607 56.66 1058.874 14.45 0.0
1.1 8246.51 4612.36 -159.97 3.59 -0.21 -0.0 -0.0 0 68.581 56.684 1058.508 14.45 0.0
1.2 8246.17 4612.26 -159.97 3.59 -0.21 -0.0 -0.0 0 68.563 56.702 1058.155 14.45 0.0
1.3 8245.82 4612.16 -159.97 3.59 -0.21 -0.0 -0.0 0 68.547 56.717 1057.791 14.45 0.0
1.4 8245.48 4612.05 -159.97 3.59 -0.21 -0.0 -0.0 0 68.519 56.743 1057.436 14.45 0.0
1.5 8245.14 4611.95 -159.97 3.59 -0.21 -0.0 -0.0 0 68.501 56.761 1057.082 14.45 0.0
1.6 8244.79 4611.85 -159.97 3.59 -0.21 -0.01 -0.0 0 68.485 56.776 1056.719 14.45 0.0
1.7 8244.45 4611.74 -159.97 3.59 -0.21 -0.01 -0.0 0 68.457 56.803 1056.363 14.45 0.0
1.8 8244.1 4611.64 -159.97 3.59 -0.21 -0.01 -0.0 1 68.441 56.817 1055.999 31.92 31.92
1.9 8243.76 4611.54 -159.97 3.59 -0.21 -0.01 -0.0 1 68.423 56.835 1055.646 31.92 31.92
2.0 8243.41 4611.43 -159.97 3.59 -0.21 -0.01 -0.0 1 68.397 56.859 1055.28 31.92 31.92
2.1 8243.07 4611.33 -159.97 3.59 -0.21 -0.01 -0.0 1 68.379 56.876 1054.926 31.92 31.92
2.2 8242.72 4611.23 -159.97 3.59 -0.21 -0.01 -0.0 1 68.363 56.891 1054.563 31.92 31.92
2.3 8242.38 4611.12 -159.97 3.59 -0.21 -0.01 -0.0 1 68.335 56.918 1054.207 31.92 31.92
2.4 8242.03 4611.02 -159.97 3.59 -0.21 -0.01 -0.0 1 68.319 56.933 1053.844 31.92 31.92
2.5 8241.69 4610.92 -159.97 3.59 -0.21 -0.01 -0.0 1 68.301 56.95 1053.49 31.92 31.92
2.6 8241.34 4610.82 -159.97 3.59 -0.21 -0.01 -0.0 1 68.285 56.965 1053.127 31.92 31.92
2.7 8241.0 4610.71 -159.98 3.59 -0.21 -0.01 -0.0 1 68.285 57.021 1052.771 31.92 31.92
2.8 8240.65 4610.61 -159.98 3.59 -0.21 -0.01 -0.0 1 68.269 57.035 1052.408 31.92 31.92
2.9 8240.31 4610.51 -159.98 3.59 -0.22 -0.01 -0.0 1 68.251 57.053 1052.054 31.92 31.92
3.0 8239.97 4610.4 -159.98 3.59 -0.22 -0.01 -0.0 1 68.223 57.08 1051.698 31.92 31.92
3.1 8239.62 4610.3 -159.98 3.59 -0.22 -0.01 -0.0 1 68.207 57.094 1051.335 31.92 31.92
3.2 8239.28 4610.2 -159.98 3.59 -0.22 -0.01 -0.0 1 68.189 57.112 1050.981 31.92 31.92
3.3 8238.93 4610.1 -159.98 3.59 -0.22 -0.01 -0.0 1 68.173 57.127 1050.618 31.92 31.92
3.4 8238.59 4609.99 -159.98 3.59 -0.22 -0.01 -0.0 1 68.145 57.153 1050.262 31.92 31.92
3.5 8238.24 4609.89 -159.98 3.59 -0.22 -0.01 -0.0 1 68.129 57.168 1049.898 31.92 31.92
3.6 8237.9 4609.79 -159.98 3.59 -0.22 -0.01 -0.0 1 68.111 57.186 1049.545 31.92 31.92
3.7 8237.55 4609.69 -159.99 3.59 -0.22 -0.01 -0.0 1 68.123 57.229 1049.181 31.92 31.92
3.8 8237.21 4609.58 -159.99 3.59 -0.22 -0.01 -0.0 1 68.095 57.256 1048.826 31.92 31.92
3.9 8236.86 4609.48 -159.99 3.59 -0.22 -0.01 -0.0 1 68.08 57.271 1048.462 31.92 31.92
4.0 8236.52 4609.38 -159.99 3.59 -0.22 -0.01 -0.0 1 68.061 57.288 1048.109 31.92 31.92
4.1 8236.17 4609.28 -159.99 3.59 -0.22 -0.01 -0.0 1 68.045 57.303 1047.745 31.92 31.92
4.2 8235.83 4609.18 -159.99 3.59 -0.22 -0.01 -0.0 1 68.027 57.32 1047.392 31.92 31.92
4.3 8235.48 4609.07 -159.99 3.59 -0.22 -0.01 -0.0 1 68.002 57.345 1047.026 31.92 31.92
4.4 8235.14 4608.97 -159.99 3.59 -0.22 -0.01 -0.0 1 67.983 57.362 1046.672 31.92 31.92
4.5 8234.8 4608.87 -160.0 3.59 -0.22 -0.01 -0.0 1 67.994 57.407 1046.319 31.92 31.92
4.6 8234.45 4608.77 -160.0 3.59 -0.22 -0.01 -0.0 1 67.978 57.422 1045.955 31.92 31.92
4.7 8234.11 4608.66 -160.0 3.59 -0.22 -0.01 0.01 1 67.95 57.449 1045.6 31.92 31.92
4.8 8233.76 4608.56 -160.0 3.59 -0.22 -0.01 0.01 1 67.934 57.464 1045.236 31.92 31.92
4.9 8233.42 4608.46 -160.0 3.59 -0.22 -0.01 0.01 1 67.915 57.481 1044.883 31.92 31.92
5.0 8233.07 4608.36 -160.0 3.59 -0.22 -0.01 0.01 1 67.9 57.496 1044.519 31.92 31.92
5.1 8232.73 4608.26 -160.0 3.59 -0.22 -0.01 0.01 1 67.881 57.513 1044.166 31.92 31.92
5.2 8232.38 4608.16 -160.01 3.59 -0.22 -0.01 0.01 1 67.894 57.557 1043.802 31.92 31.92
