Navio: NewPanamax L366B49T15.2
Cenário: NE Forte - sem molhe
Manobra: Entrada, Giro e Atracação
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_rpm_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.0 8040.68 4556.06 -165.0 3.6 -0.0 -0.0 -0.0 0 74.162 75.524 845.403 2.78 0.0
0.1 8040.33 4555.97 -165.0 3.6 -0.0 -0.0 -0.0 0 74.155 75.529 845.042 2.78 0.0
0.2 8039.98 4555.88 -165.0 3.6 -0.0 -0.0 -0.0 0 74.149 75.534 844.681 2.78 0.0
0.3 8039.64 4555.79 -165.0 3.6 -0.0 -0.0 -0.0 0 74.141 75.542 844.33 2.78 0.0
0.4 8039.29 4555.69 -165.0 3.59 -0.0 -0.0 -0.0 0 74.125 75.557 843.966 2.78 0.0
0.5 8038.94 4555.6 -165.0 3.59 -0.0 -0.0 -0.0 0 74.119 75.562 843.605 2.78 0.0
0.6 8038.6 4555.51 -165.0 3.59 -0.0 -0.0 -0.0 0 74.11 75.569 843.254 2.78 0.0
0.7 8038.25 4555.41 -165.0 3.59 -0.0 -0.0 -0.0 0 74.094 75.584 842.891 2.78 0.0
0.8 8037.9 4555.32 -165.0 3.59 -0.0 -0.0 -0.0 0 74.088 75.589 842.53 2.78 0.0
0.9 8037.55 4555.23 -165.0 3.59 -0.0 -0.0 -0.0 0 74.082 75.595 842.169 2.78 0.0
1.0 8037.21 4555.14 -165.0 3.59 -0.0 -0.0 -0.0 0 74.074 75.602 841.818 2.78 0.0
1.1 8036.86 4555.04 -165.0 3.59 -0.0 -0.0 -0.0 0 74.058 75.617 841.454 2.78 0.0
1.2 8036.51 4554.95 -165.0 3.59 -0.0 -0.0 -0.0 0 74.052 75.622 841.093 2.78 0.0
1.3 8036.17 4554.86 -165.0 3.59 -0.0 -0.0 -0.0 0 74.043 75.63 840.742 2.78 0.0
1.4 8035.82 4554.77 -165.0 3.59 -0.0 -0.0 -0.0 0 74.037 75.635 840.381 2.78 0.0
1.5 8035.47 4554.67 -165.0 3.59 -0.0 -0.0 -0.0 0 74.021 75.65 840.018 0.0 0.0
1.6 8035.13 4554.58 -165.0 3.59 -0.0 -0.0 -0.0 0 74.013 75.657 839.667 0.0 0.0
1.7 8034.78 4554.49 -165.0 3.59 -0.01 -0.01 -0.0 0 74.007 75.662 839.306 0.0 0.0
1.8 8034.43 4554.4 -165.0 3.59 -0.01 -0.01 -0.0 0 74.0 75.667 838.945 0.0 0.0
1.9 8034.09 4554.3 -165.01 3.59 -0.01 -0.01 -0.0 0 74.014 75.716 838.591 0.0 0.0
2.0 8033.74 4554.21 -165.01 3.59 -0.01 -0.01 -0.0 0 74.008 75.722 838.23 0.0 0.0
2.1 8033.39 4554.12 -165.01 3.59 -0.01 -0.01 -0.0 0 74.002 75.727 837.869 0.0 0.0
2.2 8033.05 4554.03 -165.01 3.59 -0.01 -0.01 -0.0 0 73.993 75.734 837.518 0.0 0.0
2.3 8032.7 4553.94 -165.01 3.59 -0.01 -0.01 -0.0 0 73.987 75.739 837.157 0.0 0.0
2.4 8032.35 4553.84 -165.01 3.59 -0.01 -0.01 -0.0 0 73.971 75.754 836.794 0.0 0.0
2.5 8032.01 4553.75 -165.01 3.59 -0.01 -0.01 -0.0 0 73.963 75.762 836.442 0.0 0.0
2.6 8031.66 4553.66 -165.01 3.58 -0.01 -0.01 -0.0 0 73.957 75.767 836.081 0.0 0.0
2.7 8031.31 4553.57 -165.01 3.58 -0.01 -0.01 -0.0 0 73.95 75.772 835.72 0.0 0.0
2.8 8030.97 4553.48 -165.01 3.58 -0.01 -0.01 -0.0 0 73.942 75.78 835.369 0.0 0.0
2.9 8030.62 4553.38 -165.01 3.58 -0.01 -0.01 -0.0 0 73.926 75.794 835.006 0.0 0.0
3.0 8030.28 4553.29 -165.01 3.58 -0.01 -0.01 -0.0 0 73.918 75.802 834.655 0.0 0.0
3.1 8029.93 4553.2 -165.01 3.58 -0.01 -0.01 -0.0 0 73.911 75.807 834.294 0.0 0.0
3.2 8029.58 4553.11 -165.02 3.58 -0.01 -0.01 -0.0 0 73.937 75.844 833.933 0.0 0.0
3.3 8029.24 4553.02 -165.02 3.58 -0.01 -0.01 -0.0 0 73.929 75.852 833.581 0.0 0.0
3.4 8028.89 4552.92 -165.02 3.58 -0.01 -0.01 -0.0 0 73.913 75.866 833.218 0.0 0.0
3.5 8028.54 4552.83 -165.02 3.58 -0.01 -0.01 -0.0 0 73.907 75.872 832.857 0.0 0.0
3.6 8028.2 4552.74 -165.02 3.58 -0.01 -0.01 -0.0 0 73.898 75.879 832.506 0.0 0.0
3.7 8027.85 4552.65 -165.02 3.58 -0.01 -0.01 -0.0 0 73.892 75.884 832.145 0.0 0.0
3.8 8027.5 4552.56 -165.02 3.58 -0.01 -0.01 -0.0 0 73.886 75.889 831.784 0.0 0.0
3.9 8027.16 4552.47 -165.02 3.58 -0.01 -0.01 -0.0 0 73.877 75.897 831.432 0.0 0.0
4.0 8026.81 4552.37 -165.02 3.58 -0.01 -0.01 -0.0 2 73.862 75.912 831.069 33.66 40.8
4.1 8026.46 4552.28 -165.02 3.58 -0.01 -0.01 -0.0 2 73.855 75.917 830.708 33.66 40.8
4.2 8026.12 4552.19 -165.03 3.58 -0.01 -0.01 -0.0 2 73.879 75.956 830.357 33.66 40.8
4.3 8025.77 4552.1 -165.03 3.58 -0.01 -0.01 -0.0 2 73.873 75.961 829.996 33.66 40.8
4.4 8025.43 4552.01 -165.03 3.58 -0.01 -0.01 -0.0 2 73.864 75.969 829.645 45.9 40.8
4.5 8025.08 4551.92 -165.03 3.58 -0.01 -0.01 -0.0 2 73.858 75.974 829.284 45.9 40.8
4.6 8024.73 4551.83 -165.03 3.58 -0.01 -0.01 -0.0 2 73.852 75.979 828.923 45.9 40.8
4.7 8024.39 4551.73 -165.03 3.58 -0.01 -0.01 -0.0 2 73.834 75.996 828.569 45.9 40.8
4.8 8024.04 4551.64 -165.03 3.58 -0.01 -0.01 -0.0 2 73.827 76.002 828.208 45.9 40.8
4.9 8023.69 4551.55 -165.03 3.58 -0.01 -0.01 -0.0 2 73.821 76.007 827.847 45.9 40.8
5.0 8023.35 4551.46 -165.04 3.58 -0.01 -0.01 -0.0 2 73.845 76.046 827.496 45.9 40.8
5.1 8023.0 4551.37 -165.04 3.58 -0.01 -0.01 -0.0 2 73.838 76.051 827.135 45.9 40.8
5.2 8022.65 4551.28 -165.04 3.58 -0.01 -0.01 -0.0 2 73.832 76.056 826.774 45.9 40.8
5.3 8022.31 4551.19 -165.04 3.58 -0.01 -0.01 -0.0 2 73.824 76.064 826.423 45.9 40.8
5.4 8021.96 4551.09 -165.04 3.58 -0.01 -0.01 -0.0 2 73.808 76.079 826.06 45.9 40.8
5.5 8021.61 4551.0 -165.04 3.58 -0.01 -0.01 -0.0 2 73.802 76.084 825.699 45.9 40.8
5.6 8021.27 4550.91 -165.04 3.58 -0.01 -0.02 -0.0 2 73.793 76.091 825.347 45.9 40.8
5.7 8020.92 4550.82 -165.05 3.58 -0.01 -0.02 -0.0 2 73.819 76.128 824.986 45.9 40.8
5.8 8020.57 4550.73 -165.05 3.58 -0.01 -0.02 -0.0 2 73.813 76.133 824.625 45.9 40.8
5.9 8020.23 4550.64 -165.05 3.58 -0.01 -0.02 -0.0 2 73.804 76.141 824.274 45.9 40.8
6.0 8019.88 4550.55 -165.05 3.58 -0.01 -0.02 -0.0 2 73.798 76.146 823.913 45.9 40.8
6.1 8019.53 4550.46 -165.05 3.59 -0.01 -0.02 -0.0 2 73.792 76.151 823.552 45.9 40.8
6.2 8019.19 4550.37 -165.05 3.59 -0.01 -0.02 -0.0 2 73.784 76.159 823.201 45.9 40.8
6.3 8018.84 4550.27 -165.06 3.59 -0.02 -0.02 -0.0 2 73.8 76.205 822.838 45.9 40.8
6.4 8018.49 4550.18 -165.06 3.59 -0.02 -0.02 -0.0 2 73.793 76.211 822.476 45.9 40.8
6.5 8018.15 4550.09 -165.06 3.59 -0.02 -0.02 -0.0 2 73.785 76.218 822.125 45.9 40.8
6.6 8017.8 4550.0 -165.06 3.59 -0.02 -0.02 -0.0 2 73.779 76.223 821.764 45.9 40.8
6.7 8017.45 4549.91 -165.06 3.59 -0.02 -0.02 -0.0 2 73.773 76.228 821.403 45.9 40.8
6.8 8017.11 4549.82 -165.06 3.59 -0.02 -0.02 -0.0 2 73.764 76.236 821.052 45.9 40.8
6.9 8016.76 4549.73 -165.07 3.59 -0.02 -0.02 -0.0 2 73.79 76.273 820.691 45.9 40.8
7.0 8016.41 4549.64 -165.07 3.59 -0.02 -0.02 -0.0 2 73.784 76.278 820.33 45.9 40.8
7.1 8016.06 4549.55 -165.07 3.59 -0.02 -0.02 -0.0 2 73.778 76.283 819.969 45.9 40.8
7.2 8015.72 4549.46 -165.07 3.59 -0.02 -0.02 -0.0 2 73.769 76.291 819.618 45.9 40.8
